time,Atlanta,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Horford (T. Parker gains possession),,,,Jump ball: T. Duncan vs. A. Horford (T. Parker gains possession)
11:43.0,,,0-3,3,D. Green makes 3-pt shot from 24 ft (assist by T. Splitter)
11:23.0,K. Korver makes 2-pt shot from 17 ft (assist by A. Horford),2,2-3,,
11:11.0,,,2-5,2,T. Splitter makes 2-pt shot from 1 ft (assist by T. Parker)
10:57.0,D. Carroll makes 3-pt shot from 23 ft (assist by J. Teague),3,5-5,,
10:42.0,,,5-7,2,T. Splitter makes 2-pt shot from 1 ft (assist by D. Green)
10:37.0,Turnover by J. Teague (bad pass; steal by T. Duncan),,5-7,,
10:26.0,,,5-7,,T. Duncan misses 2-pt shot from 19 ft
10:25.0,Defensive rebound by A. Horford,,5-7,,
10:13.0,A. Horford misses 2-pt shot from 7 ft,,5-7,,
10:12.0,,,5-7,,Defensive rebound by K. Leonard
10:01.0,,,5-9,2,T. Parker makes 2-pt shot at rim (assist by T. Splitter)
9:42.0,D. Carroll misses 2-pt shot from 2 ft (block by T. Duncan),,5-9,,
9:41.0,Offensive rebound by D. Carroll,,5-9,,
9:41.0,D. Carroll misses 2-pt shot from 2 ft,,5-9,,
9:40.0,Offensive rebound by Team,,5-9,,
9:37.0,D. Carroll misses 2-pt shot from 2 ft (block by T. Duncan),,5-9,,
9:35.0,,,5-9,,Defensive rebound by T. Duncan
9:30.0,,,5-9,,Shooting foul by P. Millsap (drawn by T. Splitter)
9:30.0,,,5-9,,T. Splitter misses free throw 1 of 2
9:30.0,,,5-9,,Offensive rebound by Team
9:30.0,,,5-10,1,T. Splitter makes free throw 2 of 2
9:14.0,J. Teague misses 2-pt shot from 14 ft,,5-10,,
9:13.0,,,5-10,,Defensive rebound by K. Leonard
9:00.0,,,5-10,,Turnover by T. Parker (bad pass; steal by A. Horford)
8:55.0,D. Carroll makes 2-pt shot from 2 ft,2,7-10,,
8:36.0,,,7-12,2,T. Parker makes 2-pt shot from 16 ft (assist by K. Leonard)
8:23.0,A. Horford misses 2-pt shot from 2 ft (block by D. Green),,7-12,,
8:22.0,Offensive rebound by Team,,7-12,,
8:12.0,P. Millsap misses 2-pt shot from 12 ft,,7-12,,
8:09.0,Offensive rebound by A. Horford,,7-12,,
8:06.0,A. Horford makes 2-pt shot from 9 ft,2,9-12,,
7:41.0,,,9-15,3,K. Leonard makes 3-pt shot from 22 ft (assist by T. Parker)
7:41.0,Atlanta full timeout,,9-15,,
7:41.0,,,9-15,,B. Diaw enters the game for T. Splitter
7:19.0,Turnover by P. Millsap (lost ball; steal by K. Leonard),,9-15,,
7:08.0,,,9-15,,K. Leonard misses 3-pt shot from 23 ft
7:07.0,Defensive rebound by D. Carroll,,9-15,,
6:53.0,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford),2,11-15,,
6:37.0,,,11-17,2,T. Parker makes 2-pt shot from 14 ft (assist by K. Leonard)
6:24.0,P. Millsap misses 2-pt shot from 1 ft (block by T. Duncan),,11-17,,
6:23.0,,,11-17,,Defensive rebound by B. Diaw
6:01.0,,,11-19,2,T. Duncan makes 2-pt shot from 17 ft (assist by B. Diaw)
5:46.0,A. Horford misses 2-pt shot from 19 ft,,11-19,,
5:46.0,Offensive rebound by Team,,11-19,,
5:46.0,,,11-19,,Loose ball foul by K. Leonard (drawn by D. Carroll)
5:46.0,P. Antic enters the game for A. Horford,,11-19,,
5:46.0,,,11-19,,M. Ginobili enters the game for D. Green
5:46.0,,,11-19,,M. Belinelli enters the game for K. Leonard
5:34.0,J. Teague misses 2-pt shot from 15 ft,,11-19,,
5:33.0,,,11-19,,Defensive rebound by T. Duncan
5:28.0,,,11-19,,Turnover by T. Parker (bad pass; steal by P. Millsap)
5:15.0,P. Antic misses 3-pt shot from 24 ft,,11-19,,
5:14.0,,,11-19,,Defensive rebound by T. Parker
5:06.0,,,11-19,,Shooting foul by D. Carroll (drawn by M. Belinelli)
5:06.0,,,11-19,,M. Belinelli misses free throw 1 of 2
5:06.0,,,11-19,,Offensive rebound by Team
5:06.0,,,11-19,,C. Joseph enters the game for T. Parker
5:06.0,,,11-20,1,M. Belinelli makes free throw 2 of 2
4:42.0,P. Millsap misses 2-pt shot from 16 ft,,11-20,,
4:41.0,,,11-20,,Defensive rebound by M. Ginobili
4:35.0,,,11-20,,Turnover by M. Ginobili (bad pass; steal by K. Korver)
4:26.0,Turnover by D. Carroll (bad pass; steal by T. Duncan),,11-20,,
4:17.0,Personal foul by J. Teague (drawn by B. Diaw),,11-20,,
4:06.0,,,11-20,,B. Diaw misses 2-pt shot from 1 ft (block by P. Millsap)
4:04.0,,,11-20,,Offensive rebound by T. Duncan
4:04.0,,,11-22,2,T. Duncan makes 2-pt shot from 2 ft
3:55.0,J. Teague misses 2-pt shot from 3 ft,,11-22,,
3:54.0,Offensive rebound by Team,,11-22,,
3:47.0,Turnover by J. Teague (lost ball; steal by M. Ginobili),,11-22,,
3:42.0,,,11-22,,M. Ginobili misses 2-pt shot from 1 ft (block by P. Millsap)
3:41.0,Defensive rebound by Team,,11-22,,
3:28.0,P. Millsap misses 3-pt shot from 26 ft,,11-22,,
3:25.0,,,11-22,,Defensive rebound by M. Belinelli
3:19.0,,,11-24,2,C. Joseph makes 2-pt shot at rim (assist by T. Duncan)
2:53.0,J. Teague misses 2-pt shot from 15 ft,,11-24,,
2:52.0,,,11-24,,Defensive rebound by T. Duncan
2:37.0,,,11-24,,M. Ginobili misses 2-pt shot from 16 ft
2:36.0,Defensive rebound by K. Korver,,11-24,,
2:31.0,P. Antic makes 2-pt shot at rim (assist by J. Teague),2,13-24,,
2:31.0,,,13-24,,San Antonio full timeout
2:31.0,S. Mack enters the game for D. Carroll,,13-24,,
2:31.0,K. Bazemore enters the game for P. Millsap,,13-24,,
2:31.0,T. Sefolosha enters the game for K. Korver,,13-24,,
2:31.0,M. Scott enters the game for J. Teague,,13-24,,
2:31.0,,,13-24,,A. Baynes enters the game for T. Duncan
2:13.0,,,13-24,,Turnover by A. Baynes (3 sec)
1:58.0,,,13-24,,J. Ayres enters the game for A. Baynes
1:49.0,M. Scott makes 2-pt shot from 14 ft (assist by S. Mack),2,15-24,,
1:39.0,,,15-24,,Turnover by C. Joseph (bad pass; steal by S. Mack)
1:34.0,,,15-24,,Loose ball foul by M. Belinelli (drawn by K. Bazemore)
1:28.0,S. Mack misses 2-pt shot from 2 ft,,15-24,,
1:27.0,,,15-24,,Defensive rebound by J. Ayres
1:21.0,,,15-24,,M. Belinelli misses 2-pt shot from 1 ft
1:19.0,Defensive rebound by M. Scott,,15-24,,
1:00.0,Turnover by S. Mack (bad pass),,15-24,,
1:00.0,,,15-24,,D. Green enters the game for M. Belinelli
0:39.0,,,15-27,3,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili)
0:26.0,K. Bazemore misses 2-pt shot from 1 ft,,15-27,,
0:25.0,,,15-27,,Defensive rebound by D. Green
0:02.0,,,15-27,,C. Joseph misses 3-pt shot from 25 ft
0:01.0,,,15-27,,Offensive rebound by J. Ayres
0:01.0,Personal foul by T. Sefolosha (drawn by J. Ayres),,15-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,K. Bazemore misses 2-pt shot from 20 ft,,15-27,,
11:34.0,,,15-27,,Defensive rebound by T. Parker
11:30.0,,,15-29,2,T. Parker makes 2-pt shot from 3 ft
11:30.0,,,15-29,,Shooting foul by K. Bazemore (drawn by T. Parker)
11:30.0,,,15-30,1,T. Parker makes free throw 1 of 1
11:20.0,Turnover by A. Horford (step out of bounds),,15-30,,
10:56.0,,,15-32,2,B. Diaw makes 2-pt shot from 8 ft
10:32.0,S. Mack misses 2-pt shot from 4 ft,,15-32,,
10:31.0,Offensive rebound by A. Horford,,15-32,,
10:31.0,A. Horford makes 2-pt shot from 1 ft,2,17-32,,
10:07.0,,,17-32,,D. Green misses 2-pt shot from 22 ft
10:06.0,Defensive rebound by M. Scott,,17-32,,
9:52.0,Shooting foul by J. Ayres (drawn by S. Mack),,17-32,,
9:52.0,S. Mack makes free throw 1 of 2,1,18-32,,
9:52.0,,,18-32,,K. Leonard enters the game for M. Ginobili
9:52.0,,,18-32,,C. Joseph enters the game for D. Green
9:52.0,S. Mack makes free throw 2 of 2,1,19-32,,
9:42.0,Personal foul by M. Scott (drawn by C. Joseph),,19-32,,
9:32.0,,,19-34,2,B. Diaw makes 2-pt shot from 1 ft (assist by T. Parker)
9:19.0,K. Bazemore makes 2-pt shot from 3 ft,2,21-34,,
9:09.0,,,21-34,,Offensive foul by J. Ayres
9:09.0,,,21-34,,Turnover by J. Ayres (offensive foul)
9:04.0,K. Bazemore misses 3-pt shot from 24 ft,,21-34,,
9:03.0,,,21-34,,Defensive rebound by J. Ayres
8:44.0,,,21-34,,B. Diaw misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by T. Sefolosha,,21-34,,
8:38.0,S. Mack misses 3-pt shot from 24 ft,,21-34,,
8:37.0,,,21-34,,Defensive rebound by B. Diaw
8:19.0,,,21-34,,C. Joseph misses 2-pt shot from 5 ft (block by A. Horford)
8:19.0,,,21-34,,Offensive rebound by C. Joseph
8:19.0,,,21-34,,Shooting foul by A. Horford (drawn by C. Joseph)
8:19.0,Official timeout,,21-34,,
8:19.0,K. Korver enters the game for K. Bazemore,,21-34,,
8:19.0,J. Teague enters the game for S. Mack,,21-34,,
8:19.0,,,21-35,1,C. Joseph makes free throw 1 of 2
8:19.0,,,21-36,1,C. Joseph makes free throw 2 of 2
8:04.0,Shooting foul by C. Joseph (drawn by T. Sefolosha),,21-36,,
8:04.0,T. Sefolosha makes free throw 1 of 2,1,22-36,,
8:04.0,,,22-36,,T. Duncan enters the game for J. Ayres
8:04.0,T. Sefolosha makes free throw 2 of 2,1,23-36,,
7:48.0,,,23-36,,T. Parker misses 3-pt shot from 23 ft
7:47.0,Defensive rebound by M. Scott,,23-36,,
7:39.0,M. Scott misses 3-pt shot from 24 ft,,23-36,,
7:38.0,,,23-36,,Defensive rebound by K. Leonard
7:31.0,,,23-36,,Turnover by K. Leonard (bad pass; steal by T. Sefolosha)
7:22.0,M. Scott makes 2-pt shot from 2 ft (assist by A. Horford),2,25-36,,
6:56.0,,,25-36,,K. Leonard misses 2-pt shot from 20 ft
6:55.0,,,25-36,,Offensive rebound by C. Joseph
6:50.0,,,25-36,,Turnover by Team (back court)
6:50.0,D. Carroll enters the game for M. Scott,,25-36,,
6:50.0,P. Millsap enters the game for T. Sefolosha,,25-36,,
6:50.0,,,25-36,,D. Green enters the game for C. Joseph
6:43.0,K. Korver misses 2-pt shot from 19 ft,,25-36,,
6:42.0,,,25-36,,Defensive rebound by Team
6:25.0,,,25-36,,T. Parker misses 2-pt shot from 4 ft
6:24.0,,,25-36,,Offensive rebound by T. Duncan
6:24.0,,,25-36,,T. Duncan misses 2-pt shot from 1 ft
6:22.0,,,25-36,,Offensive rebound by T. Duncan
6:22.0,,,25-38,2,T. Duncan makes 2-pt shot at rim
6:10.0,A. Horford misses 2-pt shot from 17 ft,,25-38,,
6:09.0,,,25-38,,Defensive rebound by D. Green
6:02.0,,,25-38,,Shooting foul by A. Horford (drawn by T. Duncan)
6:02.0,,,25-39,1,T. Duncan makes free throw 1 of 2
6:02.0,,,25-39,,T. Splitter enters the game for B. Diaw
6:02.0,P. Antic enters the game for A. Horford,,25-39,,
6:02.0,,,25-40,1,T. Duncan makes free throw 2 of 2
5:53.0,K. Korver misses 3-pt shot from 25 ft,,25-40,,
5:53.0,,,25-40,,Defensive rebound by T. Splitter
5:37.0,,,25-40,,Turnover by T. Splitter (lost ball; steal by P. Millsap)
5:19.0,D. Carroll misses 2-pt shot from 2 ft,,25-40,,
5:17.0,Offensive rebound by P. Millsap,,25-40,,
5:16.0,P. Millsap makes 2-pt shot from 2 ft,2,27-40,,
5:03.0,Personal foul by P. Antic (drawn by T. Duncan),,27-40,,
5:03.0,,,27-40,,San Antonio full timeout
5:03.0,,,27-40,,M. Ginobili enters the game for K. Leonard
5:03.0,,,27-41,1,T. Duncan makes free throw 1 of 2
5:03.0,,,27-42,1,T. Duncan makes free throw 2 of 2
4:49.0,P. Millsap misses 2-pt shot at rim (block by T. Duncan),,27-42,,
4:49.0,Offensive rebound by Team,,27-42,,
4:40.0,Turnover by K. Korver (bad pass; steal by T. Splitter),,27-42,,
4:33.0,,,27-44,2,T. Parker makes 2-pt shot from 3 ft
4:20.0,P. Antic misses 2-pt shot from 22 ft (block by T. Duncan),,27-44,,
4:18.0,,,27-44,,Defensive rebound by T. Splitter
4:01.0,,,27-44,,Turnover by D. Green (traveling)
3:45.0,Shooting foul by T. Parker (drawn by J. Teague),,27-44,,
3:45.0,J. Teague misses free throw 1 of 2,,27-44,,
3:45.0,Offensive rebound by Team,,27-44,,
3:45.0,A. Horford enters the game for P. Antic,,27-44,,
3:45.0,J. Teague makes free throw 2 of 2,1,28-44,,
3:33.0,,,28-44,,Turnover by M. Ginobili (lost ball; steal by P. Millsap)
3:31.0,Offensive foul by J. Teague,,28-44,,
3:31.0,Turnover by J. Teague (offensive foul),,28-44,,
3:19.0,,,28-44,,M. Ginobili misses 2-pt shot from 19 ft
3:17.0,Defensive rebound by Team,,28-44,,
2:56.0,A. Horford misses 2-pt shot from 7 ft,,28-44,,
2:56.0,,,28-44,,Defensive rebound by T. Splitter
2:50.0,,,28-44,,Turnover by T. Parker (bad pass)
2:50.0,Atlanta full timeout,,28-44,,
2:50.0,,,28-44,,K. Leonard enters the game for M. Ginobili
2:50.0,,,28-44,,B. Diaw enters the game for T. Splitter
2:32.0,K. Korver makes 2-pt shot from 13 ft (assist by P. Millsap),2,30-44,,
2:10.0,,,30-46,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan)
1:53.0,A. Horford makes 2-pt shot from 18 ft (assist by D. Carroll),2,32-46,,
1:34.0,,,32-48,2,T. Parker makes 2-pt shot from 20 ft (assist by B. Diaw)
1:22.0,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague),3,35-48,,
1:02.0,,,35-48,,M. Ginobili enters the game for D. Green
0:58.0,Personal foul by A. Horford (drawn by T. Duncan),,35-48,,
