time,New Orleans,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. K. Faried (W. Chandler gains possession),,,,Jump ball: O. Asik vs. K. Faried (W. Chandler gains possession)
11:37.0,,,0-0,,T. Lawson misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by O. Asik,,0-0,,
11:12.0,T. Evans misses 2-pt shot from 2 ft,,0-0,,
11:11.0,Offensive rebound by E. Gordon,,0-0,,
11:08.0,E. Gordon misses 3-pt shot from 24 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by D. Gallinari
10:59.0,,,0-2,2,D. Gallinari makes 2-pt shot from 2 ft
10:37.0,T. Evans makes 2-pt shot from 2 ft (assist by O. Asik),2,2-2,,
10:13.0,,,2-2,,T. Lawson misses 2-pt shot from 19 ft
10:12.0,,,2-2,,Offensive rebound by Team
10:12.0,,,2-2,,Turnover by Team (shot clock)
9:51.0,Q. Pondexter makes 2-pt shot from 5 ft,2,4-2,,
9:34.0,,,4-2,,K. Faried misses 2-pt shot from 7 ft
9:33.0,Defensive rebound by O. Asik,,4-2,,
9:27.0,T. Evans makes 2-pt shot from 1 ft,2,6-2,,
9:12.0,,,6-2,,K. Faried misses 2-pt shot from 5 ft
9:11.0,Defensive rebound by O. Asik,,6-2,,
9:04.0,,,6-2,,Personal foul by R. Foye (drawn by T. Evans)
8:53.0,Q. Pondexter misses 3-pt shot from 24 ft,,6-2,,
8:51.0,,,6-2,,Defensive rebound by Team
8:33.0,Personal foul by Q. Pondexter (drawn by D. Gallinari),,6-2,,
8:23.0,,,6-2,,W. Chandler misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by O. Asik,,6-2,,
8:07.0,T. Evans misses 3-pt shot from 25 ft,,6-2,,
8:05.0,,,6-2,,Defensive rebound by K. Faried
7:51.0,,,6-2,,R. Foye misses 2-pt shot from 16 ft
7:49.0,Defensive rebound by O. Asik,,6-2,,
7:31.0,Q. Pondexter misses 2-pt shot from 4 ft (block by D. Gallinari),,6-2,,
7:29.0,,,6-2,,Defensive rebound by W. Chandler
7:23.0,,,6-5,3,R. Foye makes 3-pt shot from 23 ft (assist by T. Lawson)
6:56.0,E. Gordon makes 2-pt shot from 7 ft,2,8-5,,
6:41.0,,,8-5,,Turnover by R. Foye (bad pass; steal by O. Asik)
6:36.0,T. Evans makes 2-pt shot from 1 ft (assist by O. Asik),2,10-5,,
6:30.0,,,10-5,,Denver full timeout
6:21.0,,,10-5,,R. Foye misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by O. Asik,,10-5,,
6:05.0,Turnover by T. Evans (lost ball; steal by K. Faried),,10-5,,
5:59.0,,,10-7,2,D. Gallinari makes 2-pt shot at rim (assist by T. Lawson)
5:34.0,O. Asik makes 2-pt shot from 2 ft (assist by E. Gordon),2,12-7,,
5:09.0,,,12-7,,D. Gallinari misses 3-pt shot from 22 ft
5:08.0,Defensive rebound by O. Asik,,12-7,,
4:55.0,E. Gordon misses 3-pt shot from 25 ft,,12-7,,
4:53.0,,,12-7,,Defensive rebound by T. Lawson
4:49.0,,,12-7,,Turnover by T. Lawson (bad pass; steal by T. Evans)
4:43.0,E. Gordon misses 3-pt shot from 24 ft,,12-7,,
4:40.0,Offensive rebound by T. Evans,,12-7,,
4:25.0,O. Asik makes 2-pt shot from 1 ft (assist by T. Evans),2,14-7,,
4:11.0,,,14-10,3,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson)
3:37.0,T. Evans misses 2-pt shot from 2 ft,,14-10,,
3:35.0,,,14-10,,Defensive rebound by D. Gallinari
3:31.0,,,14-10,,D. Gallinari misses 2-pt shot at rim
3:30.0,Defensive rebound by Team,,14-10,,
3:30.0,N. Cole enters the game for E. Gordon,,14-10,,
3:21.0,N. Cole makes 2-pt shot from 1 ft (assist by O. Asik),2,16-10,,
3:10.0,,,16-10,,K. Faried misses 2-pt shot from 3 ft
3:09.0,Defensive rebound by O. Asik,,16-10,,
3:08.0,,,16-10,,Personal foul by K. Faried (drawn by O. Asik)
3:08.0,,,16-10,,W. Barton enters the game for R. Foye
3:08.0,,,16-10,,J. Nelson enters the game for T. Lawson
3:08.0,A. Ajinca enters the game for O. Asik,,16-10,,
2:52.0,N. Cole makes 2-pt shot from 21 ft (assist by A. Ajinca),2,18-10,,
2:29.0,,,18-12,2,W. Chandler makes 2-pt shot from 2 ft
2:12.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by N. Cole),3,21-12,,
2:00.0,,,21-12,,J. Nelson misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by A. Ajinca,,21-12,,
1:52.0,Offensive foul by D. Cunningham,,21-12,,
1:52.0,Turnover by D. Cunningham (offensive foul),,21-12,,
1:52.0,New Orleans full timeout,,21-12,,
1:52.0,,,21-12,,J. Lauvergne enters the game for W. Chandler
1:52.0,,,21-12,,J. Hickson enters the game for K. Faried
1:52.0,L. Babbitt enters the game for D. Cunningham,,21-12,,
1:39.0,,,21-12,,W. Barton misses 2-pt shot from 5 ft
1:37.0,,,21-12,,Offensive rebound by J. Hickson
1:37.0,,,21-14,2,J. Hickson makes 2-pt shot at rim
