time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. T. Mozgov (K. Irving gains possession),,,,Jump ball: B. Bass vs. T. Mozgov (K. Irving gains possession)
11:48.0,K. Love makes 2-pt shot from 18 ft (assist by L. James),2,2-0,,
11:30.0,,,2-2,2,A. Bradley makes 2-pt shot from 19 ft (assist by E. Turner)
11:06.0,K. Love misses 2-pt shot from 23 ft,,2-2,,
11:04.0,Offensive rebound by K. Irving,,2-2,,
11:01.0,J. Smith makes 3-pt shot from 27 ft (assist by K. Irving),3,5-2,,
10:46.0,,,5-4,2,T. Zeller makes 2-pt shot from 18 ft (assist by B. Bass)
10:26.0,L. James misses 2-pt shot from 2 ft,,5-4,,
10:25.0,Offensive rebound by T. Mozgov,,5-4,,
10:25.0,T. Mozgov makes 2-pt shot from 2 ft,2,7-4,,
10:22.0,,,7-4,,Boston full timeout
10:04.0,,,7-6,2,A. Bradley makes 2-pt shot from 2 ft (assist by E. Turner)
9:44.0,K. Irving misses 2-pt shot from 9 ft,,7-6,,
9:43.0,,,7-6,,Defensive rebound by E. Turner
9:34.0,,,7-6,,E. Turner misses 2-pt shot at rim (block by T. Mozgov)
9:33.0,,,7-6,,Offensive rebound by Team
9:27.0,,,7-8,2,T. Zeller makes 2-pt shot from 4 ft
9:06.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,9-8,,
8:48.0,,,9-8,,E. Turner misses 2-pt shot from 15 ft
8:47.0,Defensive rebound by K. Love,,9-8,,
8:35.0,,,9-8,,Personal foul by E. Turner (drawn by K. Love)
8:19.0,T. Mozgov makes 2-pt shot from 2 ft (assist by K. Love),2,11-8,,
8:06.0,,,11-8,,A. Bradley misses 2-pt shot from 19 ft
8:05.0,Defensive rebound by T. Mozgov,,11-8,,
7:57.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,14-8,,
7:45.0,,,14-8,,E. Turner misses 2-pt shot from 16 ft
7:44.0,Defensive rebound by T. Mozgov,,14-8,,
7:38.0,,,14-8,,Shooting block foul by J. Crowder (drawn by L. James)
7:38.0,L. James makes free throw 1 of 2,1,15-8,,
7:38.0,,,15-8,,I. Thomas enters the game for E. Turner
7:38.0,L. James makes free throw 2 of 2,1,16-8,,
7:21.0,,,16-8,,I. Thomas misses 2-pt shot from 23 ft
7:20.0,Defensive rebound by L. James,,16-8,,
7:13.0,J. Smith misses 3-pt shot from 28 ft,,16-8,,
7:12.0,,,16-8,,Defensive rebound by T. Zeller
7:04.0,,,16-8,,Turnover by I. Thomas (lost ball; steal by K. Irving)
6:59.0,K. Irving makes 2-pt shot from 1 ft (assist by L. James),2,18-8,,
6:44.0,,,18-10,2,T. Zeller makes 2-pt shot from 3 ft (assist by I. Thomas)
6:31.0,K. Love misses 3-pt shot from 23 ft,,18-10,,
6:30.0,,,18-10,,Defensive rebound by I. Thomas
6:26.0,,,18-10,,Offensive charge foul by B. Bass
6:26.0,,,18-10,,Turnover by B. Bass (offensive foul)
6:26.0,,,18-10,,K. Olynyk enters the game for B. Bass
6:14.0,Shooting foul by I. Thomas (drawn by T. Mozgov),,18-10,,
6:14.0,T. Mozgov makes free throw 1 of 2,1,19-10,,
6:14.0,T. Mozgov misses free throw 2 of 2,,19-10,,
6:14.0,,,19-10,,Defensive rebound by T. Zeller
6:01.0,,,19-10,,I. Thomas misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by L. James,,19-10,,
5:41.0,L. James misses 3-pt shot from 23 ft,,19-10,,
5:40.0,,,19-10,,Defensive rebound by T. Zeller
5:23.0,,,19-10,,J. Crowder misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by Team,,19-10,,
5:22.0,,,19-10,,Loose ball foul by K. Olynyk (drawn by K. Love)
5:22.0,Cleveland full timeout,,19-10,,
5:22.0,J. Jones enters the game for K. Love,,19-10,,
5:22.0,T. Thompson enters the game for T. Mozgov,,19-10,,
5:22.0,,,19-10,,J. Jerebko enters the game for J. Crowder
5:06.0,L. James misses 2-pt shot from 18 ft,,19-10,,
5:05.0,,,19-10,,Defensive rebound by A. Bradley
4:52.0,,,19-12,2,T. Zeller makes 2-pt shot from 1 ft (assist by I. Thomas)
4:34.0,K. Irving misses 2-pt shot from 14 ft,,19-12,,
4:32.0,Offensive rebound by K. Irving,,19-12,,
4:26.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,21-12,,
4:01.0,,,21-14,2,A. Bradley makes 2-pt shot from 22 ft (assist by I. Thomas)
3:44.0,Shooting foul by A. Bradley (drawn by K. Irving),,21-14,,
3:44.0,K. Irving misses free throw 1 of 2,,21-14,,
3:44.0,Offensive rebound by Team,,21-14,,
3:44.0,,,21-14,,J. Sullinger enters the game for T. Zeller
3:44.0,K. Irving makes free throw 2 of 2,1,22-14,,
3:33.0,Shooting block foul by T. Thompson (drawn by K. Olynyk),,22-14,,
3:33.0,,,22-15,1,K. Olynyk makes free throw 1 of 2
3:33.0,,,22-15,,K. Olynyk misses free throw 2 of 2
3:32.0,Defensive rebound by J. Jones,,22-15,,
3:15.0,J. Jones misses 3-pt shot from 25 ft,,22-15,,
3:14.0,,,22-15,,Defensive rebound by J. Sullinger
3:08.0,Personal foul by J. Smith (drawn by I. Thomas),,22-15,,
3:08.0,I. Shumpert enters the game for J. Smith,,22-15,,
3:01.0,,,22-15,,Turnover by I. Thomas (bad pass)
2:49.0,I. Shumpert misses 3-pt shot from 23 ft,,22-15,,
2:48.0,,,22-15,,Defensive rebound by Team
2:48.0,Personal foul by T. Thompson (drawn by J. Sullinger),,22-15,,
2:48.0,T. Mozgov enters the game for T. Thompson,,22-15,,
2:37.0,,,22-15,,J. Sullinger misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by T. Mozgov,,22-15,,
2:13.0,I. Shumpert makes 2-pt shot from 9 ft (assist by L. James),2,24-15,,
1:55.0,,,24-17,2,J. Sullinger makes 2-pt shot from 2 ft
1:38.0,Shooting foul by K. Olynyk (drawn by J. Jones),,24-17,,
1:38.0,J. Jones makes free throw 1 of 2,1,25-17,,
1:38.0,M. Dellavedova enters the game for L. James,,25-17,,
1:38.0,J. Jones makes free throw 2 of 2,1,26-17,,
1:21.0,,,26-17,,J. Sullinger misses 2-pt shot from 3 ft
1:20.0,,,26-17,,Offensive rebound by K. Olynyk
1:15.0,,,26-17,,J. Sullinger misses 2-pt shot from 3 ft (block by T. Mozgov)
1:14.0,,,26-17,,Offensive rebound by J. Sullinger
1:13.0,,,26-19,2,J. Sullinger makes 2-pt shot from 1 ft
0:52.0,K. Irving misses 2-pt shot from 3 ft,,26-19,,
0:50.0,Offensive rebound by Team,,26-19,,
0:50.0,,,26-19,,G. Wallace enters the game for A. Bradley
0:39.0,K. Irving misses 2-pt shot from 2 ft,,26-19,,
0:39.0,,,26-19,,Defensive rebound by J. Sullinger
0:37.0,Personal foul by I. Shumpert (drawn by I. Thomas),,26-19,,
0:30.0,,,26-19,,I. Thomas misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by K. Irving,,26-19,,
0:12.0,K. Irving makes 3-pt shot from 25 ft,3,29-19,,
0:01.0,,,29-19,,I. Thomas misses 2-pt shot from 16 ft
0:00.0,Defensive rebound by K. Irving,,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,29-21,2,J. Sullinger makes 2-pt shot from 18 ft (assist by I. Thomas)
11:21.0,L. James misses 2-pt shot from 3 ft,,29-21,,
11:20.0,,,29-21,,Defensive rebound by G. Wallace
11:17.0,,,29-23,2,M. Smart makes 2-pt shot from 2 ft (assist by I. Thomas)
11:17.0,,,29-23,,Shooting foul by M. Dellavedova (drawn by M. Smart)
11:17.0,,,29-23,,M. Smart misses free throw 1 of 1
11:15.0,Defensive rebound by L. James,,29-23,,
11:04.0,M. Dellavedova misses 2-pt shot from 3 ft,,29-23,,
11:03.0,,,29-23,,Defensive rebound by Team
11:03.0,Personal foul by T. Mozgov (drawn by J. Sullinger),,29-23,,
10:52.0,,,29-23,,J. Sullinger misses 3-pt shot from 25 ft
10:51.0,,,29-23,,Offensive rebound by Team
10:51.0,Loose ball foul by J. Jones (drawn by J. Jerebko),,29-23,,
10:40.0,,,29-23,,G. Wallace misses 2-pt shot from 2 ft (block by I. Shumpert)
10:38.0,Defensive rebound by M. Dellavedova,,29-23,,
10:31.0,T. Mozgov makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,31-23,,
10:31.0,Shooting foul by M. Smart (drawn by T. Mozgov),,31-23,,
10:31.0,,,31-23,,E. Turner enters the game for I. Thomas
10:31.0,,,31-23,,T. Zeller enters the game for J. Sullinger
10:31.0,T. Mozgov makes free throw 1 of 1,1,32-23,,
10:19.0,,,32-23,,M. Smart misses 2-pt shot from 14 ft
10:18.0,Defensive rebound by L. James,,32-23,,
10:04.0,M. Dellavedova misses 3-pt shot from 25 ft,,32-23,,
10:02.0,,,32-23,,Defensive rebound by T. Zeller
9:59.0,,,32-23,,Turnover by T. Zeller (lost ball)
9:48.0,L. James makes 3-pt shot from 25 ft,3,35-23,,
9:26.0,,,35-23,,E. Turner misses 2-pt shot from 2 ft (block by T. Mozgov)
9:24.0,Defensive rebound by L. James,,35-23,,
9:09.0,,,35-23,,Personal foul by J. Jerebko (drawn by J. Jones)
9:09.0,,,35-23,,J. Crowder enters the game for G. Wallace
9:09.0,,,35-23,,B. Bass enters the game for J. Jerebko
8:59.0,L. James misses 3-pt shot from 24 ft,,35-23,,
8:57.0,Offensive rebound by I. Shumpert,,35-23,,
8:42.0,Offensive foul by L. James,,35-23,,
8:42.0,Turnover by L. James (offensive foul),,35-23,,
8:42.0,Official timeout,,35-23,,
8:42.0,K. Irving enters the game for M. Dellavedova,,35-23,,
8:42.0,J. Smith enters the game for J. Jones,,35-23,,
8:21.0,,,35-23,,Turnover by E. Turner (bad pass; steal by J. Smith)
8:16.0,,,35-23,,Personal foul by M. Smart (drawn by K. Irving)
8:06.0,L. James makes 2-pt shot from 1 ft (assist by K. Irving),2,37-23,,
7:50.0,,,37-23,,T. Zeller misses 2-pt shot from 17 ft
7:49.0,Defensive rebound by I. Shumpert,,37-23,,
7:41.0,J. Smith makes 2-pt shot from 19 ft,2,39-23,,
7:23.0,,,39-23,,Turnover by B. Bass (bad pass)
7:23.0,,,39-23,,A. Bradley enters the game for M. Smart
7:23.0,,,39-23,,I. Thomas enters the game for E. Turner
7:02.0,T. Mozgov misses 2-pt shot from 4 ft,,39-23,,
7:01.0,,,39-23,,Defensive rebound by A. Bradley
6:47.0,,,39-23,,A. Bradley misses 2-pt shot from 19 ft
6:45.0,Defensive rebound by I. Shumpert,,39-23,,
6:36.0,K. Irving makes 2-pt shot from 3 ft,2,41-23,,
6:36.0,,,41-23,,Boston full timeout
6:36.0,,,41-23,,J. Sullinger enters the game for T. Zeller
6:21.0,,,41-25,2,J. Sullinger makes 2-pt shot from 5 ft (assist by B. Bass)
6:01.0,L. James misses 2-pt shot from 5 ft,,41-25,,
6:00.0,,,41-25,,Defensive rebound by J. Sullinger
5:57.0,,,41-25,,Turnover by J. Sullinger (bad pass; steal by J. Smith)
5:50.0,L. James misses 3-pt shot from 23 ft,,41-25,,
5:49.0,,,41-25,,Defensive rebound by A. Bradley
