time,Phoenix,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. N. Pekovic,,,,Jump ball: A. Len vs. N. Pekovic
12:00.0,,,0-0,,Violation by Team (jump ball)
11:48.0,G. Green makes 2-pt shot from 15 ft (assist by E. Bledsoe),2,2-0,,
11:34.0,,,2-2,2,N. Pekovic makes 2-pt shot from 6 ft
11:15.0,P. Tucker makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,4-2,,
10:58.0,,,4-2,,N. Pekovic misses 2-pt shot from 6 ft (block by A. Len)
10:57.0,,,4-2,,Offensive rebound by Team
10:55.0,,,4-4,2,K. Martin makes 2-pt shot from 14 ft (assist by A. Wiggins)
10:37.0,Turnover by A. Len (bad pass; steal by A. Wiggins),,4-4,,
10:36.0,Personal foul by P. Tucker (drawn by A. Wiggins),,4-4,,
10:29.0,,,4-4,,Offensive foul by A. Wiggins
10:29.0,,,4-4,,Turnover by A. Wiggins (offensive foul)
10:15.0,M. Morris makes 2-pt shot from 11 ft,2,6-4,,
10:01.0,,,6-6,2,K. Martin makes 2-pt shot from 2 ft
9:51.0,G. Green misses 2-pt shot from 16 ft,,6-6,,
9:50.0,,,6-6,,Defensive rebound by K. Martin
9:39.0,,,6-6,,A. Bennett misses 2-pt shot from 8 ft
9:38.0,,,6-6,,Offensive rebound by A. Bennett
9:35.0,,,6-6,,A. Bennett misses 2-pt shot at rim (block by A. Len)
9:34.0,Defensive rebound by M. Morris,,6-6,,
9:18.0,M. Morris makes 3-pt shot from 25 ft (assist by G. Green),3,9-6,,
8:56.0,,,9-6,,Turnover by K. Martin (lost ball; steal by G. Green)
8:55.0,,,9-6,,Personal foul by R. Rubio (drawn by E. Bledsoe)
8:49.0,G. Green misses 2-pt shot from 21 ft,,9-6,,
8:48.0,,,9-6,,Defensive rebound by R. Rubio
8:40.0,,,9-6,,Shooting foul by G. Green (drawn by K. Martin)
8:40.0,,,9-7,1,K. Martin makes free throw 1 of 2
8:40.0,,,9-8,1,K. Martin makes free throw 2 of 2
8:26.0,P. Tucker misses 2-pt shot from 7 ft,,9-8,,
8:25.0,,,9-8,,Defensive rebound by R. Rubio
8:19.0,,,9-8,,R. Rubio misses 2-pt shot from 21 ft
8:17.0,,,9-8,,Offensive rebound by N. Pekovic
8:13.0,,,9-10,2,K. Martin makes 2-pt shot from 19 ft (assist by R. Rubio)
7:56.0,M. Morris misses 2-pt shot from 14 ft,,9-10,,
7:54.0,Offensive rebound by G. Green,,9-10,,
7:46.0,A. Len misses 2-pt shot from 3 ft,,9-10,,
7:45.0,,,9-10,,Defensive rebound by R. Rubio
7:40.0,,,9-12,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
7:21.0,Turnover by E. Bledsoe (bad pass),,9-12,,
7:11.0,,,9-14,2,A. Wiggins makes 2-pt shot from 13 ft (assist by R. Rubio)
7:03.0,P. Tucker misses 3-pt shot from 23 ft,,9-14,,
7:02.0,,,9-14,,Defensive rebound by A. Bennett
6:54.0,,,9-14,,R. Rubio misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by P. Tucker,,9-14,,
6:50.0,Phoenix full timeout,,9-14,,
6:41.0,,,9-14,,Personal foul by A. Bennett (drawn by M. Morris)
6:33.0,G. Green misses 2-pt shot from 19 ft,,9-14,,
6:32.0,,,9-14,,Defensive rebound by N. Pekovic
6:11.0,,,9-14,,N. Pekovic misses 2-pt shot from 4 ft
6:09.0,Defensive rebound by A. Len,,9-14,,
5:57.0,M. Morris makes 2-pt shot at rim (assist by G. Green),2,11-14,,
5:39.0,,,11-16,2,A. Wiggins makes 2-pt shot from 18 ft (assist by R. Rubio)
5:29.0,E. Bledsoe misses 2-pt shot from 20 ft,,11-16,,
5:28.0,,,11-16,,Defensive rebound by K. Martin
5:14.0,,,11-18,2,A. Bennett makes 2-pt shot from 20 ft (assist by R. Rubio)
4:59.0,G. Green misses 2-pt shot from 20 ft,,11-18,,
4:58.0,,,11-18,,Defensive rebound by A. Bennett
4:49.0,,,11-20,2,R. Rubio makes 2-pt shot from 13 ft
4:34.0,E. Bledsoe misses 2-pt shot from 2 ft (block by N. Pekovic),,11-20,,
4:33.0,Offensive rebound by A. Len,,11-20,,
4:32.0,A. Len makes 2-pt shot at rim,2,13-20,,
4:16.0,,,13-20,,A. Bennett misses 2-pt shot from 2 ft (block by A. Len)
4:15.0,,,13-20,,Offensive rebound by A. Bennett
4:14.0,,,13-20,,Shooting foul by P. Tucker (drawn by N. Pekovic)
4:14.0,,,13-21,1,N. Pekovic makes free throw 1 of 2
4:14.0,M. Morris enters the game for P. Tucker,,13-21,,
4:14.0,,,13-21,,Z. LaVine enters the game for R. Rubio
4:14.0,,,13-22,1,N. Pekovic makes free throw 2 of 2
3:58.0,A. Len misses 2-pt shot from 2 ft,,13-22,,
3:57.0,Offensive rebound by A. Len,,13-22,,
3:56.0,A. Len makes 2-pt shot from 2 ft,2,15-22,,
3:45.0,,,15-22,,K. Martin misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by E. Bledsoe,,15-22,,
3:39.0,Turnover by E. Bledsoe (lost ball; steal by Z. LaVine),,15-22,,
3:37.0,Personal take foul by E. Bledsoe (drawn by Z. LaVine),,15-22,,
3:37.0,,,15-22,,G. Dieng enters the game for N. Pekovic
3:37.0,A. Goodwin enters the game for G. Green,,15-22,,
3:37.0,B. Wright enters the game for A. Len,,15-22,,
3:30.0,,,15-22,,K. Martin misses 2-pt shot from 21 ft
3:27.0,Defensive rebound by E. Bledsoe,,15-22,,
3:24.0,Shooting foul by Z. LaVine (drawn by E. Bledsoe),,15-22,,
3:24.0,,,15-22,,Minnesota full timeout
3:24.0,,,15-22,,A. Payne enters the game for A. Bennett
3:24.0,,,15-22,,S. Muhammad enters the game for K. Martin
3:24.0,E. Bledsoe makes free throw 1 of 2,1,16-22,,
3:24.0,E. Bledsoe misses free throw 2 of 2,,16-22,,
3:24.0,,,16-22,,Defensive rebound by A. Payne
3:01.0,,,16-22,,A. Payne misses 2-pt shot from 6 ft
3:00.0,Defensive rebound by B. Wright,,16-22,,
2:44.0,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe),2,18-22,,
