time,Miami,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. T. Mozgov (N. Cole gains possession),,,,Jump ball: C. Bosh vs. T. Mozgov (N. Cole gains possession)
11:37.0,J. Hamilton makes 2-pt shot from 1 ft (assist by D. Wade),2,2-0,,
11:22.0,,,2-0,,W. Chandler misses 2-pt shot from 3 ft
11:20.0,,,2-0,,Offensive rebound by T. Mozgov
11:20.0,,,2-2,2,T. Mozgov makes 2-pt shot from 1 ft
11:04.0,C. Bosh misses 2-pt shot from 19 ft,,2-2,,
11:03.0,,,2-2,,Defensive rebound by W. Chandler
10:47.0,,,2-5,3,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson)
10:35.0,Turnover by D. Wade (bad pass),,2-5,,
10:26.0,,,2-5,,Shooting foul by C. Bosh (drawn by J. Hickson)
10:26.0,,,2-5,,J. Hickson misses free throw 1 of 2
10:26.0,,,2-5,,Offensive rebound by Team
10:26.0,,,2-5,,J. Hickson misses free throw 2 of 2
10:25.0,Defensive rebound by J. Hamilton,,2-5,,
10:15.0,D. Wade misses 2-pt shot from 20 ft,,2-5,,
10:13.0,,,2-5,,Defensive rebound by W. Chandler
9:52.0,,,2-8,3,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson)
9:32.0,J. Hamilton makes 2-pt shot from 1 ft (assist by D. Wade),2,4-8,,
9:14.0,,,4-10,2,A. Afflalo makes 2-pt shot from 18 ft (assist by T. Lawson)
8:47.0,N. Cole misses 3-pt shot from 25 ft,,4-10,,
8:45.0,Offensive rebound by J. Hamilton,,4-10,,
8:36.0,N. Cole misses 2-pt shot from 1 ft,,4-10,,
8:34.0,,,4-10,,Defensive rebound by T. Lawson
8:29.0,,,4-10,,T. Lawson misses 2-pt shot from 16 ft
8:27.0,,,4-10,,Offensive rebound by T. Mozgov
8:19.0,,,4-12,2,J. Hickson makes 2-pt shot from 2 ft (assist by T. Lawson)
8:19.0,Miami full timeout,,4-12,,
8:02.0,D. Wade misses 2-pt shot from 2 ft (block by A. Afflalo),,4-12,,
8:00.0,Offensive rebound by L. Deng,,4-12,,
7:56.0,L. Deng misses 2-pt shot from 1 ft,,4-12,,
7:55.0,,,4-12,,Defensive rebound by T. Mozgov
7:45.0,,,4-14,2,A. Afflalo makes 2-pt shot from 18 ft
7:23.0,C. Bosh misses 2-pt shot from 15 ft,,4-14,,
7:22.0,,,4-14,,Defensive rebound by A. Afflalo
