time,New York,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. S. Dalembert,,,,Jump ball: T. Black vs. S. Dalembert
11:42.0,,,0-0,,J. Harden misses 2-pt shot from 17 ft
11:41.0,Defensive rebound by S. Dalembert,,0-0,,
11:30.0,Turnover by Q. Acy (bad pass; steal by D. Motiejunas),,0-0,,
11:16.0,,,0-2,2,T. Black makes 2-pt shot from 1 ft (assist by J. Harden)
10:54.0,Turnover by C. Anthony (dbl dribble),,0-2,,
10:43.0,,,0-2,,T. Black misses 2-pt shot from 1 ft (block by S. Dalembert)
10:42.0,Defensive rebound by C. Anthony,,0-2,,
10:28.0,Q. Acy misses 2-pt shot from 20 ft,,0-2,,
10:27.0,,,0-2,,Defensive rebound by Team
10:16.0,Personal foul by I. Shumpert (drawn by J. Harden),,0-2,,
10:05.0,,,0-2,,D. Motiejunas misses 2-pt shot from 6 ft
10:04.0,Defensive rebound by C. Anthony,,0-2,,
9:50.0,C. Anthony misses 3-pt shot from 24 ft,,0-2,,
9:49.0,,,0-2,,Defensive rebound by D. Motiejunas
9:36.0,,,0-4,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by T. Ariza)
9:20.0,J. Calderon makes 2-pt shot from 20 ft,2,2-4,,
9:20.0,Loose ball foul by Q. Acy (drawn by D. Motiejunas),,2-4,,
9:14.0,,,2-4,,Shooting foul by S. Dalembert (drawn by I. Canaan)
9:14.0,,,2-5,1,I. Canaan makes free throw 1 of 2
9:14.0,,,2-6,1,I. Canaan makes free throw 2 of 2
9:00.0,C. Anthony makes 2-pt shot from 17 ft (assist by Q. Acy),2,4-6,,
8:49.0,,,4-6,,J. Harden misses 3-pt shot from 25 ft
8:48.0,,,4-6,,Offensive rebound by T. Black
8:36.0,,,4-9,3,J. Harden makes 3-pt shot from 24 ft (assist by I. Canaan)
8:18.0,S. Dalembert makes 2-pt shot from 1 ft (assist by J. Calderon),2,6-9,,
7:56.0,,,6-11,2,T. Black makes 2-pt shot from 2 ft (assist by J. Harden)
7:39.0,I. Shumpert makes 2-pt shot from 20 ft,2,8-11,,
7:29.0,,,8-11,,Shooting foul by S. Dalembert (drawn by T. Black)
7:29.0,,,8-11,,T. Black misses free throw 1 of 2
7:29.0,,,8-11,,Offensive rebound by Team
7:29.0,A. Stoudemire enters the game for S. Dalembert,,8-11,,
7:29.0,,,8-12,1,T. Black makes free throw 2 of 2
7:17.0,I. Shumpert misses 2-pt shot from 2 ft (block by D. Motiejunas),,8-12,,
7:16.0,,,8-12,,Defensive rebound by T. Black
7:08.0,,,8-12,,D. Motiejunas misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by C. Anthony,,8-12,,
6:55.0,J. Calderon makes 3-pt shot from 25 ft (assist by Q. Acy),3,11-12,,
6:29.0,,,11-12,,T. Ariza misses 2-pt shot from 1 ft (block by A. Stoudemire)
6:27.0,Defensive rebound by A. Stoudemire,,11-12,,
6:20.0,Q. Acy misses 2-pt shot from 1 ft,,11-12,,
6:19.0,Offensive rebound by A. Stoudemire,,11-12,,
6:16.0,A. Stoudemire misses 2-pt shot from 3 ft,,11-12,,
6:14.0,,,11-12,,Defensive rebound by D. Motiejunas
6:01.0,,,11-15,3,I. Canaan makes 3-pt shot from 24 ft (assist by J. Harden)
5:52.0,New York full timeout,,11-15,,
5:52.0,,,11-15,,K. Papanikolaou enters the game for D. Motiejunas
5:52.0,,,11-15,,J. Dorsey enters the game for T. Black
5:45.0,Turnover by A. Stoudemire (bad pass; steal by J. Dorsey),,11-15,,
5:34.0,,,11-18,3,J. Harden makes 3-pt shot from 24 ft
5:19.0,C. Anthony makes 2-pt shot from 1 ft,2,13-18,,
4:56.0,,,13-20,2,I. Canaan makes 2-pt shot from 19 ft
