time,Cleveland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Mozgov (C. Paul gains possession),,,,Jump ball: D. Jordan vs. T. Mozgov (C. Paul gains possession)
11:43.0,,,0-0,,J. Redick misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by Team,,0-0,,
11:28.0,J. Smith makes 2-pt shot from 19 ft (assist by K. Irving),2,2-0,,
11:14.0,,,2-3,3,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin)
10:55.0,J. Smith misses 2-pt shot from 15 ft,,2-3,,
10:54.0,,,2-3,,Defensive rebound by C. Paul
10:42.0,,,2-5,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
10:18.0,J. Smith misses 3-pt shot from 25 ft,,2-5,,
10:17.0,Offensive rebound by T. Thompson,,2-5,,
10:17.0,T. Thompson makes 2-pt shot from 1 ft,2,4-5,,
10:17.0,Shooting foul by D. Jordan (drawn by T. Thompson),,4-5,,
10:17.0,T. Thompson makes free throw 1 of 1,1,5-5,,
10:00.0,,,5-7,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
9:40.0,Turnover by T. Mozgov (3 sec),,5-7,,
9:33.0,,,5-7,,C. Paul misses 2-pt shot from 15 ft
9:31.0,,,5-7,,Offensive rebound by D. Jordan
9:29.0,,,5-9,2,D. Jordan makes 2-pt shot at rim
9:18.0,Shooting foul by C. Paul (drawn by K. Irving),,5-9,,
9:18.0,K. Irving makes free throw 1 of 2,1,6-9,,
9:18.0,K. Irving makes free throw 2 of 2,1,7-9,,
9:07.0,Def 3 sec tech foul by T. Mozgov,,7-9,,
9:07.0,,,7-10,1,C. Paul makes technical free throw
8:56.0,,,7-10,,B. Griffin misses 2-pt shot from 7 ft
8:51.0,,,7-10,,Offensive rebound by D. Jordan
8:51.0,,,7-12,2,D. Jordan makes 2-pt shot at rim
8:37.0,L. James misses 3-pt shot from 26 ft,,7-12,,
8:36.0,,,7-12,,Defensive rebound by D. Jordan
8:34.0,,,7-12,,Turnover by D. Jordan (bad pass; steal by J. Smith)
8:27.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,10-12,,
8:19.0,,,10-12,,M. Barnes misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by T. Thompson,,10-12,,
8:11.0,K. Irving makes 2-pt shot from 1 ft,2,12-12,,
7:59.0,,,12-15,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
7:43.0,Turnover by T. Thompson (bad pass; steal by C. Paul),,12-15,,
7:43.0,Personal foul by T. Thompson (drawn by C. Paul),,12-15,,
7:30.0,,,12-15,,M. Barnes misses 2-pt shot from 2 ft (block by T. Thompson)
7:27.0,Defensive rebound by L. James,,12-15,,
7:21.0,T. Thompson misses 2-pt shot from 2 ft (block by D. Jordan),,12-15,,
7:19.0,,,12-15,,Defensive rebound by C. Paul
7:14.0,,,12-15,,C. Paul misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by K. Irving,,12-15,,
7:06.0,K. Irving misses 3-pt shot from 24 ft,,12-15,,
7:03.0,,,12-15,,Defensive rebound by D. Jordan
6:52.0,,,12-15,,J. Redick misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by L. James,,12-15,,
6:48.0,J. Smith makes 2-pt shot at rim (assist by L. James),2,14-15,,
6:40.0,Personal foul by J. Smith (drawn by J. Redick),,14-15,,
6:33.0,,,14-15,,B. Griffin misses 2-pt shot from 14 ft
6:31.0,Defensive rebound by L. James,,14-15,,
6:25.0,L. James makes 2-pt shot from 1 ft,2,16-15,,
6:14.0,,,16-15,,Turnover by J. Redick (bad pass)
5:55.0,J. Smith makes 2-pt shot from 16 ft,2,18-15,,
5:40.0,,,18-15,,J. Redick misses 2-pt shot from 21 ft
5:39.0,,,18-15,,Offensive rebound by Team
5:39.0,Loose ball foul by T. Mozgov (drawn by D. Jordan),,18-15,,
5:39.0,,,18-15,,LA Clippers full timeout
5:39.0,M. Miller enters the game for L. James,,18-15,,
5:24.0,,,18-17,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:06.0,T. Mozgov misses 2-pt shot from 1 ft,,18-17,,
5:05.0,,,18-17,,Defensive rebound by D. Jordan
4:56.0,,,18-17,,C. Paul misses 2-pt shot from 12 ft
4:54.0,,,18-17,,Offensive rebound by B. Griffin
4:54.0,,,18-19,2,B. Griffin makes 2-pt shot at rim
4:29.0,M. Miller misses 2-pt shot from 11 ft,,18-19,,
4:27.0,,,18-19,,Defensive rebound by D. Jordan
4:13.0,,,18-19,,Turnover by C. Paul (bad pass; steal by K. Irving)
4:08.0,K. Irving makes 2-pt shot at rim,2,20-19,,
4:01.0,,,20-19,,C. Paul misses 2-pt shot from 14 ft
3:58.0,,,20-19,,Offensive rebound by D. Jordan
3:58.0,,,20-21,2,D. Jordan makes 2-pt shot from 1 ft
3:41.0,T. Mozgov makes 2-pt shot from 2 ft (assist by K. Irving),2,22-21,,
3:27.0,,,22-24,3,M. Barnes makes 3-pt shot from 24 ft (assist by C. Paul)
3:06.0,T. Mozgov makes 2-pt shot from 2 ft (assist by M. Miller),2,24-24,,
2:50.0,,,24-24,,M. Barnes misses 3-pt shot from 23 ft
2:49.0,Defensive rebound by T. Mozgov,,24-24,,
2:39.0,Turnover by K. Irving (bad pass; steal by J. Redick),,24-24,,
2:33.0,,,24-26,2,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul)
2:24.0,Cleveland full timeout,,24-26,,
2:24.0,,,24-26,,J. Crawford enters the game for M. Barnes
2:24.0,,,24-26,,A. Rivers enters the game for J. Redick
2:24.0,,,24-26,,S. Hawes enters the game for D. Jordan
2:24.0,M. Dellavedova enters the game for K. Irving,,24-26,,
2:24.0,L. James enters the game for J. Smith,,24-26,,
2:15.0,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,26-26,,
1:54.0,,,26-28,2,B. Griffin makes 2-pt shot from 11 ft
1:36.0,Turnover by L. James (bad pass; steal by S. Hawes),,26-28,,
1:31.0,,,26-30,2,B. Griffin makes 2-pt shot at rim (assist by A. Rivers)
1:09.0,M. Dellavedova misses 2-pt shot from 5 ft,,26-30,,
1:08.0,Offensive rebound by M. Dellavedova,,26-30,,
1:03.0,M. Dellavedova makes 2-pt shot from 1 ft,2,28-30,,
0:52.0,,,28-33,3,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul)
0:35.0,,,28-33,,Def 3 sec tech foul by S. Hawes
0:35.0,L. James misses technical free throw,,28-33,,
0:35.0,Offensive rebound by Team,,28-33,,
0:35.0,S. Marion enters the game for T. Thompson,,28-33,,
0:35.0,,,28-33,,D. Jones enters the game for C. Paul
0:21.0,L. James misses 3-pt shot from 25 ft,,28-33,,
0:19.0,,,28-33,,Defensive rebound by B. Griffin
0:05.0,,,28-33,,J. Crawford misses 3-pt shot from 26 ft
0:02.0,,,28-33,,Offensive rebound by S. Hawes
0:01.0,,,28-33,,S. Hawes misses 2-pt shot from 13 ft
0:00.0,,,28-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by D. Jones (drawn by L. James),,28-33,,
11:47.0,L. James makes free throw 1 of 2,1,29-33,,
11:47.0,L. James misses free throw 2 of 2,,29-33,,
11:46.0,,,29-33,,Defensive rebound by D. Jordan
11:23.0,,,29-35,2,S. Hawes makes 2-pt shot from 2 ft (assist by J. Crawford)
11:05.0,L. James makes 2-pt shot from 21 ft,2,31-35,,
10:44.0,,,31-37,2,S. Hawes makes 2-pt shot from 5 ft (assist by J. Crawford)
10:33.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,33-37,,
10:19.0,,,33-37,,S. Hawes misses 3-pt shot from 23 ft
10:17.0,Defensive rebound by T. Thompson,,33-37,,
10:09.0,M. Miller makes 3-pt shot from 26 ft (assist by L. James),3,36-37,,
9:51.0,,,36-37,,Shooting foul by S. Marion (drawn by J. Crawford)
9:51.0,,,36-38,1,J. Crawford makes free throw 1 of 2
9:51.0,K. Irving enters the game for M. Dellavedova,,36-38,,
