time,Milwaukee,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. L. Sanders (J. Smith gains possession),,,,Jump ball: A. Drummond vs. L. Sanders (J. Smith gains possession)
11:43.0,,,0-0,,Shooting foul by L. Sanders (drawn by J. Smith)
11:43.0,,,0-1,1,J. Smith makes free throw 1 of 2
11:43.0,,,0-2,1,J. Smith makes free throw 2 of 2
11:30.0,J. Parker makes 2-pt shot at rim (assist by B. Knight),2,2-2,,
11:10.0,,,2-5,3,B. Jennings makes 3-pt shot from 25 ft (assist by G. Monroe)
10:51.0,K. Marshall misses 3-pt shot from 25 ft,,2-5,,
10:50.0,,,2-5,,Defensive rebound by A. Drummond
10:39.0,,,2-5,,J. Smith misses 2-pt shot from 5 ft
10:38.0,,,2-5,,Offensive rebound by A. Drummond
10:36.0,,,2-7,2,A. Drummond makes 2-pt shot at rim
10:21.0,L. Sanders makes 2-pt shot at rim (assist by B. Knight),2,4-7,,
10:03.0,,,4-10,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by B. Jennings)
9:50.0,J. Parker misses 3-pt shot from 24 ft,,4-10,,
9:50.0,,,4-10,,Defensive rebound by K. Caldwell-Pope
9:35.0,,,4-10,,B. Jennings misses 3-pt shot from 22 ft
9:34.0,,,4-10,,Offensive rebound by A. Drummond
9:30.0,,,4-10,,Shooting foul by K. Marshall (drawn by J. Smith)
9:30.0,,,4-11,1,J. Smith makes free throw 1 of 2
9:30.0,,,4-11,,J. Smith misses free throw 2 of 2
9:29.0,Defensive rebound by L. Sanders,,4-11,,
9:12.0,J. Parker makes 2-pt shot from 16 ft (assist by B. Knight),2,6-11,,
8:51.0,,,6-11,,J. Smith misses 2-pt shot from 4 ft
8:50.0,,,6-11,,Offensive rebound by A. Drummond
8:49.0,,,6-13,2,A. Drummond makes 2-pt shot at rim
8:44.0,,,6-13,,Personal foul by G. Monroe (drawn by E. Ilyasova)
8:29.0,E. Ilyasova misses 3-pt shot from 26 ft,,6-13,,
8:28.0,,,6-13,,Defensive rebound by Team
8:09.0,,,6-13,,K. Caldwell-Pope misses 2-pt shot from 19 ft
8:08.0,Defensive rebound by B. Knight,,6-13,,
8:06.0,Turnover by B. Knight (bad pass; steal by J. Smith),,6-13,,
8:00.0,,,6-13,,B. Jennings misses 2-pt shot from 11 ft (block by L. Sanders)
7:56.0,Defensive rebound by L. Sanders,,6-13,,
7:54.0,Turnover by L. Sanders (lost ball; steal by B. Jennings),,6-13,,
7:51.0,,,6-13,,A. Drummond misses 2-pt shot at rim
7:49.0,Defensive rebound by J. Parker,,6-13,,
7:49.0,Shooting foul by A. Drummond (drawn by L. Sanders),,6-13,,
7:49.0,L. Sanders misses free throw 1 of 2,,6-13,,
7:49.0,Offensive rebound by Team,,6-13,,
7:49.0,L. Sanders makes free throw 2 of 2,1,7-13,,
7:28.0,,,7-13,,K. Caldwell-Pope misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by E. Ilyasova,,7-13,,
7:27.0,,,7-13,,Loose ball foul by A. Drummond (drawn by J. Parker)
7:27.0,,,7-13,,C. Butler enters the game for A. Drummond
7:17.0,,,7-13,,Personal foul by B. Jennings (drawn by K. Marshall)
7:10.0,E. Ilyasova makes 2-pt shot from 18 ft (assist by K. Marshall),2,9-13,,
6:43.0,,,9-15,2,G. Monroe makes 2-pt shot at rim (assist by J. Smith)
6:34.0,J. Parker makes 2-pt shot from 18 ft,2,11-15,,
6:15.0,,,11-15,,C. Butler misses 2-pt shot from 19 ft
6:14.0,,,11-15,,Offensive rebound by J. Smith
6:11.0,,,11-15,,J. Smith misses 2-pt shot from 6 ft
6:10.0,,,11-15,,Offensive rebound by G. Monroe
6:09.0,,,11-15,,G. Monroe misses 2-pt shot at rim (block by L. Sanders)
6:09.0,,,11-15,,Offensive rebound by Team
6:00.0,,,11-17,2,K. Caldwell-Pope makes 2-pt shot from 5 ft
5:49.0,B. Knight misses 2-pt shot from 21 ft,,11-17,,
5:48.0,,,11-17,,Defensive rebound by B. Jennings
5:39.0,,,11-19,2,B. Jennings makes 2-pt shot at rim (assist by G. Monroe)
5:38.0,Milwaukee full timeout,,11-19,,
5:25.0,Shooting foul by G. Monroe (drawn by J. Parker),,11-19,,
5:25.0,J. Parker misses free throw 1 of 2,,11-19,,
5:25.0,Offensive rebound by Team,,11-19,,
5:25.0,,,11-19,,J. Anthony enters the game for G. Monroe
5:25.0,J. Parker makes free throw 2 of 2,1,12-19,,
5:10.0,,,12-22,3,C. Butler makes 3-pt shot from 23 ft (assist by J. Smith)
4:48.0,J. Parker makes 2-pt shot at rim (assist by L. Sanders),2,14-22,,
4:30.0,,,14-24,2,J. Smith makes 2-pt shot at rim
4:14.0,L. Sanders misses 2-pt shot from 16 ft,,14-24,,
4:13.0,,,14-24,,Defensive rebound by B. Jennings
4:05.0,O. Mayo enters the game for K. Marshall,,14-24,,
4:05.0,J. Henson enters the game for L. Sanders,,14-24,,
3:57.0,,,14-26,2,C. Butler makes 2-pt shot from 16 ft
3:41.0,E. Ilyasova misses 2-pt shot from 17 ft,,14-26,,
3:40.0,,,14-26,,Defensive rebound by J. Smith
3:35.0,,,14-26,,Offensive charge foul by J. Smith
3:35.0,,,14-26,,Turnover by J. Smith (offensive foul)
3:35.0,G. Antetokounmpo enters the game for E. Ilyasova,,14-26,,
3:10.0,J. Henson misses 2-pt shot from 10 ft,,14-26,,
3:07.0,,,14-26,,Defensive rebound by K. Caldwell-Pope
3:07.0,,,14-26,,Shooting foul by J. Henson (drawn by B. Jennings)
3:07.0,,,14-26,,B. Jennings misses free throw 1 of 2
3:07.0,,,14-26,,Offensive rebound by Team
3:07.0,,,14-27,1,B. Jennings makes free throw 2 of 2
2:52.0,Shooting foul by J. Anthony (drawn by J. Parker),,14-27,,
2:52.0,,,14-27,,Detroit full timeout
2:52.0,,,14-27,,K. Singler enters the game for K. Caldwell-Pope
2:52.0,J. Parker makes free throw 1 of 2,1,15-27,,
