time,Houston,pts.away,score,pts.home,Brooklyn
2:30.0,,,109-93,2,S. Karasev makes 2-pt shot from 1 ft (assist by J. Jack)
2:24.0,,,109-93,,Personal foul by B. Bogdanovic (drawn by C. Brewer)
2:24.0,Houston full timeout,,109-93,,
2:23.0,,,109-93,,J. Jordan enters the game for J. Johnson
2:23.0,,,109-93,,D. Morris enters the game for J. Jack
2:23.0,,,109-93,,M. Teletovic enters the game for C. Jefferson
2:07.0,D. Motiejunas misses 2-pt shot from 3 ft (block by M. Teletovic),,109-93,,
2:05.0,,,109-93,,Defensive rebound by M. Teletovic
2:02.0,,,109-93,,Turnover by M. Teletovic (lost ball; steal by C. Brewer)
1:59.0,C. Brewer makes 2-pt shot at rim,2,111-93,,
1:44.0,,,111-93,,S. Karasev misses 2-pt shot from 3 ft
1:43.0,,,111-93,,Offensive rebound by Team
1:34.0,,,111-95,2,M. Teletovic makes 2-pt shot from 16 ft
1:19.0,A. Shved misses 2-pt shot from 10 ft,,111-95,,
1:18.0,,,111-95,,Defensive rebound by J. Jordan
1:13.0,,,111-95,,Shooting foul by K. Papanikolaou (drawn by B. Bogdanovic)
1:13.0,,,111-96,1,B. Bogdanovic makes free throw 1 of 2
1:13.0,,,111-97,1,B. Bogdanovic makes free throw 2 of 2
0:58.0,A. Shved misses 3-pt shot from 27 ft,,111-97,,
0:57.0,Offensive rebound by D. Motiejunas,,111-97,,
0:56.0,D. Motiejunas makes 2-pt shot from 1 ft,2,113-97,,
0:48.0,,,113-99,2,J. Jordan makes 2-pt shot at rim (assist by S. Karasev)
0:36.0,K. Papanikolaou misses 3-pt shot from 23 ft,,113-99,,
0:35.0,,,113-99,,Defensive rebound by S. Karasev
0:24.0,,,113-99,,B. Bogdanovic misses 2-pt shot from 4 ft
0:23.0,,,113-99,,Offensive rebound by B. Bogdanovic
0:22.0,Jump ball: B. Bogdanovic vs. D. Motiejunas,,,,Jump ball: B. Bogdanovic vs. D. Motiejunas
0:14.0,,,113-99,,D. Morris misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by J. Dorsey,,113-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
