time,Houston,pts.away,score,pts.home,Brooklyn
6:52.0,,,23-14,,B. Bogdanovic misses 2-pt shot from 7 ft
6:51.0,,,23-14,,Offensive rebound by B. Lopez
6:39.0,,,23-14,,J. Jack misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by P. Beverley,,23-14,,
6:26.0,P. Beverley misses 3-pt shot from 23 ft,,23-14,,
6:25.0,Offensive rebound by P. Beverley,,23-14,,
6:21.0,D. Motiejunas misses 2-pt shot from 2 ft (block by B. Lopez),,23-14,,
6:19.0,,,23-14,,Defensive rebound by M. Plumlee
6:17.0,,,23-16,2,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson)
6:02.0,D. Howard misses 2-pt shot from 2 ft,,23-16,,
6:01.0,Offensive rebound by D. Motiejunas,,23-16,,
6:00.0,D. Motiejunas makes 2-pt shot at rim,2,25-16,,
5:54.0,,,25-16,,Turnover by J. Jack (bad pass)
5:54.0,,,25-16,,Brooklyn full timeout
5:54.0,J. Smith enters the game for D. Motiejunas,,25-16,,
5:43.0,P. Beverley makes 2-pt shot from 4 ft,2,27-16,,
5:19.0,Personal foul by J. Smith (drawn by M. Plumlee),,27-16,,
5:19.0,,,27-16,,M. Teletovic enters the game for M. Plumlee
5:10.0,,,27-16,,J. Jack misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by J. Smith,,27-16,,
5:03.0,Turnover by J. Smith (bad pass; steal by B. Bogdanovic),,27-16,,
4:59.0,,,27-18,2,B. Bogdanovic makes 2-pt shot at rim (assist by J. Johnson)
4:59.0,,,27-18,,Shooting foul by P. Beverley (drawn by B. Bogdanovic)
4:59.0,,,27-19,1,B. Bogdanovic makes free throw 1 of 1
4:36.0,J. Harden makes 2-pt shot from 18 ft,2,29-19,,
4:25.0,,,29-19,,A. Anderson enters the game for B. Bogdanovic
4:25.0,J. Terry enters the game for P. Beverley,,29-19,,
4:15.0,,,29-19,,B. Lopez misses 2-pt shot from 19 ft
4:14.0,Defensive rebound by D. Howard,,29-19,,
3:52.0,J. Terry misses 3-pt shot from 23 ft,,29-19,,
3:51.0,,,29-19,,Defensive rebound by J. Johnson
3:41.0,,,29-19,,Turnover by J. Johnson (bad pass; steal by J. Harden)
3:36.0,J. Harden makes 2-pt shot from 2 ft,2,31-19,,
3:20.0,,,31-21,2,J. Jack makes 2-pt shot at rim
3:03.0,T. Ariza misses 3-pt shot from 24 ft,,31-21,,
3:01.0,,,31-21,,Defensive rebound by M. Teletovic
2:44.0,,,31-21,,M. Teletovic misses 2-pt shot from 15 ft
2:43.0,Defensive rebound by T. Ariza,,31-21,,
2:23.0,Turnover by J. Terry (bad pass; steal by B. Lopez),,31-21,,
2:13.0,,,31-24,3,A. Anderson makes 3-pt shot from 23 ft (assist by J. Jack)
2:11.0,Houston full timeout,,31-24,,
2:11.0,D. Motiejunas enters the game for T. Ariza,,31-24,,
2:11.0,C. Brewer enters the game for D. Howard,,31-24,,
2:03.0,Turnover by J. Terry (bad pass),,31-24,,
1:52.0,,,31-26,2,J. Jack makes 2-pt shot from 5 ft
1:38.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Harden),3,34-26,,
1:21.0,,,34-26,,Turnover by B. Lopez (bad pass; steal by C. Brewer)
1:17.0,J. Smith misses 2-pt shot at rim (block by J. Jack),,34-26,,
1:16.0,Offensive rebound by J. Smith,,34-26,,
1:15.0,J. Terry misses 3-pt shot from 22 ft,,34-26,,
1:13.0,,,34-26,,Defensive rebound by A. Anderson
0:59.0,,,34-28,2,J. Jack makes 2-pt shot from 6 ft
0:47.0,J. Harden misses 3-pt shot from 24 ft,,34-28,,
0:45.0,,,34-28,,Defensive rebound by J. Johnson
0:41.0,,,34-28,,Turnover by M. Teletovic (lost ball; steal by J. Smith)
0:33.0,C. Brewer misses 3-pt shot from 23 ft,,34-28,,
0:33.0,,,34-28,,Defensive rebound by Team
0:33.0,Loose ball foul by D. Motiejunas (drawn by M. Teletovic),,34-28,,
0:12.0,,,34-28,,B. Lopez misses 2-pt shot from 20 ft
0:11.0,Defensive rebound by J. Terry,,34-28,,
0:01.0,J. Harden makes 2-pt shot at rim,2,36-28,,
0:01.0,Shooting foul by B. Lopez (drawn by J. Harden),,36-28,,
0:01.0,,,36-28,,B. Bogdanovic enters the game for J. Johnson
0:01.0,,,36-28,,D. Morris enters the game for J. Jack
0:01.0,J. Harden makes free throw 1 of 1,1,37-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,37-28,,A. Anderson misses 2-pt shot from 11 ft
11:40.0,,,37-28,,Offensive rebound by B. Lopez
11:38.0,,,37-30,2,B. Lopez makes 2-pt shot from 1 ft
11:22.0,T. Ariza makes 3-pt shot from 23 ft (assist by C. Brewer),3,40-30,,
11:09.0,,,40-30,,D. Morris misses 2-pt shot from 21 ft
11:08.0,Defensive rebound by T. Ariza,,40-30,,
10:53.0,J. Smith misses 2-pt shot from 8 ft,,40-30,,
10:52.0,Offensive rebound by J. Smith,,40-30,,
10:50.0,J. Smith makes 2-pt shot from 5 ft,2,42-30,,
10:40.0,,,42-30,,Turnover by D. Morris (bad pass)
10:40.0,,,42-30,,C. Jefferson enters the game for M. Teletovic
10:30.0,Turnover by C. Brewer (bad pass),,42-30,,
10:19.0,,,42-32,2,B. Lopez makes 2-pt shot from 20 ft (assist by D. Morris)
10:06.0,Turnover by D. Howard (traveling),,42-32,,
9:51.0,,,42-32,,Turnover by A. Anderson (bad pass; steal by T. Ariza)
9:46.0,D. Howard makes 2-pt shot at rim (assist by C. Brewer),2,44-32,,
9:40.0,,,44-32,,Brooklyn full timeout
9:31.0,,,44-35,3,C. Jefferson makes 3-pt shot from 23 ft (assist by D. Morris)
9:10.0,J. Smith misses 2-pt shot from 2 ft,,44-35,,
9:09.0,Offensive rebound by D. Howard,,44-35,,
9:08.0,D. Howard misses 2-pt shot at rim,,44-35,,
9:07.0,,,44-35,,Defensive rebound by Team
