time,LA Lakers,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. T. Zeller (C. Boozer gains possession),,,,Jump ball: J. Hill vs. T. Zeller (C. Boozer gains possession)
11:41.0,J. Hill makes 2-pt shot from 3 ft (assist by C. Boozer),2,2-0,,
11:41.0,Shooting foul by T. Zeller (drawn by J. Hill),,2-0,,
11:41.0,J. Hill makes free throw 1 of 1,1,3-0,,
11:26.0,,,3-2,2,A. Bradley makes 2-pt shot from 20 ft
11:10.0,C. Boozer misses 2-pt shot from 14 ft,,3-2,,
11:09.0,,,3-2,,Defensive rebound by J. Green
11:05.0,Shooting block foul by K. Bryant (drawn by J. Green),,3-2,,
11:05.0,,,3-2,,J. Green misses free throw 1 of 2
11:05.0,,,3-2,,Offensive rebound by Team
11:05.0,,,3-2,,J. Green misses free throw 2 of 2
11:04.0,Defensive rebound by W. Johnson,,3-2,,
11:00.0,Turnover by J. Lin (bad pass),,3-2,,
10:45.0,,,3-4,2,J. Green makes 2-pt shot from 3 ft
10:30.0,Turnover by K. Bryant (bad pass),,3-4,,
10:22.0,,,3-4,,R. Rondo misses 2-pt shot from 18 ft
10:21.0,Defensive rebound by C. Boozer,,3-4,,
10:12.0,C. Boozer misses 2-pt shot from 15 ft,,3-4,,
10:11.0,,,3-4,,Defensive rebound by T. Zeller
10:06.0,Personal foul by C. Boozer (drawn by J. Sullinger),,3-4,,
10:00.0,,,3-6,2,A. Bradley makes 2-pt shot from 20 ft (assist by T. Zeller)
9:48.0,K. Bryant misses 2-pt shot from 13 ft,,3-6,,
9:47.0,,,3-6,,Defensive rebound by T. Zeller
9:39.0,,,3-9,3,J. Sullinger makes 3-pt shot from 24 ft (assist by R. Rondo)
9:28.0,,,3-9,,Personal foul by A. Bradley (drawn by K. Bryant)
9:19.0,J. Hill makes 2-pt shot from 1 ft (assist by K. Bryant),2,5-9,,
9:09.0,,,5-9,,R. Rondo misses 2-pt shot at rim
9:08.0,Defensive rebound by C. Boozer,,5-9,,
9:05.0,,,5-9,,Violation by J. Green (kicked ball)
8:52.0,,,5-9,,Personal foul by R. Rondo (drawn by J. Lin)
8:39.0,K. Bryant misses 2-pt shot from 16 ft,,5-9,,
8:38.0,,,5-9,,Defensive rebound by J. Sullinger
8:30.0,,,5-11,2,R. Rondo makes 2-pt shot from 1 ft
8:15.0,Offensive charge foul by C. Boozer,,5-11,,
8:15.0,Turnover by C. Boozer (offensive foul),,5-11,,
8:15.0,E. Davis enters the game for C. Boozer,,5-11,,
8:04.0,,,5-13,2,T. Zeller makes 2-pt shot at rim (assist by J. Green)
7:35.0,K. Bryant makes 2-pt shot from 8 ft,2,7-13,,
7:21.0,,,7-15,2,T. Zeller makes 2-pt shot from 4 ft (assist by R. Rondo)
7:09.0,J. Hill makes 2-pt shot from 19 ft (assist by J. Lin),2,9-15,,
6:59.0,,,9-15,,A. Bradley misses 2-pt shot from 1 ft (block by J. Hill)
6:58.0,Defensive rebound by J. Hill,,9-15,,
6:45.0,K. Bryant misses 2-pt shot from 20 ft,,9-15,,
6:44.0,,,9-15,,Defensive rebound by J. Sullinger
6:36.0,,,9-17,2,R. Rondo makes 2-pt shot from 19 ft
6:17.0,W. Johnson misses 2-pt shot from 13 ft,,9-17,,
6:16.0,,,9-17,,Defensive rebound by J. Sullinger
6:07.0,,,9-17,,R. Rondo misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by W. Johnson,,9-17,,
5:55.0,E. Davis misses 2-pt shot from 4 ft (block by T. Zeller),,9-17,,
5:54.0,,,9-17,,Defensive rebound by J. Green
5:48.0,,,9-19,2,T. Zeller makes 2-pt shot at rim (assist by R. Rondo)
5:39.0,LA Lakers full timeout,,9-19,,
5:39.0,,,9-19,,K. Olynyk enters the game for J. Sullinger
5:39.0,,,9-19,,E. Turner enters the game for A. Bradley
5:39.0,N. Young enters the game for W. Johnson,,9-19,,
5:23.0,K. Bryant misses 2-pt shot from 14 ft,,9-19,,
5:22.0,,,9-19,,Defensive rebound by T. Zeller
5:08.0,,,9-21,2,J. Green makes 2-pt shot from 4 ft (assist by R. Rondo)
4:57.0,J. Lin misses 2-pt shot from 13 ft,,9-21,,
4:56.0,,,9-21,,Defensive rebound by R. Rondo
4:47.0,,,9-23,2,T. Zeller makes 2-pt shot at rim (assist by R. Rondo)
4:35.0,N. Young misses 2-pt shot from 22 ft,,9-23,,
4:34.0,,,9-23,,Defensive rebound by T. Zeller
4:18.0,,,9-25,2,R. Rondo makes 2-pt shot from 1 ft
4:03.0,Turnover by K. Bryant (bad pass),,9-25,,
4:03.0,R. Price enters the game for J. Lin,,9-25,,
4:03.0,R. Sacre enters the game for J. Hill,,9-25,,
3:53.0,,,9-25,,R. Rondo misses 2-pt shot from 18 ft
3:52.0,Defensive rebound by E. Davis,,9-25,,
3:44.0,K. Bryant makes 2-pt shot from 15 ft,2,11-25,,
3:27.0,,,11-25,,J. Green misses 2-pt shot from 19 ft
3:26.0,,,11-25,,Offensive rebound by Team
3:26.0,,,11-25,,P. Pressey enters the game for R. Rondo
3:26.0,,,11-25,,Boston full timeout
3:19.0,,,11-27,2,J. Green makes 2-pt shot from 1 ft (assist by P. Pressey)
3:01.0,N. Young makes 2-pt shot from 13 ft,2,13-27,,
2:43.0,,,13-27,,Turnover by J. Green (lost ball)
2:43.0,,,13-27,,B. Bass enters the game for T. Zeller
2:29.0,K. Bryant makes 3-pt shot from 24 ft (assist by R. Price),3,16-27,,
2:11.0,,,16-27,,Turnover by B. Bass (bad pass)
2:00.0,N. Young makes 2-pt shot from 13 ft (assist by R. Sacre),2,18-27,,
1:38.0,,,18-27,,B. Bass misses 2-pt shot from 18 ft
1:37.0,Defensive rebound by N. Young,,18-27,,
1:34.0,N. Young misses 2-pt shot from 3 ft (block by K. Olynyk),,18-27,,
1:34.0,Offensive rebound by Team,,18-27,,
1:34.0,,,18-27,,M. Thornton enters the game for J. Green
1:34.0,W. Ellington enters the game for K. Bryant,,18-27,,
1:29.0,R. Sacre misses 2-pt shot from 17 ft,,18-27,,
1:28.0,,,18-27,,Defensive rebound by M. Thornton
1:12.0,,,18-27,,E. Turner misses 2-pt shot from 3 ft (block by E. Davis)
1:11.0,Defensive rebound by W. Ellington,,18-27,,
1:03.0,W. Ellington makes 2-pt shot from 22 ft,2,20-27,,
0:43.0,,,20-30,3,K. Olynyk makes 3-pt shot from 22 ft (assist by P. Pressey)
0:27.0,R. Sacre misses 2-pt shot from 18 ft,,20-30,,
0:26.0,Offensive rebound by R. Price,,20-30,,
0:23.0,R. Price misses 2-pt shot from 14 ft,,20-30,,
0:21.0,,,20-30,,Defensive rebound by M. Thornton
0:02.0,,,20-30,,B. Bass misses 2-pt shot from 13 ft
0:01.0,Defensive rebound by Team,,20-30,,
0:00.0,R. Price misses 3-pt shot from 44 ft,,20-30,,
0:00.0,Offensive rebound by Team,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,20-33,3,M. Thornton makes 3-pt shot from 24 ft (assist by A. Bradley)
11:31.0,,,20-33,,Personal foul by P. Pressey (drawn by R. Price)
11:19.0,W. Ellington misses 2-pt shot from 23 ft,,20-33,,
11:18.0,,,20-33,,Defensive rebound by J. Sullinger
11:03.0,,,20-33,,M. Thornton misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by E. Davis,,20-33,,
10:45.0,R. Price makes 2-pt shot from 1 ft,2,22-33,,
10:32.0,,,22-33,,A. Bradley misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by W. Ellington,,22-33,,
10:20.0,E. Davis makes 2-pt shot at rim (assist by R. Price),2,24-33,,
10:03.0,,,24-33,,P. Pressey misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by N. Young,,24-33,,
9:47.0,E. Davis makes 2-pt shot from 6 ft,2,26-33,,
9:28.0,Personal block foul by E. Davis (drawn by M. Thornton),,26-33,,
9:12.0,,,26-33,,J. Sullinger misses 2-pt shot from 21 ft
9:11.0,Defensive rebound by W. Ellington,,26-33,,
9:06.0,W. Ellington makes 2-pt shot from 1 ft (assist by N. Young),2,28-33,,
9:02.0,,,28-33,,Boston full timeout
9:02.0,,,28-33,,T. Zeller enters the game for B. Bass
8:44.0,,,28-33,,Turnover by T. Zeller (bad pass)
8:26.0,E. Davis misses 2-pt shot at rim,,28-33,,
8:25.0,,,28-33,,Defensive rebound by P. Pressey
8:21.0,,,28-33,,Shooting foul by W. Ellington (drawn by J. Sullinger)
8:21.0,,,28-34,1,J. Sullinger makes free throw 1 of 2
8:21.0,C. Boozer enters the game for E. Davis,,28-34,,
8:21.0,,,28-34,,J. Sullinger misses free throw 2 of 2
8:20.0,Defensive rebound by R. Sacre,,28-34,,
8:00.0,R. Price misses 2-pt shot from 21 ft,,28-34,,
7:59.0,,,28-34,,Defensive rebound by T. Zeller
7:56.0,,,28-34,,Turnover by P. Pressey (bad pass)
7:42.0,N. Young makes 3-pt shot from 24 ft,3,31-34,,
7:28.0,,,31-34,,M. Thornton misses 2-pt shot from 4 ft (block by R. Sacre)
7:26.0,,,31-34,,Offensive rebound by M. Thornton
7:24.0,,,31-36,2,M. Thornton makes 2-pt shot from 7 ft
7:11.0,N. Young misses 2-pt shot from 11 ft,,31-36,,
7:09.0,,,31-36,,Defensive rebound by M. Thornton
7:00.0,,,31-36,,M. Thornton misses 2-pt shot from 22 ft
6:59.0,,,31-36,,Offensive rebound by J. Sullinger
6:53.0,,,31-38,2,J. Sullinger makes 2-pt shot from 3 ft (assist by M. Thornton)
6:30.0,R. Sacre misses 2-pt shot from 3 ft,,31-38,,
6:29.0,,,31-38,,Defensive rebound by J. Sullinger
6:21.0,,,31-38,,J. Sullinger misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by N. Young,,31-38,,
6:09.0,N. Young misses 2-pt shot from 14 ft,,31-38,,
6:08.0,,,31-38,,Defensive rebound by J. Sullinger
6:04.0,Shooting block foul by R. Price (drawn by P. Pressey),,31-38,,
6:04.0,,,31-38,,P. Pressey misses free throw 1 of 2
6:04.0,,,31-38,,Offensive rebound by Team
6:04.0,J. Hill enters the game for N. Young,,31-38,,
6:04.0,W. Johnson enters the game for R. Price,,31-38,,
6:04.0,K. Bryant enters the game for R. Sacre,,31-38,,
6:04.0,,,31-38,,E. Turner enters the game for J. Sullinger
6:04.0,,,31-38,,K. Olynyk enters the game for M. Thornton
6:04.0,,,31-38,,P. Pressey misses free throw 2 of 2
6:03.0,Defensive rebound by K. Bryant,,31-38,,
5:49.0,Shooting foul by A. Bradley (drawn by K. Bryant),,31-38,,
5:49.0,Official timeout,,31-38,,
5:49.0,,,31-38,,R. Rondo enters the game for P. Pressey
5:49.0,K. Bryant makes free throw 1 of 2,1,32-38,,
5:49.0,K. Bryant makes free throw 2 of 2,1,33-38,,
5:39.0,,,33-38,,Turnover by R. Rondo (traveling)
5:29.0,K. Bryant makes 2-pt shot from 22 ft (assist by W. Ellington),2,35-38,,
5:16.0,,,35-40,2,T. Zeller makes 2-pt shot from 3 ft (assist by R. Rondo)
4:56.0,K. Bryant misses 2-pt shot from 12 ft,,35-40,,
4:55.0,,,35-40,,Defensive rebound by T. Zeller
4:50.0,,,35-42,2,E. Turner makes 2-pt shot from 1 ft (assist by R. Rondo)
4:30.0,C. Boozer makes 2-pt shot from 11 ft,2,37-42,,
4:24.0,,,37-42,,R. Rondo misses 2-pt shot from 17 ft
4:23.0,Defensive rebound by C. Boozer,,37-42,,
4:13.0,C. Boozer misses 2-pt shot from 2 ft,,37-42,,
4:12.0,Offensive rebound by J. Hill,,37-42,,
4:12.0,J. Hill makes 2-pt shot at rim,2,39-42,,
4:05.0,,,39-44,2,K. Olynyk makes 2-pt shot from 1 ft
3:50.0,Turnover by K. Bryant (bad pass; steal by E. Turner),,39-44,,
3:45.0,,,39-44,,A. Bradley misses 2-pt shot at rim
3:44.0,Defensive rebound by W. Ellington,,39-44,,
3:31.0,C. Boozer misses 2-pt shot from 1 ft,,39-44,,
3:30.0,,,39-44,,Defensive rebound by T. Zeller
3:24.0,,,39-44,,A. Bradley misses 3-pt shot from 24 ft
3:23.0,,,39-44,,Offensive rebound by A. Bradley
3:19.0,,,39-44,,K. Olynyk misses 3-pt shot from 25 ft
3:18.0,,,39-44,,Offensive rebound by T. Zeller
3:17.0,,,39-46,2,T. Zeller makes 2-pt shot at rim
2:56.0,Turnover by J. Hill (lost ball; steal by R. Rondo),,39-46,,
2:50.0,,,39-48,2,T. Zeller makes 2-pt shot from 1 ft (assist by R. Rondo)
2:46.0,LA Lakers full timeout,,39-48,,
2:46.0,,,39-48,,J. Green enters the game for A. Bradley
2:46.0,J. Lin enters the game for W. Ellington,,39-48,,
2:32.0,W. Johnson misses 3-pt shot from 24 ft,,39-48,,
2:29.0,,,39-48,,Defensive rebound by T. Zeller
2:22.0,,,39-48,,K. Olynyk misses 2-pt shot from 1 ft (block by W. Johnson)
2:20.0,,,39-48,,Offensive rebound by E. Turner
2:14.0,,,39-51,3,E. Turner makes 3-pt shot from 24 ft
2:04.0,,,39-51,,Shooting block foul by T. Zeller (drawn by J. Lin)
2:04.0,J. Lin makes free throw 1 of 2,1,40-51,,
2:04.0,J. Lin makes free throw 2 of 2,1,41-51,,
1:51.0,,,41-51,,T. Zeller misses 2-pt shot from 3 ft
1:51.0,,,41-51,,Offensive rebound by Team
1:47.0,,,41-51,,K. Olynyk misses 2-pt shot from 14 ft
1:46.0,,,41-51,,Offensive rebound by R. Rondo
1:43.0,,,41-51,,K. Olynyk misses 3-pt shot from 25 ft
1:41.0,,,41-51,,Offensive rebound by Team
1:31.0,,,41-51,,R. Rondo misses 3-pt shot from 26 ft
1:30.0,Defensive rebound by C. Boozer,,41-51,,
1:23.0,J. Lin makes 2-pt shot from 4 ft,2,43-51,,
1:23.0,Shooting foul by T. Zeller (drawn by J. Lin),,43-51,,
1:23.0,,,43-51,,J. Sullinger enters the game for T. Zeller
1:23.0,J. Lin makes free throw 1 of 1,1,44-51,,
1:04.0,,,44-51,,Offensive foul by K. Olynyk
1:04.0,,,44-51,,Turnover by K. Olynyk (offensive foul)
0:54.0,J. Lin misses 2-pt shot from 10 ft,,44-51,,
0:52.0,,,44-51,,Defensive rebound by K. Olynyk
0:44.0,,,44-53,2,R. Rondo makes 2-pt shot from 16 ft (assist by E. Turner)
0:31.0,K. Bryant misses 3-pt shot from 24 ft,,44-53,,
0:30.0,Offensive rebound by J. Hill,,44-53,,
0:29.0,J. Hill makes 2-pt shot at rim,2,46-53,,
0:05.0,,,46-53,,Turnover by Team (shot clock)
0:00.0,J. Lin makes 2-pt shot from 2 ft,2,48-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,48-55,2,J. Green makes 2-pt shot from 3 ft (assist by J. Sullinger)
11:50.0,,,48-55,,Shooting foul by W. Johnson (drawn by J. Green)
11:50.0,,,48-56,1,J. Green makes free throw 1 of 1
11:38.0,W. Johnson misses 2-pt shot from 18 ft,,48-56,,
11:36.0,,,48-56,,Defensive rebound by J. Sullinger
11:29.0,,,48-56,,Offensive foul by J. Green
