time,Sacramento,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Thompson (K. Garnett gains possession),,,,Jump ball: M. Plumlee vs. J. Thompson (K. Garnett gains possession)
11:41.0,,,0-2,2,K. Garnett makes 2-pt shot from 19 ft (assist by J. Johnson)
11:10.0,J. Thompson misses 2-pt shot from 2 ft,,0-2,,
11:08.0,Offensive rebound by J. Thompson,,0-2,,
11:06.0,J. Thompson makes 2-pt shot at rim,2,2-2,,
10:46.0,,,2-4,2,K. Garnett makes 2-pt shot from 15 ft (assist by S. Karasev)
10:33.0,B. McLemore makes 3-pt shot from 28 ft (assist by R. Gay),3,5-4,,
10:20.0,,,5-4,,J. Jack misses 2-pt shot from 8 ft
10:19.0,Defensive rebound by R. Gay,,5-4,,
10:17.0,,,5-4,,Personal foul by S. Karasev (drawn by B. McLemore)
10:02.0,J. Thompson misses 2-pt shot from 19 ft,,5-4,,
10:01.0,,,5-4,,Defensive rebound by J. Johnson
9:52.0,,,5-4,,K. Garnett misses 2-pt shot from 4 ft
9:51.0,Defensive rebound by D. Cousins,,5-4,,
9:45.0,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins),2,7-4,,
9:19.0,,,7-4,,J. Johnson misses 3-pt shot from 29 ft
9:18.0,Defensive rebound by B. McLemore,,7-4,,
9:02.0,R. Gay misses 2-pt shot from 5 ft,,7-4,,
9:01.0,,,7-4,,Defensive rebound by M. Plumlee
8:47.0,,,7-6,2,J. Jack makes 2-pt shot from 16 ft
8:34.0,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison),2,9-6,,
8:24.0,,,9-6,,Shooting foul by B. McLemore (drawn by M. Plumlee)
8:24.0,,,9-7,1,M. Plumlee makes free throw 1 of 2
8:24.0,,,9-7,,M. Plumlee misses free throw 2 of 2
8:23.0,,,9-7,,Offensive rebound by M. Plumlee
8:17.0,,,9-10,3,J. Johnson makes 3-pt shot from 24 ft (assist by K. Garnett)
7:53.0,Turnover by D. Cousins (lost ball; steal by K. Garnett),,9-10,,
7:48.0,,,9-10,,Shooting foul by J. Thompson (drawn by J. Jack)
7:48.0,,,9-11,1,J. Jack makes free throw 1 of 2
7:48.0,,,9-12,1,J. Jack makes free throw 2 of 2
7:28.0,R. Gay makes 2-pt shot from 16 ft,2,11-12,,
7:06.0,,,11-14,2,M. Plumlee makes 2-pt shot from 1 ft
6:52.0,D. Cousins makes 2-pt shot from 17 ft (assist by D. Collison),2,13-14,,
