time,Milwaukee,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. R. Sacre (E. Ilyasova gains possession),,,,Jump ball: Z. Pachulia vs. R. Sacre (E. Ilyasova gains possession)
11:51.0,Turnover by M. Carter-Williams (step out of bounds),,0-0,,
11:28.0,,,0-2,2,R. Kelly makes 2-pt shot from 12 ft (assist by W. Ellington)
11:08.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,0-2,,
11:06.0,,,0-2,,Defensive rebound by C. Boozer
11:00.0,,,0-4,2,C. Boozer makes 2-pt shot from 3 ft (assist by J. Clarkson)
11:00.0,,,0-4,,Shooting foul by Z. Pachulia (drawn by C. Boozer)
11:00.0,,,0-4,,C. Boozer misses free throw 1 of 1
10:59.0,Defensive rebound by Z. Pachulia,,0-4,,
10:48.0,K. Middleton misses 2-pt shot from 17 ft,,0-4,,
10:46.0,,,0-4,,Defensive rebound by C. Boozer
10:38.0,,,0-6,2,R. Sacre makes 2-pt shot from 3 ft (assist by J. Clarkson)
10:22.0,Shooting foul by R. Kelly (drawn by G. Antetokounmpo),,0-6,,
10:22.0,G. Antetokounmpo misses free throw 1 of 2,,0-6,,
10:22.0,Offensive rebound by Team,,0-6,,
10:22.0,G. Antetokounmpo misses free throw 2 of 2,,0-6,,
10:20.0,,,0-6,,Defensive rebound by C. Boozer
10:03.0,,,0-6,,R. Kelly misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by K. Middleton,,0-6,,
9:52.0,K. Middleton misses 2-pt shot from 13 ft (block by C. Boozer),,0-6,,
9:50.0,Offensive rebound by K. Middleton,,0-6,,
9:45.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,0-6,,
9:43.0,Offensive rebound by M. Carter-Williams,,0-6,,
9:31.0,Jump ball: Z. Pachulia vs. R. Sacre (C. Boozer gains possession),,,,Jump ball: Z. Pachulia vs. R. Sacre (C. Boozer gains possession)
9:31.0,Turnover by M. Carter-Williams (lost ball; steal by R. Sacre),,0-6,,
9:11.0,,,0-6,,C. Boozer misses 2-pt shot from 12 ft
9:11.0,,,0-6,,Offensive rebound by R. Sacre
9:11.0,,,0-6,,Shooting foul by K. Middleton (drawn by R. Sacre)
9:11.0,,,0-7,1,R. Sacre makes free throw 1 of 2
9:11.0,,,0-7,,R. Sacre misses free throw 2 of 2
9:10.0,Defensive rebound by E. Ilyasova,,0-7,,
8:47.0,E. Ilyasova misses 3-pt shot from 23 ft,,0-7,,
8:46.0,,,0-7,,Defensive rebound by R. Kelly
8:40.0,,,0-7,,R. Kelly misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by K. Middleton,,0-7,,
8:36.0,Shooting foul by W. Ellington (drawn by G. Antetokounmpo),,0-7,,
8:36.0,G. Antetokounmpo makes free throw 1 of 2,1,1-7,,
8:36.0,G. Antetokounmpo makes free throw 2 of 2,1,2-7,,
8:12.0,,,2-7,,W. Ellington misses 2-pt shot from 15 ft
8:11.0,Defensive rebound by Z. Pachulia,,2-7,,
7:52.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,4-7,,
7:37.0,,,4-7,,W. Ellington misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by K. Middleton,,4-7,,
7:36.0,,,4-7,,Loose ball foul by R. Sacre (drawn by K. Middleton)
7:27.0,,,4-7,,Personal foul by J. Clarkson (drawn by M. Carter-Williams)
7:27.0,Official timeout,,4-7,,
7:20.0,K. Middleton misses 3-pt shot from 24 ft,,4-7,,
7:19.0,,,4-7,,Defensive rebound by R. Sacre
7:13.0,,,4-9,2,R. Kelly makes 2-pt shot from 2 ft (assist by J. Clarkson)
7:03.0,M. Carter-Williams misses 3-pt shot from 24 ft,,4-9,,
7:02.0,,,4-9,,Defensive rebound by R. Sacre
6:41.0,,,4-9,,Shooting foul by M. Carter-Williams (drawn by R. Kelly)
6:41.0,,,4-9,,R. Kelly misses free throw 1 of 2
6:41.0,,,4-9,,Offensive rebound by Team
6:41.0,,,4-10,1,R. Kelly makes free throw 2 of 2
6:30.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by K. Middleton),2,6-10,,
6:13.0,,,6-10,,R. Sacre misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
6:11.0,Defensive rebound by E. Ilyasova,,6-10,,
6:06.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,6-10,,
6:04.0,,,6-10,,Defensive rebound by R. Kelly
5:54.0,,,6-10,,Offensive foul by C. Boozer
5:54.0,,,6-10,,Turnover by C. Boozer (offensive foul)
5:54.0,,,6-10,,LA Lakers full timeout
5:54.0,J. Bayless enters the game for M. Carter-Williams,,6-10,,
5:54.0,,,6-10,,J. Lin enters the game for W. Ellington
5:43.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,6-10,,
5:41.0,,,6-10,,Defensive rebound by J. Clarkson
5:29.0,,,6-10,,Turnover by R. Kelly (bad pass)
5:11.0,E. Ilyasova misses 2-pt shot from 20 ft,,6-10,,
5:10.0,,,6-10,,Defensive rebound by J. Clarkson
5:05.0,,,6-12,2,J. Clarkson makes 2-pt shot from 16 ft
4:45.0,Z. Pachulia misses 2-pt shot from 17 ft,,6-12,,
4:44.0,Offensive rebound by E. Ilyasova,,6-12,,
4:35.0,Turnover by G. Antetokounmpo (lost ball; steal by C. Boozer),,6-12,,
4:30.0,,,6-14,2,C. Boozer makes 2-pt shot from 1 ft (assist by J. Clarkson)
4:30.0,Milwaukee full timeout,,6-14,,
4:30.0,J. Dudley enters the game for G. Antetokounmpo,,6-14,,
4:30.0,J. Henson enters the game for Z. Pachulia,,6-14,,
4:30.0,,,6-14,,E. Davis enters the game for C. Boozer
4:30.0,,,6-14,,J. Hill enters the game for R. Sacre
4:17.0,J. Bayless misses 2-pt shot from 7 ft,,6-14,,
4:16.0,,,6-14,,Defensive rebound by J. Hill
3:52.0,,,6-14,,J. Hill misses 2-pt shot from 15 ft
3:51.0,,,6-14,,Offensive rebound by E. Davis
3:46.0,,,6-16,2,J. Clarkson makes 2-pt shot from 1 ft (assist by E. Davis)
3:27.0,Shooting foul by J. Lin (drawn by E. Ilyasova),,6-16,,
3:27.0,E. Ilyasova makes free throw 1 of 2,1,7-16,,
3:27.0,,,7-16,,W. Johnson enters the game for R. Kelly
3:27.0,E. Ilyasova makes free throw 2 of 2,1,8-16,,
3:17.0,Personal foul by J. Bayless (drawn by J. Lin),,8-16,,
3:05.0,,,8-16,,J. Hill misses 2-pt shot from 6 ft
3:04.0,Defensive rebound by E. Ilyasova,,8-16,,
2:55.0,J. Bayless misses 3-pt shot from 25 ft,,8-16,,
2:53.0,,,8-16,,Defensive rebound by J. Clarkson
2:46.0,,,8-16,,J. Clarkson misses 2-pt shot from 2 ft
2:45.0,Defensive rebound by J. Henson,,8-16,,
2:39.0,K. Middleton makes 2-pt shot from 1 ft,2,10-16,,
2:22.0,,,10-19,3,J. Lin makes 3-pt shot from 22 ft (assist by W. Johnson)
2:03.0,K. Middleton makes 2-pt shot from 1 ft,2,12-19,,
2:03.0,Violation by Team (delay of game),,12-19,,
1:52.0,,,12-19,,Turnover by E. Davis (lost ball)
1:34.0,K. Middleton misses 2-pt shot from 8 ft,,12-19,,
1:33.0,Offensive rebound by K. Middleton,,12-19,,
1:30.0,K. Middleton misses 2-pt shot from 1 ft,,12-19,,
1:28.0,Offensive rebound by J. Henson,,12-19,,
1:26.0,J. Henson makes 2-pt shot at rim,2,14-19,,
1:13.0,,,14-22,3,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Lin)
0:50.0,J. Henson misses 2-pt shot from 3 ft,,14-22,,
0:50.0,Offensive rebound by E. Ilyasova,,14-22,,
0:48.0,J. Henson makes 2-pt shot from 1 ft,2,16-22,,
0:37.0,,,16-24,2,J. Lin makes 2-pt shot from 2 ft (assist by J. Hill)
0:32.0,Shooting foul by J. Hill (drawn by E. Ilyasova),,16-24,,
0:32.0,E. Ilyasova makes free throw 1 of 2,1,17-24,,
0:32.0,E. Ilyasova makes free throw 2 of 2,1,18-24,,
0:09.0,,,18-24,,W. Johnson misses 3-pt shot from 23 ft
0:07.0,Defensive rebound by E. Ilyasova,,18-24,,
0:00.0,E. Ilyasova misses 3-pt shot from 25 ft,,18-24,,
0:00.0,Offensive rebound by Team,,18-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,18-24,,J. Hill misses 2-pt shot from 20 ft
11:40.0,Defensive rebound by G. Antetokounmpo,,18-24,,
11:32.0,Turnover by G. Antetokounmpo (bad pass; steal by E. Davis),,18-24,,
11:26.0,Personal foul by J. Henson (drawn by E. Davis),,18-24,,
11:20.0,,,18-26,2,J. Hill makes 2-pt shot at rim (assist by J. Lin)
11:06.0,,,18-26,,Personal foul by W. Johnson (drawn by J. Henson)
10:54.0,Turnover by G. Antetokounmpo (bad pass),,18-26,,
10:37.0,,,18-28,2,J. Lin makes 2-pt shot at rim
10:24.0,J. Henson misses 2-pt shot from 3 ft (block by E. Davis),,18-28,,
10:22.0,,,18-28,,Defensive rebound by J. Lin
10:06.0,,,18-28,,Turnover by W. Johnson (bad pass; steal by T. Ennis)
