time,Milwaukee,pts.away,score,pts.home,Indiana
1:50.0,M. Carter-Williams makes free throw 1 of 2,1,23-15,,
1:50.0,M. Carter-Williams makes free throw 2 of 2,1,24-15,,
1:37.0,Personal foul by C. Johnson (drawn by R. Stuckey),,24-15,,
1:37.0,,,24-15,,R. Stuckey misses free throw 1 of 2
1:37.0,,,24-15,,Offensive rebound by Team
1:37.0,,,24-15,,R. Stuckey misses free throw 2 of 2
1:35.0,Defensive rebound by Team,,24-15,,
1:34.0,,,24-15,,Personal foul by C. Watson (drawn by M. Carter-Williams)
1:34.0,M. Carter-Williams misses free throw 1 of 2,,24-15,,
1:34.0,Offensive rebound by Team,,24-15,,
1:34.0,M. Carter-Williams makes free throw 2 of 2,1,25-15,,
1:15.0,,,25-15,,C. Watson misses 2-pt shot from 13 ft
1:14.0,,,25-15,,Offensive rebound by L. Scola
1:14.0,,,25-17,2,L. Scola makes 2-pt shot from 1 ft
0:50.0,,,25-17,,Personal foul by C. Watson (drawn by M. Carter-Williams)
0:50.0,M. Carter-Williams makes free throw 1 of 2,1,26-17,,
0:50.0,M. Carter-Williams makes free throw 2 of 2,1,27-17,,
0:32.0,,,27-17,,Turnover by C. Watson (bad pass; steal by K. Middleton)
0:27.0,Shooting foul by L. Scola (drawn by C. Johnson),,27-17,,
0:27.0,C. Johnson makes free throw 1 of 2,1,28-17,,
0:27.0,T. Ennis enters the game for M. Carter-Williams,,28-17,,
0:27.0,C. Johnson makes free throw 2 of 2,1,29-17,,
0:09.0,Shooting block foul by C. Johnson (drawn by R. Stuckey),,29-17,,
0:09.0,,,29-18,1,R. Stuckey makes free throw 1 of 2
0:09.0,,,29-18,,G. Hill enters the game for C. Watson
0:09.0,,,29-18,,I. Mahinmi enters the game for L. Scola
0:09.0,,,29-19,1,R. Stuckey makes free throw 2 of 2
0:01.0,K. Middleton makes 2-pt shot from 6 ft,2,31-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,31-21,2,R. Stuckey makes 2-pt shot from 15 ft
11:32.0,M. Plumlee makes 2-pt shot from 2 ft (assist by T. Ennis),2,33-21,,
11:15.0,,,33-24,3,C. Watson makes 3-pt shot from 25 ft (assist by R. Stuckey)
11:15.0,,,33-24,,Shooting foul by T. Ennis (drawn by C. Watson)
11:15.0,,,33-25,1,C. Watson makes free throw 1 of 1
11:03.0,K. Middleton makes 3-pt shot from 24 ft (assist by T. Ennis),3,36-25,,
10:48.0,,,36-25,,Turnover by R. Stuckey (step out of bounds)
10:34.0,K. Middleton misses 2-pt shot from 22 ft,,36-25,,
10:32.0,,,36-25,,Defensive rebound by L. Allen
10:18.0,,,36-25,,Turnover by D. Rudez (back court)
10:04.0,Turnover by J. Dudley (bad pass; steal by L. Scola),,36-25,,
10:00.0,,,36-25,,Shooting foul by T. Ennis (drawn by C. Watson)
10:00.0,,,36-26,1,C. Watson makes free throw 1 of 2
10:00.0,,,36-27,1,C. Watson makes free throw 2 of 2
9:46.0,T. Ennis makes 2-pt shot from 7 ft,2,38-27,,
9:35.0,,,38-29,2,L. Scola makes 2-pt shot from 16 ft (assist by C. Watson)
9:27.0,Offensive foul by J. Dudley,,38-29,,
9:27.0,Turnover by J. Dudley (offensive foul),,38-29,,
9:19.0,,,38-31,2,L. Scola makes 2-pt shot from 21 ft (assist by C. Watson)
8:53.0,C. Johnson misses 2-pt shot from 1 ft (block by L. Allen),,38-31,,
8:51.0,,,38-31,,Defensive rebound by L. Scola
8:48.0,,,38-33,2,R. Stuckey makes 2-pt shot from 1 ft
8:47.0,Milwaukee full timeout,,38-33,,
8:47.0,J. Henson enters the game for M. Plumlee,,38-33,,
8:23.0,T. Ennis misses 2-pt shot from 8 ft,,38-33,,
8:22.0,,,38-33,,Defensive rebound by R. Stuckey
8:09.0,,,38-33,,R. Stuckey misses 2-pt shot from 13 ft
8:08.0,Defensive rebound by T. Ennis,,38-33,,
8:06.0,Turnover by T. Ennis (bad pass),,38-33,,
8:06.0,Violation by Team (delay of game),,38-33,,
8:03.0,,,38-33,,Offensive foul by L. Allen
8:03.0,,,38-33,,Turnover by L. Allen (offensive foul)
7:48.0,K. Middleton misses 2-pt shot from 17 ft,,38-33,,
7:46.0,,,38-33,,Defensive rebound by L. Scola
7:36.0,,,38-33,,L. Scola misses 2-pt shot from 5 ft
7:34.0,,,38-33,,Offensive rebound by L. Scola
7:32.0,,,38-35,2,L. Scola makes 2-pt shot from 2 ft
7:14.0,T. Ennis makes 2-pt shot from 13 ft,2,40-35,,
7:01.0,Personal foul by J. Henson (drawn by L. Scola),,40-35,,
7:01.0,,,40-35,,G. Hill enters the game for D. Rudez
6:54.0,Personal foul by C. Johnson (drawn by G. Hill),,40-35,,
6:54.0,M. Carter-Williams enters the game for C. Johnson,,40-35,,
6:49.0,,,40-35,,Shooting foul by J. Henson (drawn by R. Stuckey)
6:49.0,Technical foul by J. Henson (drawn by R. Stuckey),,40-35,,
6:49.0,,,40-36,1,C. Watson makes technical free throw
6:49.0,,,40-37,1,R. Stuckey makes free throw 1 of 2
6:49.0,,,40-37,,I. Mahinmi enters the game for L. Allen
6:49.0,,,40-38,1,R. Stuckey makes free throw 2 of 2
6:37.0,K. Middleton misses 2-pt shot from 2 ft,,40-38,,
6:36.0,,,40-38,,Defensive rebound by L. Scola
6:30.0,,,40-41,3,G. Hill makes 3-pt shot from 26 ft (assist by R. Stuckey)
6:19.0,Shooting foul by R. Stuckey (drawn by M. Carter-Williams),,40-41,,
6:19.0,M. Carter-Williams makes free throw 1 of 2,1,41-41,,
6:19.0,E. Ilyasova enters the game for J. Dudley,,41-41,,
6:19.0,M. Carter-Williams makes free throw 2 of 2,1,42-41,,
6:04.0,,,42-41,,R. Stuckey misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by M. Carter-Williams,,42-41,,
5:52.0,Shooting foul by G. Hill (drawn by E. Ilyasova),,42-41,,
5:52.0,Official timeout,,42-41,,
5:52.0,,,42-41,,D. West enters the game for I. Mahinmi
5:52.0,,,42-41,,S. Hill enters the game for C. Watson
5:52.0,,,42-41,,I. Mahinmi enters the game for L. Scola
5:52.0,G. Antetokounmpo enters the game for T. Ennis,,42-41,,
5:52.0,E. Ilyasova misses free throw 1 of 2,,42-41,,
5:52.0,Offensive rebound by Team,,42-41,,
5:52.0,E. Ilyasova makes free throw 2 of 2,1,43-41,,
5:34.0,,,43-41,,R. Stuckey misses 2-pt shot from 19 ft
5:33.0,,,43-41,,Offensive rebound by I. Mahinmi
5:26.0,Personal foul by E. Ilyasova (drawn by D. West),,43-41,,
5:26.0,,,43-41,,D. West misses free throw 1 of 2
5:26.0,,,43-41,,Offensive rebound by Team
5:26.0,,,43-42,1,D. West makes free throw 2 of 2
5:14.0,Turnover by J. Henson (offensive foul),,43-42,,
5:14.0,Offensive foul by J. Henson,,43-42,,
5:14.0,Z. Pachulia enters the game for J. Henson,,43-42,,
5:03.0,,,43-42,,G. Hill misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by K. Middleton,,43-42,,
4:51.0,Z. Pachulia makes 2-pt shot from 4 ft (assist by E. Ilyasova),2,45-42,,
4:31.0,,,45-42,,Turnover by R. Stuckey (bad pass; steal by M. Carter-Williams)
4:29.0,,,45-42,,Personal foul by G. Hill (drawn by M. Carter-Williams)
4:26.0,Turnover by Z. Pachulia (lost ball),,45-42,,
4:07.0,,,45-42,,D. West misses 2-pt shot at rim
4:05.0,Defensive rebound by M. Carter-Williams,,45-42,,
3:56.0,E. Ilyasova makes 2-pt shot from 20 ft (assist by M. Carter-Williams),2,47-42,,
3:44.0,,,47-44,2,G. Hill makes 2-pt shot from 8 ft
3:24.0,Z. Pachulia misses 2-pt shot from 17 ft,,47-44,,
3:23.0,Offensive rebound by Team,,47-44,,
3:23.0,,,47-44,,Loose ball foul by D. West (drawn by E. Ilyasova)
3:23.0,,,47-44,,C. Miles enters the game for R. Stuckey
3:23.0,,,47-44,,L. Scola enters the game for D. West
