time,Philadelphia,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. J. Valanciunas (H. Sims gains possession),,,,Jump ball: N. Noel vs. J. Valanciunas (H. Sims gains possession)
11:43.0,M. Carter-Williams misses 2-pt shot from 12 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by K. Lowry
11:26.0,,,0-0,,D. DeRozan misses 2-pt shot from 20 ft
11:25.0,,,0-0,,Offensive rebound by A. Johnson
11:23.0,,,0-2,2,A. Johnson makes 2-pt shot from 6 ft
11:05.0,,,0-2,,Shooting block foul by J. Valanciunas (drawn by N. Noel)
11:05.0,N. Noel misses free throw 1 of 2,,0-2,,
11:05.0,Offensive rebound by Team,,0-2,,
11:05.0,N. Noel misses free throw 2 of 2,,0-2,,
11:04.0,,,0-2,,Defensive rebound by J. Valanciunas
10:50.0,,,0-4,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
10:25.0,K. McDaniels misses 3-pt shot from 25 ft,,0-4,,
10:24.0,,,0-4,,Defensive rebound by K. Lowry
10:07.0,,,0-6,2,D. DeRozan makes 2-pt shot from 14 ft (assist by K. Lowry)
9:47.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,0-6,,
9:46.0,,,0-6,,Defensive rebound by A. Johnson
9:39.0,,,0-8,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
9:26.0,M. Carter-Williams misses 2-pt shot from 16 ft,,0-8,,
9:25.0,,,0-8,,Defensive rebound by D. DeRozan
9:13.0,,,0-10,2,A. Johnson makes 2-pt shot from 5 ft (assist by D. DeRozan)
9:12.0,Philadelphia full timeout,,0-10,,
8:58.0,Turnover by K. McDaniels (bad pass; steal by J. Valanciunas),,0-10,,
8:39.0,,,0-13,3,K. Lowry makes 3-pt shot from 27 ft
8:25.0,N. Noel misses 2-pt shot from 17 ft,,0-13,,
8:25.0,Offensive rebound by H. Sims,,0-13,,
8:19.0,M. Carter-Williams misses 3-pt shot from 27 ft,,0-13,,
8:18.0,,,0-13,,Defensive rebound by K. Lowry
8:12.0,,,0-13,,K. Lowry misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by H. Sims,,0-13,,
8:05.0,M. Carter-Williams makes 2-pt shot at rim (assist by H. Sims),2,2-13,,
7:46.0,,,2-15,2,D. DeRozan makes 2-pt shot from 18 ft
7:24.0,L. Mbah a Moute misses 2-pt shot from 15 ft,,2-15,,
7:24.0,,,2-15,,Defensive rebound by A. Johnson
7:14.0,,,2-15,,Turnover by K. Lowry (lost ball; steal by K. McDaniels)
7:10.0,Turnover by M. Carter-Williams (lost ball; steal by D. DeRozan),,2-15,,
6:56.0,,,2-15,,T. Ross misses 3-pt shot from 23 ft
6:55.0,,,2-15,,Offensive rebound by Team
6:49.0,,,2-15,,J. Valanciunas misses 2-pt shot from 1 ft (block by K. McDaniels)
6:47.0,Defensive rebound by H. Sims,,2-15,,
6:41.0,K. McDaniels misses 2-pt shot from 2 ft (block by D. DeRozan),,2-15,,
6:40.0,Offensive rebound by K. McDaniels,,2-15,,
6:40.0,Shooting foul by J. Valanciunas (drawn by K. McDaniels),,2-15,,
6:40.0,K. McDaniels misses free throw 1 of 2,,2-15,,
6:40.0,Offensive rebound by Team,,2-15,,
6:40.0,J. Grant enters the game for N. Noel,,2-15,,
6:40.0,F. Aldemir enters the game for H. Sims,,2-15,,
6:40.0,,,2-15,,P. Patterson enters the game for J. Valanciunas
6:40.0,K. McDaniels makes free throw 2 of 2,1,3-15,,
6:25.0,,,3-15,,Turnover by A. Johnson (lost ball)
6:25.0,H. Thompson enters the game for K. McDaniels,,3-15,,
6:09.0,M. Carter-Williams makes 2-pt shot from 21 ft,2,5-15,,
5:45.0,,,5-17,2,D. DeRozan makes 2-pt shot from 1 ft
5:37.0,,,5-17,,Personal foul by K. Lowry (drawn by H. Thompson)
5:31.0,Offensive foul by J. Grant,,5-17,,
5:31.0,Turnover by J. Grant (offensive foul),,5-17,,
5:31.0,,,5-17,,J. Johnson enters the game for D. DeRozan
5:31.0,J. Sampson enters the game for L. Mbah a Moute,,5-17,,
5:31.0,,,5-17,,Violation by Team (delay of game)
