time,Indiana,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Hibbert (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. R. Hibbert (R. Jackson gains possession)
11:39.0,,,0-0,,Turnover by R. Jackson (bad pass; steal by S. Hill)
11:35.0,S. Hill misses 2-pt shot at rim,,0-0,,
11:33.0,,,0-0,,Defensive rebound by G. Monroe
11:23.0,,,0-0,,Turnover by K. Caldwell-Pope (lost ball; steal by D. West)
11:10.0,G. Hill makes 2-pt shot at rim (assist by D. West),2,2-0,,
10:52.0,,,2-3,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by C. Butler)
10:32.0,C. Miles misses 2-pt shot from 16 ft,,2-3,,
10:31.0,,,2-3,,Defensive rebound by A. Drummond
10:17.0,,,2-3,,A. Drummond misses 2-pt shot from 6 ft
10:15.0,Defensive rebound by D. West,,2-3,,
10:03.0,R. Hibbert misses 2-pt shot from 6 ft,,2-3,,
10:01.0,,,2-3,,Defensive rebound by G. Monroe
9:55.0,,,2-3,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by R. Hibbert,,2-3,,
9:43.0,S. Hill makes 2-pt shot at rim (assist by D. West),2,4-3,,
9:18.0,,,4-5,2,C. Butler makes 2-pt shot at rim (assist by A. Drummond)
9:12.0,,,4-5,,Personal foul by A. Drummond (drawn by R. Hibbert)
9:00.0,S. Hill misses 2-pt shot from 3 ft,,4-5,,
8:59.0,,,4-5,,Defensive rebound by R. Jackson
8:37.0,,,4-5,,Shooting foul by D. West (drawn by R. Jackson)
8:37.0,,,4-6,1,R. Jackson makes free throw 1 of 2
8:37.0,,,4-7,1,R. Jackson makes free throw 2 of 2
8:23.0,D. West misses 2-pt shot from 4 ft (block by A. Drummond),,4-7,,
8:21.0,,,4-7,,Defensive rebound by C. Butler
8:11.0,,,4-7,,C. Butler misses 2-pt shot from 18 ft
8:10.0,Defensive rebound by D. West,,4-7,,
8:04.0,,,4-7,,Violation by A. Drummond (kicked ball)
7:53.0,C. Miles makes 2-pt shot from 6 ft (assist by G. Hill),2,6-7,,
7:33.0,,,6-9,2,G. Monroe makes 2-pt shot from 6 ft
7:17.0,C. Miles makes 2-pt shot at rim (assist by G. Hill),2,8-9,,
6:56.0,,,8-12,3,R. Jackson makes 3-pt shot from 23 ft (assist by C. Butler)
6:45.0,D. West makes 2-pt shot from 7 ft (assist by G. Hill),2,10-12,,
6:45.0,Shooting foul by G. Monroe (drawn by D. West),,10-12,,
6:45.0,D. West misses free throw 1 of 1,,10-12,,
6:44.0,,,10-12,,Defensive rebound by A. Drummond
6:35.0,Personal foul by R. Hibbert (drawn by R. Jackson),,10-12,,
6:24.0,,,10-12,,R. Jackson misses 3-pt shot from 26 ft
6:23.0,,,10-12,,Offensive rebound by A. Drummond
6:20.0,,,10-12,,A. Drummond misses 2-pt shot at rim
6:19.0,,,10-12,,Offensive rebound by G. Monroe
6:18.0,,,10-14,2,G. Monroe makes 2-pt shot at rim
6:07.0,G. Hill misses 2-pt shot from 1 ft (block by R. Jackson),,10-14,,
6:05.0,Offensive rebound by R. Hibbert,,10-14,,
6:01.0,R. Hibbert makes 2-pt shot from 3 ft,2,12-14,,
5:38.0,,,12-14,,Turnover by R. Jackson (traveling)
5:38.0,,,12-14,,Detroit full timeout
5:27.0,Turnover by D. West (bad pass; steal by K. Caldwell-Pope),,12-14,,
5:07.0,,,12-14,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:06.0,Defensive rebound by Team,,12-14,,
4:46.0,C. Miles makes 3-pt shot from 23 ft (assist by D. West),3,15-14,,
4:28.0,,,15-14,,K. Caldwell-Pope misses 2-pt shot from 16 ft
4:27.0,Defensive rebound by D. West,,15-14,,
4:12.0,C. Miles misses 3-pt shot from 23 ft,,15-14,,
4:11.0,,,15-14,,Defensive rebound by A. Drummond
