time,Utah,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,M. Gasol misses 2-pt shot from 13 ft
12:00.0,Jump ball: R. Gobert vs. K. Koufos (M. Conley gains possession),,,,Jump ball: R. Gobert vs. K. Koufos (M. Conley gains possession)
11:38.0,Defensive rebound by D. Favors,,0-0,,
11:24.0,D. Favors misses 2-pt shot from 18 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by M. Gasol
11:12.0,,,0-0,,K. Koufos misses 2-pt shot at rim
11:06.0,,,0-0,,Offensive rebound by K. Koufos
11:06.0,,,0-0,,K. Koufos misses 2-pt shot from 1 ft
11:05.0,Defensive rebound by D. Exum,,0-0,,
10:46.0,D. Favors makes 2-pt shot from 1 ft (assist by D. Exum),2,2-0,,
10:23.0,,,2-0,,C. Lee misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by R. Gobert,,2-0,,
10:04.0,Turnover by J. Ingles (step out of bounds),,2-0,,
9:45.0,,,2-2,2,M. Gasol makes 2-pt shot from 6 ft
9:26.0,D. Exum misses 2-pt shot from 20 ft,,2-2,,
9:23.0,,,2-2,,Defensive rebound by K. Koufos
9:14.0,,,2-2,,M. Conley misses 2-pt shot at rim (block by D. Favors)
9:14.0,,,2-2,,Offensive rebound by K. Koufos
9:14.0,,,2-2,,K. Koufos misses 2-pt shot from 2 ft
9:11.0,Defensive rebound by G. Hayward,,2-2,,
9:03.0,J. Ingles makes 3-pt shot from 23 ft (assist by D. Exum),3,5-2,,
8:39.0,,,5-2,,J. Green misses 2-pt shot from 6 ft
8:38.0,Defensive rebound by R. Gobert,,5-2,,
8:36.0,,,5-2,,Personal foul by C. Lee (drawn by G. Hayward)
8:25.0,G. Hayward makes 2-pt shot from 19 ft,2,7-2,,
8:13.0,,,7-4,2,C. Lee makes 2-pt shot from 16 ft (assist by J. Green)
8:01.0,G. Hayward misses 3-pt shot from 25 ft,,7-4,,
8:00.0,Offensive rebound by R. Gobert,,7-4,,
7:57.0,Shooting foul by M. Gasol (drawn by D. Favors),,7-4,,
7:57.0,D. Favors makes free throw 1 of 2,1,8-4,,
7:57.0,D. Favors misses free throw 2 of 2,,8-4,,
7:56.0,Offensive rebound by G. Hayward,,8-4,,
7:49.0,J. Ingles misses 3-pt shot from 25 ft,,8-4,,
7:47.0,,,8-4,,Defensive rebound by K. Koufos
7:33.0,,,8-6,2,M. Conley makes 2-pt shot from 9 ft
7:33.0,,,8-6,,Shooting foul by J. Ingles (drawn by M. Conley)
7:33.0,,,8-7,1,M. Conley makes free throw 1 of 1
7:12.0,G. Hayward misses 2-pt shot from 8 ft,,8-7,,
7:11.0,,,8-7,,Defensive rebound by M. Gasol
7:06.0,,,8-9,2,M. Conley makes 2-pt shot from 1 ft
6:48.0,Shooting foul by K. Koufos (drawn by D. Favors),,8-9,,
6:48.0,D. Favors makes free throw 1 of 2,1,9-9,,
6:48.0,D. Favors makes free throw 2 of 2,1,10-9,,
6:32.0,,,10-9,,Turnover by M. Conley (traveling)
6:20.0,D. Exum makes 3-pt shot from 26 ft (assist by G. Hayward),3,13-9,,
5:59.0,,,13-9,,M. Gasol misses 2-pt shot from 6 ft
5:57.0,Defensive rebound by J. Ingles,,13-9,,
5:47.0,D. Exum misses 3-pt shot from 24 ft,,13-9,,
5:46.0,Offensive rebound by R. Gobert,,13-9,,
5:31.0,D. Favors misses 2-pt shot from 10 ft,,13-9,,
5:30.0,,,13-9,,Defensive rebound by K. Koufos
5:15.0,,,13-12,3,C. Lee makes 3-pt shot from 23 ft (assist by M. Gasol)
4:55.0,D. Favors makes 2-pt shot from 1 ft,2,15-12,,
4:30.0,,,15-12,,M. Gasol misses 2-pt shot from 18 ft
4:29.0,Defensive rebound by J. Ingles,,15-12,,
4:23.0,Shooting foul by J. Green (drawn by G. Hayward),,15-12,,
4:23.0,,,15-12,,Memphis full timeout
4:23.0,,,15-12,,J. Leuer enters the game for J. Green
4:23.0,,,15-12,,J. Adams enters the game for K. Koufos
4:23.0,T. Burke enters the game for D. Exum,,15-12,,
4:23.0,G. Hayward makes free throw 1 of 2,1,16-12,,
4:23.0,G. Hayward makes free throw 2 of 2,1,17-12,,
4:04.0,,,17-14,2,C. Lee makes 2-pt shot from 14 ft (assist by M. Conley)
3:39.0,T. Burke misses 2-pt shot from 12 ft (block by M. Conley),,17-14,,
3:37.0,,,17-14,,Defensive rebound by C. Lee
3:28.0,,,17-14,,J. Leuer misses 2-pt shot from 1 ft
3:26.0,Defensive rebound by R. Gobert,,17-14,,
3:20.0,G. Hayward misses 2-pt shot from 1 ft,,17-14,,
3:19.0,,,17-14,,Defensive rebound by J. Leuer
3:08.0,Personal foul by D. Favors (drawn by M. Gasol),,17-14,,
3:08.0,E. Millsap enters the game for J. Ingles,,17-14,,
3:08.0,T. Booker enters the game for D. Favors,,17-14,,
2:56.0,,,17-16,2,M. Gasol makes 2-pt shot from 6 ft (assist by M. Conley)
2:34.0,T. Burke misses 3-pt shot from 25 ft,,17-16,,
2:33.0,,,17-16,,Defensive rebound by M. Gasol
2:27.0,,,17-16,,C. Lee misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by R. Gobert,,17-16,,
2:02.0,E. Millsap misses 2-pt shot from 1 ft,,17-16,,
2:02.0,Offensive rebound by R. Gobert,,17-16,,
2:02.0,R. Gobert misses 2-pt shot from 1 ft,,17-16,,
2:00.0,Offensive rebound by T. Booker,,17-16,,
1:56.0,E. Millsap misses 3-pt shot from 23 ft,,17-16,,
1:55.0,Offensive rebound by T. Booker,,17-16,,
1:52.0,T. Booker makes 2-pt shot from 1 ft,2,19-16,,
1:29.0,,,19-16,,J. Adams misses 2-pt shot from 16 ft
1:28.0,Defensive rebound by R. Gobert,,19-16,,
1:16.0,T. Booker misses 2-pt shot from 16 ft,,19-16,,
1:15.0,Offensive rebound by R. Gobert,,19-16,,
1:12.0,R. Gobert misses 2-pt shot from 2 ft,,19-16,,
1:09.0,,,19-16,,Defensive rebound by J. Leuer
1:01.0,,,19-16,,J. Leuer misses 2-pt shot from 21 ft
1:00.0,Defensive rebound by G. Hayward,,19-16,,
0:45.0,G. Hayward misses 3-pt shot from 23 ft,,19-16,,
