time,New Orleans,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Lopez (L. Aldridge gains possession),,,,Jump ball: A. Davis vs. R. Lopez (L. Aldridge gains possession)
11:44.0,,,0-2,2,W. Matthews makes 2-pt shot from 6 ft
11:44.0,,,0-2,,Shooting foul by E. Gordon (drawn by W. Matthews)
11:44.0,,,0-2,,W. Matthews misses free throw 1 of 1
11:43.0,Defensive rebound by A. Ajinca,,0-2,,
11:26.0,J. Holiday misses 2-pt shot from 18 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by W. Matthews
11:17.0,,,0-4,2,D. Lillard makes 2-pt shot from 17 ft
11:01.0,A. Davis misses 2-pt shot from 19 ft,,0-4,,
11:01.0,,,0-4,,Defensive rebound by A. Crabbe
10:45.0,,,0-4,,L. Aldridge misses 2-pt shot from 14 ft
10:44.0,Defensive rebound by A. Ajinca,,0-4,,
10:36.0,T. Evans misses 2-pt shot from 3 ft,,0-4,,
10:35.0,,,0-4,,Defensive rebound by L. Aldridge
10:12.0,,,0-4,,D. Lillard misses 2-pt shot from 7 ft
10:12.0,,,0-4,,Offensive rebound by D. Lillard
10:12.0,,,0-6,2,D. Lillard makes 2-pt shot from 7 ft
9:49.0,A. Davis misses 2-pt shot from 12 ft,,0-6,,
9:48.0,,,0-6,,Defensive rebound by R. Lopez
9:36.0,,,0-6,,L. Aldridge misses 2-pt shot from 8 ft
9:33.0,,,0-6,,Offensive rebound by R. Lopez
9:30.0,,,0-6,,L. Aldridge misses 2-pt shot at rim
9:29.0,,,0-6,,Offensive rebound by L. Aldridge
9:29.0,,,0-8,2,L. Aldridge makes 2-pt shot at rim
9:29.0,New Orleans full timeout,,0-8,,
9:19.0,,,0-8,,Personal foul by D. Lillard (drawn by A. Ajinca)
9:12.0,,,0-8,,Personal foul by A. Crabbe (drawn by E. Gordon)
9:04.0,J. Holiday makes 2-pt shot from 10 ft,2,2-8,,
8:45.0,,,2-8,,Turnover by W. Matthews (lost ball; steal by A. Davis)
8:41.0,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans),2,4-8,,
8:25.0,,,4-8,,L. Aldridge misses 2-pt shot from 17 ft
8:24.0,Defensive rebound by A. Davis,,4-8,,
8:13.0,J. Holiday makes 2-pt shot from 7 ft,2,6-8,,
8:00.0,Def 3 sec tech foul by A. Ajinca,,6-8,,
8:00.0,,,6-9,1,D. Lillard makes technical free throw
7:49.0,,,6-9,,D. Lillard misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by A. Ajinca,,6-9,,
7:40.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans),3,9-9,,
7:27.0,Personal foul by E. Gordon (drawn by A. Crabbe),,9-9,,
7:27.0,L. Babbitt enters the game for E. Gordon,,9-9,,
7:12.0,,,9-11,2,W. Matthews makes 2-pt shot from 6 ft (assist by A. Crabbe)
7:02.0,A. Ajinca misses 2-pt shot from 19 ft,,9-11,,
7:01.0,,,9-11,,Defensive rebound by W. Matthews
6:44.0,,,9-11,,R. Lopez misses 2-pt shot from 3 ft
6:44.0,Defensive rebound by T. Evans,,9-11,,
6:39.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,11-11,,
6:18.0,Personal foul by A. Ajinca (drawn by R. Lopez),,11-11,,
6:11.0,,,11-11,,W. Matthews misses 3-pt shot from 22 ft
6:10.0,Defensive rebound by L. Babbitt,,11-11,,
6:04.0,J. Holiday makes 2-pt shot from 5 ft,2,13-11,,
5:47.0,,,13-13,2,L. Aldridge makes 2-pt shot from 22 ft (assist by D. Lillard)
5:35.0,Turnover by T. Evans (lost ball; steal by L. Aldridge),,13-13,,
5:31.0,,,13-13,,A. Crabbe misses 2-pt shot at rim (block by A. Davis)
5:30.0,Defensive rebound by T. Evans,,13-13,,
5:24.0,T. Evans misses 3-pt shot from 24 ft,,13-13,,
5:23.0,Offensive rebound by T. Evans,,13-13,,
5:22.0,,,13-13,,C. Kaman enters the game for R. Lopez
5:22.0,,,13-13,,S. Blake enters the game for A. Crabbe
5:22.0,R. Anderson enters the game for A. Ajinca,,13-13,,
5:07.0,J. Holiday makes 2-pt shot from 14 ft,2,15-13,,
4:45.0,,,15-13,,D. Lillard misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by A. Davis,,15-13,,
4:33.0,R. Anderson misses 3-pt shot from 23 ft,,15-13,,
4:32.0,,,15-13,,Defensive rebound by W. Matthews
4:28.0,Personal foul by T. Evans (drawn by D. Lillard),,15-13,,
4:15.0,,,15-15,2,C. Kaman makes 2-pt shot from 6 ft
3:50.0,A. Davis makes 2-pt shot from 11 ft,2,17-15,,
3:31.0,,,17-17,2,L. Aldridge makes 2-pt shot from 3 ft
3:17.0,Turnover by J. Holiday (bad pass; steal by S. Blake),,17-17,,
3:13.0,,,17-17,,Turnover by S. Blake (lost ball; steal by J. Holiday)
3:13.0,,,17-17,,Personal foul by S. Blake (drawn by L. Babbitt)
3:13.0,,,17-17,,J. Freeland enters the game for L. Aldridge
3:03.0,Shooting foul by W. Matthews (drawn by T. Evans),,17-17,,
3:03.0,T. Evans makes free throw 1 of 2,1,18-17,,
3:03.0,,,18-17,,C. McCollum enters the game for W. Matthews
3:03.0,T. Evans misses free throw 2 of 2,,18-17,,
3:02.0,,,18-17,,Defensive rebound by J. Freeland
2:49.0,,,18-17,,Turnover by C. McCollum (lost ball)
2:49.0,,,18-17,,Portland full timeout
2:49.0,,,18-17,,W. Barton enters the game for D. Lillard
2:49.0,A. Rivers enters the game for T. Evans,,18-17,,
2:31.0,A. Rivers misses 3-pt shot from 24 ft,,18-17,,
2:30.0,,,18-17,,Defensive rebound by J. Freeland
2:21.0,,,18-17,,Turnover by J. Freeland (lost ball; steal by A. Davis)
2:16.0,A. Rivers makes 2-pt shot at rim (assist by A. Davis),2,20-17,,
2:00.0,J. Withey enters the game for A. Davis,,20-17,,
1:52.0,,,20-17,,W. Barton misses 2-pt shot from 21 ft
1:50.0,Defensive rebound by J. Withey,,20-17,,
1:41.0,R. Anderson misses 2-pt shot from 4 ft,,20-17,,
1:40.0,,,20-17,,Defensive rebound by C. Kaman
1:31.0,,,20-17,,W. Barton misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by L. Babbitt,,20-17,,
1:21.0,A. Rivers misses 2-pt shot from 1 ft,,20-17,,
1:19.0,,,20-17,,Defensive rebound by C. Kaman
0:58.0,,,20-19,2,C. Kaman makes 2-pt shot from 2 ft
0:58.0,,,20-19,,Shooting foul by J. Withey (drawn by C. Kaman)
0:58.0,D. Miller enters the game for J. Holiday,,20-19,,
0:58.0,,,20-20,1,C. Kaman makes free throw 1 of 1
0:40.0,R. Anderson misses 2-pt shot from 19 ft,,20-20,,
0:40.0,,,20-20,,Defensive rebound by S. Blake
0:31.0,,,20-22,2,C. Kaman makes 2-pt shot from 17 ft (assist by S. Blake)
0:16.0,A. Rivers misses 2-pt shot from 13 ft,,20-22,,
0:16.0,,,20-22,,Defensive rebound by C. Kaman
0:13.0,,,20-22,,Turnover by C. Kaman (bad pass; steal by D. Miller)
0:04.0,Shooting foul by C. Kaman (drawn by A. Rivers),,20-22,,
0:04.0,A. Rivers misses free throw 1 of 2,,20-22,,
0:04.0,Offensive rebound by Team,,20-22,,
0:04.0,A. Rivers makes free throw 2 of 2,1,21-22,,
0:00.0,,,21-22,,Turnover by S. Blake (bad pass; steal by L. Babbitt)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-22,,Personal foul by W. Barton (drawn by E. Gordon)
11:32.0,E. Gordon makes 2-pt shot from 21 ft,2,23-22,,
11:13.0,,,23-24,2,S. Blake makes 2-pt shot from 1 ft
10:54.0,Offensive foul by R. Anderson,,23-24,,
10:54.0,Turnover by R. Anderson (offensive foul),,23-24,,
10:39.0,,,23-26,2,C. Kaman makes 2-pt shot from 3 ft
10:20.0,R. Anderson makes 2-pt shot from 2 ft (assist by J. Withey),2,25-26,,
9:53.0,,,25-26,,C. McCollum misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by A. Rivers,,25-26,,
9:44.0,Turnover by E. Gordon (lost ball; steal by C. McCollum),,25-26,,
9:30.0,,,25-26,,Shooting foul by D. Miller (drawn by J. Freeland)
