time,San Antonio,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,,,0-0,,Violation by Team (delay of game)
12:00.0,Jump ball: T. Duncan vs. M. Plumlee (A. Daye gains possession),,,,Jump ball: T. Duncan vs. M. Plumlee (A. Daye gains possession)
11:46.0,T. Parker makes 2-pt shot from 18 ft,2,2-0,,
11:29.0,,,2-2,2,M. Morris makes 2-pt shot from 12 ft
11:13.0,T. Parker makes 2-pt shot from 1 ft,2,4-2,,
10:52.0,,,4-2,,M. Morris misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by T. Duncan,,4-2,,
10:37.0,Turnover by T. Parker (bad pass; steal by M. Morris),,4-2,,
10:26.0,,,4-2,,M. Plumlee misses 2-pt shot from 14 ft
10:24.0,Defensive rebound by K. Leonard,,4-2,,
10:19.0,,,4-2,,Shooting block foul by M. Morris (drawn by K. Leonard)
10:19.0,K. Leonard makes free throw 1 of 2,1,5-2,,
10:19.0,K. Leonard makes free throw 2 of 2,1,6-2,,
10:07.0,,,6-2,,E. Bledsoe misses 2-pt shot from 4 ft (block by D. Green)
10:05.0,Defensive rebound by D. Green,,6-2,,
9:51.0,D. Green misses 3-pt shot from 24 ft,,6-2,,
9:49.0,,,6-2,,Defensive rebound by M. Morris
9:34.0,Personal foul by T. Parker (drawn by E. Bledsoe),,6-2,,
9:32.0,,,6-4,2,G. Dragic makes 2-pt shot from 18 ft (assist by M. Morris)
9:15.0,Turnover by K. Leonard (traveling),,6-4,,
9:15.0,Violation by Team (delay of game),,6-4,,
9:02.0,,,6-4,,G. Dragic misses 2-pt shot from 15 ft
9:01.0,Defensive rebound by T. Parker,,6-4,,
9:01.0,,,6-4,,Personal foul by G. Dragic (drawn by T. Parker)
8:46.0,K. Leonard misses 2-pt shot from 16 ft (block by M. Morris),,6-4,,
8:44.0,Offensive rebound by K. Leonard,,6-4,,
8:43.0,K. Leonard misses 2-pt shot from 10 ft (block by M. Plumlee),,6-4,,
8:40.0,,,6-4,,Defensive rebound by G. Dragic
8:23.0,,,6-6,2,M. Plumlee makes 2-pt shot from 7 ft
7:59.0,Turnover by T. Duncan (traveling),,6-6,,
7:44.0,,,6-6,,M. Morris misses 2-pt shot from 14 ft
7:41.0,Defensive rebound by K. Leonard,,6-6,,
7:34.0,T. Duncan makes 2-pt shot from 18 ft (assist by K. Leonard),2,8-6,,
7:25.0,,,8-6,,E. Bledsoe misses 2-pt shot from 20 ft
7:23.0,,,8-6,,Offensive rebound by M. Morris
7:19.0,,,8-6,,M. Morris misses 3-pt shot from 25 ft
7:17.0,,,8-6,,Offensive rebound by M. Plumlee
7:07.0,,,8-6,,Turnover by E. Bledsoe (bad pass; steal by A. Daye)
6:52.0,Shooting foul by M. Plumlee (drawn by T. Duncan),,8-6,,
6:52.0,T. Duncan makes free throw 1 of 2,1,9-6,,
6:52.0,T. Duncan makes free throw 2 of 2,1,10-6,,
6:34.0,,,10-6,,Turnover by M. Plumlee (3 sec)
6:22.0,T. Parker misses 2-pt shot from 18 ft,,10-6,,
6:20.0,,,10-6,,Defensive rebound by M. Plumlee
6:15.0,,,10-6,,E. Bledsoe misses 2-pt shot from 18 ft
6:12.0,Defensive rebound by A. Daye,,10-6,,
6:09.0,T. Parker makes 2-pt shot from 1 ft (assist by A. Daye),2,12-6,,
5:58.0,,,12-8,2,G. Dragic makes 2-pt shot from 1 ft
5:42.0,A. Daye misses 3-pt shot from 24 ft,,12-8,,
5:41.0,,,12-8,,Defensive rebound by G. Dragic
5:30.0,,,12-8,,M. Plumlee misses 2-pt shot from 9 ft
5:28.0,Defensive rebound by K. Leonard,,12-8,,
5:20.0,Shooting foul by M. Plumlee (drawn by K. Leonard),,12-8,,
5:20.0,,,12-8,,Phoenix full timeout
