time,New York,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. N. Noel (L. Mbah a Moute gains possession),,,,Jump ball: L. Amundson vs. N. Noel (L. Mbah a Moute gains possession)
11:40.0,,,0-0,,N. Noel misses 2-pt shot from 2 ft (block by L. Amundson)
11:37.0,Defensive rebound by A. Bargnani,,0-0,,
11:32.0,L. Thomas makes 2-pt shot at rim (assist by A. Shved),2,2-0,,
11:21.0,,,2-0,,Turnover by N. Noel (traveling)
11:11.0,Offensive foul by L. Thomas,,2-0,,
11:11.0,Turnover by L. Thomas (offensive foul),,2-0,,
10:54.0,,,2-3,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by I. Smith)
10:30.0,Shooting foul by J. Sampson (drawn by A. Bargnani),,2-3,,
10:30.0,A. Bargnani makes free throw 1 of 2,1,3-3,,
10:30.0,A. Bargnani makes free throw 2 of 2,1,4-3,,
10:20.0,,,4-3,,J. Richardson misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by L. Galloway,,4-3,,
10:11.0,L. Galloway makes 2-pt shot from 20 ft,2,6-3,,
9:57.0,,,6-5,2,I. Smith makes 2-pt shot from 1 ft
9:42.0,A. Shved makes 3-pt shot from 24 ft,3,9-5,,
9:32.0,,,9-5,,L. Mbah a Moute misses 3-pt shot from 26 ft
9:31.0,Defensive rebound by L. Amundson,,9-5,,
9:18.0,L. Amundson misses 2-pt shot from 7 ft (block by N. Noel),,9-5,,
9:16.0,,,9-5,,Defensive rebound by J. Sampson
9:13.0,,,9-5,,I. Smith misses 2-pt shot from 1 ft
9:10.0,Defensive rebound by L. Thomas,,9-5,,
9:04.0,L. Galloway misses 3-pt shot from 25 ft,,9-5,,
9:01.0,,,9-5,,Defensive rebound by L. Mbah a Moute
8:56.0,,,9-7,2,N. Noel makes 2-pt shot from 1 ft (assist by I. Smith)
8:39.0,Turnover by L. Amundson (traveling),,9-7,,
8:21.0,Personal foul by L. Thomas (drawn by J. Sampson),,9-7,,
8:21.0,Q. Acy enters the game for L. Thomas,,9-7,,
8:12.0,,,9-7,,Turnover by I. Smith (bad pass; steal by A. Shved)
8:07.0,A. Shved misses 2-pt shot from 1 ft (block by L. Mbah a Moute),,9-7,,
8:04.0,,,9-7,,Defensive rebound by J. Sampson
8:02.0,,,9-9,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
7:37.0,Q. Acy misses 2-pt shot from 20 ft,,9-9,,
7:36.0,,,9-9,,Defensive rebound by N. Noel
7:30.0,,,9-9,,J. Sampson misses 2-pt shot at rim (block by Q. Acy)
7:29.0,,,9-9,,Offensive rebound by Team
7:22.0,Personal foul by Q. Acy (drawn by N. Noel),,9-9,,
7:13.0,,,9-11,2,I. Smith makes 2-pt shot from 5 ft
6:50.0,A. Shved makes 2-pt shot at rim (assist by L. Galloway),2,11-11,,
6:44.0,,,11-13,2,I. Smith makes 2-pt shot from 2 ft
6:37.0,New York full timeout,,11-13,,
6:37.0,T. Wear enters the game for A. Bargnani,,11-13,,
6:37.0,,,11-13,,J. Grant enters the game for J. Richardson
6:37.0,,,11-13,,H. Thompson enters the game for J. Sampson
6:20.0,L. Amundson misses 2-pt shot from 5 ft,,11-13,,
6:18.0,Offensive rebound by L. Amundson,,11-13,,
6:18.0,L. Amundson misses 2-pt shot from 2 ft,,11-13,,
6:16.0,,,11-13,,Defensive rebound by L. Mbah a Moute
6:09.0,,,11-15,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
5:50.0,Q. Acy misses 2-pt shot from 13 ft,,11-15,,
5:50.0,Offensive rebound by Team,,11-15,,
5:50.0,New York full timeout,,11-15,,
5:41.0,,,11-15,,Personal foul by H. Thompson (drawn by A. Shved)
5:37.0,Turnover by L. Galloway (step out of bounds),,11-15,,
5:23.0,,,11-17,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
