time,Boston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. B. Lopez (T. Young gains possession),,,,Jump ball: B. Bass vs. B. Lopez (T. Young gains possession)
11:40.0,,,0-2,2,J. Johnson makes 2-pt shot from 6 ft
11:25.0,A. Bradley misses 2-pt shot from 18 ft,,0-2,,
11:24.0,Offensive rebound by B. Bass,,0-2,,
11:17.0,B. Bass misses 2-pt shot from 1 ft (block by B. Lopez),,0-2,,
11:16.0,,,0-2,,Defensive rebound by J. Johnson
11:09.0,,,0-2,,J. Johnson misses 3-pt shot from 23 ft
11:08.0,,,0-2,,Offensive rebound by T. Young
11:03.0,,,0-2,,D. Williams misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by A. Bradley,,0-2,,
10:52.0,E. Turner makes 2-pt shot from 14 ft,2,2-2,,
10:40.0,,,2-5,3,T. Young makes 3-pt shot from 25 ft
10:30.0,T. Zeller misses 2-pt shot from 19 ft,,2-5,,
10:29.0,,,2-5,,Defensive rebound by Team
10:21.0,,,2-5,,T. Young misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by T. Zeller,,2-5,,
10:10.0,E. Turner misses 3-pt shot from 24 ft,,2-5,,
10:09.0,,,2-5,,Defensive rebound by T. Young
10:01.0,,,2-5,,M. Brown misses 2-pt shot from 3 ft
10:00.0,Defensive rebound by T. Zeller,,2-5,,
9:50.0,E. Turner misses 2-pt shot from 16 ft,,2-5,,
9:49.0,,,2-5,,Defensive rebound by D. Williams
9:46.0,,,2-5,,Shooting foul by M. Smart (drawn by M. Brown)
9:46.0,,,2-6,1,M. Brown makes free throw 1 of 2
9:46.0,,,2-7,1,M. Brown makes free throw 2 of 2
9:33.0,B. Bass misses 2-pt shot at rim,,2-7,,
9:32.0,Offensive rebound by B. Bass,,2-7,,
9:31.0,B. Bass misses 2-pt shot at rim (block by B. Lopez),,2-7,,
9:30.0,,,2-7,,Defensive rebound by M. Brown
9:19.0,,,2-9,2,T. Young makes 2-pt shot from 1 ft
9:02.0,Turnover by E. Turner (bad pass; steal by T. Young),,2-9,,
9:01.0,,,2-9,,Turnover by T. Young (traveling)
8:50.0,A. Bradley makes 2-pt shot from 19 ft (assist by E. Turner),2,4-9,,
8:35.0,,,4-9,,Shooting foul by T. Zeller (drawn by B. Lopez)
8:35.0,,,4-10,1,B. Lopez makes free throw 1 of 2
8:35.0,,,4-11,1,B. Lopez makes free throw 2 of 2
