time,New York,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. J. Valanciunas,,,,Jump ball: C. Aldrich vs. J. Valanciunas
11:46.0,Personal foul by C. Aldrich (drawn by J. Valanciunas),,0-0,,
11:41.0,,,0-0,,J. Valanciunas misses 2-pt shot from 3 ft (block by C. Aldrich)
11:39.0,,,0-0,,Offensive rebound by T. Ross
11:32.0,,,0-0,,K. Lowry misses 3-pt shot from 23 ft
11:30.0,,,0-0,,Offensive rebound by A. Johnson
11:26.0,,,0-0,,K. Lowry misses 2-pt shot from 21 ft
11:24.0,,,0-0,,Offensive rebound by J. Johnson
11:21.0,,,0-2,2,J. Johnson makes 2-pt shot at rim
10:57.0,Q. Acy misses 2-pt shot from 18 ft (block by J. Johnson),,0-2,,
10:57.0,Offensive rebound by Team,,0-2,,
10:55.0,T. Hardaway makes 2-pt shot from 16 ft (assist by C. Anthony),2,2-2,,
10:37.0,,,2-4,2,T. Ross makes 2-pt shot from 18 ft (assist by K. Lowry)
10:25.0,,,2-4,,Personal foul by J. Johnson (drawn by C. Anthony)
10:15.0,T. Hardaway misses 2-pt shot from 3 ft,,2-4,,
10:14.0,,,2-4,,Defensive rebound by A. Johnson
10:14.0,,,2-4,,Turnover by A. Johnson (lost ball)
9:59.0,J. Calderon misses 2-pt shot from 21 ft,,2-4,,
9:57.0,,,2-4,,Defensive rebound by J. Valanciunas
9:49.0,,,2-7,3,T. Ross makes 3-pt shot from 22 ft (assist by K. Lowry)
9:30.0,C. Anthony makes 3-pt shot from 24 ft (assist by T. Hardaway),3,5-7,,
9:14.0,,,5-7,,T. Ross misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by Team,,5-7,,
8:50.0,J. Calderon misses 3-pt shot from 24 ft,,5-7,,
8:48.0,,,5-7,,Defensive rebound by J. Valanciunas
8:36.0,,,5-7,,A. Johnson misses 2-pt shot from 9 ft
8:35.0,Defensive rebound by C. Aldrich,,5-7,,
8:14.0,Turnover by Q. Acy (lost ball; steal by A. Johnson),,5-7,,
7:59.0,,,5-7,,J. Valanciunas misses 2-pt shot from 2 ft
7:58.0,Defensive rebound by Q. Acy,,5-7,,
7:42.0,C. Anthony misses 3-pt shot from 24 ft,,5-7,,
7:37.0,Offensive rebound by T. Hardaway,,5-7,,
7:35.0,Shooting foul by J. Johnson (drawn by T. Hardaway),,5-7,,
7:35.0,T. Hardaway makes free throw 1 of 2,1,6-7,,
7:35.0,,,6-7,,G. Vasquez enters the game for J. Johnson
7:35.0,S. Dalembert enters the game for C. Aldrich,,6-7,,
7:35.0,T. Hardaway makes free throw 2 of 2,1,7-7,,
7:15.0,,,7-7,,T. Ross misses 3-pt shot from 24 ft
7:14.0,,,7-7,,Offensive rebound by J. Valanciunas
7:11.0,,,7-9,2,T. Ross makes 2-pt shot at rim (assist by J. Valanciunas)
6:49.0,Q. Acy misses 2-pt shot from 15 ft,,7-9,,
6:48.0,,,7-9,,Defensive rebound by K. Lowry
6:41.0,,,7-12,3,K. Lowry makes 3-pt shot from 24 ft
6:33.0,Offensive foul by C. Anthony,,7-12,,
6:33.0,Turnover by C. Anthony (offensive foul),,7-12,,
6:22.0,,,7-15,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
6:15.0,New York full timeout,,7-15,,
6:01.0,C. Anthony misses 2-pt shot from 13 ft,,7-15,,
5:59.0,,,7-15,,Defensive rebound by J. Valanciunas
5:55.0,,,7-15,,Shooting foul by T. Hardaway (drawn by K. Lowry)
5:55.0,,,7-16,1,K. Lowry makes free throw 1 of 2
5:55.0,J. Smith enters the game for Q. Acy,,7-16,,
5:55.0,,,7-17,1,K. Lowry makes free throw 2 of 2
5:39.0,J. Calderon makes 2-pt shot from 17 ft,2,9-17,,
5:16.0,,,9-19,2,J. Valanciunas makes 2-pt shot from 8 ft
4:55.0,Shooting foul by A. Johnson (drawn by C. Anthony),,9-19,,
4:55.0,C. Anthony makes 2-pt shot from 6 ft (assist by J. Calderon),2,11-19,,
4:55.0,P. Prigioni enters the game for T. Hardaway,,11-19,,
4:55.0,C. Anthony makes free throw 1 of 1,1,12-19,,
4:42.0,,,12-19,,Shooting foul by J. Calderon (drawn by J. Valanciunas)
4:42.0,,,12-20,1,J. Valanciunas makes free throw 1 of 2
4:42.0,,,12-20,,P. Patterson enters the game for A. Johnson
4:42.0,,,12-21,1,J. Valanciunas makes free throw 2 of 2
4:21.0,C. Anthony makes 2-pt shot from 20 ft (assist by J. Calderon),2,14-21,,
4:06.0,,,14-21,,T. Ross misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by J. Calderon,,14-21,,
4:00.0,C. Anthony misses 2-pt shot from 2 ft,,14-21,,
3:58.0,,,14-21,,Defensive rebound by T. Ross
