time,Sacramento,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Thompson,,,,Jump ball: T. Mozgov vs. J. Thompson
11:43.0,,,0-0,,K. Faried misses 2-pt shot from 7 ft
11:41.0,Defensive rebound by R. Gay,,0-0,,
11:29.0,Turnover by R. Gay (bad pass),,0-0,,
11:12.0,,,0-0,,K. Faried misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by J. Thompson,,0-0,,
11:06.0,B. McLemore misses 3-pt shot from 24 ft,,0-0,,
11:05.0,Offensive rebound by J. Thompson,,0-0,,
10:50.0,D. Cousins misses 2-pt shot from 1 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by T. Mozgov
10:39.0,,,0-0,,A. Afflalo misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by D. Collison,,0-0,,
10:29.0,J. Thompson misses 2-pt shot from 1 ft (block by T. Mozgov),,0-0,,
10:27.0,,,0-0,,Defensive rebound by T. Mozgov
10:20.0,,,0-0,,T. Lawson misses 2-pt shot at rim
10:19.0,,,0-0,,Offensive rebound by T. Lawson
10:18.0,,,0-0,,Shooting foul by D. Cousins (drawn by T. Lawson)
10:18.0,,,0-0,,T. Lawson misses free throw 1 of 2
10:18.0,,,0-0,,Offensive rebound by Team
10:18.0,,,0-1,1,T. Lawson makes free throw 2 of 2
10:01.0,D. Collison misses 2-pt shot from 16 ft,,0-1,,
9:59.0,,,0-1,,Defensive rebound by W. Chandler
9:54.0,,,0-1,,Turnover by W. Chandler (traveling)
9:38.0,R. Gay misses 2-pt shot from 15 ft,,0-1,,
9:37.0,,,0-1,,Defensive rebound by Team
9:27.0,,,0-3,2,T. Mozgov makes 2-pt shot from 1 ft (assist by T. Lawson)
9:20.0,,,0-3,,Personal foul by W. Chandler (drawn by D. Cousins)
9:13.0,D. Cousins misses 2-pt shot from 14 ft,,0-3,,
9:12.0,,,0-3,,Defensive rebound by W. Chandler
9:04.0,,,0-3,,T. Mozgov misses 2-pt shot from 14 ft
9:02.0,Defensive rebound by B. McLemore,,0-3,,
8:57.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,2-3,,
8:57.0,Shooting foul by T. Mozgov (drawn by D. Cousins),,2-3,,
8:57.0,D. Cousins makes free throw 1 of 1,1,3-3,,
8:38.0,,,3-3,,A. Afflalo misses 2-pt shot from 11 ft
8:36.0,Defensive rebound by J. Thompson,,3-3,,
8:29.0,,,3-3,,Personal foul by W. Chandler (drawn by J. Thompson)
8:21.0,R. Gay makes 2-pt shot from 8 ft,2,5-3,,
8:07.0,,,5-3,,W. Chandler misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by D. Collison,,5-3,,
7:58.0,,,5-3,,Personal foul by T. Mozgov (drawn by D. Cousins)
7:58.0,,,5-3,,J. McGee enters the game for T. Mozgov
7:48.0,R. Gay misses 2-pt shot from 3 ft,,5-3,,
7:47.0,,,5-3,,Defensive rebound by J. McGee
7:40.0,,,5-3,,A. Afflalo misses 2-pt shot from 9 ft
7:37.0,Defensive rebound by B. McLemore,,5-3,,
7:37.0,Offensive foul by R. Gay,,5-3,,
7:37.0,Turnover by R. Gay (offensive foul),,5-3,,
7:28.0,,,5-3,,T. Lawson misses 2-pt shot from 2 ft
7:27.0,Defensive rebound by Team,,5-3,,
7:12.0,Turnover by B. McLemore (step out of bounds),,5-3,,
6:52.0,,,5-3,,J. McGee misses 2-pt shot at rim
6:50.0,Defensive rebound by D. Cousins,,5-3,,
6:45.0,D. Collison misses 2-pt shot from 2 ft (block by J. McGee),,5-3,,
6:41.0,Offensive rebound by J. Thompson,,5-3,,
6:41.0,J. Thompson makes 2-pt shot at rim,2,7-3,,
6:38.0,,,7-3,,Shooting foul by D. Collison (drawn by T. Lawson)
6:38.0,,,7-4,1,T. Lawson makes free throw 1 of 2
6:38.0,,,7-5,1,T. Lawson makes free throw 2 of 2
6:29.0,,,7-5,,Personal foul by J. McGee (drawn by D. Cousins)
6:29.0,D. Cousins misses free throw 1 of 2,,7-5,,
6:29.0,Offensive rebound by Team,,7-5,,
6:29.0,D. Cousins makes free throw 2 of 2,1,8-5,,
6:26.0,Personal foul by B. McLemore (drawn by A. Afflalo),,8-5,,
6:14.0,Violation by D. Cousins (def goaltending),,8-5,,
6:14.0,,,8-7,2,J. McGee makes 2-pt shot from 1 ft (assist by T. Lawson)
5:52.0,D. Cousins misses 2-pt shot from 3 ft (block by J. McGee),,8-7,,
5:51.0,Offensive rebound by Team,,8-7,,
5:50.0,Turnover by Team (shot clock),,8-7,,
5:50.0,,,8-7,,Denver full timeout
5:50.0,N. Stauskas enters the game for R. Gay,,8-7,,
5:50.0,O. Casspi enters the game for B. McLemore,,8-7,,
5:50.0,,,8-7,,D. Gallinari enters the game for W. Chandler
5:35.0,,,8-7,,Turnover by J. McGee (bad pass; steal by D. Cousins)
5:21.0,,,8-7,,Personal foul by J. McGee (drawn by D. Cousins)
5:21.0,D. Cousins makes free throw 1 of 2,1,9-7,,
5:21.0,,,9-7,,J. Nurkic enters the game for J. McGee
5:21.0,D. Cousins makes free throw 2 of 2,1,10-7,,
5:13.0,Personal foul by N. Stauskas (drawn by A. Afflalo),,10-7,,
5:08.0,Personal foul by N. Stauskas (drawn by A. Afflalo),,10-7,,
5:08.0,,,10-8,1,A. Afflalo makes free throw 1 of 2
5:08.0,,,10-9,1,A. Afflalo makes free throw 2 of 2
4:44.0,D. Cousins makes 2-pt shot from 1 ft,2,12-9,,
4:35.0,,,12-9,,K. Faried misses 2-pt shot from 4 ft
4:34.0,,,12-9,,Offensive rebound by J. Nurkic
4:33.0,,,12-9,,J. Nurkic misses 2-pt shot from 2 ft
4:33.0,Defensive rebound by Team,,12-9,,
4:33.0,,,12-9,,Technical foul by K. Faried
4:33.0,D. Collison makes technical free throw,1,13-9,,
4:29.0,Turnover by D. Cousins (lost ball),,13-9,,
4:17.0,Personal foul by N. Stauskas (drawn by A. Afflalo),,13-9,,
4:17.0,,,13-10,1,A. Afflalo makes free throw 1 of 2
4:17.0,D. Williams enters the game for N. Stauskas,,13-10,,
4:17.0,,,13-11,1,A. Afflalo makes free throw 2 of 2
4:11.0,Turnover by D. Williams (bad pass),,13-11,,
4:04.0,,,13-11,,Turnover by T. Lawson (bad pass; steal by D. Williams)
3:59.0,O. Casspi makes 2-pt shot at rim (assist by D. Williams),2,15-11,,
3:46.0,,,15-11,,D. Gallinari misses 2-pt shot from 1 ft
3:45.0,,,15-11,,Offensive rebound by J. Nurkic
3:45.0,,,15-11,,J. Nurkic misses 2-pt shot from 2 ft
3:43.0,Defensive rebound by J. Thompson,,15-11,,
3:33.0,O. Casspi misses 2-pt shot from 7 ft,,15-11,,
3:32.0,,,15-11,,Defensive rebound by K. Faried
3:28.0,,,15-13,2,K. Faried makes 2-pt shot from 1 ft
3:06.0,D. Cousins misses 2-pt shot from 2 ft (block by J. Nurkic),,15-13,,
3:04.0,Offensive rebound by D. Collison,,15-13,,
2:57.0,J. Thompson misses 2-pt shot from 9 ft,,15-13,,
2:55.0,,,15-13,,Defensive rebound by J. Nurkic
2:55.0,,,15-13,,Turnover by J. Nurkic (step out of bounds)
2:55.0,Sacramento full timeout,,15-13,,
2:54.0,R. Sessions enters the game for D. Cousins,,15-13,,
2:54.0,R. Evans enters the game for D. Collison,,15-13,,
2:39.0,R. Evans misses 2-pt shot at rim,,15-13,,
2:38.0,Offensive rebound by J. Thompson,,15-13,,
2:37.0,J. Thompson makes 2-pt shot at rim,2,17-13,,
2:24.0,,,17-15,2,A. Afflalo makes 2-pt shot from 4 ft (assist by T. Lawson)
2:24.0,,,17-15,,Shooting foul by D. Williams (drawn by A. Afflalo)
2:24.0,,,17-16,1,A. Afflalo makes free throw 1 of 1
2:12.0,Shooting foul by A. Afflalo (drawn by D. Williams),,17-16,,
2:12.0,D. Williams makes free throw 1 of 2,1,18-16,,
2:12.0,C. Landry enters the game for J. Thompson,,18-16,,
2:12.0,,,18-16,,D. Arthur enters the game for K. Faried
2:12.0,D. Williams makes free throw 2 of 2,1,19-16,,
1:57.0,,,19-16,,A. Afflalo misses 2-pt shot from 13 ft
1:55.0,Defensive rebound by R. Evans,,19-16,,
1:44.0,D. Williams misses 2-pt shot from 8 ft,,19-16,,
1:42.0,,,19-16,,Defensive rebound by D. Arthur
1:33.0,,,19-16,,J. Nurkic misses 2-pt shot from 6 ft
1:31.0,,,19-16,,Offensive rebound by J. Nurkic
1:27.0,,,19-18,2,J. Nurkic makes 2-pt shot at rim
1:11.0,R. Sessions misses 2-pt shot from 20 ft,,19-18,,
1:08.0,,,19-18,,Defensive rebound by J. Nurkic
1:08.0,Personal foul by C. Landry (drawn by D. Arthur),,19-18,,
1:08.0,,,19-19,1,D. Arthur makes free throw 1 of 2
1:08.0,,,19-19,,R. Foye enters the game for A. Afflalo
1:08.0,,,19-20,1,D. Arthur makes free throw 2 of 2
0:58.0,Offensive charge foul by R. Sessions,,19-20,,
0:58.0,Turnover by R. Sessions (offensive foul),,19-20,,
0:45.0,,,19-22,2,D. Arthur makes 2-pt shot from 7 ft (assist by T. Lawson)
