time,Sacramento,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Cousins (D. Green gains possession),,,,Jump ball: A. Bogut vs. D. Cousins (D. Green gains possession)
11:46.0,,,0-0,,K. Thompson misses 2-pt shot from 16 ft
11:45.0,Defensive rebound by D. Williams,,0-0,,
11:32.0,D. Cousins makes 2-pt shot from 14 ft (assist by D. Collison),2,2-0,,
11:19.0,,,2-2,2,S. Curry makes 2-pt shot at rim (assist by A. Bogut)
11:04.0,Turnover by D. Collison (bad pass; steal by H. Barnes),,2-2,,
11:01.0,,,2-2,,Turnover by H. Barnes (lost ball)
10:40.0,D. Collison makes 2-pt shot at rim (assist by B. McLemore),2,4-2,,
10:28.0,,,4-4,2,K. Thompson makes 2-pt shot from 1 ft
10:08.0,D. Williams makes 2-pt shot from 1 ft (assist by R. Gay),2,6-4,,
9:57.0,,,6-7,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
9:48.0,B. McLemore misses 3-pt shot from 25 ft,,6-7,,
9:46.0,,,6-7,,Defensive rebound by D. Green
9:32.0,,,6-10,3,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut)
9:15.0,R. Gay misses 2-pt shot from 6 ft,,6-10,,
9:13.0,,,6-10,,Defensive rebound by A. Bogut
9:08.0,,,6-10,,S. Curry misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by D. Cousins,,6-10,,
9:01.0,Turnover by D. Cousins (bad pass),,6-10,,
8:52.0,,,6-12,2,A. Bogut makes 2-pt shot from 8 ft (assist by S. Curry)
8:44.0,Sacramento full timeout,,6-12,,
8:37.0,D. Cousins misses 2-pt shot from 17 ft,,6-12,,
8:36.0,,,6-12,,Defensive rebound by Team
8:36.0,Loose ball foul by D. Williams (drawn by D. Green),,6-12,,
8:26.0,,,6-15,3,K. Thompson makes 3-pt shot from 25 ft (assist by H. Barnes)
8:08.0,D. Cousins misses 2-pt shot from 16 ft,,6-15,,
8:07.0,,,6-15,,Defensive rebound by H. Barnes
7:57.0,,,6-17,2,A. Bogut makes 2-pt shot from 8 ft (assist by K. Thompson)
7:45.0,Turnover by D. Collison (bad pass; steal by K. Thompson),,6-17,,
7:38.0,,,6-17,,H. Barnes misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by D. Williams,,6-17,,
7:32.0,Turnover by D. Collison (lost ball),,6-17,,
7:21.0,,,6-20,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
7:05.0,Shooting foul by K. Thompson (drawn by D. Williams),,6-20,,
7:05.0,D. Williams makes free throw 1 of 2,1,7-20,,
7:05.0,D. Williams makes free throw 2 of 2,1,8-20,,
6:49.0,,,8-22,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Green)
6:38.0,B. McLemore misses 2-pt shot from 2 ft (block by K. Thompson),,8-22,,
6:36.0,,,8-22,,Defensive rebound by S. Curry
6:32.0,,,8-22,,K. Thompson misses 3-pt shot from 26 ft
6:30.0,,,8-22,,Offensive rebound by H. Barnes
6:30.0,,,8-24,2,H. Barnes makes 2-pt shot at rim
6:25.0,Sacramento full timeout,,8-24,,
6:25.0,N. Stauskas enters the game for D. Williams,,8-24,,
6:25.0,Q. Miller enters the game for B. McLemore,,8-24,,
6:15.0,D. Cousins misses 2-pt shot at rim,,8-24,,
6:13.0,,,8-24,,Defensive rebound by K. Thompson
6:07.0,,,8-24,,Shooting foul by N. Stauskas (drawn by K. Thompson)
6:07.0,,,8-25,1,K. Thompson makes free throw 1 of 2
6:07.0,,,8-26,1,K. Thompson makes free throw 2 of 2
5:43.0,D. Cousins misses 2-pt shot from 16 ft,,8-26,,
5:42.0,Offensive rebound by Team,,8-26,,
5:39.0,Turnover by Team (shot clock),,8-26,,
5:31.0,,,8-26,,A. Bogut misses 2-pt shot from 1 ft
5:30.0,Defensive rebound by R. Gay,,8-26,,
5:21.0,R. Gay misses 2-pt shot from 2 ft,,8-26,,
5:20.0,,,8-26,,Defensive rebound by D. Green
5:09.0,,,8-26,,D. Green misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by D. Cousins,,8-26,,
4:45.0,D. Collison misses 3-pt shot from 25 ft,,8-26,,
4:43.0,Offensive rebound by D. Collison,,8-26,,
4:31.0,N. Stauskas makes 3-pt shot from 25 ft (assist by R. Gay),3,11-26,,
4:22.0,,,11-26,,S. Curry misses 3-pt shot from 26 ft
4:21.0,,,11-26,,Offensive rebound by H. Barnes
4:10.0,,,11-26,,Turnover by K. Thompson (lost ball)
4:10.0,,,11-26,,B. Rush enters the game for H. Barnes
4:01.0,Shooting foul by A. Bogut (drawn by D. Cousins),,11-26,,
4:01.0,D. Cousins makes free throw 1 of 2,1,12-26,,
4:01.0,D. Cousins misses free throw 2 of 2,,12-26,,
4:00.0,,,12-26,,Defensive rebound by A. Bogut
3:46.0,,,12-26,,K. Thompson misses 2-pt shot at rim
3:44.0,,,12-26,,Offensive rebound by Team
3:40.0,,,12-26,,Turnover by K. Thompson (bad pass; steal by D. Collison)
3:37.0,,,12-26,,J. Holiday enters the game for K. Thompson
3:32.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Gay),2,14-26,,
3:05.0,,,14-26,,J. Holiday misses 3-pt shot from 23 ft
3:04.0,Defensive rebound by R. Gay,,14-26,,
2:58.0,Turnover by Q. Miller (lost ball),,14-26,,
2:58.0,O. Casspi enters the game for R. Gay,,14-26,,
2:58.0,,,14-26,,Golden State full timeout
2:58.0,,,14-26,,M. Speights enters the game for A. Bogut
2:44.0,,,14-29,3,D. Green makes 3-pt shot from 24 ft (assist by J. Holiday)
2:24.0,N. Stauskas makes 2-pt shot from 2 ft,2,16-29,,
2:12.0,,,16-31,2,M. Speights makes 2-pt shot from 17 ft (assist by S. Curry)
1:51.0,Turnover by O. Casspi (lost ball),,16-31,,
1:43.0,,,16-31,,Turnover by S. Curry (bad pass; steal by Q. Miller)
1:39.0,Q. Miller misses 2-pt shot from 1 ft (block by M. Speights),,16-31,,
1:37.0,Offensive rebound by D. Collison,,16-31,,
1:37.0,D. Collison makes 2-pt shot from 1 ft,2,18-31,,
1:17.0,,,18-31,,Turnover by B. Rush (bad pass; steal by D. Collison)
1:12.0,Shooting foul by D. Green (drawn by O. Casspi),,18-31,,
1:12.0,O. Casspi makes free throw 1 of 2,1,19-31,,
1:12.0,O. Casspi makes free throw 2 of 2,1,20-31,,
1:01.0,,,20-31,,Turnover by M. Speights (bad pass)
0:57.0,D. Collison makes 2-pt shot at rim,2,22-31,,
0:51.0,,,22-34,3,S. Curry makes 3-pt shot from 27 ft
0:32.0,D. Cousins misses 2-pt shot from 2 ft (block by B. Rush),,22-34,,
0:31.0,Offensive rebound by D. Cousins,,22-34,,
0:31.0,D. Cousins makes 2-pt shot from 1 ft,2,24-34,,
0:31.0,Shooting foul by D. Green (drawn by D. Cousins),,24-34,,
0:31.0,,,24-34,,D. Lee enters the game for D. Green
0:31.0,D. Cousins makes free throw 1 of 1,1,25-34,,
0:10.0,,,25-34,,M. Speights misses 2-pt shot from 19 ft
0:08.0,Defensive rebound by D. Collison,,25-34,,
0:02.0,Q. Miller misses 2-pt shot from 1 ft,,25-34,,
0:01.0,,,25-34,,Defensive rebound by B. Rush
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,D. Collison makes 2-pt shot from 13 ft,2,27-34,,
11:33.0,,,27-34,,S. Livingston misses 2-pt shot from 14 ft
11:32.0,Defensive rebound by N. Stauskas,,27-34,,
11:22.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Gay),2,29-34,,
10:59.0,,,29-34,,M. Speights misses 2-pt shot at rim
10:57.0,Defensive rebound by R. Gay,,29-34,,
10:51.0,R. Gay misses 3-pt shot from 25 ft,,29-34,,
10:50.0,,,29-34,,Defensive rebound by M. Speights
10:35.0,,,29-34,,D. Lee misses 2-pt shot from 6 ft
10:33.0,Defensive rebound by O. Casspi,,29-34,,
10:29.0,O. Casspi makes 2-pt shot from 1 ft,2,31-34,,
10:02.0,,,31-36,2,J. Holiday makes 2-pt shot from 21 ft
9:54.0,Sacramento full timeout,,31-36,,
9:54.0,,,31-36,,K. Thompson enters the game for B. Rush
9:54.0,J. Thompson enters the game for D. Cousins,,31-36,,
9:52.0,,,31-36,,Personal foul by J. Holiday (drawn by R. Gay)
9:45.0,R. Gay misses 2-pt shot from 17 ft,,31-36,,
9:42.0,,,31-36,,Defensive rebound by D. Lee
9:31.0,,,31-38,2,S. Livingston makes 2-pt shot from 9 ft
9:08.0,N. Stauskas misses 2-pt shot from 13 ft (block by S. Livingston),,31-38,,
9:05.0,Offensive rebound by O. Casspi,,31-38,,
9:04.0,O. Casspi misses 2-pt shot from 16 ft,,31-38,,
9:04.0,Offensive rebound by Team,,31-38,,
