time,Detroit,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. A. Drummond (K. Caldwell-Pope gains possession),,,,Jump ball: B. Bass vs. A. Drummond (K. Caldwell-Pope gains possession)
11:48.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by R. Jackson),2,2-0,,
11:29.0,,,2-0,,B. Bass misses 2-pt shot from 12 ft
11:28.0,Defensive rebound by A. Drummond,,2-0,,
11:11.0,R. Jackson makes 2-pt shot from 8 ft (assist by A. Drummond),2,4-0,,
10:51.0,,,4-2,2,B. Bass makes 2-pt shot from 17 ft (assist by A. Bradley)
10:25.0,Turnover by C. Butler (bad pass; steal by T. Zeller),,4-2,,
10:15.0,,,4-4,2,B. Bass makes 2-pt shot from 13 ft (assist by A. Bradley)
9:57.0,A. Drummond makes 2-pt shot from 8 ft,2,6-4,,
9:41.0,,,6-6,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
9:24.0,C. Butler makes 2-pt shot from 20 ft,2,8-6,,
9:07.0,,,8-8,2,B. Bass makes 2-pt shot at rim (assist by J. Crowder)
8:44.0,A. Drummond misses 2-pt shot from 13 ft,,8-8,,
8:43.0,,,8-8,,Defensive rebound by J. Crowder
8:35.0,,,8-8,,B. Bass misses 2-pt shot from 14 ft
8:34.0,Defensive rebound by R. Jackson,,8-8,,
8:28.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,8-8,,
8:27.0,,,8-8,,Defensive rebound by A. Bradley
8:12.0,,,8-8,,Shooting foul by A. Tolliver (drawn by T. Zeller)
8:12.0,,,8-9,1,T. Zeller makes free throw 1 of 2
8:12.0,,,8-10,1,T. Zeller makes free throw 2 of 2
7:57.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by R. Jackson),2,10-10,,
7:41.0,,,10-12,2,E. Turner makes 2-pt shot from 5 ft
7:21.0,C. Butler misses 2-pt shot from 15 ft,,10-12,,
7:20.0,Offensive rebound by A. Drummond,,10-12,,
7:16.0,Turnover by K. Caldwell-Pope (traveling),,10-12,,
7:01.0,,,10-12,,T. Zeller misses 2-pt shot from 7 ft
7:00.0,Defensive rebound by R. Jackson,,10-12,,
6:48.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,10-12,,
6:47.0,,,10-12,,Defensive rebound by E. Turner
6:44.0,Personal foul by C. Butler (drawn by B. Bass),,10-12,,
6:31.0,,,10-12,,J. Crowder misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by A. Drummond,,10-12,,
6:24.0,C. Butler makes 3-pt shot from 23 ft (assist by R. Jackson),3,13-12,,
6:24.0,Shooting foul by J. Crowder (drawn by C. Butler),,13-12,,
6:24.0,C. Butler makes free throw 1 of 1,1,14-12,,
6:15.0,,,14-14,2,A. Bradley makes 2-pt shot from 21 ft (assist by T. Zeller)
5:52.0,A. Tolliver misses 3-pt shot from 22 ft,,14-14,,
5:51.0,Offensive rebound by A. Drummond,,14-14,,
5:46.0,R. Jackson makes 2-pt shot from 1 ft (assist by A. Drummond),2,16-14,,
5:36.0,,,16-16,2,T. Zeller makes 2-pt shot from 20 ft (assist by E. Turner)
5:28.0,C. Butler misses 2-pt shot from 17 ft,,16-16,,
5:27.0,Offensive rebound by A. Drummond,,16-16,,
5:23.0,A. Drummond makes 2-pt shot from 6 ft,2,18-16,,
5:09.0,,,18-16,,T. Zeller misses 2-pt shot from 17 ft
5:08.0,Defensive rebound by A. Drummond,,18-16,,
5:03.0,,,18-16,,Violation by J. Crowder (kicked ball)
5:03.0,,,18-16,,Boston full timeout
5:03.0,,,18-16,,K. Olynyk enters the game for T. Zeller
5:03.0,,,18-16,,L. Datome enters the game for J. Crowder
4:57.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by B. Bass),,18-16,,
4:56.0,,,18-16,,Defensive rebound by K. Olynyk
4:37.0,,,18-16,,A. Bradley misses 2-pt shot from 19 ft
4:36.0,Defensive rebound by Team,,18-16,,
4:27.0,,,18-16,,Personal foul by K. Olynyk (drawn by A. Drummond)
4:18.0,R. Jackson misses 2-pt shot from 18 ft,,18-16,,
4:17.0,,,18-16,,Defensive rebound by E. Turner
4:11.0,Personal foul by R. Jackson (drawn by E. Turner),,18-16,,
4:11.0,J. Meeks enters the game for C. Butler,,18-16,,
4:04.0,,,18-16,,B. Bass misses 2-pt shot from 16 ft
4:03.0,Defensive rebound by K. Caldwell-Pope,,18-16,,
3:46.0,A. Drummond misses 2-pt shot from 3 ft (block by B. Bass),,18-16,,
3:45.0,,,18-16,,Defensive rebound by B. Bass
3:36.0,,,18-16,,Turnover by A. Bradley (lost ball)
3:19.0,A. Tolliver misses 2-pt shot from 2 ft (block by K. Olynyk),,18-16,,
3:18.0,Offensive rebound by Team,,18-16,,
3:07.0,A. Tolliver misses 2-pt shot from 11 ft,,18-16,,
3:06.0,,,18-16,,Defensive rebound by E. Turner
2:59.0,Detroit full timeout,,18-16,,
2:51.0,,,18-16,,E. Turner misses 3-pt shot from 22 ft
2:49.0,Defensive rebound by A. Drummond,,18-16,,
2:43.0,Turnover by R. Jackson (bad pass),,18-16,,
2:22.0,,,18-19,3,B. Bass makes 3-pt shot from 23 ft (assist by K. Olynyk)
1:54.0,A. Drummond misses 2-pt shot from 9 ft,,18-19,,
1:52.0,,,18-19,,Defensive rebound by E. Turner
1:42.0,,,18-19,,K. Olynyk misses 2-pt shot from 1 ft (block by A. Drummond)
1:41.0,Defensive rebound by R. Jackson,,18-19,,
1:32.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,20-19,,
1:15.0,,,20-21,2,E. Turner makes 2-pt shot from 13 ft
1:01.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,20-21,,
1:00.0,Offensive rebound by A. Drummond,,20-21,,
1:00.0,A. Drummond makes 2-pt shot at rim,2,22-21,,
0:43.0,,,22-21,,Turnover by L. Datome (bad pass; steal by K. Caldwell-Pope)
0:41.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson),2,24-21,,
0:28.0,,,24-21,,Shooting foul by A. Drummond (drawn by A. Bradley)
0:28.0,,,24-22,1,A. Bradley makes free throw 1 of 2
0:28.0,,,24-22,,P. Pressey enters the game for E. Turner
0:28.0,,,24-22,,J. Crowder enters the game for L. Datome
0:28.0,,,24-23,1,A. Bradley makes free throw 2 of 2
0:08.0,R. Jackson makes 2-pt shot at rim,2,26-23,,
0:04.0,,,26-23,,J. Crowder misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by R. Jackson,,26-23,,
0:00.0,R. Jackson misses 3-pt shot from 61 ft,,26-23,,
0:00.0,Offensive rebound by Team,,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,26-23,,K. Olynyk misses 3-pt shot from 23 ft
11:49.0,Defensive rebound by S. Dinwiddie,,26-23,,
11:40.0,A. Drummond misses 2-pt shot from 6 ft,,26-23,,
11:39.0,,,26-23,,Defensive rebound by J. Crowder
11:27.0,,,26-23,,J. Crowder misses 2-pt shot from 2 ft (block by A. Drummond)
