time,Washington,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Gortat (M. Conley gains possession),,,,Jump ball: M. Gasol vs. M. Gortat (M. Conley gains possession)
11:35.0,,,0-0,,J. Green misses 2-pt shot from 12 ft
11:32.0,Defensive rebound by D. Gooden,,0-0,,
11:16.0,O. Porter misses 3-pt shot from 25 ft,,0-0,,
11:16.0,Offensive rebound by B. Beal,,0-0,,
11:05.0,M. Gortat misses 2-pt shot from 8 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by J. Green
10:56.0,,,0-0,,Shooting foul by B. Beal (drawn by M. Conley)
10:56.0,,,0-1,1,M. Conley makes free throw 1 of 2
10:56.0,,,0-2,1,M. Conley makes free throw 2 of 2
10:38.0,J. Wall makes 3-pt shot from 23 ft (assist by M. Gortat),3,3-2,,
10:19.0,,,3-2,,M. Conley misses 2-pt shot from 14 ft
10:17.0,Defensive rebound by M. Gortat,,3-2,,
10:09.0,D. Gooden makes 2-pt shot at rim,2,5-2,,
10:00.0,,,5-4,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
9:43.0,D. Gooden makes 3-pt shot from 25 ft (assist by J. Wall),3,8-4,,
9:21.0,,,8-6,2,M. Conley makes 2-pt shot from 8 ft
9:09.0,B. Beal makes 2-pt shot from 15 ft (assist by J. Wall),2,10-6,,
8:52.0,,,10-8,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol)
8:25.0,J. Wall misses 2-pt shot from 3 ft (block by M. Conley),,10-8,,
8:25.0,Offensive rebound by Team,,10-8,,
8:25.0,Turnover by Team (shot clock),,10-8,,
8:13.0,,,10-8,,Turnover by Z. Randolph (bad pass; steal by M. Gortat)
8:00.0,B. Beal makes 2-pt shot at rim (assist by D. Gooden),2,12-8,,
7:59.0,,,12-8,,Memphis full timeout
7:46.0,,,12-10,2,C. Lee makes 2-pt shot from 16 ft (assist by J. Green)
7:21.0,O. Porter misses 2-pt shot from 17 ft,,12-10,,
7:18.0,,,12-10,,Defensive rebound by M. Gasol
7:04.0,Personal foul by O. Porter (drawn by M. Gasol),,12-10,,
6:55.0,,,12-10,,Shooting foul by O. Porter (drawn by J. Green)
6:55.0,,,12-11,1,J. Green makes free throw 1 of 2
6:55.0,R. Butler enters the game for O. Porter,,12-11,,
6:55.0,,,12-12,1,J. Green makes free throw 2 of 2
6:45.0,J. Wall misses 2-pt shot from 1 ft,,12-12,,
6:44.0,,,12-12,,Defensive rebound by Z. Randolph
6:24.0,,,12-12,,J. Green misses 2-pt shot from 20 ft
6:22.0,Defensive rebound by J. Wall,,12-12,,
6:17.0,,,12-12,,Personal foul by C. Lee (drawn by B. Beal)
6:02.0,R. Butler makes 2-pt shot from 20 ft,2,14-12,,
5:44.0,,,14-12,,M. Gasol misses 2-pt shot from 12 ft
5:41.0,Defensive rebound by J. Wall,,14-12,,
5:37.0,R. Butler makes 2-pt shot from 7 ft (assist by J. Wall),2,16-12,,
5:11.0,,,16-14,2,C. Lee makes 2-pt shot from 14 ft (assist by M. Conley)
5:01.0,B. Beal misses 2-pt shot from 14 ft,,16-14,,
5:00.0,,,16-14,,Defensive rebound by M. Gasol
4:53.0,,,16-14,,M. Conley misses 2-pt shot from 9 ft
4:52.0,Defensive rebound by B. Beal,,16-14,,
4:40.0,J. Wall makes 2-pt shot from 11 ft,2,18-14,,
4:26.0,,,18-14,,Turnover by Z. Randolph (offensive foul)
4:26.0,,,18-14,,Offensive foul by Z. Randolph
4:26.0,,,18-14,,K. Koufos enters the game for M. Gasol
4:26.0,,,18-14,,N. Calathes enters the game for J. Green
4:26.0,R. Sessions enters the game for B. Beal,,18-14,,
4:09.0,R. Sessions misses 2-pt shot from 7 ft,,18-14,,
4:08.0,,,18-14,,Defensive rebound by Z. Randolph
3:53.0,,,18-16,2,N. Calathes makes 2-pt shot from 3 ft (assist by M. Conley)
3:37.0,Turnover by J. Wall (bad pass),,18-16,,
3:27.0,,,18-16,,M. Conley misses 3-pt shot from 26 ft
3:25.0,Defensive rebound by J. Wall,,18-16,,
3:06.0,Shooting foul by N. Calathes (drawn by M. Gortat),,18-16,,
3:06.0,M. Gortat makes free throw 1 of 2,1,19-16,,
3:06.0,K. Humphries enters the game for D. Gooden,,19-16,,
3:06.0,M. Gortat makes free throw 2 of 2,1,20-16,,
2:52.0,,,20-18,2,K. Koufos makes 2-pt shot at rim (assist by M. Conley)
2:36.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,22-18,,
2:21.0,,,22-18,,N. Calathes misses 2-pt shot from 20 ft
2:20.0,Defensive rebound by R. Sessions,,22-18,,
2:13.0,J. Wall misses 2-pt shot from 19 ft,,22-18,,
2:11.0,,,22-18,,Defensive rebound by Z. Randolph
2:04.0,,,22-18,,Offensive foul by K. Koufos
2:04.0,,,22-18,,Turnover by K. Koufos (offensive foul)
2:04.0,Washington full timeout,,22-18,,
2:04.0,,,22-18,,V. Carter enters the game for C. Lee
1:55.0,Turnover by R. Butler (step out of bounds),,22-18,,
1:49.0,Personal foul by R. Butler (drawn by V. Carter),,22-18,,
1:38.0,,,22-18,,Z. Randolph misses 2-pt shot from 14 ft
1:37.0,Defensive rebound by J. Wall,,22-18,,
1:32.0,J. Wall makes 2-pt shot at rim,2,24-18,,
1:19.0,,,24-18,,M. Conley misses 2-pt shot from 1 ft
1:18.0,Defensive rebound by M. Gortat,,24-18,,
1:12.0,R. Sessions makes 2-pt shot at rim (assist by J. Wall),2,26-18,,
0:52.0,,,26-18,,V. Carter misses 2-pt shot from 20 ft
0:51.0,,,26-18,,Offensive rebound by K. Koufos
0:46.0,,,26-18,,Turnover by K. Koufos (bad pass; steal by R. Sessions)
0:39.0,Turnover by J. Wall (traveling),,26-18,,
0:39.0,,,26-18,,J. Green enters the game for Z. Randolph
0:26.0,,,26-18,,K. Koufos misses 2-pt shot from 12 ft
0:25.0,Defensive rebound by M. Gortat,,26-18,,
0:01.0,R. Butler makes 3-pt shot from 25 ft (assist by J. Wall),3,29-18,,
0:00.0,,,29-18,,J. Green misses 3-pt shot from 50 ft
0:00.0,,,29-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,B. Beal misses 2-pt shot from 17 ft,,29-18,,
11:42.0,,,29-18,,Defensive rebound by Team
11:27.0,,,29-18,,N. Calathes misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by R. Butler,,29-18,,
11:13.0,R. Sessions misses 2-pt shot from 12 ft,,29-18,,
11:11.0,,,29-18,,Defensive rebound by B. Udrih
10:51.0,,,29-18,,V. Carter misses 2-pt shot from 9 ft
10:49.0,Defensive rebound by R. Butler,,29-18,,
10:44.0,R. Sessions misses 2-pt shot at rim,,29-18,,
10:43.0,,,29-18,,Defensive rebound by K. Koufos
10:38.0,,,29-18,,N. Calathes misses 2-pt shot from 9 ft
10:36.0,Defensive rebound by B. Beal,,29-18,,
10:18.0,R. Butler misses 2-pt shot from 16 ft,,29-18,,
10:15.0,,,29-18,,Defensive rebound by N. Calathes
10:01.0,,,29-20,2,K. Koufos makes 2-pt shot at rim (assist by B. Udrih)
10:01.0,,,29-20,,Shooting foul by R. Butler (drawn by K. Koufos)
10:01.0,,,29-20,,C. Lee enters the game for N. Calathes
10:01.0,,,29-20,,K. Koufos misses free throw 1 of 1
10:00.0,Defensive rebound by K. Humphries,,29-20,,
9:46.0,R. Butler misses 2-pt shot at rim (block by K. Koufos),,29-20,,
9:46.0,Offensive rebound by Team,,29-20,,
9:39.0,B. Beal misses 2-pt shot from 8 ft,,29-20,,
9:38.0,Offensive rebound by K. Seraphin,,29-20,,
9:37.0,Turnover by Team (3 sec),,29-20,,
9:27.0,,,29-20,,J. Green misses 2-pt shot from 13 ft
9:26.0,,,29-20,,Offensive rebound by J. Green
9:25.0,,,29-22,2,J. Green makes 2-pt shot from 2 ft
9:14.0,Turnover by R. Sessions (bad pass),,29-22,,
8:54.0,,,29-22,,C. Lee misses 3-pt shot from 24 ft
8:53.0,,,29-22,,Offensive rebound by V. Carter
8:49.0,,,29-24,2,C. Lee makes 2-pt shot from 18 ft (assist by V. Carter)
8:42.0,Washington full timeout,,29-24,,
8:27.0,Turnover by K. Seraphin (traveling),,29-24,,
8:07.0,,,29-26,2,J. Green makes 2-pt shot at rim
7:52.0,K. Humphries makes 2-pt shot from 15 ft (assist by B. Beal),2,31-26,,
7:39.0,,,31-26,,Turnover by C. Lee (bad pass; steal by R. Sessions)
7:35.0,Turnover by R. Sessions (bad pass),,31-26,,
7:23.0,,,31-28,2,B. Udrih makes 2-pt shot from 18 ft (assist by C. Lee)
7:09.0,,,31-28,,Personal foul by V. Carter (drawn by K. Humphries)
7:00.0,R. Butler misses 2-pt shot from 20 ft,,31-28,,
6:59.0,,,31-28,,Defensive rebound by B. Udrih
6:53.0,,,31-28,,B. Udrih misses 2-pt shot from 17 ft
6:51.0,Defensive rebound by K. Seraphin,,31-28,,
6:47.0,B. Beal makes 2-pt shot at rim (assist by K. Seraphin),2,33-28,,
6:32.0,,,33-28,,Turnover by B. Udrih (bad pass; steal by K. Humphries)
6:25.0,B. Beal makes 2-pt shot from 18 ft,2,35-28,,
6:19.0,,,35-28,,Memphis full timeout
6:19.0,J. Wall enters the game for R. Butler,,35-28,,
6:19.0,O. Porter enters the game for R. Sessions,,35-28,,
6:19.0,,,35-28,,M. Gasol enters the game for K. Koufos
6:04.0,,,35-28,,Turnover by M. Gasol (bad pass)
5:57.0,B. Beal misses 3-pt shot from 25 ft,,35-28,,
5:55.0,,,35-28,,Defensive rebound by V. Carter
5:52.0,,,35-28,,Shooting foul by K. Humphries (drawn by J. Green)
5:52.0,,,35-28,,J. Green misses free throw 1 of 2
5:52.0,,,35-28,,Offensive rebound by Team
5:52.0,,,35-29,1,J. Green makes free throw 2 of 2
5:31.0,O. Porter misses 3-pt shot from 26 ft,,35-29,,
5:29.0,,,35-29,,Defensive rebound by M. Gasol
5:19.0,,,35-29,,C. Lee misses 2-pt shot from 20 ft
5:17.0,Defensive rebound by K. Seraphin,,35-29,,
5:13.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,37-29,,
4:56.0,,,37-31,2,B. Udrih makes 2-pt shot from 19 ft (assist by C. Lee)
4:38.0,K. Seraphin makes 2-pt shot from 7 ft,2,39-31,,
4:26.0,,,39-34,3,V. Carter makes 3-pt shot from 25 ft (assist by B. Udrih)
4:05.0,J. Wall makes 2-pt shot from 21 ft,2,41-34,,
3:47.0,,,41-34,,M. Gasol misses 2-pt shot from 1 ft
3:47.0,Defensive rebound by K. Humphries,,41-34,,
3:44.0,Shooting foul by B. Udrih (drawn by J. Wall),,41-34,,
3:44.0,J. Wall makes 2-pt shot from 6 ft,2,43-34,,
3:44.0,D. Gooden enters the game for K. Humphries,,43-34,,
3:44.0,,,43-34,,Z. Randolph enters the game for V. Carter
3:44.0,,,43-34,,M. Conley enters the game for B. Udrih
3:44.0,J. Wall makes free throw 1 of 1,1,44-34,,
3:26.0,Personal foul by K. Seraphin (drawn by M. Gasol),,44-34,,
3:17.0,,,44-34,,M. Conley misses 3-pt shot from 26 ft
3:15.0,Defensive rebound by Team,,44-34,,
2:59.0,B. Beal misses 3-pt shot from 22 ft,,44-34,,
2:58.0,,,44-34,,Defensive rebound by M. Gasol
2:52.0,,,44-34,,C. Lee misses 2-pt shot from 14 ft
2:50.0,Defensive rebound by K. Seraphin,,44-34,,
2:44.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,46-34,,
2:36.0,,,46-34,,Memphis full timeout
2:36.0,,,46-34,,Memphis full timeout
2:36.0,M. Gortat enters the game for K. Seraphin,,46-34,,
2:31.0,,,46-34,,Turnover by C. Lee (bad pass; steal by B. Beal)
2:25.0,Turnover by J. Wall (bad pass),,46-34,,
2:10.0,Personal foul by M. Gortat (drawn by M. Gasol),,46-34,,
2:00.0,,,46-34,,M. Gasol misses 2-pt shot from 12 ft
1:59.0,,,46-34,,Offensive rebound by Z. Randolph
1:58.0,,,46-36,2,Z. Randolph makes 2-pt shot from 1 ft
1:42.0,,,46-36,,Personal foul by C. Lee (drawn by B. Beal)
1:34.0,Turnover by B. Beal (bad pass),,46-36,,
1:18.0,,,46-38,2,M. Gasol makes 2-pt shot from 9 ft (assist by J. Green)
1:00.0,J. Wall misses 2-pt shot from 18 ft,,46-38,,
1:00.0,Offensive rebound by M. Gortat,,46-38,,
0:53.0,D. Gooden makes 3-pt shot from 25 ft,3,49-38,,
0:30.0,,,49-38,,Z. Randolph misses 2-pt shot from 17 ft
0:29.0,Defensive rebound by O. Porter,,49-38,,
0:05.0,D. Gooden misses 3-pt shot from 25 ft,,49-38,,
0:04.0,,,49-38,,Defensive rebound by M. Gasol
0:00.0,,,49-38,,M. Gasol misses 3-pt shot from 43 ft
