time,LA Clippers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Jordan (S. Hawes gains possession),,,,Jump ball: A. Bogut vs. D. Jordan (S. Hawes gains possession)
11:44.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,2-0,,
11:25.0,,,2-3,3,D. Green makes 3-pt shot from 26 ft (assist by K. Thompson)
11:01.0,J. Redick makes 3-pt shot from 27 ft (assist by S. Hawes),3,5-3,,
10:38.0,,,5-5,2,H. Barnes makes 2-pt shot from 19 ft (assist by D. Green)
10:16.0,C. Paul misses 2-pt shot from 20 ft,,5-5,,
10:15.0,,,5-5,,Defensive rebound by H. Barnes
9:54.0,,,5-7,2,K. Thompson makes 2-pt shot from 13 ft
9:49.0,Shooting foul by H. Barnes (drawn by M. Barnes),,5-7,,
9:49.0,M. Barnes misses free throw 1 of 2,,5-7,,
9:49.0,Offensive rebound by Team,,5-7,,
9:49.0,M. Barnes makes free throw 2 of 2,1,6-7,,
9:43.0,,,6-7,,D. Green misses 3-pt shot from 27 ft
9:40.0,Defensive rebound by S. Hawes,,6-7,,
9:32.0,C. Paul makes 2-pt shot from 17 ft,2,8-7,,
9:14.0,,,8-7,,Shooting foul by S. Hawes (drawn by H. Barnes)
9:14.0,,,8-8,1,H. Barnes makes free throw 1 of 2
9:14.0,,,8-9,1,H. Barnes makes free throw 2 of 2
8:49.0,C. Paul misses 3-pt shot from 27 ft,,8-9,,
8:48.0,,,8-9,,Defensive rebound by H. Barnes
8:41.0,,,8-11,2,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry)
8:29.0,S. Hawes makes 2-pt shot from 20 ft (assist by J. Redick),2,10-11,,
8:21.0,,,10-11,,S. Curry misses 2-pt shot from 4 ft (block by S. Hawes)
8:19.0,Defensive rebound by C. Paul,,10-11,,
8:13.0,M. Barnes makes 2-pt shot from 3 ft (assist by J. Redick),2,12-11,,
7:57.0,,,12-11,,A. Bogut misses 2-pt shot from 10 ft
7:56.0,Defensive rebound by D. Jordan,,12-11,,
7:49.0,C. Paul makes 2-pt shot from 9 ft,2,14-11,,
7:32.0,,,14-13,2,H. Barnes makes 2-pt shot from 10 ft
7:10.0,S. Hawes makes 2-pt shot from 12 ft (assist by C. Paul),2,16-13,,
6:51.0,,,16-13,,S. Curry misses 2-pt shot from 19 ft
6:50.0,Defensive rebound by D. Jordan,,16-13,,
6:35.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,18-13,,
6:23.0,,,18-13,,K. Thompson misses 3-pt shot from 27 ft
6:22.0,Defensive rebound by D. Jordan,,18-13,,
6:06.0,C. Paul misses 2-pt shot from 7 ft,,18-13,,
6:05.0,Offensive rebound by S. Hawes,,18-13,,
6:04.0,S. Hawes misses 2-pt shot from 3 ft,,18-13,,
