time,Utah,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. N. Vucevic (V. Oladipo gains possession),,,,Jump ball: D. Favors vs. N. Vucevic (V. Oladipo gains possession)
11:43.0,,,0-0,,T. Harris misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by T. Burke,,0-0,,
11:24.0,D. Favors misses 2-pt shot from 11 ft,,0-0,,
11:23.0,Offensive rebound by E. Kanter,,0-0,,
11:22.0,Turnover by E. Kanter (lost ball),,0-0,,
11:03.0,,,0-3,3,C. Frye makes 3-pt shot from 25 ft (assist by T. Harris)
10:34.0,D. Favors misses 2-pt shot from 9 ft,,0-3,,
10:33.0,,,0-3,,Defensive rebound by T. Harris
10:32.0,,,0-3,,Turnover by T. Harris (lost ball)
10:18.0,D. Favors makes 2-pt shot at rim,2,2-3,,
10:07.0,Personal foul by T. Burke (drawn by V. Oladipo),,2-3,,
9:55.0,,,2-3,,N. Vucevic misses 2-pt shot from 8 ft
9:54.0,Defensive rebound by A. Burks,,2-3,,
9:35.0,E. Kanter makes 2-pt shot from 20 ft (assist by T. Burke),2,4-3,,
9:14.0,,,4-3,,Offensive foul by C. Frye
9:14.0,,,4-3,,Turnover by C. Frye (offensive foul)
8:59.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke),2,6-3,,
8:44.0,,,6-5,2,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier)
8:30.0,G. Hayward misses 2-pt shot from 18 ft,,6-5,,
8:28.0,,,6-5,,Defensive rebound by V. Oladipo
8:21.0,,,6-7,2,V. Oladipo makes 2-pt shot from 1 ft
8:21.0,,,6-7,,Shooting foul by D. Favors (drawn by V. Oladipo)
8:21.0,,,6-7,,V. Oladipo misses free throw 1 of 1
8:21.0,Defensive rebound by D. Favors,,6-7,,
8:01.0,E. Kanter misses 3-pt shot from 23 ft,,6-7,,
8:00.0,,,6-7,,Defensive rebound by V. Oladipo
7:52.0,,,6-7,,C. Frye misses 3-pt shot from 26 ft
7:50.0,Defensive rebound by A. Burks,,6-7,,
7:33.0,D. Favors makes 2-pt shot from 15 ft,2,8-7,,
7:19.0,,,8-7,,Turnover by E. Fournier (bad pass)
7:01.0,T. Burke makes 2-pt shot from 1 ft,2,10-7,,
6:45.0,,,10-7,,N. Vucevic misses 2-pt shot from 8 ft
6:44.0,Defensive rebound by A. Burks,,10-7,,
6:29.0,D. Favors misses 2-pt shot from 15 ft,,10-7,,
6:28.0,,,10-7,,Defensive rebound by N. Vucevic
6:13.0,,,10-10,3,T. Harris makes 3-pt shot from 26 ft (assist by E. Fournier)
5:57.0,,,10-10,,Orlando full timeout
5:45.0,T. Burke makes 2-pt shot from 14 ft (assist by D. Favors),2,12-10,,
