time,Milwaukee,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. L. Sanders (E. Bledsoe gains possession),,,,Jump ball: A. Len vs. L. Sanders (E. Bledsoe gains possession)
11:44.0,,,0-2,2,M. Morris makes 2-pt shot from 5 ft (assist by E. Bledsoe)
11:27.0,L. Sanders misses 2-pt shot from 7 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by M. Morris
11:25.0,Personal foul by J. Parker (drawn by E. Bledsoe),,0-2,,
11:04.0,,,0-4,2,M. Morris makes 2-pt shot from 14 ft
10:44.0,B. Knight misses 2-pt shot from 17 ft,,0-4,,
10:42.0,,,0-4,,Defensive rebound by M. Morris
10:33.0,,,0-4,,G. Green misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by G. Antetokounmpo,,0-4,,
10:17.0,Turnover by B. Knight (bad pass; steal by G. Green),,0-4,,
10:12.0,,,0-4,,G. Green misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by G. Antetokounmpo,,0-4,,
10:05.0,Shooting foul by A. Len (drawn by O. Mayo),,0-4,,
10:05.0,O. Mayo makes free throw 1 of 2,1,1-4,,
10:05.0,O. Mayo makes free throw 2 of 2,1,2-4,,
9:44.0,,,2-4,,P. Tucker misses 3-pt shot from 25 ft
9:42.0,,,2-4,,Offensive rebound by A. Len
9:41.0,,,2-4,,A. Len misses 2-pt shot from 1 ft
9:39.0,Defensive rebound by L. Sanders,,2-4,,
9:32.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,2-4,,
9:29.0,,,2-4,,Defensive rebound by M. Morris
9:21.0,,,2-6,2,M. Morris makes 2-pt shot from 3 ft
9:21.0,,,2-6,,Shooting foul by L. Sanders (drawn by M. Morris)
9:21.0,,,2-7,1,M. Morris makes free throw 1 of 1
9:07.0,Turnover by O. Mayo (bad pass; steal by G. Green),,2-7,,
8:57.0,,,2-7,,A. Len misses 2-pt shot from 15 ft
8:55.0,,,2-7,,Offensive rebound by G. Green
8:51.0,,,2-7,,P. Tucker misses 3-pt shot from 23 ft
8:49.0,Defensive rebound by B. Knight,,2-7,,
8:34.0,J. Parker misses 2-pt shot from 5 ft,,2-7,,
8:32.0,,,2-7,,Defensive rebound by G. Green
8:28.0,,,2-7,,Turnover by E. Bledsoe (bad pass)
8:16.0,Turnover by O. Mayo (bad pass),,2-7,,
8:04.0,,,2-9,2,G. Green makes 2-pt shot from 15 ft (assist by P. Tucker)
7:44.0,J. Parker misses 2-pt shot from 9 ft,,2-9,,
7:42.0,,,2-9,,Defensive rebound by E. Bledsoe
7:37.0,,,2-9,,Turnover by E. Bledsoe (lost ball; steal by L. Sanders)
7:34.0,O. Mayo makes 2-pt shot at rim (assist by B. Knight),2,4-9,,
7:26.0,,,4-9,,G. Green misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by G. Antetokounmpo,,4-9,,
7:12.0,O. Mayo misses 3-pt shot from 23 ft,,4-9,,
7:10.0,,,4-9,,Defensive rebound by E. Bledsoe
6:57.0,,,4-9,,E. Bledsoe misses 2-pt shot from 1 ft
6:55.0,,,4-9,,Offensive rebound by A. Len
6:54.0,,,4-9,,A. Len misses 2-pt shot at rim
6:52.0,Defensive rebound by O. Mayo,,4-9,,
6:51.0,Turnover by G. Antetokounmpo (traveling),,4-9,,
6:51.0,J. Bayless enters the game for O. Mayo,,4-9,,
6:34.0,,,4-9,,G. Green misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by J. Parker,,4-9,,
6:23.0,Turnover by B. Knight (bad pass; steal by P. Tucker),,4-9,,
6:18.0,,,4-9,,P. Tucker misses 2-pt shot at rim
6:17.0,,,4-9,,Offensive rebound by E. Bledsoe
6:17.0,,,4-11,2,E. Bledsoe makes 2-pt shot at rim
6:17.0,Milwaukee full timeout,,4-11,,
6:17.0,,,4-11,,I. Thomas enters the game for G. Green
6:17.0,K. Marshall enters the game for J. Parker,,4-11,,
6:17.0,J. Dudley enters the game for L. Sanders,,4-11,,
6:17.0,Z. Pachulia enters the game for B. Knight,,4-11,,
5:56.0,J. Bayless misses 2-pt shot from 13 ft,,4-11,,
5:54.0,Offensive rebound by G. Antetokounmpo,,4-11,,
5:52.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by A. Len),,4-11,,
5:50.0,,,4-11,,Defensive rebound by A. Len
5:27.0,,,4-11,,M. Morris misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by Team,,4-11,,
5:27.0,,,4-11,,Loose ball foul by A. Len (drawn by G. Antetokounmpo)
5:27.0,,,4-11,,M. Plumlee enters the game for A. Len
5:02.0,Z. Pachulia misses 2-pt shot from 14 ft,,4-11,,
