time,Memphis,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gasol (C. Lee gains possession),,,,Jump ball: A. Drummond vs. M. Gasol (C. Lee gains possession)
11:44.0,Turnover by C. Lee (bad pass),,0-0,,
11:32.0,,,0-2,2,R. Jackson makes 2-pt shot from 13 ft
11:15.0,C. Lee misses 3-pt shot from 25 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by C. Butler
11:06.0,,,0-2,,K. Caldwell-Pope misses 2-pt shot at rim
11:05.0,Defensive rebound by J. Green,,0-2,,
10:50.0,M. Gasol makes 2-pt shot from 6 ft,2,2-2,,
10:35.0,,,2-5,3,R. Jackson makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
10:13.0,Z. Randolph makes 2-pt shot from 1 ft,2,4-5,,
10:13.0,Shooting foul by A. Tolliver (drawn by Z. Randolph),,4-5,,
10:13.0,Z. Randolph makes free throw 1 of 1,1,5-5,,
9:57.0,,,5-5,,K. Caldwell-Pope misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by M. Gasol,,5-5,,
9:44.0,M. Gasol makes 2-pt shot from 7 ft (assist by B. Udrih),2,7-5,,
9:29.0,Personal foul by C. Lee (drawn by K. Caldwell-Pope),,7-5,,
9:17.0,,,7-5,,C. Butler misses 2-pt shot from 13 ft
9:16.0,Defensive rebound by Z. Randolph,,7-5,,
9:03.0,Turnover by B. Udrih (bad pass; steal by A. Drummond),,7-5,,
9:00.0,,,7-5,,Shooting foul by M. Gasol (drawn by A. Tolliver)
9:00.0,,,7-6,1,A. Tolliver makes free throw 1 of 2
9:00.0,,,7-7,1,A. Tolliver makes free throw 2 of 2
8:42.0,J. Green misses 2-pt shot from 4 ft,,7-7,,
8:41.0,Offensive rebound by Team,,7-7,,
8:34.0,C. Lee misses 3-pt shot from 23 ft,,7-7,,
8:32.0,,,7-7,,Defensive rebound by A. Tolliver
8:18.0,,,7-7,,A. Drummond misses 2-pt shot from 5 ft
8:15.0,Defensive rebound by M. Gasol,,7-7,,
8:06.0,M. Gasol makes 3-pt shot from 25 ft (assist by B. Udrih),3,10-7,,
8:00.0,,,10-7,,Detroit full timeout
7:41.0,,,10-7,,R. Jackson misses 2-pt shot from 19 ft
7:40.0,Defensive rebound by B. Udrih,,10-7,,
7:17.0,J. Green makes 3-pt shot from 26 ft,3,13-7,,
