time,New York,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. B. Bass (J. Calderon gains possession),,,,Jump ball: L. Amundson vs. B. Bass (J. Calderon gains possession)
11:46.0,Shooting foul by B. Bass (drawn by J. Smith),,0-0,,
11:46.0,J. Smith misses free throw 1 of 2,,0-0,,
11:46.0,Offensive rebound by Team,,0-0,,
11:46.0,J. Smith makes free throw 2 of 2,1,1-0,,
11:34.0,,,1-2,2,A. Bradley makes 2-pt shot from 1 ft (assist by E. Turner)
11:26.0,Offensive foul by J. Calderon,,1-2,,
11:26.0,Turnover by J. Calderon (offensive foul),,1-2,,
11:07.0,,,1-4,2,E. Turner makes 2-pt shot from 13 ft
10:47.0,L. Amundson makes 2-pt shot from 4 ft (assist by J. Smith),2,3-4,,
10:31.0,,,3-4,,E. Turner misses 2-pt shot from 10 ft
10:30.0,Defensive rebound by Team,,3-4,,
10:12.0,L. Amundson misses 2-pt shot from 5 ft,,3-4,,
10:11.0,,,3-4,,Defensive rebound by T. Zeller
10:03.0,,,3-6,2,T. Zeller makes 2-pt shot from 5 ft
9:48.0,J. Calderon misses 2-pt shot from 20 ft,,3-6,,
9:46.0,Offensive rebound by J. Smith,,3-6,,
9:43.0,T. Hardaway misses 3-pt shot from 25 ft,,3-6,,
9:42.0,Offensive rebound by J. Smith,,3-6,,
9:41.0,J. Smith makes 2-pt shot from 1 ft,2,5-6,,
9:16.0,,,5-6,,B. Bass misses 2-pt shot from 5 ft
9:15.0,Defensive rebound by J. Smith,,5-6,,
9:09.0,Turnover by J. Calderon (lost ball; steal by B. Bass),,5-6,,
9:05.0,,,5-6,,Turnover by A. Bradley (lost ball)
8:52.0,T. Hardaway makes 2-pt shot from 8 ft (assist by L. Amundson),2,7-6,,
8:33.0,,,7-9,3,A. Bradley makes 3-pt shot from 22 ft (assist by M. Smart)
8:16.0,J. Calderon misses 3-pt shot from 24 ft,,7-9,,
8:15.0,Offensive rebound by J. Smith,,7-9,,
8:14.0,J. Smith makes 2-pt shot from 1 ft,2,9-9,,
7:57.0,Personal foul by L. Amundson (drawn by B. Bass),,9-9,,
7:47.0,,,9-9,,T. Zeller misses 2-pt shot from 18 ft
7:46.0,Defensive rebound by T. Hardaway,,9-9,,
7:33.0,L. Galloway makes 2-pt shot from 16 ft (assist by J. Smith),2,11-9,,
7:16.0,,,11-9,,A. Bradley misses 2-pt shot from 19 ft
7:15.0,Defensive rebound by J. Smith,,11-9,,
7:09.0,,,11-9,,Personal foul by M. Smart (drawn by J. Calderon)
7:04.0,L. Galloway makes 2-pt shot from 19 ft (assist by L. Amundson),2,13-9,,
6:42.0,,,13-9,,T. Zeller misses 2-pt shot from 3 ft
6:41.0,,,13-9,,Offensive rebound by B. Bass
6:41.0,,,13-11,2,B. Bass makes 2-pt shot at rim
6:19.0,J. Calderon misses 3-pt shot from 23 ft,,13-11,,
6:18.0,,,13-11,,Defensive rebound by E. Turner
6:09.0,,,13-11,,T. Zeller misses 2-pt shot from 7 ft
6:07.0,Defensive rebound by J. Smith,,13-11,,
6:00.0,J. Calderon misses 2-pt shot from 17 ft,,13-11,,
5:59.0,,,13-11,,Defensive rebound by E. Turner
5:51.0,,,13-14,3,M. Smart makes 3-pt shot from 23 ft (assist by E. Turner)
5:32.0,J. Smith misses 2-pt shot from 1 ft,,13-14,,
5:31.0,,,13-14,,Defensive rebound by B. Bass
5:24.0,,,13-16,2,E. Turner makes 2-pt shot at rim
5:18.0,New York full timeout,,13-16,,
5:18.0,,,13-16,,I. Thomas enters the game for M. Smart
5:18.0,,,13-16,,J. Crowder enters the game for T. Zeller
5:11.0,T. Hardaway makes 2-pt shot from 2 ft (assist by J. Smith),2,15-16,,
4:53.0,,,15-16,,Turnover by A. Bradley (bad pass)
4:39.0,Turnover by L. Galloway (bad pass),,15-16,,
4:17.0,,,15-18,2,E. Turner makes 2-pt shot from 13 ft
3:55.0,L. Amundson makes 2-pt shot from 6 ft,2,17-18,,
3:38.0,,,17-18,,A. Bradley misses 2-pt shot from 20 ft
3:37.0,Defensive rebound by T. Hardaway,,17-18,,
3:28.0,T. Hardaway makes 2-pt shot from 21 ft,2,19-18,,
3:11.0,,,19-18,,Turnover by B. Bass (3 sec)
