time,Milwaukee,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. L. Sanders (T. Robinson gains possession),,,,Jump ball: L. Aldridge vs. L. Sanders (T. Robinson gains possession)
11:44.0,,,0-0,,T. Robinson misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by B. Knight,,0-0,,
11:28.0,O. Mayo misses 2-pt shot from 16 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by T. Robinson
11:14.0,,,0-0,,W. Matthews misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by G. Antetokounmpo,,0-0,,
10:58.0,B. Knight makes 2-pt shot from 22 ft (assist by J. Dudley),2,2-0,,
10:44.0,,,2-0,,Turnover by N. Batum (lost ball; steal by L. Sanders)
10:41.0,Turnover by J. Dudley (bad pass; steal by D. Lillard),,2-0,,
10:38.0,,,2-2,2,D. Lillard makes 2-pt shot from 1 ft
10:16.0,O. Mayo makes 2-pt shot from 19 ft (assist by J. Dudley),2,4-2,,
9:49.0,,,4-2,,N. Batum misses 2-pt shot from 21 ft
9:48.0,Defensive rebound by G. Antetokounmpo,,4-2,,
9:33.0,G. Antetokounmpo makes 2-pt shot from 7 ft,2,6-2,,
9:17.0,,,6-2,,L. Aldridge misses 2-pt shot from 6 ft
9:16.0,Defensive rebound by G. Antetokounmpo,,6-2,,
9:07.0,L. Sanders makes 2-pt shot at rim (assist by J. Dudley),2,8-2,,
8:42.0,,,8-2,,N. Batum misses 2-pt shot from 21 ft
8:41.0,Defensive rebound by G. Antetokounmpo,,8-2,,
8:31.0,B. Knight misses 3-pt shot from 26 ft,,8-2,,
8:31.0,,,8-2,,Defensive rebound by D. Lillard
8:18.0,,,8-2,,N. Batum misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by G. Antetokounmpo,,8-2,,
8:03.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,10-2,,
7:45.0,,,10-2,,N. Batum misses 2-pt shot from 9 ft
7:44.0,Defensive rebound by B. Knight,,10-2,,
7:38.0,O. Mayo misses 3-pt shot from 22 ft,,10-2,,
7:37.0,,,10-2,,Defensive rebound by W. Matthews
7:34.0,Personal take foul by J. Dudley (drawn by W. Matthews),,10-2,,
7:27.0,,,10-5,3,D. Lillard makes 3-pt shot from 22 ft (assist by L. Aldridge)
7:09.0,Turnover by B. Knight (lost ball),,10-5,,
6:48.0,,,10-5,,L. Aldridge misses 2-pt shot from 6 ft
6:47.0,,,10-5,,Offensive rebound by T. Robinson
6:47.0,,,10-7,2,T. Robinson makes 2-pt shot at rim
6:37.0,Offensive foul by L. Sanders,,10-7,,
6:37.0,Turnover by L. Sanders (offensive foul),,10-7,,
6:37.0,Z. Pachulia enters the game for L. Sanders,,10-7,,
6:25.0,,,10-7,,T. Robinson misses 2-pt shot at rim
6:24.0,,,10-7,,Offensive rebound by T. Robinson
6:24.0,,,10-7,,T. Robinson misses 2-pt shot at rim
6:23.0,Defensive rebound by Z. Pachulia,,10-7,,
6:18.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by L. Aldridge),,10-7,,
6:18.0,Offensive rebound by Team,,10-7,,
6:08.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,12-7,,
5:44.0,,,12-7,,N. Batum misses 3-pt shot from 24 ft
5:42.0,,,12-7,,Offensive rebound by L. Aldridge
5:42.0,,,12-7,,L. Aldridge misses 2-pt shot from 2 ft
5:41.0,,,12-7,,Offensive rebound by L. Aldridge
5:40.0,,,12-9,2,L. Aldridge makes 2-pt shot from 1 ft
