time,Utah,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. R. Hibbert (L. Scola gains possession),,,,Jump ball: D. Favors vs. R. Hibbert (L. Scola gains possession)
11:38.0,,,0-0,,R. Hibbert misses 2-pt shot from 8 ft
11:36.0,,,0-0,,Offensive rebound by L. Scola
11:34.0,Jump ball: E. Kanter vs. L. Scola (S. Hill gains possession),,,,Jump ball: E. Kanter vs. L. Scola (S. Hill gains possession)
11:24.0,,,0-0,,R. Hibbert misses 2-pt shot from 18 ft
11:23.0,Defensive rebound by A. Burks,,0-0,,
11:11.0,D. Favors misses 2-pt shot from 10 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by L. Scola
10:53.0,,,0-0,,D. Sloan misses 3-pt shot from 26 ft
10:52.0,,,0-0,,Offensive rebound by C. Copeland
10:36.0,,,0-2,2,R. Hibbert makes 2-pt shot from 5 ft (assist by D. Sloan)
10:17.0,,,0-2,,Personal foul by R. Hibbert (drawn by D. Favors)
10:10.0,G. Hayward misses 2-pt shot from 6 ft,,0-2,,
10:10.0,Offensive rebound by Team,,0-2,,
10:10.0,,,0-2,,Loose ball foul by S. Hill (drawn by A. Burks)
9:59.0,A. Burks misses 2-pt shot from 18 ft,,0-2,,
9:58.0,,,0-2,,Defensive rebound by L. Scola
9:51.0,,,0-4,2,L. Scola makes 2-pt shot from 19 ft (assist by D. Sloan)
9:27.0,E. Kanter makes 2-pt shot from 10 ft (assist by G. Hayward),2,2-4,,
9:11.0,,,2-4,,S. Hill misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by G. Hayward,,2-4,,
8:48.0,G. Hayward makes 3-pt shot from 26 ft (assist by T. Burke),3,5-4,,
8:30.0,,,5-6,2,R. Hibbert makes 2-pt shot from 4 ft
8:17.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,7-6,,
8:02.0,,,7-6,,R. Hibbert misses 2-pt shot from 15 ft
8:02.0,Defensive rebound by T. Burke,,7-6,,
7:44.0,Turnover by A. Burks (bad pass),,7-6,,
7:32.0,,,7-6,,D. Sloan misses 2-pt shot from 9 ft
7:31.0,Defensive rebound by D. Favors,,7-6,,
7:26.0,Offensive foul by E. Kanter,,7-6,,
7:26.0,Turnover by E. Kanter (offensive foul),,7-6,,
7:13.0,,,7-6,,C. Copeland misses 2-pt shot from 2 ft (block by D. Favors)
7:11.0,Defensive rebound by D. Favors,,7-6,,
7:06.0,E. Kanter makes 2-pt shot from 2 ft (assist by T. Burke),2,9-6,,
6:47.0,,,9-8,2,L. Scola makes 2-pt shot from 5 ft
6:34.0,D. Favors misses 2-pt shot from 1 ft,,9-8,,
6:32.0,Offensive rebound by D. Favors,,9-8,,
6:32.0,D. Favors makes 2-pt shot at rim,2,11-8,,
6:23.0,,,11-8,,Indiana full timeout
6:17.0,,,11-8,,S. Hill misses 2-pt shot from 5 ft (block by D. Favors)
6:15.0,,,11-8,,Offensive rebound by Team
6:08.0,,,11-8,,L. Scola misses 2-pt shot from 17 ft
6:07.0,Defensive rebound by G. Hayward,,11-8,,
5:58.0,T. Burke misses 3-pt shot from 22 ft,,11-8,,
5:57.0,,,11-8,,Defensive rebound by C. Copeland
5:50.0,,,11-8,,R. Hibbert misses 2-pt shot from 19 ft
5:46.0,Defensive rebound by G. Hayward,,11-8,,
5:35.0,Turnover by E. Kanter (3 sec),,11-8,,
5:35.0,D. Exum enters the game for G. Hayward,,11-8,,
5:21.0,,,11-8,,R. Hibbert misses 2-pt shot from 12 ft
5:20.0,Defensive rebound by D. Exum,,11-8,,
5:11.0,E. Kanter makes 2-pt shot from 1 ft (assist by T. Burke),2,13-8,,
5:11.0,Shooting foul by C. Copeland (drawn by E. Kanter),,13-8,,
5:11.0,,,13-8,,L. Allen enters the game for C. Copeland
5:11.0,,,13-8,,D. Rudez enters the game for L. Scola
5:11.0,E. Kanter makes free throw 1 of 1,1,14-8,,
4:52.0,,,14-8,,D. Rudez misses 3-pt shot from 26 ft
4:50.0,Defensive rebound by D. Favors,,14-8,,
4:30.0,Turnover by E. Kanter (bad pass; steal by R. Hibbert),,14-8,,
4:16.0,,,14-8,,Shooting foul by A. Burks (drawn by S. Hill)
4:16.0,,,14-8,,S. Hill misses free throw 1 of 2
4:16.0,,,14-8,,Offensive rebound by Team
4:16.0,T. Booker enters the game for E. Kanter,,14-8,,
4:16.0,,,14-9,1,S. Hill makes free throw 2 of 2
4:03.0,,,14-9,,Personal foul by D. Sloan (drawn by D. Favors)
3:48.0,D. Exum misses 3-pt shot from 25 ft,,14-9,,
3:47.0,,,14-9,,Defensive rebound by D. Sloan
3:25.0,,,14-11,2,R. Hibbert makes 2-pt shot from 6 ft
3:10.0,D. Favors misses 2-pt shot from 14 ft,,14-11,,
3:08.0,,,14-11,,Defensive rebound by D. Sloan
2:52.0,,,14-11,,D. Sloan misses 2-pt shot from 12 ft
2:51.0,,,14-11,,Offensive rebound by L. Allen
2:51.0,,,14-11,,L. Allen misses 2-pt shot at rim
2:50.0,Defensive rebound by D. Exum,,14-11,,
2:41.0,A. Burks makes 2-pt shot from 1 ft,2,16-11,,
2:41.0,Shooting foul by S. Hill (drawn by A. Burks),,16-11,,
2:41.0,Utah full timeout,,16-11,,
2:41.0,R. Gobert enters the game for D. Favors,,16-11,,
2:41.0,J. Ingles enters the game for T. Burke,,16-11,,
2:41.0,,,16-11,,A. Price enters the game for S. Hill
2:41.0,A. Burks makes free throw 1 of 1,1,17-11,,
2:23.0,,,17-13,2,R. Hibbert makes 2-pt shot from 4 ft
2:23.0,,,17-13,,Shooting foul by R. Gobert (drawn by R. Hibbert)
2:23.0,,,17-14,1,R. Hibbert makes free throw 1 of 1
2:08.0,Turnover by T. Booker (traveling),,17-14,,
1:55.0,,,17-14,,L. Allen misses 2-pt shot from 18 ft
1:54.0,Defensive rebound by D. Exum,,17-14,,
1:50.0,T. Booker misses 2-pt shot from 1 ft,,17-14,,
1:49.0,,,17-14,,Defensive rebound by L. Allen
1:43.0,,,17-14,,D. Sloan misses 2-pt shot from 2 ft (block by R. Gobert)
1:41.0,,,17-14,,Offensive rebound by R. Hibbert
1:39.0,,,17-16,2,R. Hibbert makes 2-pt shot at rim
1:21.0,A. Burks misses 2-pt shot from 17 ft,,17-16,,
1:21.0,Offensive rebound by A. Burks,,17-16,,
1:12.0,A. Burks misses 2-pt shot at rim,,17-16,,
1:10.0,Offensive rebound by T. Booker,,17-16,,
0:48.0,J. Ingles makes 3-pt shot from 22 ft (assist by T. Booker),3,20-16,,
0:35.0,Personal foul by R. Gobert (drawn by R. Hibbert),,20-16,,
0:23.0,,,20-16,,Shooting foul by D. Exum (drawn by A. Price)
0:23.0,,,20-16,,A. Price misses free throw 1 of 2
0:23.0,,,20-16,,Offensive rebound by Team
0:23.0,,,20-16,,C. Copeland enters the game for D. Sloan
0:23.0,,,20-17,1,A. Price makes free throw 2 of 2
0:03.0,A. Burks misses 2-pt shot from 11 ft,,20-17,,
0:02.0,,,20-17,,Defensive rebound by L. Allen
0:00.0,,,20-17,,A. Price misses 3-pt shot from 28 ft
0:00.0,,,20-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,J. Ingles misses 3-pt shot from 26 ft,,20-17,,
11:33.0,Offensive rebound by D. Exum,,20-17,,
11:30.0,Shooting foul by I. Mahinmi (drawn by R. Gobert),,20-17,,
11:30.0,R. Gobert makes free throw 1 of 2,1,21-17,,
11:30.0,R. Gobert misses free throw 2 of 2,,21-17,,
