time,Oklahoma City,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Onuaku,,,,Jump ball: S. Adams vs. A. Onuaku
11:37.0,D. Waiters makes 3-pt shot from 24 ft (assist by R. Westbrook),3,3-0,,
11:21.0,,,3-0,,A. Wiggins misses 2-pt shot from 10 ft
11:20.0,Defensive rebound by S. Adams,,3-0,,
11:14.0,R. Westbrook misses 2-pt shot from 1 ft,,3-0,,
11:12.0,Offensive rebound by D. Waiters,,3-0,,
11:08.0,D. Waiters makes 2-pt shot from 17 ft,2,5-0,,
10:47.0,,,5-0,,Z. LaVine misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by A. Roberson,,5-0,,
10:37.0,Shooting foul by K. Martin (drawn by D. Waiters),,5-0,,
10:37.0,D. Waiters misses free throw 1 of 2,,5-0,,
10:37.0,Offensive rebound by Team,,5-0,,
10:37.0,D. Waiters misses free throw 2 of 2,,5-0,,
10:36.0,Offensive rebound by A. Roberson,,5-0,,
10:32.0,R. Westbrook makes 3-pt shot from 25 ft (assist by A. Roberson),3,8-0,,
10:17.0,,,8-0,,Shooting foul by D. Waiters (drawn by K. Martin)
10:17.0,,,8-1,1,K. Martin makes free throw 1 of 2
10:17.0,,,8-2,1,K. Martin makes free throw 2 of 2
10:10.0,Turnover by R. Westbrook (bad pass; steal by A. Onuaku),,8-2,,
10:06.0,,,8-2,,Shooting foul by A. Roberson (drawn by A. Wiggins)
10:06.0,,,8-2,,A. Wiggins misses free throw 1 of 2
10:06.0,,,8-2,,Offensive rebound by Team
10:06.0,,,8-3,1,A. Wiggins makes free throw 2 of 2
9:55.0,D. Waiters misses 3-pt shot from 25 ft,,8-3,,
9:55.0,,,8-3,,Defensive rebound by Z. LaVine
9:44.0,,,8-6,3,K. Martin makes 3-pt shot from 25 ft
9:22.0,D. Waiters misses 2-pt shot from 9 ft (block by A. Wiggins),,8-6,,
9:21.0,Offensive rebound by S. Adams,,8-6,,
9:18.0,S. Adams makes 2-pt shot from 6 ft,2,10-6,,
8:58.0,,,10-6,,Turnover by K. Martin (lost ball; steal by S. Adams)
8:52.0,R. Westbrook makes 2-pt shot from 1 ft,2,12-6,,
8:40.0,,,12-6,,A. Payne misses 2-pt shot from 19 ft
8:39.0,Defensive rebound by R. Westbrook,,12-6,,
8:37.0,A. Roberson misses 2-pt shot from 2 ft (block by Z. LaVine),,12-6,,
8:36.0,Offensive rebound by Team,,12-6,,
8:26.0,D. Waiters makes 2-pt shot from 22 ft (assist by A. Roberson),2,14-6,,
8:09.0,,,14-6,,Z. LaVine misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by R. Westbrook,,14-6,,
8:03.0,Shooting foul by A. Payne (drawn by R. Westbrook),,14-6,,
8:03.0,R. Westbrook makes free throw 1 of 2,1,15-6,,
8:03.0,,,15-6,,Minnesota full timeout
8:03.0,,,15-6,,J. Hamilton enters the game for A. Onuaku
8:03.0,R. Westbrook makes free throw 2 of 2,1,16-6,,
7:42.0,,,16-8,2,K. Martin makes 2-pt shot from 9 ft
7:30.0,D. Waiters makes 2-pt shot from 4 ft,2,18-8,,
7:19.0,,,18-8,,Turnover by A. Payne (lost ball; steal by D. Waiters)
7:13.0,Shooting foul by Z. LaVine (drawn by R. Westbrook),,18-8,,
7:13.0,R. Westbrook makes free throw 1 of 2,1,19-8,,
7:13.0,R. Westbrook makes free throw 2 of 2,1,20-8,,
7:00.0,,,20-10,2,K. Martin makes 2-pt shot from 22 ft (assist by A. Payne)
6:44.0,A. Roberson misses 3-pt shot from 24 ft,,20-10,,
6:42.0,,,20-10,,Defensive rebound by Team
6:30.0,,,20-10,,Shooting foul by A. Roberson (drawn by A. Wiggins)
6:30.0,,,20-11,1,A. Wiggins makes free throw 1 of 2
6:30.0,,,20-11,,R. Hummel enters the game for A. Payne
6:30.0,A. Morrow enters the game for A. Roberson,,20-11,,
6:30.0,,,20-12,1,A. Wiggins makes free throw 2 of 2
6:22.0,A. Morrow misses 3-pt shot from 23 ft,,20-12,,
6:21.0,Offensive rebound by S. Adams,,20-12,,
6:14.0,A. Morrow misses 3-pt shot from 25 ft,,20-12,,
6:13.0,Offensive rebound by E. Kanter,,20-12,,
6:12.0,E. Kanter makes 2-pt shot from 1 ft,2,22-12,,
5:58.0,,,22-12,,R. Hummel misses 2-pt shot from 21 ft
5:57.0,,,22-12,,Offensive rebound by J. Hamilton
5:55.0,,,22-12,,Turnover by J. Hamilton (bad pass; steal by R. Westbrook)
5:51.0,R. Westbrook makes 2-pt shot from 1 ft,2,24-12,,
5:32.0,,,24-14,2,A. Wiggins makes 2-pt shot from 12 ft
5:16.0,Shooting foul by J. Hamilton (drawn by S. Adams),,24-14,,
5:16.0,S. Adams misses free throw 1 of 2,,24-14,,
5:16.0,Offensive rebound by Team,,24-14,,
5:16.0,S. Adams makes free throw 2 of 2,1,25-14,,
5:08.0,Personal foul by A. Morrow (drawn by A. Wiggins),,25-14,,
5:08.0,N. Collison enters the game for S. Adams,,25-14,,
5:04.0,,,25-14,,Turnover by J. Hamilton (bad pass; steal by A. Morrow)
4:45.0,N. Collison makes 2-pt shot from 1 ft (assist by E. Kanter),2,27-14,,
4:29.0,,,27-14,,J. Hamilton misses 2-pt shot from 4 ft
4:29.0,Defensive rebound by Team,,27-14,,
4:29.0,,,27-14,,Loose ball foul by J. Hamilton (drawn by N. Collison)
