time,Washington,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession),,,,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession)
11:40.0,N. Hilario misses 2-pt shot from 11 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by P. Beverley
11:23.0,,,0-0,,J. Harden misses 2-pt shot from 3 ft
11:21.0,,,0-0,,Offensive rebound by T. Ariza
11:16.0,,,0-0,,Turnover by J. Smith (bad pass; steal by J. Wall)
11:01.0,N. Hilario misses 2-pt shot from 5 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by D. Howard
10:50.0,,,0-0,,J. Smith misses 2-pt shot from 17 ft
10:49.0,Defensive rebound by N. Hilario,,0-0,,
10:45.0,Turnover by P. Pierce (traveling),,0-0,,
10:34.0,,,0-2,2,D. Howard makes 2-pt shot from 5 ft (assist by J. Harden)
10:20.0,P. Pierce misses 3-pt shot from 25 ft,,0-2,,
10:18.0,,,0-2,,Defensive rebound by J. Harden
10:13.0,,,0-2,,P. Beverley misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by N. Hilario,,0-2,,
10:02.0,M. Gortat misses 2-pt shot from 7 ft,,0-2,,
10:00.0,,,0-2,,Defensive rebound by D. Howard
9:49.0,,,0-2,,T. Ariza misses 3-pt shot from 28 ft
9:47.0,Defensive rebound by M. Gortat,,0-2,,
9:33.0,B. Beal makes 2-pt shot from 20 ft,2,2-2,,
9:16.0,,,2-4,2,D. Howard makes 2-pt shot at rim (assist by P. Beverley)
8:58.0,Shooting foul by D. Howard (drawn by N. Hilario),,2-4,,
8:58.0,N. Hilario makes free throw 1 of 2,1,3-4,,
8:58.0,N. Hilario makes free throw 2 of 2,1,4-4,,
8:44.0,,,4-6,2,J. Harden makes 2-pt shot from 1 ft
8:27.0,N. Hilario makes 2-pt shot from 15 ft (assist by J. Wall),2,6-6,,
8:20.0,,,6-6,,T. Ariza misses 2-pt shot from 1 ft (block by P. Pierce)
8:17.0,,,6-6,,Offensive rebound by P. Beverley
8:15.0,,,6-6,,Turnover by J. Smith (lost ball; steal by N. Hilario)
8:09.0,B. Beal makes 2-pt shot from 1 ft,2,8-6,,
7:54.0,,,8-9,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
7:38.0,B. Beal makes 2-pt shot from 22 ft (assist by N. Hilario),2,10-9,,
7:21.0,,,10-9,,D. Howard misses 2-pt shot from 3 ft (block by M. Gortat)
7:19.0,Defensive rebound by N. Hilario,,10-9,,
7:13.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,12-9,,
6:58.0,,,12-11,2,D. Howard makes 2-pt shot from 2 ft (assist by P. Beverley)
6:46.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,14-11,,
6:24.0,,,14-11,,T. Ariza misses 3-pt shot from 23 ft
6:23.0,,,14-11,,Offensive rebound by D. Howard
6:23.0,,,14-13,2,D. Howard makes 2-pt shot from 1 ft
6:07.0,,,14-13,,D. Motiejunas enters the game for J. Smith
5:56.0,B. Beal makes 2-pt shot from 19 ft,2,16-13,,
5:45.0,,,16-13,,Turnover by P. Beverley (bad pass; steal by J. Wall)
5:39.0,B. Beal misses 3-pt shot from 23 ft,,16-13,,
5:37.0,,,16-13,,Defensive rebound by T. Ariza
5:21.0,,,16-13,,D. Howard misses 2-pt shot from 8 ft
5:19.0,Defensive rebound by Team,,16-13,,
5:19.0,,,16-13,,Houston full timeout
5:01.0,B. Beal misses 3-pt shot from 25 ft,,16-13,,
4:59.0,,,16-13,,Defensive rebound by Team
4:44.0,Violation by M. Gortat (kicked ball),,16-13,,
4:44.0,K. Humphries enters the game for N. Hilario,,16-13,,
4:35.0,,,16-13,,J. Harden misses 3-pt shot from 24 ft
4:32.0,,,16-13,,Offensive rebound by Team
4:19.0,,,16-13,,D. Howard misses 2-pt shot from 9 ft
4:17.0,Defensive rebound by B. Beal,,16-13,,
4:09.0,M. Gortat makes 2-pt shot from 14 ft (assist by B. Beal),2,18-13,,
4:00.0,,,18-15,2,D. Howard makes 2-pt shot at rim (assist by P. Beverley)
4:00.0,,,18-15,,Shooting foul by K. Humphries (drawn by D. Howard)
4:00.0,,,18-15,,D. Howard misses free throw 1 of 1
4:00.0,Defensive rebound by M. Gortat,,18-15,,
3:42.0,Shooting foul by D. Motiejunas (drawn by P. Pierce),,18-15,,
3:42.0,P. Pierce makes free throw 1 of 2,1,19-15,,
3:42.0,,,19-15,,C. Brewer enters the game for T. Ariza
3:42.0,P. Pierce makes free throw 2 of 2,1,20-15,,
3:17.0,,,20-15,,P. Beverley misses 3-pt shot from 25 ft
3:17.0,,,20-15,,Offensive rebound by Team
3:17.0,,,20-15,,Turnover by Team (shot clock)
3:17.0,R. Butler enters the game for P. Pierce,,20-15,,
3:10.0,,,20-15,,Personal foul by P. Beverley (drawn by J. Wall)
3:02.0,K. Humphries misses 2-pt shot from 8 ft,,20-15,,
3:00.0,,,20-15,,Defensive rebound by D. Howard
2:52.0,,,20-15,,J. Harden misses 2-pt shot at rim
2:52.0,Defensive rebound by Team,,20-15,,
2:52.0,Washington full timeout,,20-15,,
2:52.0,,,20-15,,J. Smith enters the game for D. Howard
2:37.0,M. Gortat misses 2-pt shot from 3 ft,,20-15,,
2:36.0,,,20-15,,Defensive rebound by D. Motiejunas
2:31.0,,,20-17,2,J. Harden makes 2-pt shot from 1 ft
2:26.0,,,20-17,,Personal block foul by D. Motiejunas (drawn by J. Wall)
2:26.0,K. Seraphin enters the game for M. Gortat,,20-17,,
2:26.0,,,20-17,,J. Dorsey enters the game for D. Motiejunas
2:12.0,J. Wall misses 2-pt shot from 17 ft,,20-17,,
2:09.0,,,20-17,,Defensive rebound by P. Beverley
2:01.0,,,20-19,2,J. Dorsey makes 2-pt shot from 1 ft (assist by J. Harden)
1:48.0,R. Butler makes 3-pt shot from 23 ft (assist by K. Humphries),3,23-19,,
1:32.0,,,23-19,,J. Smith misses 2-pt shot from 5 ft
1:31.0,Defensive rebound by K. Humphries,,23-19,,
1:27.0,Shooting foul by P. Beverley (drawn by J. Wall),,23-19,,
1:27.0,J. Wall misses free throw 1 of 2,,23-19,,
1:27.0,Offensive rebound by Team,,23-19,,
1:27.0,,,23-19,,J. Terry enters the game for P. Beverley
1:27.0,O. Porter enters the game for B. Beal,,23-19,,
1:27.0,J. Wall makes free throw 2 of 2,1,24-19,,
1:17.0,,,24-19,,Shooting foul by K. Humphries (drawn by J. Smith)
1:17.0,,,24-20,1,J. Smith makes free throw 1 of 2
1:17.0,D. Gooden enters the game for K. Humphries,,24-20,,
1:17.0,,,24-20,,J. Smith misses free throw 2 of 2
1:17.0,Defensive rebound by K. Seraphin,,24-20,,
1:05.0,J. Wall misses 2-pt shot from 19 ft,,24-20,,
1:04.0,,,24-20,,Defensive rebound by J. Smith
0:59.0,,,24-23,3,C. Brewer makes 3-pt shot from 23 ft (assist by J. Terry)
0:44.0,D. Gooden misses 2-pt shot from 21 ft,,24-23,,
0:43.0,,,24-23,,Defensive rebound by J. Harden
0:34.0,,,24-25,2,J. Harden makes 2-pt shot from 1 ft
0:29.0,J. Wall misses 3-pt shot from 24 ft,,24-25,,
0:26.0,,,24-25,,Defensive rebound by J. Dorsey
0:02.0,,,24-27,2,J. Harden makes 2-pt shot from 20 ft
0:01.0,Turnover by D. Gooden (bad pass; steal by J. Smith),,24-27,,
0:00.0,,,24-27,,J. Smith misses 3-pt shot from 25 ft
0:00.0,,,24-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,24-27,,J. Smith misses 2-pt shot from 8 ft
11:43.0,Defensive rebound by A. Miller,,24-27,,
