time,Oklahoma City,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Jordan,,,,Jump ball: S. Adams vs. D. Jordan
11:35.0,R. Westbrook makes 2-pt shot from 2 ft (assist by A. Roberson),2,2-0,,
11:21.0,,,2-0,,J. Redick misses 3-pt shot from 27 ft
11:20.0,Defensive rebound by Team,,2-0,,
11:03.0,P. Jones makes 2-pt shot from 13 ft,2,4-0,,
10:55.0,Personal foul by S. Ibaka (drawn by B. Griffin),,4-0,,
10:50.0,,,4-0,,B. Griffin misses 2-pt shot from 10 ft
10:47.0,Defensive rebound by S. Ibaka,,4-0,,
10:43.0,,,4-0,,Personal foul by D. Jordan (drawn by R. Westbrook)
10:29.0,A. Roberson makes 2-pt shot from 3 ft (assist by P. Jones),2,6-0,,
10:20.0,,,6-0,,B. Griffin misses 2-pt shot from 21 ft
10:19.0,Defensive rebound by Team,,6-0,,
10:06.0,S. Ibaka makes 2-pt shot from 14 ft (assist by R. Westbrook),2,8-0,,
9:48.0,,,8-0,,B. Griffin misses 2-pt shot from 3 ft (block by P. Jones)
9:46.0,,,8-0,,Offensive rebound by B. Griffin
9:43.0,,,8-0,,M. Barnes misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by S. Ibaka,,8-0,,
9:33.0,Turnover by R. Westbrook (lost ball; steal by C. Paul),,8-0,,
9:30.0,,,8-0,,Shooting foul by P. Jones (drawn by B. Griffin)
9:30.0,,,8-1,1,B. Griffin makes free throw 1 of 2
9:30.0,,,8-2,1,B. Griffin makes free throw 2 of 2
9:13.0,S. Ibaka makes 2-pt shot from 21 ft (assist by P. Jones),2,10-2,,
9:00.0,Personal foul by R. Westbrook (drawn by C. Paul),,10-2,,
8:51.0,,,10-5,3,M. Barnes makes 3-pt shot from 25 ft (assist by C. Paul)
8:34.0,,,10-5,,Personal foul by B. Griffin (drawn by S. Ibaka)
8:27.0,R. Westbrook misses 3-pt shot from 26 ft,,10-5,,
8:26.0,,,10-5,,Defensive rebound by D. Jordan
8:11.0,,,10-5,,J. Redick misses 3-pt shot from 25 ft
8:10.0,,,10-5,,Offensive rebound by D. Jordan
8:09.0,,,10-7,2,D. Jordan makes 2-pt shot from 1 ft
7:59.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,12-7,,
7:45.0,,,12-7,,Shooting foul by S. Adams (drawn by B. Griffin)
7:45.0,,,12-8,1,B. Griffin makes free throw 1 of 2
7:45.0,,,12-9,1,B. Griffin makes free throw 2 of 2
7:26.0,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook),2,14-9,,
7:19.0,,,14-11,2,C. Paul makes 2-pt shot from 14 ft
7:06.0,S. Ibaka misses 3-pt shot from 25 ft,,14-11,,
7:05.0,Offensive rebound by S. Adams,,14-11,,
7:03.0,S. Adams misses 2-pt shot from 5 ft,,14-11,,
7:02.0,Offensive rebound by Team,,14-11,,
7:02.0,Turnover by A. Roberson (bad pass),,14-11,,
6:51.0,,,14-11,,C. Paul misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by S. Ibaka,,14-11,,
6:32.0,Offensive foul by R. Westbrook,,14-11,,
6:32.0,Turnover by R. Westbrook (offensive foul),,14-11,,
6:32.0,S. Telfair enters the game for R. Westbrook,,14-11,,
6:11.0,,,14-11,,B. Griffin misses 2-pt shot from 15 ft
6:10.0,,,14-11,,Offensive rebound by D. Jordan
6:09.0,,,14-11,,D. Jordan misses 2-pt shot at rim
6:08.0,,,14-11,,Offensive rebound by B. Griffin
6:02.0,,,14-11,,B. Griffin misses 2-pt shot from 2 ft
6:02.0,,,14-11,,Offensive rebound by B. Griffin
6:02.0,,,14-11,,Turnover by B. Griffin (traveling)
5:45.0,A. Roberson makes 2-pt shot from 2 ft (assist by S. Telfair),2,16-11,,
5:45.0,Shooting foul by J. Redick (drawn by A. Roberson),,16-11,,
5:45.0,,,16-11,,LA Clippers full timeout
5:45.0,A. Roberson makes free throw 1 of 1,1,17-11,,
5:38.0,,,17-11,,Offensive foul by D. Jordan
