time,Denver,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Nurkic (T. Lawson gains possession),,,,Jump ball: A. Bogut vs. J. Nurkic (T. Lawson gains possession)
11:43.0,K. Faried misses 2-pt shot from 5 ft,,0-0,,
11:42.0,Offensive rebound by K. Faried,,0-0,,
11:35.0,W. Chandler makes 3-pt shot from 26 ft,3,3-0,,
11:19.0,,,3-0,,K. Thompson misses 2-pt shot from 17 ft
11:18.0,Defensive rebound by K. Faried,,3-0,,
10:55.0,A. Afflalo misses 2-pt shot from 6 ft,,3-0,,
10:54.0,,,3-0,,Defensive rebound by A. Bogut
10:44.0,Violation by T. Lawson (kicked ball),,3-0,,
10:35.0,,,3-0,,S. Curry misses 2-pt shot from 2 ft (block by J. Nurkic)
10:33.0,Defensive rebound by J. Nurkic,,3-0,,
10:17.0,W. Chandler misses 2-pt shot from 8 ft,,3-0,,
10:16.0,,,3-0,,Defensive rebound by A. Bogut
10:10.0,,,3-0,,H. Barnes misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by K. Faried,,3-0,,
9:45.0,K. Faried misses 2-pt shot from 11 ft,,3-0,,
9:44.0,,,3-0,,Defensive rebound by H. Barnes
9:33.0,,,3-0,,K. Thompson misses 3-pt shot from 26 ft
9:32.0,Defensive rebound by T. Lawson,,3-0,,
9:15.0,A. Afflalo misses 2-pt shot from 19 ft,,3-0,,
9:14.0,,,3-0,,Defensive rebound by D. Green
9:03.0,,,3-0,,H. Barnes misses 2-pt shot from 9 ft
9:02.0,Defensive rebound by K. Faried,,3-0,,
8:58.0,Turnover by K. Faried (lost ball),,3-0,,
8:41.0,,,3-0,,H. Barnes misses 2-pt shot from 2 ft
8:37.0,,,3-0,,Offensive rebound by D. Green
8:37.0,Jump ball: D. Green vs. T. Lawson (H. Barnes gains possession),,,,Jump ball: D. Green vs. T. Lawson (H. Barnes gains possession)
8:28.0,,,3-3,3,S. Curry makes 3-pt shot from 28 ft (assist by H. Barnes)
8:11.0,,,3-3,,Violation by D. Green (kicked ball)
8:07.0,J. Nurkic misses 2-pt shot from 18 ft,,3-3,,
