time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. Z. Pachulia (E. Ilyasova gains possession),,,,Jump ball: B. Bass vs. Z. Pachulia (E. Ilyasova gains possession)
11:42.0,,,0-2,2,K. Middleton makes 2-pt shot from 16 ft (assist by E. Ilyasova)
11:23.0,Turnover by L. Datome (lost ball; steal by Z. Pachulia),,0-2,,
11:02.0,,,0-2,,M. Carter-Williams misses 3-pt shot from 25 ft
11:00.0,,,0-2,,Offensive rebound by Z. Pachulia
10:55.0,,,0-2,,E. Ilyasova misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by B. Bass,,0-2,,
10:41.0,M. Smart misses 3-pt shot from 27 ft,,0-2,,
10:39.0,,,0-2,,Defensive rebound by Z. Pachulia
10:28.0,,,0-2,,Z. Pachulia misses 2-pt shot from 16 ft
10:27.0,Defensive rebound by M. Smart,,0-2,,
10:09.0,L. Datome misses 2-pt shot from 15 ft,,0-2,,
10:08.0,,,0-2,,Defensive rebound by M. Carter-Williams
9:57.0,,,0-2,,Shooting foul by T. Zeller (drawn by G. Antetokounmpo)
9:57.0,,,0-2,,G. Antetokounmpo misses free throw 1 of 2
9:57.0,,,0-2,,Offensive rebound by Team
9:57.0,,,0-3,1,G. Antetokounmpo makes free throw 2 of 2
9:44.0,L. Datome makes 3-pt shot from 25 ft (assist by E. Turner),3,3-3,,
9:23.0,,,3-3,,Z. Pachulia misses 2-pt shot from 13 ft
9:23.0,Defensive rebound by B. Bass,,3-3,,
9:13.0,T. Zeller misses 2-pt shot from 16 ft,,3-3,,
9:12.0,,,3-3,,Defensive rebound by K. Middleton
9:01.0,,,3-5,2,Z. Pachulia makes 2-pt shot from 12 ft (assist by K. Middleton)
8:51.0,Turnover by E. Turner (lost ball; steal by Z. Pachulia),,3-5,,
8:45.0,,,3-7,2,E. Ilyasova makes 2-pt shot at rim (assist by K. Middleton)
8:20.0,M. Smart misses 3-pt shot from 26 ft,,3-7,,
8:18.0,Offensive rebound by T. Zeller,,3-7,,
8:18.0,T. Zeller misses 2-pt shot from 1 ft,,3-7,,
8:16.0,,,3-7,,Defensive rebound by E. Ilyasova
8:05.0,,,3-7,,Z. Pachulia misses 2-pt shot from 13 ft
8:03.0,Defensive rebound by E. Turner,,3-7,,
7:56.0,E. Turner misses 2-pt shot from 2 ft,,3-7,,
7:55.0,Offensive rebound by B. Bass,,3-7,,
7:55.0,B. Bass misses 2-pt shot from 1 ft,,3-7,,
7:55.0,,,3-7,,Defensive rebound by Team
7:39.0,,,3-9,2,K. Middleton makes 2-pt shot from 6 ft (assist by Z. Pachulia)
7:24.0,T. Zeller makes 2-pt shot at rim (assist by E. Turner),2,5-9,,
7:10.0,,,5-12,3,K. Middleton makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
6:53.0,T. Zeller makes 2-pt shot at rim (assist by M. Smart),2,7-12,,
6:35.0,,,7-14,2,M. Carter-Williams makes 2-pt shot from 15 ft
6:27.0,,,7-14,,Personal block foul by G. Antetokounmpo (drawn by E. Turner)
6:13.0,E. Turner makes 2-pt shot from 15 ft (assist by L. Datome),2,9-14,,
5:49.0,,,9-16,2,K. Middleton makes 2-pt shot from 16 ft (assist by G. Antetokounmpo)
5:40.0,T. Zeller makes 2-pt shot at rim (assist by E. Turner),2,11-16,,
5:24.0,,,11-19,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
5:22.0,Boston full timeout,,11-19,,
5:22.0,G. Wallace enters the game for L. Datome,,11-19,,
5:09.0,B. Bass misses 2-pt shot from 13 ft,,11-19,,
5:07.0,,,11-19,,Defensive rebound by Z. Pachulia
4:58.0,,,11-19,,Offensive foul by G. Antetokounmpo
4:58.0,,,11-19,,Turnover by G. Antetokounmpo (offensive foul)
4:58.0,J. Sullinger enters the game for T. Zeller,,11-19,,
4:44.0,M. Smart makes 3-pt shot from 26 ft (assist by B. Bass),3,14-19,,
4:20.0,,,14-21,2,K. Middleton makes 2-pt shot from 6 ft (assist by E. Ilyasova)
4:11.0,Turnover by E. Turner (lost ball),,14-21,,
4:11.0,Jump ball: Z. Pachulia vs. E. Turner (K. Middleton gains possession),,,,Jump ball: Z. Pachulia vs. E. Turner (K. Middleton gains possession)
4:06.0,,,14-23,2,K. Middleton makes 2-pt shot at rim
4:01.0,Turnover by G. Wallace (bad pass; steal by M. Carter-Williams),,14-23,,
3:50.0,,,14-23,,G. Antetokounmpo misses 2-pt shot from 19 ft
3:49.0,Defensive rebound by B. Bass,,14-23,,
3:48.0,,,14-23,,Personal foul by M. Carter-Williams (drawn by M. Smart)
3:48.0,Personal foul by M. Smart,,14-23,,
3:32.0,J. Sullinger misses 2-pt shot from 20 ft,,14-23,,
3:31.0,,,14-23,,Defensive rebound by E. Ilyasova
3:18.0,,,14-23,,E. Ilyasova misses 3-pt shot from 27 ft
3:16.0,Defensive rebound by J. Sullinger,,14-23,,
3:05.0,Offensive foul by B. Bass,,14-23,,
3:05.0,Turnover by B. Bass (offensive foul),,14-23,,
3:05.0,P. Pressey enters the game for E. Turner,,14-23,,
2:55.0,,,14-23,,Offensive foul by K. Middleton
2:55.0,,,14-23,,Turnover by K. Middleton (offensive foul)
2:55.0,,,14-23,,Milwaukee full timeout
2:55.0,,,14-23,,J. O'Bryant enters the game for E. Ilyasova
2:55.0,,,14-23,,J. Henson enters the game for Z. Pachulia
2:42.0,M. Smart makes 3-pt shot from 25 ft (assist by G. Wallace),3,17-23,,
2:23.0,,,17-23,,J. Henson misses 2-pt shot from 5 ft
2:22.0,Defensive rebound by P. Pressey,,17-23,,
2:15.0,K. Olynyk enters the game for B. Bass,,17-23,,
2:01.0,J. Sullinger misses 2-pt shot from 16 ft,,17-23,,
2:00.0,,,17-23,,Defensive rebound by J. O'Bryant
1:53.0,,,17-23,,Turnover by K. Middleton (bad pass; steal by M. Smart)
1:37.0,K. Olynyk makes 3-pt shot from 24 ft (assist by P. Pressey),3,20-23,,
1:14.0,,,20-23,,J. Henson misses 2-pt shot from 1 ft (block by J. Sullinger)
1:12.0,Defensive rebound by M. Smart,,20-23,,
1:10.0,Turnover by P. Pressey (bad pass),,20-23,,
1:10.0,,,20-23,,T. Ennis enters the game for K. Middleton
1:10.0,,,20-23,,O. Mayo enters the game for M. Carter-Williams
1:00.0,,,20-25,2,O. Mayo makes 2-pt shot from 8 ft (assist by J. Henson)
0:47.0,K. Olynyk misses 2-pt shot at rim,,20-25,,
0:45.0,,,20-25,,Defensive rebound by J. O'Bryant
0:40.0,,,20-25,,O. Mayo misses 3-pt shot from 25 ft
0:39.0,,,20-25,,Offensive rebound by G. Antetokounmpo
0:39.0,,,20-25,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:37.0,Defensive rebound by K. Olynyk,,20-25,,
0:31.0,K. Olynyk misses 2-pt shot at rim (block by J. Henson),,20-25,,
0:29.0,Offensive rebound by P. Pressey,,20-25,,
0:26.0,Turnover by G. Wallace (bad pass),,20-25,,
0:26.0,J. Jerebko enters the game for M. Smart,,20-25,,
0:08.0,,,20-25,,J. O'Bryant misses 2-pt shot from 2 ft (block by J. Sullinger)
0:07.0,Defensive rebound by Team,,20-25,,
0:02.0,P. Pressey makes 2-pt shot from 1 ft,2,22-25,,
0:00.0,,,22-25,,G. Antetokounmpo misses 3-pt shot from 36 ft
0:00.0,,,22-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Jerebko makes 2-pt shot at rim (assist by J. Sullinger),2,24-25,,
11:30.0,,,24-25,,Turnover by J. Henson (bad pass; steal by J. Jerebko)
11:24.0,K. Olynyk makes 3-pt shot from 26 ft (assist by J. Jerebko),3,27-25,,
11:11.0,,,27-25,,J. O'Bryant misses 2-pt shot from 12 ft
11:10.0,,,27-25,,Offensive rebound by J. O'Bryant
11:08.0,,,27-25,,Turnover by J. O'Bryant (lost ball; steal by K. Olynyk)
11:00.0,J. Sullinger misses 2-pt shot from 1 ft (block by J. Henson),,27-25,,
10:58.0,,,27-25,,Defensive rebound by J. Gutierrez
10:42.0,Personal foul by J. Young (drawn by T. Ennis),,27-25,,
10:35.0,,,27-27,2,O. Mayo makes 2-pt shot from 14 ft (assist by T. Ennis)
10:13.0,J. Young misses 3-pt shot from 23 ft,,27-27,,
10:12.0,Offensive rebound by J. Sullinger,,27-27,,
10:09.0,J. Sullinger misses 2-pt shot from 11 ft,,27-27,,
10:08.0,,,27-27,,Defensive rebound by O. Mayo
10:05.0,,,27-29,2,T. Ennis makes 2-pt shot at rim (assist by O. Mayo)
9:52.0,P. Pressey makes 2-pt shot from 13 ft,2,29-29,,
9:35.0,,,29-29,,Turnover by J. Gutierrez (traveling)
9:14.0,J. Jerebko misses 3-pt shot from 26 ft,,29-29,,
9:13.0,,,29-29,,Defensive rebound by J. Henson
9:05.0,,,29-29,,Shooting foul by J. Young (drawn by J. Gutierrez)
9:05.0,,,29-29,,J. Gutierrez misses free throw 1 of 2
9:05.0,,,29-29,,Offensive rebound by Team
9:05.0,B. Bass enters the game for J. Sullinger,,29-29,,
9:05.0,,,29-29,,J. Gutierrez misses free throw 2 of 2
9:04.0,Defensive rebound by K. Olynyk,,29-29,,
8:50.0,,,29-29,,Personal foul by J. O'Bryant (drawn by K. Olynyk)
8:50.0,Official timeout,,29-29,,
8:50.0,,,29-29,,M. Plumlee enters the game for J. Henson
8:42.0,B. Bass makes 2-pt shot from 11 ft (assist by J. Young),2,31-29,,
8:26.0,,,31-31,2,T. Ennis makes 2-pt shot from 16 ft (assist by J. Gutierrez)
8:16.0,B. Bass makes 2-pt shot from 17 ft (assist by P. Pressey),2,33-31,,
7:57.0,,,33-31,,Turnover by T. Ennis (lost ball)
7:38.0,Turnover by J. Jerebko (bad pass; steal by M. Plumlee),,33-31,,
7:21.0,,,33-31,,O. Mayo misses 3-pt shot from 23 ft
7:20.0,Defensive rebound by J. Jerebko,,33-31,,
7:18.0,Shooting foul by J. Gutierrez (drawn by J. Young),,33-31,,
7:18.0,J. Young misses free throw 1 of 2,,33-31,,
7:18.0,Offensive rebound by Team,,33-31,,
7:18.0,G. Wallace enters the game for K. Olynyk,,33-31,,
7:18.0,T. Zeller enters the game for J. Jerebko,,33-31,,
7:18.0,J. Young misses free throw 2 of 2,,33-31,,
7:17.0,,,33-31,,Defensive rebound by O. Mayo
7:03.0,,,33-31,,T. Ennis misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by P. Pressey,,33-31,,
6:57.0,P. Pressey misses 2-pt shot at rim,,33-31,,
6:55.0,,,33-31,,Defensive rebound by J. Gutierrez
6:52.0,Personal foul by P. Pressey (drawn by T. Ennis),,33-31,,
6:38.0,,,33-31,,J. Gutierrez misses 2-pt shot from 3 ft
6:36.0,,,33-31,,Offensive rebound by J. O'Bryant
6:32.0,,,33-33,2,J. Gutierrez makes 2-pt shot at rim (assist by J. O'Bryant)
6:15.0,J. Young makes 3-pt shot from 25 ft (assist by T. Zeller),3,36-33,,
6:01.0,,,36-33,,T. Ennis misses 2-pt shot at rim
6:00.0,,,36-33,,Offensive rebound by T. Ennis
