time,LA Clippers,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. D. Jordan (C. Boozer gains possession),,,,Jump ball: J. Hill vs. D. Jordan (C. Boozer gains possession)
11:41.0,,,0-0,,C. Boozer misses 2-pt shot from 11 ft
11:39.0,,,0-0,,Offensive rebound by J. Hill
11:39.0,,,0-0,,J. Hill misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by D. Jordan,,0-0,,
11:21.0,B. Griffin misses 2-pt shot from 16 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by W. Johnson
11:09.0,,,0-3,3,J. Lin makes 3-pt shot from 25 ft (assist by C. Boozer)
10:55.0,,,0-3,,Personal foul by J. Hill (drawn by B. Griffin)
10:49.0,C. Paul makes 2-pt shot from 7 ft (assist by B. Griffin),2,2-3,,
10:36.0,,,2-3,,W. Johnson misses 2-pt shot from 17 ft
10:35.0,Defensive rebound by Team,,2-3,,
10:27.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,4-3,,
10:18.0,,,4-3,,Turnover by J. Lin (bad pass; steal by C. Paul)
10:12.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,6-3,,
9:58.0,Personal foul by C. Paul (drawn by W. Johnson),,6-3,,
9:51.0,,,6-3,,Shooting foul by M. Barnes (drawn by K. Bryant)
9:51.0,,,6-3,,K. Bryant misses free throw 1 of 2
9:51.0,,,6-3,,Offensive rebound by Team
9:51.0,,,6-4,1,K. Bryant makes free throw 2 of 2
9:37.0,J. Redick misses 3-pt shot from 24 ft,,6-4,,
9:36.0,,,6-4,,Defensive rebound by W. Johnson
9:21.0,,,6-4,,J. Lin misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by B. Griffin,,6-4,,
9:12.0,M. Barnes makes 3-pt shot from 23 ft (assist by J. Redick),3,9-4,,
9:00.0,,,9-4,,Turnover by K. Bryant (bad pass)
8:49.0,M. Barnes misses 3-pt shot from 23 ft,,9-4,,
8:48.0,Offensive rebound by D. Jordan,,9-4,,
8:40.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,11-4,,
8:23.0,,,11-4,,Turnover by J. Lin (bad pass)
8:22.0,Turnover by M. Barnes (bad pass; steal by W. Johnson),,11-4,,
8:09.0,,,11-6,2,C. Boozer makes 2-pt shot from 14 ft (assist by J. Lin)
8:05.0,,,11-6,,Personal block foul by W. Johnson (drawn by M. Barnes)
7:56.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,13-6,,
7:44.0,,,13-6,,Turnover by C. Boozer (traveling)
7:32.0,C. Paul misses 3-pt shot from 27 ft,,13-6,,
7:31.0,,,13-6,,Defensive rebound by J. Lin
7:21.0,,,13-8,2,K. Bryant makes 2-pt shot at rim
7:02.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,15-8,,
6:47.0,,,15-8,,Shooting foul by D. Jordan (drawn by J. Hill)
6:47.0,,,15-9,1,J. Hill makes free throw 1 of 2
6:47.0,,,15-10,1,J. Hill makes free throw 2 of 2
6:36.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,18-10,,
6:21.0,,,18-10,,J. Hill misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by Team,,18-10,,
6:09.0,Shooting foul by J. Lin (drawn by J. Redick),,18-10,,
6:09.0,J. Redick makes free throw 1 of 2,1,19-10,,
6:09.0,J. Redick makes free throw 2 of 2,1,20-10,,
6:05.0,,,20-10,,LA Lakers full timeout
5:53.0,,,20-12,2,K. Bryant makes 2-pt shot from 19 ft
5:36.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,22-12,,
5:26.0,,,22-12,,W. Johnson misses 2-pt shot from 19 ft
5:25.0,Defensive rebound by B. Griffin,,22-12,,
5:08.0,B. Griffin misses 2-pt shot from 20 ft,,22-12,,
5:07.0,,,22-12,,Defensive rebound by K. Bryant
4:58.0,,,22-12,,C. Boozer misses 2-pt shot from 17 ft
4:57.0,Defensive rebound by D. Jordan,,22-12,,
4:44.0,,,22-12,,E. Davis enters the game for C. Boozer
4:34.0,B. Griffin makes 3-pt shot from 25 ft (assist by C. Paul),3,25-12,,
4:19.0,Personal foul by M. Barnes (drawn by K. Bryant),,25-12,,
4:19.0,C. Douglas-Roberts enters the game for M. Barnes,,25-12,,
4:04.0,,,25-12,,J. Lin misses 2-pt shot from 2 ft
4:02.0,,,25-12,,Offensive rebound by E. Davis
4:02.0,,,25-12,,E. Davis misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by D. Jordan,,25-12,,
3:51.0,B. Griffin makes 2-pt shot at rim,2,27-12,,
3:29.0,,,27-14,2,J. Hill makes 2-pt shot from 1 ft (assist by K. Bryant)
3:18.0,Turnover by J. Redick (bad pass; steal by J. Lin),,27-14,,
3:14.0,,,27-16,2,J. Lin makes 2-pt shot from 1 ft
3:05.0,,,27-16,,Personal foul by K. Bryant (drawn by C. Paul)
3:05.0,J. Crawford enters the game for J. Redick,,27-16,,
3:05.0,,,27-16,,W. Ellington enters the game for K. Bryant
3:05.0,LA Clippers full timeout,,27-16,,
