time,Golden State,pts.away,score,pts.home,Detroit
5:32.0,Shooting foul by C. Martin (drawn by K. Thompson),,92-79,,
5:32.0,,,92-79,,Detroit full timeout
5:32.0,,,92-79,,A. Drummond enters the game for G. Monroe
5:32.0,,,92-79,,K. Singler enters the game for C. Butler
5:32.0,L. Barbosa enters the game for A. Iguodala,,92-79,,
5:32.0,K. Thompson makes free throw 1 of 2,1,93-79,,
5:32.0,K. Thompson makes free throw 2 of 2,1,94-79,,
5:11.0,,,94-79,,K. Singler misses 2-pt shot from 6 ft
5:11.0,Defensive rebound by Team,,94-79,,
5:11.0,,,94-79,,B. Jennings enters the game for D. Augustin
5:11.0,,,94-79,,J. Smith enters the game for J. Jerebko
4:54.0,Offensive foul by A. Bogut,,94-79,,
4:54.0,Turnover by A. Bogut (offensive foul),,94-79,,
4:36.0,,,94-82,3,C. Martin makes 3-pt shot from 26 ft (assist by K. Singler)
4:19.0,L. Barbosa misses 2-pt shot from 10 ft,,94-82,,
4:18.0,Offensive rebound by A. Bogut,,94-82,,
4:09.0,,,94-82,,Personal foul by J. Smith (drawn by D. Green)
4:09.0,,,94-82,,Technical foul by A. Drummond
4:09.0,K. Thompson makes technical free throw,1,95-82,,
4:09.0,D. Green misses free throw 1 of 2,,95-82,,
4:09.0,Offensive rebound by Team,,95-82,,
4:09.0,,,95-82,,K. Caldwell-Pope enters the game for K. Singler
4:09.0,D. Green makes free throw 2 of 2,1,96-82,,
4:00.0,,,96-82,,Turnover by K. Caldwell-Pope (lost ball)
3:49.0,S. Livingston makes 2-pt shot at rim,2,98-82,,
3:27.0,,,98-84,2,B. Jennings makes 2-pt shot from 12 ft
3:13.0,K. Thompson makes 2-pt shot at rim (assist by A. Bogut),2,100-84,,
2:53.0,,,100-87,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Smith)
2:33.0,Golden State full timeout,,100-87,,
2:33.0,,,100-87,,G. Monroe enters the game for A. Drummond
2:32.0,Turnover by D. Green (step out of bounds),,100-87,,
2:23.0,,,100-87,,Shooting foul by D. Green (drawn by J. Smith)
2:23.0,,,100-88,1,J. Smith makes free throw 1 of 2
2:23.0,A. Iguodala enters the game for L. Barbosa,,100-88,,
2:23.0,,,100-88,,J. Smith misses free throw 2 of 2
2:21.0,Defensive rebound by A. Bogut,,100-88,,
2:04.0,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala),2,102-88,,
1:49.0,,,102-88,,J. Smith misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by Team,,102-88,,
1:49.0,,,102-88,,K. Singler enters the game for C. Martin
1:30.0,A. Bogut misses 2-pt shot from 6 ft,,102-88,,
1:28.0,,,102-88,,Defensive rebound by J. Smith
1:24.0,,,102-91,3,B. Jennings makes 3-pt shot from 26 ft (assist by J. Smith)
1:05.0,Turnover by S. Livingston (lost ball; steal by J. Smith),,102-91,,
1:00.0,,,102-91,,B. Jennings misses 2-pt shot from 3 ft (block by A. Bogut)
0:59.0,Defensive rebound by S. Livingston,,102-91,,
0:38.0,S. Livingston makes 2-pt shot from 1 ft (assist by A. Bogut),2,104-91,,
0:26.0,,,104-91,,B. Jennings misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by S. Livingston,,104-91,,
0:23.0,Turnover by S. Livingston (lost ball; steal by B. Jennings),,104-91,,
0:18.0,,,104-91,,B. Jennings misses 2-pt shot from 15 ft
0:18.0,,,104-91,,Offensive rebound by J. Smith
0:17.0,,,104-93,2,J. Smith makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
