time,Detroit,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. C. Zeller (B. Roberts gains possession),,,,Jump ball: A. Drummond vs. C. Zeller (B. Roberts gains possession)
11:43.0,,,0-2,2,C. Zeller makes 2-pt shot from 1 ft (assist by A. Jefferson)
11:26.0,A. Drummond misses 2-pt shot from 5 ft (block by A. Jefferson),,0-2,,
11:26.0,Offensive rebound by Team,,0-2,,
11:26.0,,,0-2,,Loose ball foul by C. Zeller (drawn by G. Monroe)
11:08.0,G. Monroe misses 2-pt shot from 3 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by G. Henderson
11:01.0,,,0-4,2,A. Jefferson makes 2-pt shot from 9 ft (assist by G. Henderson)
10:33.0,D. Augustin misses 2-pt shot from 21 ft,,0-4,,
10:32.0,,,0-4,,Defensive rebound by C. Zeller
10:12.0,,,0-4,,A. Jefferson misses 2-pt shot from 11 ft
10:10.0,Defensive rebound by G. Monroe,,0-4,,
10:03.0,A. Drummond misses 2-pt shot from 10 ft,,0-4,,
10:01.0,,,0-4,,Defensive rebound by G. Henderson
9:57.0,,,0-4,,Turnover by G. Henderson (bad pass)
9:36.0,G. Monroe makes 2-pt shot from 4 ft (assist by D. Augustin),2,2-4,,
9:26.0,,,2-4,,Shooting foul by A. Drummond (drawn by C. Zeller)
9:26.0,,,2-5,1,C. Zeller makes free throw 1 of 2
9:26.0,,,2-6,1,C. Zeller makes free throw 2 of 2
9:06.0,G. Monroe misses 2-pt shot from 1 ft,,2-6,,
9:03.0,,,2-6,,Defensive rebound by C. Zeller
8:56.0,,,2-6,,G. Henderson misses 2-pt shot from 4 ft (block by K. Caldwell-Pope)
8:55.0,Defensive rebound by K. Caldwell-Pope,,2-6,,
8:54.0,Turnover by K. Caldwell-Pope (offensive foul),,2-6,,
8:54.0,Offensive charge foul by K. Caldwell-Pope,,2-6,,
8:40.0,,,2-8,2,B. Roberts makes 2-pt shot from 1 ft
8:34.0,Detroit full timeout,,2-8,,
8:20.0,A. Drummond misses 2-pt shot from 7 ft,,2-8,,
8:19.0,,,2-8,,Defensive rebound by A. Jefferson
8:08.0,,,2-8,,C. Zeller misses 2-pt shot from 18 ft
8:07.0,Defensive rebound by K. Singler,,2-8,,
7:52.0,D. Augustin makes 2-pt shot from 1 ft,2,4-8,,
7:24.0,,,4-10,2,C. Zeller makes 2-pt shot at rim (assist by A. Jefferson)
7:01.0,K. Singler makes 2-pt shot from 20 ft (assist by K. Caldwell-Pope),2,6-10,,
6:41.0,,,6-10,,C. Zeller misses 2-pt shot from 18 ft
6:40.0,Defensive rebound by G. Monroe,,6-10,,
6:31.0,Turnover by D. Augustin (bad pass; steal by G. Henderson),,6-10,,
6:23.0,,,6-13,3,J. Taylor makes 3-pt shot from 23 ft (assist by B. Roberts)
