time,Miami,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. D. Favors (N. Cole gains possession),,,,Jump ball: C. Bosh vs. D. Favors (N. Cole gains possession)
11:40.0,C. Bosh makes 2-pt shot from 10 ft (assist by D. Wade),2,2-0,,
11:24.0,,,2-0,,Turnover by T. Burke (bad pass; steal by D. Wade)
11:21.0,N. Cole makes 2-pt shot at rim (assist by D. Wade),2,4-0,,
10:55.0,,,4-0,,A. Burks misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by L. Deng,,4-0,,
10:42.0,Shooting foul by A. Burks (drawn by J. Hamilton),,4-0,,
10:42.0,J. Hamilton makes free throw 1 of 2,1,5-0,,
10:42.0,J. Hamilton misses free throw 2 of 2,,5-0,,
10:41.0,,,5-0,,Defensive rebound by E. Kanter
10:17.0,,,5-2,2,E. Kanter makes 2-pt shot from 2 ft (assist by A. Burks)
10:03.0,L. Deng makes 2-pt shot from 16 ft,2,7-2,,
9:44.0,,,7-5,3,A. Burks makes 3-pt shot from 24 ft (assist by T. Burke)
9:28.0,N. Cole makes 3-pt shot from 23 ft (assist by D. Wade),3,10-5,,
9:10.0,,,10-8,3,T. Burke makes 3-pt shot from 26 ft (assist by A. Burks)
8:49.0,J. Hamilton makes 2-pt shot from 5 ft (assist by D. Wade),2,12-8,,
8:36.0,,,12-8,,D. Favors misses 2-pt shot from 7 ft
8:34.0,Defensive rebound by C. Bosh,,12-8,,
8:23.0,C. Bosh makes 2-pt shot from 1 ft (assist by J. Hamilton),2,14-8,,
7:58.0,,,14-8,,E. Kanter misses 2-pt shot from 3 ft
7:56.0,,,14-8,,Offensive rebound by D. Favors
7:56.0,,,14-8,,D. Favors misses 2-pt shot from 3 ft
7:54.0,,,14-8,,Offensive rebound by D. Favors
7:54.0,,,14-10,2,D. Favors makes 2-pt shot from 1 ft
7:38.0,Shooting foul by D. Favors (drawn by L. Deng),,14-10,,
7:38.0,L. Deng makes free throw 1 of 2,1,15-10,,
7:38.0,L. Deng makes free throw 2 of 2,1,16-10,,
7:27.0,,,16-10,,Turnover by G. Hayward (lost ball)
7:16.0,N. Cole misses 2-pt shot from 21 ft,,16-10,,
7:14.0,Offensive rebound by L. Deng,,16-10,,
7:14.0,L. Deng makes 2-pt shot from 2 ft,2,18-10,,
7:13.0,,,18-10,,Utah full timeout
6:53.0,,,18-12,2,G. Hayward makes 2-pt shot from 15 ft
6:37.0,D. Wade misses 2-pt shot from 19 ft,,18-12,,
6:36.0,,,18-12,,Defensive rebound by G. Hayward
6:27.0,Personal foul by J. Hamilton (drawn by G. Hayward),,18-12,,
6:19.0,,,18-12,,E. Kanter misses 2-pt shot from 17 ft
6:18.0,Defensive rebound by C. Bosh,,18-12,,
6:06.0,Turnover by D. Wade (traveling),,18-12,,
6:06.0,U. Haslem enters the game for C. Bosh,,18-12,,
5:41.0,,,18-14,2,T. Burke makes 2-pt shot from 21 ft
5:25.0,D. Wade makes 2-pt shot from 2 ft (assist by N. Cole),2,20-14,,
5:10.0,,,20-14,,D. Favors misses 2-pt shot from 9 ft
5:08.0,,,20-14,,Offensive rebound by A. Burks
4:55.0,,,20-14,,T. Burke misses 2-pt shot from 14 ft
4:53.0,Defensive rebound by L. Deng,,20-14,,
4:47.0,D. Wade makes 2-pt shot from 12 ft (assist by L. Deng),2,22-14,,
4:23.0,,,22-14,,Turnover by T. Burke (bad pass; steal by N. Cole)
4:22.0,Shooting foul by T. Burke (drawn by D. Wade),,22-14,,
4:22.0,D. Wade makes free throw 1 of 2,1,23-14,,
4:22.0,,,23-14,,R. Hood enters the game for A. Burks
4:22.0,,,23-14,,T. Booker enters the game for E. Kanter
4:22.0,D. Wade makes free throw 2 of 2,1,24-14,,
4:09.0,,,24-16,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
4:06.0,Miami full timeout,,24-16,,
4:06.0,M. Chalmers enters the game for D. Wade,,24-16,,
3:54.0,Turnover by L. Deng (traveling),,24-16,,
3:33.0,,,24-16,,R. Hood misses 2-pt shot from 2 ft
3:32.0,Defensive rebound by J. Hamilton,,24-16,,
3:22.0,J. Hamilton misses 2-pt shot from 2 ft (block by D. Favors),,24-16,,
3:20.0,Offensive rebound by U. Haslem,,24-16,,
2:58.0,L. Deng makes 3-pt shot from 23 ft (assist by M. Chalmers),3,27-16,,
2:36.0,,,27-16,,Turnover by R. Hood (lost ball; steal by J. Hamilton)
2:17.0,U. Haslem misses 2-pt shot from 1 ft,,27-16,,
2:16.0,,,27-16,,Defensive rebound by T. Booker
2:06.0,,,27-16,,Utah full timeout
2:06.0,C. Bosh enters the game for J. Hamilton,,27-16,,
2:06.0,,,27-16,,R. Gobert enters the game for D. Favors
2:06.0,,,27-16,,D. Exum enters the game for T. Burke
1:57.0,,,27-16,,G. Hayward misses 3-pt shot from 24 ft
1:56.0,,,27-16,,Offensive rebound by R. Gobert
1:54.0,,,27-16,,Shooting foul by C. Bosh (drawn by R. Gobert)
1:54.0,,,27-17,1,R. Gobert makes free throw 1 of 2
1:54.0,,,27-18,1,R. Gobert makes free throw 2 of 2
1:32.0,C. Bosh misses 2-pt shot from 16 ft,,27-18,,
1:31.0,,,27-18,,Defensive rebound by T. Booker
1:12.0,,,27-18,,Shooting foul by M. Chalmers (drawn by G. Hayward)
1:12.0,,,27-19,1,G. Hayward makes free throw 1 of 2
1:12.0,S. Napier enters the game for N. Cole,,27-19,,
1:12.0,D. Granger enters the game for L. Deng,,27-19,,
1:12.0,,,27-20,1,G. Hayward makes free throw 2 of 2
1:08.0,Shooting foul by T. Booker (drawn by U. Haslem),,27-20,,
1:08.0,U. Haslem makes free throw 1 of 2,1,28-20,,
1:08.0,U. Haslem misses free throw 2 of 2,,28-20,,
1:06.0,,,28-20,,Defensive rebound by G. Hayward
1:01.0,,,28-20,,Turnover by G. Hayward (lost ball; steal by U. Haslem)
0:56.0,Shooting foul by R. Hood (drawn by U. Haslem),,28-20,,
0:56.0,U. Haslem makes free throw 1 of 2,1,29-20,,
0:56.0,U. Haslem misses free throw 2 of 2,,29-20,,
0:55.0,,,29-20,,Defensive rebound by R. Gobert
0:31.0,,,29-20,,G. Hayward misses 3-pt shot from 24 ft
0:30.0,,,29-20,,Offensive rebound by T. Booker
0:29.0,,,29-22,2,T. Booker makes 2-pt shot from 2 ft
0:06.0,Turnover by M. Chalmers (back court),,29-22,,
0:01.0,,,29-22,,G. Hayward misses 2-pt shot from 3 ft
0:01.0,,,29-22,,Offensive rebound by R. Gobert
0:00.0,,,29-24,2,R. Gobert makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,29-24,,T. Booker misses 2-pt shot from 2 ft
11:41.0,Defensive rebound by M. Chalmers,,29-24,,
11:32.0,U. Haslem misses 2-pt shot from 2 ft (block by R. Gobert),,29-24,,
11:29.0,Offensive rebound by D. Granger,,29-24,,
11:24.0,D. Granger makes 3-pt shot from 23 ft,3,32-24,,
11:16.0,,,32-24,,A. Burks misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by C. Bosh,,32-24,,
11:02.0,U. Haslem misses 2-pt shot from 4 ft (block by R. Gobert),,32-24,,
11:01.0,Offensive rebound by U. Haslem,,32-24,,
11:01.0,Shooting foul by R. Gobert (drawn by U. Haslem),,32-24,,
11:01.0,U. Haslem makes 2-pt shot from 4 ft,2,34-24,,
11:01.0,U. Haslem makes free throw 1 of 1,1,35-24,,
10:42.0,,,35-24,,T. Booker misses 2-pt shot from 3 ft
10:37.0,Defensive rebound by C. Bosh,,35-24,,
10:29.0,M. Chalmers misses 3-pt shot from 24 ft,,35-24,,
10:28.0,,,35-24,,Defensive rebound by R. Gobert
10:19.0,Personal foul by U. Haslem (drawn by J. Ingles),,35-24,,
10:19.0,S. Williams enters the game for U. Haslem,,35-24,,
10:19.0,,,35-24,,E. Kanter enters the game for T. Booker
10:08.0,,,35-27,3,A. Burks makes 3-pt shot from 22 ft (assist by J. Ingles)
9:47.0,C. Bosh makes 2-pt shot from 8 ft,2,37-27,,
9:33.0,,,37-29,2,D. Exum makes 2-pt shot from 5 ft
9:20.0,Shooting foul by R. Gobert (drawn by C. Bosh),,37-29,,
9:20.0,C. Bosh makes free throw 1 of 2,1,38-29,,
9:20.0,,,38-29,,T. Booker enters the game for R. Gobert
9:20.0,C. Bosh makes free throw 2 of 2,1,39-29,,
8:58.0,,,39-31,2,E. Kanter makes 2-pt shot from 2 ft
