time,Miami,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. N. Vucevic (E. Fournier gains possession),,,,Jump ball: C. Bosh vs. N. Vucevic (E. Fournier gains possession)
11:34.0,,,0-0,,V. Oladipo misses 2-pt shot from 2 ft
11:32.0,,,0-0,,Offensive rebound by N. Vucevic
11:28.0,,,0-2,2,V. Oladipo makes 2-pt shot at rim
11:28.0,,,0-2,,Shooting foul by L. Deng (drawn by V. Oladipo)
11:28.0,,,0-2,,V. Oladipo misses free throw 1 of 1
11:26.0,Defensive rebound by L. Deng,,0-2,,
11:07.0,M. Chalmers makes 3-pt shot from 26 ft (assist by S. Williams),3,3-2,,
10:45.0,,,3-2,,V. Oladipo misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by C. Bosh,,3-2,,
10:33.0,L. Deng misses 2-pt shot from 1 ft,,3-2,,
10:32.0,,,3-2,,Defensive rebound by E. Fournier
10:27.0,,,3-2,,E. Fournier misses 2-pt shot at rim (block by S. Williams)
10:24.0,Defensive rebound by C. Bosh,,3-2,,
10:07.0,M. Chalmers misses 2-pt shot from 2 ft,,3-2,,
10:05.0,,,3-2,,Defensive rebound by N. Vucevic
9:55.0,,,3-2,,W. Green misses 2-pt shot from 2 ft
9:53.0,Defensive rebound by C. Bosh,,3-2,,
9:41.0,C. Bosh misses 2-pt shot from 16 ft,,3-2,,
9:40.0,,,3-2,,Defensive rebound by C. Frye
9:21.0,,,3-4,2,N. Vucevic makes 2-pt shot from 5 ft
9:00.0,S. Williams makes 3-pt shot from 25 ft (assist by M. Chalmers),3,6-4,,
8:42.0,,,6-4,,W. Green misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by M. Chalmers,,6-4,,
8:34.0,L. Deng makes 2-pt shot from 20 ft (assist by S. Brown),2,8-4,,
8:14.0,,,8-7,3,C. Frye makes 3-pt shot from 23 ft (assist by E. Fournier)
7:55.0,C. Bosh misses 2-pt shot from 9 ft,,8-7,,
7:53.0,,,8-7,,Defensive rebound by E. Fournier
7:43.0,,,8-7,,Shooting foul by S. Brown (drawn by N. Vucevic)
7:43.0,,,8-7,,N. Vucevic misses free throw 1 of 2
7:43.0,,,8-7,,Offensive rebound by Team
7:43.0,,,8-8,1,N. Vucevic makes free throw 2 of 2
7:31.0,Turnover by C. Bosh (bad pass; steal by V. Oladipo),,8-8,,
7:28.0,,,8-10,2,V. Oladipo makes 2-pt shot at rim
7:17.0,S. Williams makes 3-pt shot from 26 ft,3,11-10,,
7:02.0,Personal foul by L. Deng (drawn by N. Vucevic),,11-10,,
7:02.0,S. Napier enters the game for M. Chalmers,,11-10,,
6:51.0,,,11-10,,N. Vucevic misses 2-pt shot from 13 ft
6:49.0,Defensive rebound by C. Bosh,,11-10,,
6:37.0,C. Bosh makes 2-pt shot from 15 ft (assist by S. Williams),2,13-10,,
6:27.0,,,13-10,,Turnover by C. Frye (bad pass; steal by S. Napier)
6:19.0,C. Bosh makes 3-pt shot from 25 ft (assist by S. Napier),3,16-10,,
6:10.0,,,16-10,,Orlando full timeout
5:50.0,,,16-10,,E. Fournier misses 2-pt shot from 19 ft
5:48.0,,,16-10,,Offensive rebound by N. Vucevic
5:46.0,,,16-10,,C. Frye misses 3-pt shot from 23 ft
5:43.0,,,16-10,,Offensive rebound by W. Green
5:31.0,,,16-12,2,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic)
5:12.0,C. Bosh makes 2-pt shot from 13 ft,2,18-12,,
4:56.0,,,18-14,2,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier)
4:43.0,Turnover by C. Bosh (bad pass; steal by V. Oladipo),,18-14,,
4:39.0,,,18-16,2,V. Oladipo makes 2-pt shot from 1 ft
4:30.0,Miami full timeout,,18-16,,
4:30.0,,,18-16,,M. Harkless enters the game for C. Frye
4:16.0,S. Williams misses 3-pt shot from 26 ft,,18-16,,
4:14.0,,,18-16,,Defensive rebound by V. Oladipo
3:54.0,,,18-16,,E. Fournier misses 3-pt shot from 26 ft
3:52.0,Defensive rebound by C. Bosh,,18-16,,
3:38.0,L. Deng misses 2-pt shot from 1 ft,,18-16,,
3:36.0,,,18-16,,Defensive rebound by E. Fournier
3:25.0,,,18-16,,N. Vucevic misses 2-pt shot from 15 ft
3:24.0,Defensive rebound by S. Williams,,18-16,,
3:12.0,Turnover by L. Deng (bad pass),,18-16,,
3:12.0,,,18-16,,C. Frye enters the game for N. Vucevic
3:12.0,C. Andersen enters the game for L. Deng,,18-16,,
3:12.0,M. Chalmers enters the game for C. Bosh,,18-16,,
2:59.0,,,18-16,,V. Oladipo misses 2-pt shot at rim (block by C. Andersen)
2:55.0,Defensive rebound by M. Chalmers,,18-16,,
2:45.0,S. Napier misses 3-pt shot from 26 ft,,18-16,,
2:45.0,Offensive rebound by Team,,18-16,,
2:45.0,,,18-16,,Loose ball foul by W. Green (drawn by C. Andersen)
2:45.0,J. Ennis enters the game for S. Brown,,18-16,,
2:45.0,,,18-16,,E. Payton enters the game for W. Green
2:23.0,Shooting foul by E. Payton (drawn by S. Napier),,18-16,,
2:23.0,S. Napier makes free throw 1 of 2,1,19-16,,
2:23.0,J. McRoberts enters the game for S. Williams,,19-16,,
2:23.0,,,19-16,,B. Gordon enters the game for E. Fournier
2:23.0,S. Napier makes free throw 2 of 2,1,20-16,,
2:04.0,,,20-18,2,M. Harkless makes 2-pt shot at rim (assist by E. Payton)
1:39.0,M. Chalmers makes 2-pt shot from 1 ft,2,22-18,,
1:29.0,,,22-18,,Turnover by B. Gordon (lost ball)
1:29.0,,,22-18,,D. Dedmon enters the game for V. Oladipo
1:09.0,J. McRoberts misses 3-pt shot from 27 ft,,22-18,,
1:06.0,Offensive rebound by J. Ennis,,22-18,,
0:58.0,S. Napier misses 3-pt shot from 23 ft,,22-18,,
0:58.0,Offensive rebound by Team,,22-18,,
0:58.0,,,22-18,,Loose ball foul by C. Frye (drawn by C. Andersen)
0:39.0,Turnover by J. McRoberts (bad pass),,22-18,,
0:25.0,,,22-18,,Orlando full timeout
0:19.0,,,22-18,,B. Gordon misses 2-pt shot from 5 ft
0:17.0,,,22-18,,Offensive rebound by D. Dedmon
0:17.0,,,22-18,,D. Dedmon misses 2-pt shot at rim
0:14.0,Defensive rebound by C. Andersen,,22-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. McRoberts misses 2-pt shot at rim (block by D. Dedmon),,22-18,,
11:42.0,,,22-18,,Defensive rebound by C. Frye
11:37.0,,,22-20,2,C. Frye makes 2-pt shot from 22 ft (assist by E. Payton)
11:22.0,Turnover by J. Ennis (bad pass),,22-20,,
11:22.0,Loose ball foul by J. McRoberts (drawn by B. Gordon),,22-20,,
11:07.0,,,22-20,,Shooting foul by J. Ennis (drawn by B. Gordon)
11:07.0,,,22-20,,B. Gordon misses free throw 1 of 2
11:07.0,,,22-20,,Offensive rebound by Team
11:07.0,,,22-21,1,B. Gordon makes free throw 2 of 2
10:54.0,S. Napier makes 3-pt shot from 26 ft (assist by J. McRoberts),3,25-21,,
10:43.0,,,25-21,,E. Payton misses 2-pt shot from 1 ft
10:42.0,,,25-21,,Offensive rebound by D. Dedmon
10:42.0,,,25-21,,D. Dedmon misses 2-pt shot at rim
10:42.0,,,25-21,,Offensive rebound by D. Dedmon
10:42.0,,,25-23,2,D. Dedmon makes 2-pt shot at rim
10:42.0,,,25-23,,Shooting foul by S. Napier (drawn by D. Dedmon)
10:42.0,,,25-24,1,D. Dedmon makes free throw 1 of 1
10:26.0,M. Chalmers misses 2-pt shot from 6 ft,,25-24,,
10:24.0,,,25-24,,Defensive rebound by E. Payton
10:08.0,,,25-26,2,E. Payton makes 2-pt shot at rim (assist by C. Frye)
9:53.0,,,25-26,,Shooting block foul by D. Dedmon (drawn by C. Andersen)
9:53.0,C. Andersen makes free throw 1 of 2,1,26-26,,
9:53.0,C. Andersen makes free throw 2 of 2,1,27-26,,
9:39.0,,,27-28,2,D. Dedmon makes 2-pt shot from 3 ft (assist by B. Gordon)
9:22.0,M. Chalmers misses 3-pt shot from 22 ft,,27-28,,
9:21.0,,,27-28,,Defensive rebound by D. Dedmon
9:14.0,,,27-28,,Shooting foul by S. Napier (drawn by E. Payton)
9:14.0,,,27-28,,E. Payton misses free throw 1 of 2
9:14.0,,,27-28,,Offensive rebound by Team
9:14.0,,,27-29,1,E. Payton makes free throw 2 of 2
9:09.0,,,27-29,,Personal foul by E. Payton (drawn by S. Napier)
9:09.0,S. Brown enters the game for S. Napier,,27-29,,
9:09.0,,,27-29,,N. Vucevic enters the game for C. Frye
9:09.0,,,27-29,,E. Fournier enters the game for M. Harkless
9:09.0,C. Bosh enters the game for J. McRoberts,,27-29,,
8:52.0,C. Bosh makes 2-pt shot from 14 ft,2,29-29,,
8:38.0,,,29-31,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
8:21.0,C. Bosh makes 3-pt shot from 25 ft (assist by M. Chalmers),3,32-31,,
8:06.0,,,32-31,,Turnover by D. Dedmon (offensive goaltending)
8:06.0,Official timeout,,32-31,,
8:06.0,,,32-31,,V. Oladipo enters the game for E. Payton
7:48.0,L. Deng enters the game for J. Ennis,,32-31,,
7:48.0,Turnover by C. Andersen (lost ball; steal by B. Gordon),,32-31,,
7:48.0,Jump ball: C. Andersen vs. D. Dedmon (N. Vucevic gains possession),,,,Jump ball: C. Andersen vs. D. Dedmon (N. Vucevic gains possession)
7:27.0,S. Williams enters the game for C. Andersen,,32-31,,
7:24.0,,,32-33,2,N. Vucevic makes 2-pt shot from 15 ft (assist by V. Oladipo)
7:05.0,S. Williams makes 2-pt shot from 19 ft,2,34-33,,
6:52.0,,,34-33,,Turnover by B. Gordon (lost ball; steal by S. Williams)
6:47.0,Shooting foul by E. Fournier (drawn by S. Williams),,34-33,,
6:47.0,S. Williams makes free throw 1 of 2,1,35-33,,
6:47.0,S. Napier enters the game for M. Chalmers,,35-33,,
6:47.0,,,35-33,,M. Harkless enters the game for D. Dedmon
6:47.0,S. Williams makes free throw 2 of 2,1,36-33,,
6:25.0,,,36-35,2,B. Gordon makes 2-pt shot from 3 ft (assist by E. Fournier)
6:09.0,S. Brown misses 2-pt shot from 17 ft,,36-35,,
6:08.0,,,36-35,,Defensive rebound by N. Vucevic
6:02.0,,,36-37,2,E. Fournier makes 2-pt shot from 1 ft
6:01.0,Miami full timeout,,36-37,,
5:45.0,Turnover by S. Williams (bad pass),,36-37,,
5:45.0,,,36-37,,W. Green enters the game for B. Gordon
5:26.0,,,36-37,,W. Green misses 3-pt shot from 27 ft
5:25.0,,,36-37,,Offensive rebound by M. Harkless
5:23.0,,,36-37,,M. Harkless misses 2-pt shot from 1 ft
5:21.0,Defensive rebound by S. Williams,,36-37,,
5:13.0,,,36-37,,Personal foul by W. Green (drawn by S. Napier)
4:58.0,C. Bosh misses 2-pt shot at rim,,36-37,,
4:57.0,,,36-37,,Defensive rebound by V. Oladipo
4:50.0,,,36-37,,N. Vucevic misses 2-pt shot from 1 ft
4:48.0,Defensive rebound by S. Williams,,36-37,,
4:35.0,C. Bosh misses 2-pt shot from 10 ft,,36-37,,
4:33.0,Offensive rebound by L. Deng,,36-37,,
4:33.0,L. Deng makes 2-pt shot from 1 ft,2,38-37,,
4:08.0,,,38-39,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Fournier)
3:53.0,S. Napier makes 2-pt shot from 17 ft,2,40-39,,
3:38.0,,,40-39,,Turnover by V. Oladipo (traveling)
3:20.0,L. Deng misses 2-pt shot at rim (block by N. Vucevic),,40-39,,
3:18.0,,,40-39,,Defensive rebound by N. Vucevic
3:06.0,,,40-39,,V. Oladipo misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by L. Deng,,40-39,,
