time,Orlando,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Varejao vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: A. Varejao vs. N. Vucevic (C. Frye gains possession)
11:49.0,E. Fournier misses 2-pt shot from 1 ft,,0-0,,
11:48.0,Offensive rebound by N. Vucevic,,0-0,,
11:48.0,N. Vucevic makes 2-pt shot at rim,2,2-0,,
11:31.0,,,2-0,,Turnover by A. Varejao (bad pass)
11:23.0,Turnover by V. Oladipo (lost ball),,2-0,,
11:03.0,,,2-0,,L. James misses 2-pt shot from 11 ft
11:00.0,Defensive rebound by N. Vucevic,,2-0,,
10:52.0,E. Fournier makes 2-pt shot from 1 ft,2,4-0,,
10:35.0,,,4-2,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
10:20.0,M. Harkless misses 3-pt shot from 23 ft,,4-2,,
10:19.0,,,4-2,,Defensive rebound by K. Love
10:15.0,,,4-4,2,L. James makes 2-pt shot at rim (assist by K. Love)
9:50.0,E. Fournier misses 3-pt shot from 29 ft,,4-4,,
9:49.0,,,4-4,,Defensive rebound by A. Varejao
9:38.0,,,4-4,,K. Love misses 2-pt shot from 12 ft
9:37.0,,,4-4,,Offensive rebound by A. Varejao
9:23.0,,,4-4,,K. Love misses 2-pt shot from 4 ft
9:19.0,,,4-4,,Offensive rebound by S. Marion
9:19.0,,,4-4,,S. Marion misses 2-pt shot at rim
9:16.0,Defensive rebound by C. Frye,,4-4,,
9:10.0,V. Oladipo makes 2-pt shot at rim,2,6-4,,
8:47.0,,,6-4,,S. Marion misses 2-pt shot from 6 ft (block by E. Fournier)
8:46.0,Defensive rebound by M. Harkless,,6-4,,
8:28.0,N. Vucevic misses 2-pt shot from 4 ft (block by A. Varejao),,6-4,,
8:26.0,,,6-4,,Defensive rebound by Team
8:15.0,,,6-4,,Shooting foul by M. Harkless (drawn by L. James)
8:15.0,,,6-5,1,L. James makes free throw 1 of 2
8:15.0,,,6-6,1,L. James makes free throw 2 of 2
8:02.0,Turnover by E. Fournier (lost ball; steal by K. Irving),,6-6,,
7:57.0,,,6-8,2,L. James makes 2-pt shot at rim (assist by K. Irving)
7:39.0,V. Oladipo misses 2-pt shot from 6 ft (block by A. Varejao),,6-8,,
7:37.0,,,6-8,,Defensive rebound by A. Varejao
7:34.0,,,6-8,,Shooting foul by M. Harkless (drawn by L. James)
7:34.0,,,6-9,1,L. James makes free throw 1 of 2
7:34.0,,,6-10,1,L. James makes free throw 2 of 2
7:21.0,M. Harkless misses 2-pt shot from 4 ft,,6-10,,
7:20.0,,,6-10,,Defensive rebound by K. Irving
6:59.0,,,6-10,,Turnover by A. Varejao (bad pass; steal by C. Frye)
6:47.0,E. Fournier misses 2-pt shot from 2 ft,,6-10,,
6:46.0,,,6-10,,Defensive rebound by S. Marion
6:34.0,,,6-13,3,L. James makes 3-pt shot from 23 ft
6:20.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,8-13,,
6:05.0,,,8-13,,L. James misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by C. Frye,,8-13,,
5:57.0,C. Frye misses 3-pt shot from 25 ft,,8-13,,
5:56.0,,,8-13,,Defensive rebound by K. Love
5:48.0,,,8-13,,K. Irving misses 2-pt shot from 2 ft (block by V. Oladipo)
5:46.0,Defensive rebound by V. Oladipo,,8-13,,
5:43.0,,,8-13,,Personal foul by K. Irving (drawn by M. Harkless)
5:43.0,,,8-13,,Cleveland full timeout
5:43.0,,,8-13,,J. Harris enters the game for S. Marion
5:29.0,Turnover by N. Vucevic (lost ball; steal by K. Love),,8-13,,
5:10.0,,,8-15,2,K. Love makes 2-pt shot at rim (assist by L. James)
5:00.0,Shooting foul by J. Harris (drawn by E. Fournier),,8-15,,
5:00.0,E. Fournier makes free throw 1 of 2,1,9-15,,
5:00.0,E. Fournier makes free throw 2 of 2,1,10-15,,
4:41.0,,,10-17,2,A. Varejao makes 2-pt shot from 16 ft (assist by L. James)
4:26.0,,,10-17,,Personal foul by J. Harris (drawn by E. Fournier)
4:26.0,,,10-17,,D. Waiters enters the game for J. Harris
4:16.0,Turnover by N. Vucevic (lost ball; steal by L. James),,10-17,,
4:09.0,,,10-17,,Turnover by A. Varejao (bad pass)
3:45.0,N. Vucevic makes 2-pt shot from 1 ft (assist by M. Harkless),2,12-17,,
3:31.0,,,12-17,,Turnover by D. Waiters (bad pass; steal by V. Oladipo)
3:25.0,V. Oladipo makes 2-pt shot from 1 ft (assist by M. Harkless),2,14-17,,
3:07.0,Shooting block foul by V. Oladipo (drawn by K. Love),,14-17,,
3:07.0,,,14-18,1,K. Love makes free throw 1 of 2
3:07.0,E. Payton enters the game for V. Oladipo,,14-18,,
3:07.0,D. Dedmon enters the game for C. Frye,,14-18,,
3:07.0,,,14-18,,T. Thompson enters the game for A. Varejao
3:07.0,,,14-18,,K. Love misses free throw 2 of 2
3:06.0,Defensive rebound by D. Dedmon,,14-18,,
2:45.0,N. Vucevic misses 2-pt shot from 13 ft,,14-18,,
2:42.0,Offensive rebound by D. Dedmon,,14-18,,
2:42.0,D. Dedmon misses 2-pt shot from 1 ft,,14-18,,
2:40.0,Offensive rebound by M. Harkless,,14-18,,
2:33.0,E. Payton misses 2-pt shot from 9 ft,,14-18,,
2:32.0,Offensive rebound by D. Dedmon,,14-18,,
2:31.0,Turnover by D. Dedmon (lost ball; steal by K. Love),,14-18,,
2:27.0,,,14-20,2,L. James makes 2-pt shot at rim (assist by K. Love)
2:19.0,Orlando full timeout,,14-20,,
2:19.0,,,14-20,,W. Cherry enters the game for K. Irving
2:07.0,M. Harkless misses 3-pt shot from 26 ft,,14-20,,
2:06.0,,,14-20,,Defensive rebound by T. Thompson
1:50.0,Def 3 sec tech foul by D. Dedmon,,14-20,,
1:50.0,,,14-21,1,L. James makes technical free throw
1:50.0,B. Gordon enters the game for E. Fournier,,14-21,,
1:46.0,,,14-21,,L. James misses 2-pt shot from 20 ft
1:45.0,Defensive rebound by N. Vucevic,,14-21,,
1:21.0,E. Payton misses 2-pt shot from 10 ft,,14-21,,
1:18.0,,,14-21,,Defensive rebound by L. James
1:12.0,,,14-21,,Shooting foul by M. Harkless (drawn by L. James)
1:12.0,,,14-22,1,L. James makes free throw 1 of 2
1:12.0,W. Green enters the game for M. Harkless,,14-22,,
1:12.0,,,14-23,1,L. James makes free throw 2 of 2
0:52.0,W. Green misses 3-pt shot from 23 ft,,14-23,,
0:50.0,,,14-23,,Defensive rebound by T. Thompson
0:40.0,,,14-26,3,W. Cherry makes 3-pt shot from 24 ft (assist by L. James)
0:32.0,,,14-26,,Personal foul by W. Cherry (drawn by E. Payton)
0:27.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,16-26,,
0:02.0,,,16-26,,L. James misses 2-pt shot from 6 ft
0:01.0,Defensive rebound by N. Vucevic,,16-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,16-26,,D. Waiters misses 2-pt shot from 18 ft
11:45.0,Defensive rebound by B. Gordon,,16-26,,
11:36.0,B. Gordon misses 2-pt shot from 15 ft,,16-26,,
11:33.0,,,16-26,,Defensive rebound by D. Waiters
11:26.0,,,16-28,2,K. Irving makes 2-pt shot from 15 ft
10:56.0,E. Fournier misses 2-pt shot from 7 ft,,16-28,,
10:54.0,,,16-28,,Defensive rebound by S. Marion
10:50.0,,,16-30,2,K. Irving makes 2-pt shot from 10 ft
10:50.0,,,16-30,,Shooting foul by L. Ridnour (drawn by K. Irving)
10:50.0,,,16-31,1,K. Irving makes free throw 1 of 1
10:40.0,,,16-31,,Personal foul by L. Amundson (drawn by C. Frye)
10:30.0,,,16-31,,Personal foul by S. Marion (drawn by B. Gordon)
10:18.0,L. Ridnour makes 3-pt shot from 23 ft (assist by W. Green),3,19-31,,
10:01.0,,,19-33,2,S. Marion makes 2-pt shot from 10 ft (assist by K. Irving)
9:40.0,B. Gordon misses 2-pt shot from 5 ft (block by T. Thompson),,19-33,,
9:38.0,,,19-33,,Defensive rebound by T. Thompson
9:25.0,,,19-35,2,D. Waiters makes 2-pt shot at rim (assist by K. Irving)
8:56.0,W. Green makes 2-pt shot from 4 ft,2,21-35,,
8:44.0,,,21-35,,D. Waiters misses 2-pt shot from 5 ft
8:43.0,Defensive rebound by W. Green,,21-35,,
8:41.0,,,21-35,,Personal foul by K. Irving (drawn by W. Green)
8:41.0,Official timeout,,21-35,,
8:41.0,A. Nicholson enters the game for E. Fournier,,21-35,,
8:31.0,W. Green misses 3-pt shot from 24 ft,,21-35,,
8:30.0,,,21-35,,Defensive rebound by S. Marion
8:11.0,,,21-35,,T. Thompson misses 2-pt shot from 15 ft
8:10.0,Defensive rebound by C. Frye,,21-35,,
7:51.0,C. Frye misses 2-pt shot from 12 ft,,21-35,,
7:50.0,,,21-35,,Defensive rebound by T. Thompson
7:41.0,,,21-35,,K. Irving misses 2-pt shot from 7 ft
7:39.0,,,21-35,,Offensive rebound by T. Thompson
7:39.0,,,21-37,2,T. Thompson makes 2-pt shot at rim
7:25.0,L. Ridnour makes 2-pt shot from 20 ft,2,23-37,,
7:09.0,,,23-37,,S. Marion misses 2-pt shot from 7 ft
7:08.0,,,23-37,,Offensive rebound by T. Thompson
7:07.0,,,23-37,,Turnover by Team (shot clock)
7:00.0,,,23-37,,Personal foul by D. Waiters (drawn by B. Gordon)
7:00.0,,,23-37,,K. Love enters the game for L. Amundson
7:00.0,,,23-37,,L. James enters the game for D. Waiters
6:48.0,A. Nicholson misses 2-pt shot from 11 ft,,23-37,,
6:44.0,,,23-37,,Defensive rebound by T. Thompson
6:28.0,,,23-39,2,K. Love makes 2-pt shot from 18 ft (assist by L. James)
6:15.0,C. Frye misses 3-pt shot from 24 ft,,23-39,,
6:14.0,,,23-39,,Defensive rebound by L. James
5:56.0,,,23-41,2,K. Love makes 2-pt shot from 15 ft (assist by L. James)
5:51.0,Orlando full timeout,,23-41,,
5:51.0,E. Fournier enters the game for B. Gordon,,23-41,,
5:51.0,V. Oladipo enters the game for L. Ridnour,,23-41,,
5:51.0,N. Vucevic enters the game for A. Nicholson,,23-41,,
5:37.0,E. Fournier misses 3-pt shot from 23 ft,,23-41,,
5:35.0,Offensive rebound by N. Vucevic,,23-41,,
5:35.0,N. Vucevic makes 2-pt shot at rim,2,25-41,,
5:16.0,,,25-44,3,S. Marion makes 3-pt shot from 23 ft (assist by L. James)
5:00.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,27-44,,
4:34.0,,,27-44,,K. Love misses 3-pt shot from 25 ft
4:33.0,,,27-44,,Offensive rebound by T. Thompson
4:32.0,,,27-44,,T. Thompson misses 2-pt shot at rim
4:32.0,,,27-44,,Offensive rebound by Team
4:32.0,,,27-44,,W. Cherry enters the game for K. Irving
4:27.0,,,27-44,,L. James misses 2-pt shot from 19 ft
4:25.0,,,27-44,,Offensive rebound by L. James
4:07.0,,,27-44,,W. Cherry misses 2-pt shot from 8 ft
4:05.0,,,27-44,,Offensive rebound by T. Thompson
4:04.0,,,27-44,,T. Thompson misses 2-pt shot at rim (block by W. Green)
4:02.0,,,27-44,,Offensive rebound by K. Love
