time,Phoenix,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. A. Len (G. Dragic gains possession),,,,Jump ball: G. Dieng vs. A. Len (G. Dragic gains possession)
11:47.0,M. Morris misses 2-pt shot from 13 ft,,0-0,,
11:45.0,Offensive rebound by M. Morris,,0-0,,
11:35.0,G. Dragic makes 2-pt shot from 14 ft,2,2-0,,
11:11.0,,,2-0,,T. Young misses 3-pt shot from 23 ft
11:10.0,,,2-0,,Offensive rebound by G. Dieng
11:05.0,,,2-0,,M. Williams misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by A. Len,,2-0,,
10:55.0,M. Morris makes 2-pt shot from 20 ft (assist by G. Dragic),2,4-0,,
10:36.0,,,4-2,2,G. Dieng makes 2-pt shot from 14 ft (assist by S. Muhammad)
10:17.0,E. Bledsoe misses 3-pt shot from 22 ft,,4-2,,
10:16.0,,,4-2,,Defensive rebound by M. Williams
10:11.0,,,4-5,3,A. Wiggins makes 3-pt shot from 24 ft (assist by M. Williams)
9:59.0,A. Len makes 2-pt shot from 20 ft (assist by G. Dragic),2,6-5,,
9:45.0,,,6-5,,G. Dieng misses 2-pt shot from 17 ft
9:44.0,Defensive rebound by E. Bledsoe,,6-5,,
9:36.0,M. Morris misses 3-pt shot from 24 ft,,6-5,,
9:35.0,,,6-5,,Defensive rebound by S. Muhammad
9:19.0,,,6-5,,Turnover by M. Williams (bad pass; steal by E. Bledsoe)
9:16.0,Turnover by E. Bledsoe (bad pass),,6-5,,
9:06.0,,,6-5,,T. Young misses 2-pt shot from 17 ft
9:05.0,Defensive rebound by E. Bledsoe,,6-5,,
8:56.0,E. Bledsoe misses 2-pt shot from 20 ft,,6-5,,
8:55.0,,,6-5,,Defensive rebound by G. Dieng
8:46.0,,,6-7,2,M. Williams makes 2-pt shot from 2 ft
8:29.0,Turnover by A. Len (lost ball; steal by G. Dieng),,6-7,,
8:20.0,,,6-7,,A. Wiggins misses 2-pt shot from 3 ft
8:20.0,,,6-7,,Offensive rebound by Team
8:20.0,Personal foul by M. Morris (drawn by A. Wiggins),,6-7,,
8:15.0,,,6-7,,M. Williams misses 2-pt shot from 9 ft
8:14.0,Defensive rebound by A. Len,,6-7,,
8:06.0,G. Dragic makes 2-pt shot from 2 ft,2,8-7,,
7:49.0,,,8-7,,Shooting foul by A. Len (drawn by G. Dieng)
7:49.0,,,8-7,,G. Dieng misses free throw 1 of 2
7:49.0,,,8-7,,Offensive rebound by Team
7:49.0,,,8-7,,G. Dieng misses free throw 2 of 2
7:49.0,Defensive rebound by P. Tucker,,8-7,,
