time,New Orleans,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (Z. Randolph gains possession),,,,Jump ball: A. Davis vs. M. Gasol (Z. Randolph gains possession)
11:41.0,,,0-0,,M. Gasol misses 2-pt shot from 15 ft
11:41.0,Defensive rebound by T. Evans,,0-0,,
11:24.0,T. Evans misses 3-pt shot from 25 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by Z. Randolph
11:15.0,,,0-0,,M. Conley misses 2-pt shot at rim
11:14.0,Defensive rebound by O. Asik,,0-0,,
11:02.0,Q. Pondexter makes 3-pt shot from 22 ft (assist by O. Asik),3,3-0,,
10:44.0,,,3-2,2,Z. Randolph makes 2-pt shot from 13 ft
10:18.0,A. Davis misses 2-pt shot from 13 ft (block by M. Gasol),,3-2,,
10:18.0,Offensive rebound by Team,,3-2,,
10:17.0,Turnover by Q. Pondexter (bad pass),,3-2,,
9:54.0,,,3-2,,Z. Randolph misses 2-pt shot from 22 ft
9:53.0,Defensive rebound by T. Evans,,3-2,,
9:39.0,E. Gordon misses 3-pt shot from 25 ft,,3-2,,
9:37.0,,,3-2,,Defensive rebound by C. Lee
9:30.0,,,3-4,2,M. Gasol makes 2-pt shot from 11 ft (assist by C. Lee)
9:07.0,T. Evans makes 3-pt shot from 23 ft (assist by E. Gordon),3,6-4,,
8:44.0,,,6-4,,Turnover by M. Conley (bad pass; steal by T. Evans)
8:40.0,Q. Pondexter makes 2-pt shot at rim (assist by T. Evans),2,8-4,,
8:25.0,,,8-6,2,J. Green makes 2-pt shot from 14 ft
8:05.0,Shooting foul by J. Green (drawn by O. Asik),,8-6,,
8:05.0,O. Asik misses free throw 1 of 2,,8-6,,
8:05.0,Offensive rebound by Team,,8-6,,
8:05.0,O. Asik misses free throw 2 of 2,,8-6,,
8:04.0,,,8-6,,Defensive rebound by M. Gasol
7:50.0,,,8-8,2,M. Gasol makes 2-pt shot from 18 ft (assist by Z. Randolph)
7:29.0,Q. Pondexter makes 3-pt shot from 25 ft (assist by T. Evans),3,11-8,,
7:11.0,,,11-8,,C. Lee misses 2-pt shot from 11 ft
7:10.0,,,11-8,,Offensive rebound by Z. Randolph
7:02.0,,,11-8,,Shooting foul by Q. Pondexter (drawn by M. Gasol)
7:02.0,,,11-9,1,M. Gasol makes free throw 1 of 2
7:02.0,,,11-10,1,M. Gasol makes free throw 2 of 2
6:50.0,Shooting foul by M. Gasol (drawn by A. Davis),,11-10,,
