time,Minnesota,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. N. Noel (R. Covington gains possession),,,,Jump ball: G. Dieng vs. N. Noel (R. Covington gains possession)
11:50.0,,,0-0,,Turnover by R. Covington (bad pass)
11:39.0,Shooting foul by J. Sampson (drawn by N. Pekovic),,0-0,,
11:39.0,N. Pekovic makes free throw 1 of 2,1,1-0,,
11:39.0,N. Pekovic makes free throw 2 of 2,1,2-0,,
11:23.0,,,2-0,,M. Carter-Williams misses 2-pt shot from 4 ft
11:21.0,Defensive rebound by N. Pekovic,,2-0,,
11:09.0,Turnover by G. Dieng (bad pass),,2-0,,
10:50.0,,,2-2,2,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by R. Covington)
10:24.0,T. Young misses 2-pt shot from 2 ft,,2-2,,
10:22.0,,,2-2,,Defensive rebound by M. Carter-Williams
10:15.0,,,2-4,2,N. Noel makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
9:54.0,Z. LaVine misses 2-pt shot from 20 ft,,2-4,,
9:51.0,,,2-4,,Defensive rebound by R. Covington
9:41.0,,,2-6,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by N. Noel)
9:24.0,T. Young misses 2-pt shot from 1 ft (block by J. Sampson),,2-6,,
9:23.0,Offensive rebound by N. Pekovic,,2-6,,
9:23.0,N. Pekovic makes 2-pt shot from 1 ft,2,4-6,,
9:23.0,Shooting foul by L. Mbah a Moute (drawn by N. Pekovic),,4-6,,
9:23.0,N. Pekovic makes free throw 1 of 1,1,5-6,,
9:12.0,,,5-6,,R. Covington misses 2-pt shot from 2 ft
9:10.0,Defensive rebound by G. Dieng,,5-6,,
9:02.0,A. Wiggins makes 2-pt shot from 13 ft (assist by T. Young),2,7-6,,
8:43.0,,,7-6,,Turnover by M. Carter-Williams (bad pass; steal by N. Pekovic)
8:40.0,T. Young makes 2-pt shot at rim,2,9-6,,
8:26.0,,,9-6,,Turnover by M. Carter-Williams (lost ball)
8:10.0,A. Wiggins misses 2-pt shot from 13 ft,,9-6,,
8:08.0,,,9-6,,Defensive rebound by M. Carter-Williams
8:00.0,,,9-6,,R. Covington misses 3-pt shot from 22 ft
7:59.0,Defensive rebound by T. Young,,9-6,,
7:49.0,N. Pekovic makes 2-pt shot at rim (assist by Z. LaVine),2,11-6,,
