time,Memphis,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Pekovic (R. Rubio gains possession),,,,Jump ball: M. Gasol vs. N. Pekovic (R. Rubio gains possession)
11:41.0,,,0-0,,N. Pekovic misses 2-pt shot from 15 ft (block by M. Gasol)
11:40.0,,,0-0,,Offensive rebound by A. Wiggins
11:39.0,,,0-0,,A. Wiggins misses 2-pt shot from 2 ft (block by J. Green)
11:37.0,Defensive rebound by Z. Randolph,,0-0,,
11:15.0,Z. Randolph misses 2-pt shot from 15 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by K. Garnett
11:05.0,,,0-0,,Turnover by N. Pekovic (offensive foul)
11:05.0,,,0-0,,Offensive charge foul by N. Pekovic
10:53.0,J. Green misses 2-pt shot from 19 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by K. Garnett
10:38.0,,,0-0,,N. Pekovic misses 2-pt shot from 12 ft
10:37.0,Defensive rebound by J. Green,,0-0,,
10:27.0,,,0-0,,Personal foul by N. Pekovic (drawn by M. Gasol)
10:27.0,,,0-0,,G. Dieng enters the game for N. Pekovic
10:19.0,Turnover by M. Gasol (3 sec),,0-0,,
9:59.0,,,0-0,,A. Wiggins misses 2-pt shot from 18 ft
9:58.0,Defensive rebound by J. Green,,0-0,,
9:52.0,Turnover by J. Green (lost ball; steal by K. Garnett),,0-0,,
9:46.0,Personal foul by M. Gasol (drawn by G. Dieng),,0-0,,
9:43.0,,,0-0,,Shooting foul by C. Lee (drawn by G. Dieng)
9:43.0,,,0-1,1,G. Dieng makes free throw 1 of 2
9:43.0,,,0-1,,G. Dieng misses free throw 2 of 2
9:43.0,Defensive rebound by M. Gasol,,0-1,,
9:28.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,3-1,,
9:09.0,,,3-3,2,R. Rubio makes 2-pt shot from 18 ft
8:51.0,M. Gasol misses 2-pt shot from 4 ft,,3-3,,
8:50.0,,,3-3,,Defensive rebound by G. Dieng
8:43.0,,,3-3,,K. Martin misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by J. Green,,3-3,,
8:30.0,Turnover by M. Gasol (bad pass; steal by R. Rubio),,3-3,,
8:26.0,,,3-3,,Turnover by R. Rubio (bad pass)
8:09.0,Turnover by Z. Randolph (lost ball; steal by K. Garnett),,3-3,,
8:03.0,,,3-5,2,K. Garnett makes 2-pt shot at rim (assist by R. Rubio)
7:42.0,Turnover by Z. Randolph (lost ball; steal by K. Garnett),,3-5,,
7:36.0,,,3-7,2,A. Wiggins makes 2-pt shot at rim (assist by K. Garnett)
7:05.0,M. Gasol makes 2-pt shot from 6 ft,2,5-7,,
6:48.0,,,5-7,,A. Wiggins misses 2-pt shot from 6 ft
6:47.0,Defensive rebound by M. Gasol,,5-7,,
6:43.0,C. Lee makes 2-pt shot from 1 ft (assist by M. Conley),2,7-7,,
6:43.0,,,7-7,,Minnesota full timeout
6:43.0,,,7-7,,A. Payne enters the game for K. Garnett
6:20.0,,,7-9,2,R. Rubio makes 2-pt shot from 2 ft
6:00.0,Turnover by Z. Randolph (lost ball; steal by R. Rubio),,7-9,,
5:52.0,,,7-11,2,G. Dieng makes 2-pt shot from 15 ft (assist by R. Rubio)
5:31.0,M. Conley misses 2-pt shot from 21 ft,,7-11,,
5:30.0,,,7-11,,Defensive rebound by R. Rubio
5:18.0,,,7-13,2,K. Martin makes 2-pt shot from 21 ft (assist by R. Rubio)
5:08.0,Turnover by Z. Randolph (bad pass),,7-13,,
4:51.0,,,7-15,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
4:42.0,Memphis full timeout,,7-15,,
4:42.0,T. Allen enters the game for J. Green,,7-15,,
4:28.0,C. Lee makes 3-pt shot from 24 ft (assist by M. Conley),3,10-15,,
4:07.0,,,10-17,2,A. Wiggins makes 2-pt shot from 7 ft (assist by R. Rubio)
3:48.0,T. Allen makes 2-pt shot from 21 ft (assist by M. Gasol),2,12-17,,
3:28.0,,,12-19,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
3:10.0,M. Gasol makes 2-pt shot from 10 ft,2,14-19,,
2:49.0,,,14-21,2,G. Dieng makes 2-pt shot from 1 ft (assist by K. Martin)
2:36.0,M. Conley makes 2-pt shot from 8 ft,2,16-21,,
2:25.0,K. Koufos enters the game for M. Gasol,,16-21,,
2:25.0,,,16-21,,G. Neal enters the game for K. Martin
2:07.0,M. Conley misses 3-pt shot from 24 ft,,16-21,,
2:06.0,Offensive rebound by K. Koufos,,16-21,,
1:59.0,Z. Randolph makes 2-pt shot at rim,2,18-21,,
1:40.0,,,18-21,,R. Rubio misses 2-pt shot from 20 ft
1:39.0,Defensive rebound by K. Koufos,,18-21,,
1:23.0,M. Conley misses 2-pt shot from 4 ft,,18-21,,
1:22.0,,,18-21,,Defensive rebound by A. Payne
1:21.0,,,18-21,,Turnover by A. Payne (bad pass; steal by T. Allen)
1:14.0,Turnover by T. Allen (lost ball; steal by A. Wiggins),,18-21,,
0:54.0,,,18-24,3,G. Neal makes 3-pt shot from 23 ft (assist by A. Wiggins)
0:39.0,,,18-24,,Personal foul by A. Payne (drawn by Z. Randolph)
0:39.0,B. Udrih enters the game for M. Conley,,18-24,,
0:31.0,Z. Randolph misses 2-pt shot from 19 ft,,18-24,,
0:30.0,,,18-24,,Defensive rebound by A. Payne
0:08.0,,,18-24,,G. Neal misses 2-pt shot from 20 ft
0:07.0,Defensive rebound by Z. Randolph,,18-24,,
0:01.0,Z. Randolph misses 3-pt shot from 26 ft,,18-24,,
0:00.0,Offensive rebound by Team,,18-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
