time,Charlotte,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. A. Jefferson (K. Walker gains possession),,,,Jump ball: J. Hill vs. A. Jefferson (K. Walker gains possession)
11:46.0,A. Jefferson misses 2-pt shot from 8 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by J. Hill
11:30.0,,,0-0,,Turnover by C. Boozer (lost ball; steal by M. Williams)
11:19.0,M. Kidd-Gilchrist makes 2-pt shot from 11 ft,2,2-0,,
11:09.0,,,2-0,,W. Johnson misses 2-pt shot from 21 ft
11:07.0,Defensive rebound by M. Kidd-Gilchrist,,2-0,,
10:59.0,Turnover by L. Stephenson (bad pass; steal by J. Lin),,2-0,,
10:53.0,,,2-2,2,J. Hill makes 2-pt shot at rim (assist by J. Lin)
10:35.0,A. Jefferson makes 2-pt shot from 2 ft,2,4-2,,
10:27.0,,,4-2,,Offensive foul by J. Hill
10:27.0,,,4-2,,Turnover by J. Hill (offensive foul)
10:13.0,A. Jefferson misses 2-pt shot from 10 ft,,4-2,,
10:11.0,,,4-2,,Defensive rebound by K. Bryant
10:04.0,,,4-2,,J. Lin misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by A. Jefferson,,4-2,,
9:56.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,4-2,,
9:55.0,,,4-2,,Defensive rebound by Team
9:55.0,Loose ball foul by M. Kidd-Gilchrist (drawn by J. Hill),,4-2,,
9:43.0,,,4-2,,J. Hill misses 2-pt shot from 17 ft
9:41.0,Defensive rebound by K. Walker,,4-2,,
9:28.0,L. Stephenson makes 2-pt shot from 19 ft (assist by A. Jefferson),2,6-2,,
9:07.0,,,6-2,,W. Johnson misses 2-pt shot from 14 ft
9:06.0,Defensive rebound by A. Jefferson,,6-2,,
8:52.0,A. Jefferson misses 2-pt shot from 4 ft,,6-2,,
8:50.0,,,6-2,,Defensive rebound by K. Bryant
8:44.0,,,6-2,,K. Bryant misses 2-pt shot from 20 ft
8:43.0,Defensive rebound by M. Williams,,6-2,,
8:31.0,L. Stephenson misses 2-pt shot from 2 ft,,6-2,,
8:29.0,Offensive rebound by K. Walker,,6-2,,
8:13.0,M. Kidd-Gilchrist misses 2-pt shot at rim,,6-2,,
8:12.0,,,6-2,,Defensive rebound by K. Bryant
8:06.0,,,6-2,,K. Bryant misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by A. Jefferson,,6-2,,
7:40.0,L. Stephenson misses 3-pt shot from 25 ft,,6-2,,
7:38.0,Offensive rebound by M. Williams,,6-2,,
7:33.0,M. Williams makes 3-pt shot from 24 ft,3,9-2,,
7:14.0,,,9-4,2,K. Bryant makes 2-pt shot from 20 ft (assist by J. Hill)
6:50.0,A. Jefferson makes 2-pt shot from 3 ft,2,11-4,,
6:35.0,,,11-6,2,J. Lin makes 2-pt shot at rim
6:22.0,Shooting foul by W. Johnson (drawn by A. Jefferson),,11-6,,
6:22.0,A. Jefferson misses free throw 1 of 2,,11-6,,
