time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession)
11:47.0,J. Butler misses 2-pt shot from 20 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by K. Love
11:29.0,,,0-0,,Turnover by K. Love (lost ball)
11:17.0,J. Butler misses 3-pt shot from 23 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by K. Love
11:09.0,,,0-2,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
10:51.0,T. Gibson makes 2-pt shot from 9 ft,2,2-2,,
10:38.0,,,2-2,,Turnover by L. James (lost ball; steal by J. Butler)
10:18.0,T. Gibson misses 2-pt shot from 10 ft,,2-2,,
10:16.0,,,2-2,,Defensive rebound by T. Mozgov
10:07.0,,,2-4,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
10:02.0,Shooting foul by T. Mozgov (drawn by J. Butler),,2-4,,
10:02.0,,,2-4,,Cleveland full timeout
10:02.0,,,2-4,,T. Thompson enters the game for K. Love
10:02.0,J. Butler misses free throw 1 of 2,,2-4,,
10:02.0,Offensive rebound by Team,,2-4,,
10:02.0,J. Butler makes free throw 2 of 2,1,3-4,,
9:46.0,,,3-4,,K. Irving misses 2-pt shot from 15 ft
9:45.0,,,3-4,,Offensive rebound by T. Thompson
9:33.0,,,3-6,2,L. James makes 2-pt shot from 19 ft
9:19.0,,,3-6,,Def 3 sec tech foul by T. Mozgov
9:19.0,D. Rose makes technical free throw,1,4-6,,
9:12.0,D. Rose misses 2-pt shot from 9 ft,,4-6,,
9:11.0,,,4-6,,Defensive rebound by L. James
9:07.0,,,4-6,,Turnover by L. James (bad pass; steal by D. Rose)
9:02.0,D. Rose misses 2-pt shot from 1 ft (block by T. Mozgov),,4-6,,
9:00.0,,,4-6,,Defensive rebound by T. Mozgov
8:45.0,,,4-6,,Turnover by L. James (bad pass; steal by T. Gibson)
