time,New York,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. M. Gortat (N. Hilario gains possession),,,,Jump ball: C. Aldrich vs. M. Gortat (N. Hilario gains possession)
11:38.0,,,0-2,2,N. Hilario makes 2-pt shot from 18 ft
11:23.0,Turnover by J. Calderon (bad pass; steal by N. Hilario),,0-2,,
11:19.0,,,0-4,2,J. Wall makes 2-pt shot at rim (assist by N. Hilario)
10:53.0,T. Hardaway makes 2-pt shot at rim,2,2-4,,
10:28.0,,,2-4,,N. Hilario misses 2-pt shot from 16 ft
10:27.0,,,2-4,,Offensive rebound by M. Gortat
10:26.0,,,2-6,2,M. Gortat makes 2-pt shot from 1 ft
10:07.0,C. Aldrich makes 2-pt shot from 13 ft,2,4-6,,
9:54.0,,,4-6,,B. Beal misses 2-pt shot from 21 ft
9:53.0,Defensive rebound by Q. Acy,,4-6,,
9:39.0,T. Hardaway misses 3-pt shot from 26 ft,,4-6,,
9:38.0,,,4-6,,Defensive rebound by O. Porter
9:34.0,Personal take foul by P. Prigioni (drawn by J. Wall),,4-6,,
9:29.0,,,4-6,,Turnover by N. Hilario (lost ball; steal by P. Prigioni)
9:29.0,,,4-6,,Loose ball foul by N. Hilario (drawn by P. Prigioni)
9:16.0,Turnover by C. Aldrich (bad pass),,4-6,,
9:06.0,,,4-6,,O. Porter misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by J. Calderon,,4-6,,
8:57.0,J. Calderon misses 2-pt shot from 15 ft,,4-6,,
8:55.0,,,4-6,,Defensive rebound by M. Gortat
8:51.0,,,4-6,,Turnover by J. Wall (lost ball; steal by T. Hardaway)
8:35.0,C. Aldrich makes 2-pt shot from 11 ft (assist by T. Hardaway),2,6-6,,
8:20.0,,,6-8,2,N. Hilario makes 2-pt shot from 2 ft
8:04.0,J. Calderon makes 2-pt shot from 17 ft,2,8-8,,
7:42.0,,,8-10,2,N. Hilario makes 2-pt shot from 1 ft (assist by M. Gortat)
7:28.0,Q. Acy misses 3-pt shot from 26 ft,,8-10,,
7:25.0,Offensive rebound by C. Aldrich,,8-10,,
7:10.0,C. Aldrich misses 2-pt shot from 9 ft,,8-10,,
7:09.0,,,8-10,,Defensive rebound by N. Hilario
7:01.0,,,8-10,,B. Beal misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by T. Hardaway,,8-10,,
6:54.0,New York full timeout,,8-10,,
6:51.0,Turnover by C. Aldrich (bad pass),,8-10,,
6:41.0,,,8-10,,N. Hilario misses 2-pt shot from 11 ft
6:39.0,Defensive rebound by J. Calderon,,8-10,,
6:22.0,J. Calderon misses 3-pt shot from 25 ft,,8-10,,
6:21.0,,,8-10,,Defensive rebound by N. Hilario
6:08.0,,,8-10,,Shooting foul by Q. Acy (drawn by M. Gortat)
6:08.0,,,8-11,1,M. Gortat makes free throw 1 of 2
6:08.0,J. Smith enters the game for Q. Acy,,8-11,,
6:08.0,,,8-11,,M. Gortat misses free throw 2 of 2
6:07.0,Defensive rebound by C. Aldrich,,8-11,,
5:54.0,T. Hardaway makes 2-pt shot from 6 ft (assist by P. Prigioni),2,10-11,,
5:54.0,Shooting foul by O. Porter (drawn by T. Hardaway),,10-11,,
5:54.0,T. Hardaway makes free throw 1 of 1,1,11-11,,
5:42.0,,,11-13,2,O. Porter makes 2-pt shot at rim (assist by B. Beal)
5:30.0,J. Smith makes 2-pt shot from 21 ft (assist by J. Calderon),2,13-13,,
5:18.0,,,13-13,,N. Hilario misses 2-pt shot at rim
5:17.0,Defensive rebound by C. Aldrich,,13-13,,
5:03.0,J. Smith misses 2-pt shot from 15 ft,,13-13,,
5:02.0,,,13-13,,Defensive rebound by J. Wall
5:00.0,,,13-13,,Shooting foul by J. Calderon (drawn by J. Wall)
5:00.0,,,13-13,,J. Wall misses free throw 1 of 2
5:00.0,,,13-13,,Offensive rebound by Team
5:00.0,,,13-13,,K. Humphries enters the game for N. Hilario
5:00.0,Q. Acy enters the game for C. Aldrich,,13-13,,
5:00.0,,,13-14,1,J. Wall makes free throw 2 of 2
4:49.0,Turnover by J. Calderon (bad pass; steal by B. Beal),,13-14,,
4:43.0,,,13-16,2,M. Gortat makes 2-pt shot at rim (assist by O. Porter)
4:16.0,J. Calderon misses 2-pt shot from 14 ft,,13-16,,
4:15.0,Offensive rebound by J. Smith,,13-16,,
4:10.0,J. Calderon misses 3-pt shot from 25 ft,,13-16,,
