time,San Antonio,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. H. Sims (C. Joseph gains possession),,,,Jump ball: A. Baynes vs. H. Sims (C. Joseph gains possession)
11:37.0,B. Diaw misses 2-pt shot from 1 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by M. Carter-Williams
11:21.0,,,0-0,,L. Mbah a Moute misses 2-pt shot from 20 ft
11:19.0,Defensive rebound by C. Joseph,,0-0,,
11:00.0,K. Leonard misses 2-pt shot from 7 ft,,0-0,,
10:58.0,Offensive rebound by A. Baynes,,0-0,,
10:51.0,C. Joseph misses 2-pt shot from 2 ft,,0-0,,
10:49.0,Offensive rebound by A. Baynes,,0-0,,
10:49.0,A. Baynes makes 2-pt shot from 1 ft,2,2-0,,
10:28.0,,,2-0,,M. Carter-Williams misses 2-pt shot from 17 ft
10:27.0,Defensive rebound by A. Baynes,,2-0,,
10:22.0,D. Green misses 3-pt shot from 26 ft,,2-0,,
10:19.0,,,2-0,,Defensive rebound by M. Carter-Williams
10:14.0,,,2-0,,Turnover by L. Mbah a Moute (lost ball; steal by K. Leonard)
10:11.0,Shooting foul by H. Sims (drawn by K. Leonard),,2-0,,
10:11.0,K. Leonard makes free throw 1 of 2,1,3-0,,
10:11.0,K. Leonard makes free throw 2 of 2,1,4-0,,
10:03.0,,,4-0,,L. Mbah a Moute misses 2-pt shot at rim
10:01.0,Defensive rebound by A. Baynes,,4-0,,
9:45.0,D. Green misses 3-pt shot from 25 ft,,4-0,,
9:42.0,,,4-0,,Defensive rebound by M. Carter-Williams
9:37.0,,,4-0,,H. Thompson misses 2-pt shot from 22 ft
9:37.0,Defensive rebound by Team,,4-0,,
9:27.0,,,4-0,,Personal foul by B. Davies (drawn by B. Diaw)
9:15.0,C. Joseph makes 2-pt shot from 6 ft (assist by B. Diaw),2,6-0,,
8:51.0,,,6-2,2,H. Sims makes 2-pt shot from 16 ft (assist by B. Davies)
8:39.0,B. Diaw misses 2-pt shot from 4 ft,,6-2,,
