time,LA Lakers,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. J. Hill (J. Calderon gains possession),,,,Jump ball: L. Amundson vs. J. Hill (J. Calderon gains possession)
11:43.0,,,0-0,,C. Anthony misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by R. Kelly,,0-0,,
11:18.0,Turnover by Team (shot clock),,0-0,,
11:02.0,,,0-0,,J. Smith misses 2-pt shot from 9 ft
11:01.0,Defensive rebound by J. Hill,,0-0,,
10:50.0,J. Hill misses 2-pt shot from 20 ft,,0-0,,
10:49.0,,,0-0,,Defensive rebound by J. Calderon
10:38.0,,,0-2,2,J. Smith makes 2-pt shot from 16 ft (assist by J. Calderon)
10:14.0,R. Sacre misses 2-pt shot from 5 ft,,0-2,,
10:13.0,Offensive rebound by R. Sacre,,0-2,,
10:12.0,R. Sacre misses 2-pt shot from 4 ft,,0-2,,
10:11.0,Offensive rebound by J. Hill,,0-2,,
10:11.0,J. Hill makes 2-pt shot from 1 ft,2,2-2,,
9:57.0,,,2-5,3,J. Smith makes 3-pt shot from 23 ft (assist by J. Calderon)
9:41.0,W. Ellington misses 2-pt shot from 21 ft,,2-5,,
9:40.0,,,2-5,,Defensive rebound by L. Amundson
9:34.0,,,2-5,,Turnover by C. Anthony (lost ball)
9:21.0,R. Sacre misses 2-pt shot from 18 ft,,2-5,,
9:20.0,,,2-5,,Defensive rebound by C. Anthony
9:06.0,,,2-7,2,J. Smith makes 2-pt shot from 12 ft (assist by C. Anthony)
8:51.0,Shooting foul by C. Anthony (drawn by W. Ellington),,2-7,,
8:51.0,W. Ellington makes free throw 1 of 2,1,3-7,,
8:51.0,W. Ellington makes free throw 2 of 2,1,4-7,,
8:36.0,,,4-7,,C. Anthony misses 2-pt shot from 15 ft
8:35.0,Defensive rebound by J. Clarkson,,4-7,,
8:27.0,R. Sacre misses 2-pt shot from 5 ft,,4-7,,
8:26.0,Offensive rebound by J. Hill,,4-7,,
8:26.0,J. Hill misses 2-pt shot from 2 ft,,4-7,,
8:25.0,,,4-7,,Defensive rebound by L. Galloway
8:10.0,,,4-7,,J. Smith misses 3-pt shot from 22 ft
8:09.0,Defensive rebound by R. Sacre,,4-7,,
7:58.0,Turnover by J. Hill (lost ball; steal by J. Calderon),,4-7,,
7:53.0,,,4-7,,C. Anthony misses 2-pt shot from 17 ft
7:52.0,Defensive rebound by J. Hill,,4-7,,
7:50.0,,,4-7,,Personal foul by J. Calderon (drawn by W. Ellington)
7:35.0,J. Clarkson makes 2-pt shot from 21 ft,2,6-7,,
7:26.0,Personal foul by R. Kelly (drawn by C. Anthony),,6-7,,
7:21.0,,,6-7,,L. Galloway misses 2-pt shot from 22 ft
7:20.0,Defensive rebound by J. Hill,,6-7,,
7:12.0,Turnover by J. Hill (lost ball; steal by J. Calderon),,6-7,,
7:07.0,,,6-7,,Turnover by J. Smith (lost ball; steal by W. Ellington)
6:55.0,Turnover by R. Kelly (bad pass),,6-7,,
