time,Toronto,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Dorsey vs. J. Valanciunas (J. Johnson gains possession),,,,Jump ball: J. Dorsey vs. J. Valanciunas (J. Johnson gains possession)
11:36.0,Turnover by K. Lowry (lost ball; steal by J. Dorsey),,0-0,,
11:29.0,,,0-0,,J. Dorsey misses 2-pt shot from 2 ft
11:27.0,Defensive rebound by A. Johnson,,0-0,,
11:14.0,Turnover by D. DeRozan (bad pass; steal by J. Harden),,0-0,,
11:09.0,,,0-2,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
11:01.0,J. Johnson makes 2-pt shot at rim,2,2-2,,
10:44.0,,,2-2,,D. Motiejunas misses 2-pt shot from 5 ft
10:43.0,Defensive rebound by A. Johnson,,2-2,,
10:35.0,D. DeRozan misses 2-pt shot from 16 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by J. Harden
10:31.0,,,2-2,,Turnover by J. Harden (bad pass; steal by D. DeRozan)
10:18.0,J. Johnson makes 2-pt shot at rim (assist by D. DeRozan),2,4-2,,
10:01.0,,,4-4,2,J. Dorsey makes 2-pt shot from 3 ft (assist by J. Harden)
9:37.0,J. Johnson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,7-4,,
9:22.0,,,7-4,,P. Beverley misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by A. Johnson,,7-4,,
9:14.0,K. Lowry misses 3-pt shot from 27 ft,,7-4,,
9:14.0,,,7-4,,Defensive rebound by Team
9:07.0,,,7-4,,J. Harden misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by J. Valanciunas,,7-4,,
8:56.0,A. Johnson misses 2-pt shot from 1 ft (block by D. Motiejunas),,7-4,,
8:56.0,,,7-4,,Defensive rebound by J. Harden
8:51.0,,,7-4,,P. Beverley misses 2-pt shot from 2 ft
8:51.0,Defensive rebound by Team,,7-4,,
8:36.0,Turnover by D. DeRozan (lost ball; steal by P. Beverley),,7-4,,
8:31.0,,,7-4,,Turnover by P. Beverley (bad pass)
8:13.0,J. Valanciunas misses 2-pt shot from 7 ft,,7-4,,
8:11.0,,,7-4,,Defensive rebound by D. Motiejunas
8:00.0,,,7-4,,Turnover by T. Ariza (bad pass; steal by J. Valanciunas)
7:50.0,D. DeRozan misses 2-pt shot from 11 ft,,7-4,,
7:48.0,,,7-4,,Defensive rebound by D. Motiejunas
7:41.0,,,7-4,,Shooting foul by J. Valanciunas (drawn by J. Harden)
7:41.0,,,7-5,1,J. Harden makes free throw 1 of 2
7:41.0,,,7-5,,J. Harden misses free throw 2 of 2
7:41.0,Defensive rebound by J. Valanciunas,,7-5,,
7:17.0,K. Lowry misses 3-pt shot from 23 ft,,7-5,,
7:17.0,Offensive rebound by Team,,7-5,,
7:17.0,Turnover by Team (shot clock),,7-5,,
6:58.0,,,7-5,,P. Beverley misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by J. Johnson,,7-5,,
6:45.0,J. Johnson misses 2-pt shot from 8 ft,,7-5,,
6:43.0,,,7-5,,Defensive rebound by D. Motiejunas
6:39.0,,,7-5,,T. Ariza misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by A. Johnson,,7-5,,
6:32.0,J. Johnson misses 2-pt shot from 6 ft,,7-5,,
6:31.0,,,7-5,,Defensive rebound by J. Dorsey
6:18.0,,,7-5,,D. Motiejunas misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by D. DeRozan,,7-5,,
6:09.0,Toronto full timeout,,7-5,,
6:00.0,K. Lowry makes 2-pt shot from 4 ft (assist by A. Johnson),2,9-5,,
5:48.0,,,9-5,,Turnover by J. Harden (bad pass; steal by J. Valanciunas)
5:42.0,J. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,11-5,,
5:16.0,,,11-5,,P. Beverley misses 3-pt shot from 22 ft
5:16.0,,,11-5,,Offensive rebound by Team
5:16.0,,,11-5,,Turnover by Team (shot clock)
4:59.0,Shooting foul by P. Beverley (drawn by K. Lowry),,11-5,,
4:59.0,K. Lowry makes free throw 1 of 2,1,12-5,,
4:59.0,,,12-5,,C. Brewer enters the game for T. Ariza
4:59.0,,,12-5,,J. Smith enters the game for J. Dorsey
4:59.0,K. Lowry makes free throw 2 of 2,1,13-5,,
4:37.0,,,13-8,3,J. Smith makes 3-pt shot from 25 ft (assist by J. Harden)
4:15.0,Offensive foul by A. Johnson,,13-8,,
4:15.0,Turnover by A. Johnson (offensive foul),,13-8,,
4:15.0,,,13-8,,T. Jones enters the game for D. Motiejunas
4:15.0,P. Patterson enters the game for J. Valanciunas,,13-8,,
4:04.0,,,13-8,,Shooting foul by D. DeRozan (drawn by T. Jones)
4:04.0,,,13-9,1,T. Jones makes free throw 1 of 2
4:04.0,,,13-9,,T. Jones misses free throw 2 of 2
4:04.0,Defensive rebound by A. Johnson,,13-9,,
3:49.0,D. DeRozan misses 2-pt shot from 21 ft,,13-9,,
3:47.0,,,13-9,,Defensive rebound by J. Smith
3:40.0,,,13-9,,J. Harden misses 2-pt shot from 1 ft (block by J. Johnson)
3:38.0,,,13-9,,Offensive rebound by C. Brewer
3:32.0,,,13-12,3,J. Smith makes 3-pt shot from 25 ft (assist by P. Beverley)
3:15.0,J. Johnson misses 2-pt shot from 8 ft,,13-12,,
3:13.0,,,13-12,,Defensive rebound by C. Brewer
3:07.0,Shooting block foul by K. Lowry (drawn by J. Harden),,13-12,,
3:07.0,,,13-13,1,J. Harden makes free throw 1 of 2
3:07.0,,,13-13,,J. Terry enters the game for P. Beverley
3:07.0,,,13-13,,Houston full timeout
3:07.0,T. Ross enters the game for A. Johnson,,13-13,,
3:07.0,,,13-14,1,J. Harden makes free throw 2 of 2
2:48.0,J. Johnson misses 2-pt shot from 20 ft,,13-14,,
2:46.0,,,13-14,,Defensive rebound by J. Harden
2:41.0,,,13-16,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden)
2:20.0,T. Ross misses 3-pt shot from 25 ft,,13-16,,
2:19.0,,,13-16,,Defensive rebound by T. Jones
2:13.0,,,13-16,,J. Harden misses 2-pt shot from 3 ft (block by J. Johnson)
2:09.0,Defensive rebound by T. Ross,,13-16,,
2:07.0,D. DeRozan makes 2-pt shot from 1 ft (assist by T. Ross),2,15-16,,
1:52.0,,,15-16,,C. Brewer misses 2-pt shot from 3 ft
1:50.0,Defensive rebound by P. Patterson,,15-16,,
1:38.0,J. Johnson makes 2-pt shot from 2 ft (assist by D. DeRozan),2,17-16,,
1:22.0,,,17-16,,J. Smith misses 3-pt shot from 22 ft
1:21.0,,,17-16,,Offensive rebound by T. Jones
1:16.0,,,17-16,,T. Jones misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by D. DeRozan,,17-16,,
1:09.0,Turnover by D. DeRozan (lost ball; steal by C. Brewer),,17-16,,
1:05.0,,,17-18,2,C. Brewer makes 2-pt shot from 1 ft
0:50.0,Shooting foul by T. Jones (drawn by K. Lowry),,17-18,,
0:50.0,K. Lowry makes free throw 1 of 2,1,18-18,,
0:50.0,,,18-18,,T. Ariza enters the game for J. Harden
0:50.0,T. Hansbrough enters the game for D. DeRozan,,18-18,,
0:50.0,K. Lowry misses free throw 2 of 2,,18-18,,
0:50.0,,,18-18,,Defensive rebound by J. Terry
0:39.0,,,18-20,2,J. Smith makes 2-pt shot from 1 ft
0:29.0,K. Lowry misses 3-pt shot from 24 ft,,18-20,,
0:27.0,Offensive rebound by T. Ross,,18-20,,
0:06.0,K. Lowry misses 2-pt shot from 10 ft (block by J. Smith),,18-20,,
0:06.0,Offensive rebound by Team,,18-20,,
0:03.0,P. Patterson misses 3-pt shot from 25 ft,,18-20,,
0:03.0,Offensive rebound by Team,,18-20,,
0:03.0,Turnover by Team (shot clock),,18-20,,
0:00.0,,,18-20,,C. Brewer misses 3-pt shot from 44 ft
0:00.0,,,18-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Technical foul by K. Lowry,,18-20,,
12:00.0,,,18-21,1,J. Terry makes technical free throw
11:38.0,,,18-21,,T. Jones misses 2-pt shot from 6 ft
11:37.0,,,18-21,,Offensive rebound by C. Brewer
11:37.0,,,18-23,2,C. Brewer makes 2-pt shot at rim
11:18.0,,,18-23,,Personal foul by C. Brewer (drawn by T. Ross)
11:18.0,Toronto full timeout,,18-23,,
11:13.0,D. DeRozan makes 2-pt shot from 9 ft,2,20-23,,
10:57.0,,,20-23,,T. Ariza misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by T. Hansbrough,,20-23,,
10:44.0,P. Patterson makes 3-pt shot from 24 ft (assist by G. Vasquez),3,23-23,,
10:24.0,,,23-23,,C. Brewer misses 2-pt shot from 19 ft
10:22.0,Defensive rebound by T. Ross,,23-23,,
10:17.0,G. Vasquez makes 3-pt shot from 24 ft,3,26-23,,
10:02.0,,,26-23,,Turnover by J. Smith (bad pass; steal by T. Hansbrough)
9:55.0,T. Hansbrough misses 2-pt shot at rim (block by T. Jones),,26-23,,
9:55.0,,,26-23,,Defensive rebound by Team
9:55.0,Jump ball: T. Hansbrough vs. T. Jones (J. Smith gains possession),,,,Jump ball: T. Hansbrough vs. T. Jones (J. Smith gains possession)
9:42.0,,,26-23,,T. Ariza misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by T. Hansbrough,,26-23,,
9:36.0,Turnover by G. Vasquez (bad pass; steal by C. Brewer),,26-23,,
9:33.0,,,26-23,,Shooting foul by T. Hansbrough (drawn by J. Smith)
9:33.0,,,26-23,,J. Smith misses free throw 1 of 2
9:33.0,,,26-23,,Offensive rebound by Team
9:33.0,,,26-23,,J. Smith misses free throw 2 of 2
9:33.0,Defensive rebound by T. Hansbrough,,26-23,,
9:24.0,,,26-23,,Personal foul by J. Terry (drawn by G. Vasquez)
9:18.0,Turnover by T. Ross (lost ball),,26-23,,
9:05.0,,,26-25,2,C. Brewer makes 2-pt shot from 4 ft (assist by J. Terry)
8:50.0,G. Vasquez misses 2-pt shot from 1 ft (block by J. Terry),,26-25,,
8:48.0,,,26-25,,Defensive rebound by T. Jones
8:48.0,,,26-25,,Turnover by J. Smith (lost ball)
8:40.0,Turnover by P. Patterson (bad pass),,26-25,,
8:40.0,,,26-25,,D. Motiejunas enters the game for J. Smith
8:29.0,,,26-27,2,T. Jones makes 2-pt shot at rim (assist by C. Brewer)
8:12.0,P. Patterson misses 2-pt shot from 1 ft (block by T. Jones),,26-27,,
8:10.0,Offensive rebound by P. Patterson,,26-27,,
8:09.0,P. Patterson misses 2-pt shot from 2 ft,,26-27,,
8:08.0,,,26-27,,Defensive rebound by D. Motiejunas
8:05.0,,,26-29,2,T. Jones makes 2-pt shot at rim (assist by D. Motiejunas)
7:56.0,Toronto full timeout,,26-29,,
7:56.0,J. Valanciunas enters the game for P. Patterson,,26-29,,
7:56.0,K. Lowry enters the game for T. Ross,,26-29,,
7:36.0,Turnover by K. Lowry (bad pass; steal by T. Ariza),,26-29,,
7:33.0,Violation by G. Vasquez (kicked ball),,26-29,,
7:33.0,A. Johnson enters the game for T. Hansbrough,,26-29,,
7:24.0,,,26-29,,T. Jones misses 2-pt shot from 2 ft
