time,Memphis,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez,,,,Jump ball: M. Gasol vs. R. Lopez
11:45.0,Turnover by Z. Randolph (bad pass),,0-0,,
11:26.0,,,0-0,,L. Aldridge misses 2-pt shot from 12 ft
11:25.0,Defensive rebound by T. Allen,,0-0,,
11:13.0,N. Calathes makes 3-pt shot from 25 ft (assist by C. Lee),3,3-0,,
10:54.0,,,3-0,,R. Lopez misses 2-pt shot from 19 ft
10:52.0,Defensive rebound by T. Allen,,3-0,,
10:30.0,Z. Randolph misses 2-pt shot from 21 ft,,3-0,,
10:30.0,,,3-0,,Defensive rebound by N. Batum
10:16.0,,,3-0,,L. Aldridge misses 2-pt shot from 3 ft
10:15.0,Defensive rebound by Team,,3-0,,
10:01.0,N. Calathes makes 3-pt shot from 25 ft,3,6-0,,
9:44.0,,,6-2,2,D. Lillard makes 2-pt shot from 18 ft
9:26.0,N. Calathes misses 2-pt shot from 22 ft,,6-2,,
9:25.0,,,6-2,,Defensive rebound by L. Aldridge
9:18.0,,,6-2,,D. Lillard misses 2-pt shot from 20 ft
9:17.0,Defensive rebound by Z. Randolph,,6-2,,
9:05.0,M. Gasol misses 2-pt shot from 11 ft,,6-2,,
9:04.0,,,6-2,,Defensive rebound by L. Aldridge
8:49.0,,,6-2,,A. Afflalo misses 2-pt shot from 6 ft
8:48.0,Defensive rebound by N. Calathes,,6-2,,
8:31.0,C. Lee makes 2-pt shot from 19 ft (assist by T. Allen),2,8-2,,
8:17.0,,,8-2,,Turnover by N. Batum (bad pass; steal by N. Calathes)
8:08.0,C. Lee misses 2-pt shot from 17 ft,,8-2,,
8:07.0,,,8-2,,Defensive rebound by A. Afflalo
7:49.0,,,8-4,2,D. Lillard makes 2-pt shot from 23 ft
7:24.0,Shooting foul by D. Lillard (drawn by M. Gasol),,8-4,,
7:24.0,M. Gasol makes free throw 1 of 2,1,9-4,,
7:24.0,M. Gasol makes free throw 2 of 2,1,10-4,,
7:05.0,Personal foul by N. Calathes (drawn by D. Lillard),,10-4,,
6:59.0,,,10-4,,N. Batum misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by T. Allen,,10-4,,
6:49.0,M. Gasol makes 2-pt shot from 20 ft (assist by N. Calathes),2,12-4,,
6:46.0,,,12-4,,Portland full timeout
6:29.0,,,12-4,,L. Aldridge misses 2-pt shot from 14 ft
6:28.0,,,12-4,,Offensive rebound by R. Lopez
6:28.0,,,12-6,2,R. Lopez makes 2-pt shot from 1 ft
6:05.0,Z. Randolph misses 2-pt shot from 17 ft,,12-6,,
6:04.0,,,12-6,,Defensive rebound by D. Lillard
5:55.0,,,12-6,,A. Afflalo misses 2-pt shot from 15 ft
5:52.0,Defensive rebound by T. Allen,,12-6,,
5:42.0,C. Lee misses 3-pt shot from 22 ft,,12-6,,
5:41.0,,,12-6,,Defensive rebound by N. Batum
5:31.0,,,12-6,,N. Batum misses 2-pt shot from 18 ft
5:30.0,Defensive rebound by C. Lee,,12-6,,
5:14.0,N. Calathes misses 2-pt shot from 2 ft,,12-6,,
5:13.0,,,12-6,,Defensive rebound by D. Lillard
5:09.0,,,12-8,2,N. Batum makes 2-pt shot from 2 ft (assist by D. Lillard)
4:45.0,M. Gasol makes 2-pt shot from 9 ft,2,14-8,,
4:35.0,,,14-10,2,D. Lillard makes 2-pt shot at rim
4:19.0,Turnover by N. Calathes (bad pass),,14-10,,
4:19.0,B. Udrih enters the game for T. Allen,,14-10,,
4:19.0,,,14-10,,C. McCollum enters the game for R. Lopez
4:19.0,,,14-10,,M. Leonard enters the game for A. Afflalo
4:19.0,J. Green enters the game for N. Calathes,,14-10,,
4:05.0,,,14-10,,D. Lillard misses 2-pt shot from 22 ft
4:05.0,,,14-10,,Offensive rebound by M. Leonard
3:53.0,,,14-12,2,L. Aldridge makes 2-pt shot from 3 ft
3:45.0,Memphis full timeout,,14-12,,
3:31.0,M. Gasol misses 2-pt shot from 13 ft,,14-12,,
3:30.0,,,14-12,,Defensive rebound by M. Leonard
3:19.0,,,14-12,,L. Aldridge misses 3-pt shot from 22 ft
3:17.0,,,14-12,,Offensive rebound by M. Leonard
3:14.0,,,14-15,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Leonard)
2:57.0,J. Green misses 2-pt shot from 5 ft,,14-15,,
2:56.0,,,14-15,,Defensive rebound by N. Batum
2:50.0,,,14-15,,C. McCollum misses 2-pt shot from 2 ft
2:48.0,,,14-15,,Offensive rebound by L. Aldridge
2:48.0,,,14-17,2,L. Aldridge makes 2-pt shot from 1 ft
2:25.0,Z. Randolph misses 2-pt shot from 7 ft,,14-17,,
2:24.0,,,14-17,,Defensive rebound by N. Batum
2:18.0,,,14-17,,N. Batum misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by Z. Randolph,,14-17,,
2:03.0,Shooting foul by L. Aldridge (drawn by M. Gasol),,14-17,,
2:03.0,M. Gasol makes free throw 1 of 2,1,15-17,,
2:03.0,,,15-17,,R. Lopez enters the game for L. Aldridge
2:03.0,K. Koufos enters the game for Z. Randolph,,15-17,,
2:03.0,M. Gasol makes free throw 2 of 2,1,16-17,,
1:56.0,,,16-17,,D. Lillard misses 2-pt shot from 2 ft
1:54.0,Defensive rebound by K. Koufos,,16-17,,
