time,Memphis,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Thompson (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. J. Thompson (Z. Randolph gains possession)
11:47.0,,,0-0,,Personal foul by J. Thompson (drawn by M. Gasol)
11:41.0,M. Conley misses 2-pt shot from 19 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by D. Cousins
11:34.0,,,0-2,2,J. Thompson makes 2-pt shot at rim (assist by D. Cousins)
11:14.0,M. Gasol makes 2-pt shot from 11 ft,2,2-2,,
10:58.0,,,2-4,2,R. Gay makes 2-pt shot from 21 ft (assist by R. McCallum)
10:46.0,M. Gasol misses 2-pt shot from 20 ft,,2-4,,
10:46.0,Offensive rebound by C. Lee,,2-4,,
10:33.0,Z. Randolph makes 2-pt shot from 21 ft (assist by M. Gasol),2,4-4,,
10:21.0,,,4-6,2,D. Cousins makes 2-pt shot from 2 ft (assist by J. Thompson)
10:01.0,Shooting foul by R. Gay (drawn by J. Green),,4-6,,
10:01.0,J. Green makes free throw 1 of 2,1,5-6,,
10:01.0,J. Green makes free throw 2 of 2,1,6-6,,
9:48.0,,,6-6,,B. McLemore misses 2-pt shot from 11 ft
9:47.0,,,6-6,,Offensive rebound by J. Thompson
9:46.0,,,6-8,2,J. Thompson makes 2-pt shot from 4 ft
9:28.0,C. Lee misses 2-pt shot from 19 ft,,6-8,,
9:27.0,Offensive rebound by J. Green,,6-8,,
9:27.0,J. Green misses 2-pt shot at rim,,6-8,,
9:24.0,Offensive rebound by J. Green,,6-8,,
9:20.0,C. Lee makes 2-pt shot from 2 ft (assist by M. Gasol),2,8-8,,
9:04.0,,,8-10,2,B. McLemore makes 2-pt shot from 4 ft (assist by R. Gay)
8:45.0,Turnover by M. Gasol (lost ball),,8-10,,
8:44.0,Jump ball: D. Cousins vs. M. Gasol (R. McCallum gains possession),,,,Jump ball: D. Cousins vs. M. Gasol (R. McCallum gains possession)
8:38.0,,,8-12,2,R. McCallum makes 2-pt shot from 1 ft (assist by D. Cousins)
8:32.0,Memphis full timeout,,8-12,,
8:26.0,M. Conley misses 2-pt shot from 6 ft,,8-12,,
8:25.0,,,8-12,,Defensive rebound by D. Cousins
8:17.0,,,8-14,2,D. Cousins makes 2-pt shot from 18 ft (assist by R. McCallum)
7:56.0,Z. Randolph misses 2-pt shot from 7 ft,,8-14,,
7:56.0,,,8-14,,Defensive rebound by Team
7:36.0,,,8-14,,R. Gay misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by M. Gasol,,8-14,,
7:30.0,J. Green makes 2-pt shot from 3 ft (assist by M. Gasol),2,10-14,,
7:15.0,,,10-14,,D. Cousins misses 2-pt shot from 17 ft
7:14.0,,,10-14,,Offensive rebound by R. McCallum
7:08.0,,,10-14,,B. McLemore misses 3-pt shot from 23 ft
7:08.0,,,10-14,,Offensive rebound by R. Gay
7:07.0,,,10-16,2,R. Gay makes 2-pt shot at rim
6:56.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley),2,12-16,,
6:56.0,Shooting foul by R. Gay (drawn by M. Gasol),,12-16,,
6:56.0,,,12-16,,O. Casspi enters the game for R. Gay
6:56.0,M. Gasol makes free throw 1 of 1,1,13-16,,
6:44.0,,,13-16,,Turnover by B. McLemore (lost ball; steal by M. Conley)
6:41.0,Turnover by M. Conley (bad pass; steal by B. McLemore),,13-16,,
6:33.0,,,13-19,3,R. McCallum makes 3-pt shot from 24 ft (assist by D. Cousins)
