time,LA Clippers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Jordan (C. Parsons gains possession),,,,Jump ball: T. Chandler vs. D. Jordan (C. Parsons gains possession)
11:44.0,,,0-2,2,M. Ellis makes 2-pt shot from 8 ft (assist by D. Nowitzki)
11:22.0,J. Redick misses 3-pt shot from 24 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by T. Chandler
11:07.0,,,0-2,,M. Ellis misses 2-pt shot from 13 ft
11:06.0,,,0-2,,Offensive rebound by T. Chandler
11:03.0,,,0-5,3,C. Parsons makes 3-pt shot from 24 ft (assist by T. Chandler)
10:33.0,D. Jordan makes 3-pt shot from 26 ft,3,3-5,,
10:15.0,,,3-7,2,M. Ellis makes 2-pt shot from 10 ft
10:02.0,M. Barnes misses 3-pt shot from 25 ft,,3-7,,
10:01.0,Offensive rebound by D. Jordan,,3-7,,
10:01.0,,,3-7,,Loose ball foul by T. Chandler (drawn by D. Jordan)
9:51.0,S. Hawes misses 2-pt shot from 9 ft,,3-7,,
9:48.0,,,3-7,,Defensive rebound by R. Rondo
9:40.0,,,3-7,,D. Nowitzki misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by M. Barnes,,3-7,,
9:37.0,Turnover by M. Barnes (bad pass; steal by C. Parsons),,3-7,,
9:32.0,,,3-7,,Turnover by R. Rondo (bad pass; steal by C. Paul)
9:23.0,S. Hawes misses 3-pt shot from 25 ft,,3-7,,
9:21.0,,,3-7,,Defensive rebound by C. Parsons
9:01.0,,,3-7,,T. Chandler misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by D. Jordan,,3-7,,
8:47.0,Offensive foul by M. Barnes,,3-7,,
8:47.0,Turnover by M. Barnes (offensive foul),,3-7,,
8:39.0,,,3-7,,Turnover by M. Ellis (bad pass)
8:29.0,C. Paul makes 2-pt shot from 3 ft,2,5-7,,
8:12.0,,,5-10,3,C. Parsons makes 3-pt shot from 23 ft (assist by R. Rondo)
7:55.0,S. Hawes misses 3-pt shot from 25 ft,,5-10,,
7:54.0,,,5-10,,Defensive rebound by T. Chandler
7:45.0,Personal foul by S. Hawes (drawn by R. Rondo),,5-10,,
