time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Chandler (M. Ellis gains possession),,,,Jump ball: S. Adams vs. T. Chandler (M. Ellis gains possession)
11:41.0,M. Ellis makes 2-pt shot from 16 ft,2,2-0,,
11:20.0,,,2-2,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:07.0,C. Parsons misses 2-pt shot from 1 ft,,2-2,,
11:07.0,,,2-2,,Defensive rebound by R. Westbrook
11:02.0,,,2-2,,Shooting foul by C. Parsons (drawn by E. Kanter)
11:02.0,,,2-3,1,E. Kanter makes free throw 1 of 2
11:02.0,,,2-4,1,E. Kanter makes free throw 2 of 2
10:51.0,Shooting foul by D. Waiters (drawn by M. Ellis),,2-4,,
10:51.0,M. Ellis makes free throw 1 of 2,1,3-4,,
10:51.0,M. Ellis makes free throw 2 of 2,1,4-4,,
10:37.0,,,4-4,,D. Waiters misses 2-pt shot from 6 ft
10:36.0,Defensive rebound by T. Chandler,,4-4,,
10:28.0,M. Ellis makes 2-pt shot from 2 ft (assist by R. Rondo),2,6-4,,
10:08.0,,,6-4,,Turnover by D. Waiters (bad pass)
9:59.0,R. Rondo makes 2-pt shot from 19 ft,2,8-4,,
9:45.0,,,8-6,2,D. Waiters makes 2-pt shot from 2 ft
9:38.0,R. Rondo misses 2-pt shot from 18 ft,,8-6,,
9:37.0,,,8-6,,Defensive rebound by E. Kanter
9:30.0,,,8-6,,R. Westbrook misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by R. Rondo,,8-6,,
9:06.0,D. Nowitzki misses 2-pt shot from 15 ft,,8-6,,
9:05.0,,,8-6,,Defensive rebound by E. Kanter
9:00.0,,,8-6,,Turnover by R. Westbrook (bad pass; steal by M. Ellis)
8:54.0,D. Nowitzki misses 3-pt shot from 24 ft,,8-6,,
8:53.0,,,8-6,,Defensive rebound by S. Adams
8:43.0,,,8-6,,S. Adams misses 2-pt shot from 6 ft
8:42.0,Defensive rebound by T. Chandler,,8-6,,
8:29.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by R. Rondo),2,10-6,,
8:18.0,,,10-6,,Shooting foul by T. Chandler (drawn by S. Adams)
8:18.0,,,10-6,,S. Adams misses free throw 1 of 2
8:18.0,,,10-6,,Offensive rebound by Team
8:18.0,,,10-6,,S. Adams misses free throw 2 of 2
8:17.0,,,10-6,,Offensive rebound by K. Singler
8:05.0,,,10-8,2,D. Waiters makes 2-pt shot from 1 ft
7:46.0,R. Rondo makes 2-pt shot from 2 ft (assist by T. Chandler),2,12-8,,
7:28.0,,,12-10,2,D. Waiters makes 2-pt shot from 1 ft
7:12.0,R. Rondo misses 2-pt shot from 1 ft,,12-10,,
7:11.0,,,12-10,,Defensive rebound by E. Kanter
7:05.0,,,12-10,,R. Westbrook misses 2-pt shot from 4 ft
7:04.0,Defensive rebound by C. Parsons,,12-10,,
7:01.0,R. Rondo makes 2-pt shot at rim (assist by C. Parsons),2,14-10,,
