time,Dallas,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (O. Asik gains possession),,,,Jump ball: T. Chandler vs. A. Davis (O. Asik gains possession)
11:42.0,,,0-2,2,D. Cunningham makes 2-pt shot from 20 ft (assist by E. Gordon)
11:25.0,M. Ellis makes 2-pt shot from 12 ft (assist by R. Rondo),2,2-2,,
11:06.0,,,2-2,,Turnover by E. Gordon (lost ball; steal by M. Ellis)
10:59.0,R. Rondo misses 2-pt shot from 2 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by O. Asik
10:51.0,,,2-4,2,A. Davis makes 2-pt shot from 3 ft (assist by T. Evans)
10:31.0,,,2-4,,Personal foul by D. Cunningham (drawn by C. Parsons)
10:19.0,M. Ellis misses 3-pt shot from 27 ft,,2-4,,
10:17.0,,,2-4,,Defensive rebound by E. Gordon
10:06.0,Personal block foul by M. Ellis (drawn by T. Evans),,2-4,,
9:55.0,,,2-4,,A. Davis misses 2-pt shot from 17 ft
9:52.0,Defensive rebound by M. Ellis,,2-4,,
9:44.0,R. Rondo makes 2-pt shot from 2 ft,2,4-4,,
9:20.0,,,4-6,2,T. Evans makes 2-pt shot from 14 ft (assist by D. Cunningham)
8:59.0,D. Nowitzki misses 2-pt shot from 14 ft,,4-6,,
8:58.0,,,4-6,,Defensive rebound by O. Asik
8:49.0,,,4-6,,A. Davis misses 2-pt shot from 14 ft
8:48.0,Defensive rebound by R. Rondo,,4-6,,
8:37.0,R. Rondo makes 2-pt shot from 2 ft,2,6-6,,
8:15.0,,,6-8,2,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis)
8:01.0,Turnover by C. Parsons (lost ball; steal by T. Evans),,6-8,,
7:56.0,,,6-10,2,T. Evans makes 2-pt shot from 1 ft
7:56.0,,,6-10,,Shooting foul by D. Nowitzki (drawn by T. Evans)
7:56.0,,,6-11,1,T. Evans makes free throw 1 of 1
7:32.0,R. Rondo misses 2-pt shot from 2 ft,,6-11,,
7:31.0,,,6-11,,Defensive rebound by O. Asik
7:25.0,,,6-11,,T. Evans misses 2-pt shot from 1 ft
7:24.0,,,6-11,,Offensive rebound by A. Davis
7:24.0,,,6-13,2,A. Davis makes 2-pt shot from 2 ft
7:24.0,,,6-13,,Shooting foul by D. Nowitzki (drawn by A. Davis)
7:24.0,A. Aminu enters the game for D. Nowitzki,,6-13,,
7:24.0,,,6-14,1,A. Davis makes free throw 1 of 1
7:02.0,Shooting foul by O. Asik (drawn by T. Chandler),,6-14,,
7:02.0,T. Chandler makes free throw 1 of 2,1,7-14,,
7:02.0,D. Harris enters the game for R. Rondo,,7-14,,
7:02.0,T. Chandler makes free throw 2 of 2,1,8-14,,
6:49.0,,,8-14,,Shooting foul by A. Aminu (drawn by A. Davis)
6:49.0,,,8-15,1,A. Davis makes free throw 1 of 2
6:49.0,,,8-16,1,A. Davis makes free throw 2 of 2
6:32.0,M. Ellis misses 2-pt shot from 3 ft,,8-16,,
6:31.0,,,8-16,,Defensive rebound by O. Asik
6:15.0,,,8-16,,Turnover by A. Davis (bad pass)
5:59.0,Turnover by M. Ellis (bad pass; steal by O. Asik),,8-16,,
5:54.0,,,8-18,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
5:53.0,Dallas full timeout,,8-18,,
5:31.0,M. Ellis misses 2-pt shot from 15 ft,,8-18,,
5:30.0,,,8-18,,Defensive rebound by O. Asik
5:16.0,,,8-18,,O. Asik misses 2-pt shot from 2 ft (block by T. Chandler)
5:15.0,Defensive rebound by T. Chandler,,8-18,,
5:12.0,D. Harris misses 2-pt shot from 2 ft,,8-18,,
5:11.0,Offensive rebound by M. Ellis,,8-18,,
5:11.0,M. Ellis makes 2-pt shot from 2 ft,2,10-18,,
4:47.0,,,10-18,,D. Cunningham misses 2-pt shot from 21 ft
4:46.0,Defensive rebound by M. Ellis,,10-18,,
4:41.0,M. Ellis makes 2-pt shot from 2 ft,2,12-18,,
4:21.0,,,12-18,,A. Davis misses 2-pt shot from 2 ft
4:20.0,,,12-18,,Offensive rebound by A. Davis
4:18.0,,,12-18,,A. Davis misses 2-pt shot from 2 ft
4:16.0,Defensive rebound by T. Chandler,,12-18,,
4:10.0,D. Harris misses 3-pt shot from 27 ft,,12-18,,
4:08.0,,,12-18,,Defensive rebound by O. Asik
4:04.0,,,12-18,,New Orleans full timeout
4:04.0,,,12-18,,R. Anderson enters the game for E. Gordon
4:04.0,,,12-18,,Q. Pondexter enters the game for O. Asik
3:58.0,,,12-20,2,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis)
3:46.0,M. Ellis makes 2-pt shot from 19 ft,2,14-20,,
3:26.0,,,14-20,,T. Evans misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by T. Chandler,,14-20,,
3:08.0,C. Parsons makes 2-pt shot from 7 ft,2,16-20,,
3:08.0,Shooting foul by D. Cunningham (drawn by C. Parsons),,16-20,,
3:08.0,C. Parsons makes free throw 1 of 1,1,17-20,,
2:43.0,,,17-20,,A. Davis misses 2-pt shot from 16 ft
2:42.0,Defensive rebound by A. Aminu,,17-20,,
2:29.0,C. Parsons misses 2-pt shot from 3 ft,,17-20,,
2:28.0,,,17-20,,Defensive rebound by R. Anderson
2:14.0,,,17-20,,Shooting foul by T. Chandler (drawn by Q. Pondexter)
2:14.0,,,17-21,1,Q. Pondexter makes free throw 1 of 2
2:14.0,R. Jefferson enters the game for C. Parsons,,17-21,,
2:14.0,R. Rondo enters the game for M. Ellis,,17-21,,
2:14.0,,,17-21,,N. Wolters enters the game for D. Cunningham
2:14.0,,,17-21,,Q. Pondexter misses free throw 2 of 2
2:08.0,Defensive rebound by A. Aminu,,17-21,,
2:02.0,,,17-21,,Personal foul by Q. Pondexter (drawn by A. Aminu)
1:58.0,Turnover by D. Harris (bad pass; steal by A. Davis),,17-21,,
1:54.0,,,17-21,,Turnover by N. Wolters (lost ball; steal by D. Harris)
1:48.0,R. Rondo makes 2-pt shot from 1 ft,2,19-21,,
1:31.0,,,19-21,,T. Evans misses 2-pt shot from 20 ft
1:31.0,,,19-21,,Offensive rebound by R. Anderson
1:31.0,Loose ball foul by D. Harris (drawn by R. Anderson),,19-21,,
1:31.0,,,19-22,1,R. Anderson makes free throw 1 of 2
1:31.0,D. Powell enters the game for T. Chandler,,19-22,,
1:31.0,,,19-23,1,R. Anderson makes free throw 2 of 2
1:15.0,D. Harris misses 3-pt shot from 27 ft,,19-23,,
1:14.0,,,19-23,,Defensive rebound by Q. Pondexter
0:59.0,,,19-25,2,R. Anderson makes 2-pt shot from 22 ft (assist by T. Evans)
0:47.0,R. Jefferson misses 2-pt shot from 18 ft,,19-25,,
0:45.0,Offensive rebound by D. Powell,,19-25,,
0:33.0,R. Rondo makes 3-pt shot from 25 ft,3,22-25,,
0:16.0,,,22-25,,T. Evans misses 2-pt shot from 1 ft
0:15.0,,,22-25,,Offensive rebound by A. Davis
0:14.0,,,22-25,,A. Davis misses 2-pt shot from 2 ft (block by A. Aminu)
0:14.0,,,22-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,22-25,,Def 3 sec tech foul by A. Ajinca
11:45.0,D. Nowitzki misses technical free throw,,22-25,,
11:45.0,Offensive rebound by Team,,22-25,,
11:36.0,Shooting foul by A. Ajinca (drawn by D. Powell),,22-25,,
11:36.0,D. Powell makes free throw 1 of 2,1,23-25,,
11:36.0,D. Powell makes free throw 2 of 2,1,24-25,,
11:16.0,,,24-27,2,R. Anderson makes 2-pt shot from 15 ft (assist by Q. Pondexter)
11:06.0,R. Rondo makes 2-pt shot from 1 ft,2,26-27,,
10:44.0,,,26-29,2,R. Anderson makes 2-pt shot from 11 ft
10:31.0,Shooting foul by E. Gordon (drawn by D. Nowitzki),,26-29,,
10:31.0,D. Nowitzki makes free throw 1 of 2,1,27-29,,
10:31.0,D. Nowitzki makes free throw 2 of 2,1,28-29,,
10:05.0,,,28-32,3,Q. Pondexter makes 3-pt shot from 24 ft (assist by N. Wolters)
9:49.0,D. Nowitzki misses 2-pt shot from 2 ft,,28-32,,
9:48.0,Offensive rebound by D. Powell,,28-32,,
9:48.0,D. Powell makes 2-pt shot at rim,2,30-32,,
9:36.0,,,30-32,,Turnover by Q. Pondexter (lost ball; steal by D. Nowitzki)
9:32.0,Shooting foul by N. Wolters (drawn by D. Powell),,30-32,,
9:32.0,D. Powell makes free throw 1 of 2,1,31-32,,
9:32.0,D. Powell misses free throw 2 of 2,,31-32,,
9:31.0,,,31-32,,Defensive rebound by A. Ajinca
9:20.0,,,31-34,2,N. Wolters makes 2-pt shot from 2 ft
9:01.0,D. Nowitzki makes 2-pt shot from 2 ft,2,33-34,,
9:01.0,Shooting foul by E. Gordon (drawn by D. Nowitzki),,33-34,,
9:01.0,D. Nowitzki misses free throw 1 of 1,,33-34,,
9:00.0,,,33-34,,Defensive rebound by A. Ajinca
8:50.0,,,33-34,,Q. Pondexter misses 3-pt shot from 25 ft
8:50.0,,,33-34,,Offensive rebound by Team
8:50.0,Loose ball foul by D. Powell (drawn by A. Ajinca),,33-34,,
8:50.0,Official timeout,,33-34,,
8:50.0,,,33-34,,T. Evans enters the game for E. Gordon
8:41.0,,,33-34,,R. Anderson misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by R. Rondo,,33-34,,
8:32.0,D. Nowitzki misses 3-pt shot from 24 ft,,33-34,,
8:31.0,Offensive rebound by D. Powell,,33-34,,
8:26.0,R. Jefferson makes 3-pt shot from 24 ft (assist by D. Powell),3,36-34,,
8:02.0,,,36-34,,Q. Pondexter misses 2-pt shot from 20 ft
8:01.0,Defensive rebound by R. Rondo,,36-34,,
7:47.0,D. Powell makes 2-pt shot from 18 ft (assist by J. Barea),2,38-34,,
7:36.0,Personal foul by R. Jefferson (drawn by R. Anderson),,38-34,,
7:36.0,,,38-34,,O. Asik enters the game for A. Ajinca
7:36.0,T. Chandler enters the game for D. Powell,,38-34,,
7:36.0,C. Parsons enters the game for D. Nowitzki,,38-34,,
7:36.0,M. Ellis enters the game for R. Rondo,,38-34,,
7:18.0,,,38-36,2,Q. Pondexter makes 2-pt shot from 8 ft (assist by T. Evans)
7:09.0,J. Barea misses 2-pt shot from 8 ft (block by N. Wolters),,38-36,,
7:07.0,,,38-36,,Defensive rebound by Q. Pondexter
7:00.0,,,38-36,,Offensive foul by O. Asik
7:00.0,,,38-36,,Turnover by O. Asik (offensive foul)
6:46.0,M. Ellis makes 2-pt shot from 16 ft (assist by T. Chandler),2,40-36,,
6:26.0,,,40-38,2,O. Asik makes 2-pt shot at rim (assist by Q. Pondexter)
6:12.0,C. Parsons misses 2-pt shot from 16 ft,,40-38,,
6:10.0,,,40-38,,Defensive rebound by N. Wolters
5:52.0,,,40-38,,Shooting foul by C. Parsons (drawn by R. Anderson)
5:52.0,,,40-38,,New Orleans full timeout
5:52.0,D. Harris enters the game for J. Barea,,40-38,,
5:52.0,,,40-38,,A. Davis enters the game for O. Asik
5:52.0,,,40-39,1,R. Anderson makes free throw 1 of 2
5:52.0,,,40-40,1,R. Anderson makes free throw 2 of 2
5:33.0,Turnover by R. Jefferson (bad pass; steal by A. Davis),,40-40,,
5:23.0,,,40-42,2,T. Evans makes 2-pt shot from 1 ft (assist by R. Anderson)
5:14.0,Dallas full timeout,,40-42,,
5:14.0,D. Nowitzki enters the game for R. Jefferson,,40-42,,
5:14.0,R. Rondo enters the game for D. Harris,,40-42,,
5:04.0,C. Parsons misses 2-pt shot from 2 ft,,40-42,,
5:02.0,Offensive rebound by T. Chandler,,40-42,,
5:01.0,,,40-42,,Personal foul by T. Evans (drawn by D. Nowitzki)
5:01.0,D. Nowitzki makes free throw 1 of 2,1,41-42,,
5:01.0,D. Nowitzki makes free throw 2 of 2,1,42-42,,
4:51.0,Personal foul by T. Chandler (drawn by A. Davis),,42-42,,
4:51.0,,,42-42,,E. Gordon enters the game for N. Wolters
4:44.0,,,42-44,2,R. Anderson makes 2-pt shot from 5 ft (assist by T. Evans)
4:25.0,D. Nowitzki misses 2-pt shot from 14 ft,,42-44,,
4:23.0,,,42-44,,Defensive rebound by E. Gordon
4:05.0,,,42-47,3,R. Anderson makes 3-pt shot from 22 ft (assist by T. Evans)
4:04.0,Dallas full timeout,,42-47,,
4:04.0,,,42-47,,D. Cunningham enters the game for Q. Pondexter
4:01.0,Turnover by C. Parsons (lost ball; steal by D. Cunningham),,42-47,,
4:01.0,Personal foul by C. Parsons (drawn by A. Davis),,42-47,,
4:01.0,,,42-48,1,A. Davis makes free throw 1 of 2
4:01.0,A. Aminu enters the game for C. Parsons,,42-48,,
4:01.0,,,42-49,1,A. Davis makes free throw 2 of 2
3:45.0,D. Nowitzki makes 2-pt shot from 13 ft,2,44-49,,
3:29.0,,,44-52,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans)
3:07.0,M. Ellis makes 3-pt shot from 22 ft (assist by R. Rondo),3,47-52,,
2:50.0,,,47-54,2,T. Evans makes 2-pt shot from 2 ft
2:41.0,T. Chandler misses 2-pt shot at rim,,47-54,,
2:40.0,Offensive rebound by M. Ellis,,47-54,,
2:20.0,Shooting foul by R. Anderson (drawn by D. Nowitzki),,47-54,,
2:20.0,D. Nowitzki makes free throw 1 of 2,1,48-54,,
2:20.0,,,48-54,,Q. Pondexter enters the game for D. Cunningham
2:20.0,D. Nowitzki makes free throw 2 of 2,1,49-54,,
2:06.0,,,49-57,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
1:38.0,M. Ellis makes 3-pt shot from 25 ft (assist by A. Aminu),3,52-57,,
1:13.0,,,52-57,,Q. Pondexter misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by T. Chandler,,52-57,,
0:55.0,Turnover by D. Nowitzki (bad pass; steal by A. Davis),,52-57,,
0:55.0,Personal foul by A. Aminu (drawn by A. Davis),,52-57,,
0:55.0,,,52-58,1,A. Davis makes free throw 1 of 2
0:55.0,C. Parsons enters the game for A. Aminu,,52-58,,
0:55.0,,,52-58,,N. Wolters enters the game for E. Gordon
0:55.0,,,52-58,,A. Davis misses free throw 2 of 2
0:54.0,Defensive rebound by D. Nowitzki,,52-58,,
0:39.0,M. Ellis makes 2-pt shot from 1 ft (assist by R. Rondo),2,54-58,,
0:23.0,,,54-61,3,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans)
0:04.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by R. Rondo),2,56-61,,
0:00.0,,,56-61,,Q. Pondexter misses 3-pt shot from 25 ft
0:00.0,,,56-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Rondo),2,58-61,,
11:33.0,,,58-63,2,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon)
11:23.0,,,58-63,,Personal foul by A. Davis (drawn by D. Nowitzki)
11:15.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis),3,61-63,,
10:51.0,,,61-65,2,A. Davis makes 2-pt shot from 10 ft
10:36.0,D. Nowitzki misses 2-pt shot from 18 ft,,61-65,,
10:35.0,,,61-65,,Defensive rebound by O. Asik
10:20.0,,,61-67,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
9:58.0,C. Parsons makes 2-pt shot from 2 ft (assist by T. Chandler),2,63-67,,
9:36.0,,,63-67,,O. Asik misses 2-pt shot from 1 ft
9:33.0,,,63-67,,Offensive rebound by Team
9:28.0,,,63-69,2,T. Evans makes 2-pt shot from 1 ft
9:18.0,Shooting foul by D. Cunningham (drawn by C. Parsons),,63-69,,
9:18.0,C. Parsons misses free throw 1 of 2,,63-69,,
9:18.0,Offensive rebound by Team,,63-69,,
9:18.0,C. Parsons makes free throw 2 of 2,1,64-69,,
9:02.0,,,64-69,,T. Evans misses 2-pt shot from 16 ft
9:01.0,Defensive rebound by R. Rondo,,64-69,,
8:52.0,D. Nowitzki misses 3-pt shot from 26 ft,,64-69,,
8:50.0,,,64-69,,Defensive rebound by A. Davis
8:36.0,,,64-69,,A. Davis misses 2-pt shot from 18 ft
8:34.0,Defensive rebound by D. Nowitzki,,64-69,,
8:25.0,M. Ellis makes 2-pt shot from 2 ft (assist by R. Rondo),2,66-69,,
8:09.0,,,66-71,2,O. Asik makes 2-pt shot from 2 ft (assist by D. Cunningham)
7:58.0,Turnover by C. Parsons (lost ball; steal by D. Cunningham),,66-71,,
7:56.0,Personal foul by R. Rondo (drawn by T. Evans),,66-71,,
7:34.0,,,66-73,2,T. Evans makes 2-pt shot from 15 ft
7:33.0,Dallas full timeout,,66-73,,
7:33.0,D. Powell enters the game for T. Chandler,,66-73,,
7:19.0,M. Ellis makes 2-pt shot from 17 ft,2,68-73,,
6:52.0,,,68-76,3,T. Evans makes 3-pt shot from 23 ft (assist by E. Gordon)
6:22.0,R. Rondo makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,71-76,,
6:01.0,,,71-76,,D. Cunningham misses 2-pt shot from 21 ft
6:00.0,,,71-76,,Offensive rebound by A. Davis
5:56.0,,,71-76,,E. Gordon misses 3-pt shot from 26 ft
5:55.0,,,71-76,,Offensive rebound by A. Davis
5:54.0,,,71-78,2,A. Davis makes 2-pt shot at rim
