time,Toronto,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Valanciunas (T. Parker gains possession),,,,Jump ball: T. Duncan vs. J. Valanciunas (T. Parker gains possession)
11:43.0,,,0-0,,T. Duncan misses 2-pt shot from 2 ft (block by J. Valanciunas)
11:41.0,,,0-0,,Offensive rebound by T. Duncan
11:41.0,,,0-2,2,T. Duncan makes 2-pt shot from 1 ft
11:25.0,,,0-2,,Personal foul by D. Green (drawn by D. DeRozan)
11:25.0,D. DeRozan makes free throw 1 of 2,1,1-2,,
11:25.0,,,1-2,,M. Belinelli enters the game for D. Green
11:25.0,D. DeRozan misses free throw 2 of 2,,1-2,,
11:23.0,,,1-2,,Defensive rebound by Team
11:05.0,,,1-2,,K. Leonard misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by J. Valanciunas,,1-2,,
10:54.0,,,1-2,,Personal foul by M. Belinelli (drawn by D. DeRozan)
10:54.0,,,1-2,,C. Joseph enters the game for M. Belinelli
10:47.0,D. DeRozan misses 2-pt shot from 20 ft,,1-2,,
10:47.0,,,1-2,,Defensive rebound by T. Duncan
10:38.0,,,1-4,2,T. Parker makes 2-pt shot from 13 ft
10:28.0,K. Lowry makes 2-pt shot from 15 ft,2,3-4,,
10:09.0,,,3-4,,T. Splitter misses 2-pt shot from 2 ft (block by T. Ross)
10:08.0,,,3-4,,Offensive rebound by K. Leonard
10:07.0,,,3-4,,K. Leonard misses 2-pt shot from 2 ft
10:07.0,Defensive rebound by Team,,3-4,,
9:52.0,T. Ross makes 2-pt shot from 19 ft,2,5-4,,
9:33.0,,,5-4,,T. Duncan misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by D. DeRozan,,5-4,,
9:18.0,J. Valanciunas makes 2-pt shot from 7 ft,2,7-4,,
9:05.0,,,7-4,,K. Leonard misses 2-pt shot from 1 ft
9:04.0,,,7-4,,Offensive rebound by K. Leonard
9:03.0,,,7-4,,K. Leonard misses 2-pt shot from 1 ft
9:02.0,Defensive rebound by J. Valanciunas,,7-4,,
9:02.0,,,7-4,,Personal foul by K. Leonard (drawn by J. Valanciunas)
8:46.0,Turnover by J. Valanciunas (lost ball; steal by K. Leonard),,7-4,,
8:41.0,,,7-4,,C. Joseph misses 2-pt shot at rim
8:40.0,,,7-4,,Offensive rebound by K. Leonard
8:39.0,Personal foul by A. Johnson (drawn by K. Leonard),,7-4,,
8:32.0,,,7-4,,C. Joseph misses 3-pt shot from 23 ft
8:31.0,,,7-4,,Offensive rebound by T. Splitter
8:25.0,,,7-4,,Turnover by K. Leonard (traveling)
8:13.0,T. Ross misses 3-pt shot from 24 ft,,7-4,,
