time,Portland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. C. Kaman (L. Aldridge gains possession),,,,Jump ball: J. Hill vs. C. Kaman (L. Aldridge gains possession)
11:42.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard),2,2-0,,
11:29.0,,,2-0,,W. Johnson misses 2-pt shot from 21 ft
11:27.0,Defensive rebound by C. Kaman,,2-0,,
11:18.0,C. Kaman makes 2-pt shot from 6 ft (assist by D. Lillard),2,4-0,,
11:01.0,,,4-0,,Turnover by R. Price (bad pass; steal by W. Matthews)
10:56.0,Turnover by W. Matthews (bad pass),,4-0,,
10:46.0,,,4-0,,W. Ellington misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by L. Aldridge,,4-0,,
10:38.0,D. Lillard misses 2-pt shot from 20 ft,,4-0,,
10:37.0,,,4-0,,Defensive rebound by W. Johnson
10:24.0,,,4-0,,W. Johnson misses 2-pt shot from 20 ft
10:23.0,Defensive rebound by D. Lillard,,4-0,,
10:10.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,6-0,,
9:49.0,,,6-2,2,R. Price makes 2-pt shot from 10 ft
9:30.0,N. Batum misses 3-pt shot from 26 ft,,6-2,,
9:28.0,,,6-2,,Defensive rebound by J. Hill
9:16.0,,,6-2,,E. Davis misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by C. Kaman,,6-2,,
9:06.0,Turnover by W. Matthews (traveling),,6-2,,
8:48.0,,,6-2,,W. Ellington misses 2-pt shot from 21 ft
8:46.0,Defensive rebound by Team,,6-2,,
8:34.0,Turnover by D. Lillard (lost ball; steal by R. Price),,6-2,,
8:26.0,,,6-2,,E. Davis misses 2-pt shot at rim
8:21.0,Defensive rebound by C. Kaman,,6-2,,
8:15.0,D. Lillard makes 3-pt shot from 25 ft (assist by N. Batum),3,9-2,,
7:54.0,,,9-5,3,W. Johnson makes 3-pt shot from 27 ft (assist by E. Davis)
7:27.0,C. Kaman misses 2-pt shot from 18 ft,,9-5,,
7:26.0,,,9-5,,Defensive rebound by E. Davis
7:20.0,,,9-5,,R. Price misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by N. Batum,,9-5,,
7:06.0,D. Lillard misses 3-pt shot from 24 ft,,9-5,,
7:05.0,Offensive rebound by C. Kaman,,9-5,,
7:01.0,C. Kaman misses 2-pt shot from 12 ft,,9-5,,
6:59.0,,,9-5,,Defensive rebound by E. Davis
6:48.0,,,9-7,2,J. Hill makes 2-pt shot from 2 ft
6:37.0,Offensive foul by D. Lillard,,9-7,,
6:37.0,Turnover by D. Lillard (offensive foul),,9-7,,
6:27.0,,,9-7,,W. Ellington misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by L. Aldridge,,9-7,,
6:17.0,D. Lillard misses 2-pt shot from 3 ft,,9-7,,
6:15.0,,,9-7,,Defensive rebound by W. Ellington
6:01.0,,,9-7,,J. Hill misses 2-pt shot from 21 ft
6:00.0,Defensive rebound by L. Aldridge,,9-7,,
5:50.0,C. Kaman makes 2-pt shot at rim (assist by N. Batum),2,11-7,,
5:38.0,,,11-9,2,W. Johnson makes 2-pt shot from 20 ft (assist by R. Price)
5:13.0,N. Batum misses 3-pt shot from 22 ft,,11-9,,
5:12.0,,,11-9,,Defensive rebound by W. Ellington
5:01.0,,,11-9,,Turnover by J. Hill (lost ball; steal by W. Matthews)
4:56.0,D. Lillard misses 2-pt shot from 2 ft,,11-9,,
4:56.0,Offensive rebound by N. Batum,,11-9,,
4:56.0,Shooting foul by W. Ellington (drawn by N. Batum),,11-9,,
4:56.0,,,11-9,,LA Lakers full timeout
