time,New Orleans,pts.away,score,pts.home,Sacramento
0:59.0,,,18-24,,Personal foul by D. Cousins (drawn by A. Davis)
0:59.0,A. Davis makes free throw 1 of 2,1,19-24,,
0:59.0,A. Davis makes free throw 2 of 2,1,20-24,,
0:36.0,,,20-27,3,N. Stauskas makes 3-pt shot from 24 ft (assist by D. Collison)
0:19.0,A. Davis misses 2-pt shot from 17 ft,,20-27,,
0:19.0,,,20-27,,Defensive rebound by N. Stauskas
0:02.0,,,20-27,,D. Collison misses 2-pt shot from 4 ft
0:01.0,Defensive rebound by A. Rivers,,20-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,20-29,2,N. Stauskas makes 2-pt shot from 21 ft
11:10.0,J. Salmons misses 3-pt shot from 24 ft,,20-29,,
11:10.0,,,20-29,,Defensive rebound by C. Landry
11:01.0,,,20-29,,N. Stauskas misses 2-pt shot from 5 ft (block by L. Babbitt)
11:01.0,,,20-29,,Offensive rebound by Team
10:44.0,,,20-29,,J. Thompson misses 2-pt shot from 20 ft
10:44.0,Defensive rebound by L. Babbitt,,20-29,,
10:29.0,R. Anderson makes 3-pt shot from 25 ft (assist by A. Rivers),3,23-29,,
10:15.0,Personal foul by A. Rivers (drawn by O. Casspi),,23-29,,
10:04.0,Personal foul by L. Babbitt (drawn by J. Thompson),,23-29,,
9:55.0,,,23-31,2,C. Landry makes 2-pt shot from 1 ft (assist by O. Casspi)
9:35.0,A. Rivers misses 2-pt shot from 20 ft,,23-31,,
9:33.0,,,23-31,,Defensive rebound by R. McCallum
9:26.0,,,23-31,,N. Stauskas misses 2-pt shot from 2 ft (block by L. Babbitt)
9:24.0,Defensive rebound by A. Ajinca,,23-31,,
9:13.0,L. Babbitt makes 3-pt shot from 25 ft (assist by A. Rivers),3,26-31,,
8:47.0,,,26-31,,R. McCallum misses 2-pt shot from 19 ft
8:47.0,,,26-31,,Offensive rebound by Team
8:47.0,Loose ball foul by A. Ajinca (drawn by J. Thompson),,26-31,,
8:47.0,Official timeout,,26-31,,
8:27.0,,,26-33,2,C. Landry makes 2-pt shot from 13 ft
8:10.0,R. Anderson misses 3-pt shot from 25 ft,,26-33,,
8:09.0,,,26-33,,Defensive rebound by R. McCallum
8:06.0,,,26-33,,Offensive charge foul by J. Thompson
8:06.0,,,26-33,,Turnover by J. Thompson (offensive foul)
8:06.0,E. Gordon enters the game for J. Salmons,,26-33,,
8:06.0,,,26-33,,R. Gay enters the game for J. Thompson
7:48.0,R. Anderson makes 2-pt shot from 16 ft,2,28-33,,
7:34.0,Personal foul by A. Rivers (drawn by R. McCallum),,28-33,,
7:28.0,,,28-33,,O. Casspi misses 2-pt shot from 2 ft (block by R. Anderson)
7:28.0,,,28-33,,Offensive rebound by Team
7:24.0,,,28-33,,R. Gay misses 2-pt shot from 11 ft
7:23.0,,,28-33,,Offensive rebound by C. Landry
7:23.0,,,28-33,,C. Landry misses 2-pt shot from 1 ft
7:22.0,Defensive rebound by A. Ajinca,,28-33,,
7:05.0,E. Gordon makes 3-pt shot from 24 ft (assist by L. Babbitt),3,31-33,,
6:55.0,,,31-33,,O. Casspi misses 2-pt shot from 3 ft
6:54.0,Defensive rebound by A. Ajinca,,31-33,,
6:49.0,E. Gordon makes 2-pt shot from 2 ft,2,33-33,,
6:48.0,,,33-33,,Sacramento full timeout
6:48.0,A. Davis enters the game for A. Ajinca,,33-33,,
