time,Denver,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. J. Nurkic (W. Ellington gains possession),,,,Jump ball: T. Black vs. J. Nurkic (W. Ellington gains possession)
11:46.0,,,0-0,,J. Clarkson misses 2-pt shot from 10 ft
11:43.0,,,0-0,,Offensive rebound by T. Black
11:42.0,,,0-0,,Shooting foul by J. Nurkic (drawn by T. Black)
11:42.0,,,0-0,,T. Black misses free throw 1 of 2
11:42.0,,,0-0,,Offensive rebound by Team
11:42.0,,,0-0,,T. Black misses free throw 2 of 2
11:40.0,Defensive rebound by K. Faried,,0-0,,
11:28.0,K. Faried misses 2-pt shot from 8 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by W. Ellington
11:20.0,,,0-2,2,W. Ellington makes 2-pt shot from 18 ft
11:09.0,K. Faried misses 2-pt shot from 5 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by R. Sacre
11:03.0,,,0-2,,J. Clarkson misses 2-pt shot from 2 ft
11:03.0,,,0-2,,Offensive rebound by Team
11:03.0,Loose ball foul by J. Nurkic (drawn by T. Black),,0-2,,
10:50.0,,,0-4,2,R. Sacre makes 2-pt shot from 6 ft (assist by J. Clarkson)
10:35.0,A. Afflalo misses 2-pt shot from 10 ft,,0-4,,
10:34.0,,,0-4,,Defensive rebound by R. Kelly
10:25.0,,,0-7,3,R. Kelly makes 3-pt shot from 26 ft (assist by J. Clarkson)
10:20.0,Denver full timeout,,0-7,,
10:15.0,J. Nurkic makes 2-pt shot from 2 ft (assist by T. Lawson),2,2-7,,
9:50.0,,,2-7,,Turnover by Team (shot clock)
9:37.0,J. Nurkic makes 2-pt shot from 1 ft (assist by A. Afflalo),2,4-7,,
9:26.0,,,4-9,2,J. Clarkson makes 2-pt shot from 1 ft
9:05.0,A. Afflalo misses 3-pt shot from 24 ft,,4-9,,
9:04.0,Offensive rebound by Team,,4-9,,
9:04.0,,,4-9,,Loose ball foul by T. Black (drawn by K. Faried)
8:57.0,W. Chandler misses 2-pt shot from 2 ft,,4-9,,
8:54.0,Offensive rebound by W. Chandler,,4-9,,
8:54.0,W. Chandler makes 2-pt shot from 1 ft,2,6-9,,
8:41.0,,,6-11,2,W. Ellington makes 2-pt shot from 18 ft (assist by R. Kelly)
8:32.0,,,6-11,,Personal foul by W. Ellington (drawn by A. Afflalo)
8:19.0,T. Lawson misses 3-pt shot from 24 ft,,6-11,,
8:16.0,,,6-11,,Defensive rebound by T. Black
8:10.0,,,6-11,,Turnover by J. Clarkson (bad pass; steal by T. Lawson)
8:08.0,,,6-11,,Personal foul by R. Sacre (drawn by T. Lawson)
8:03.0,A. Afflalo misses 2-pt shot from 11 ft,,6-11,,
8:02.0,,,6-11,,Defensive rebound by R. Sacre
7:41.0,,,6-14,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Clarkson)
7:18.0,W. Chandler misses 2-pt shot from 2 ft (block by T. Black),,6-14,,
7:16.0,,,6-14,,Defensive rebound by T. Black
7:12.0,,,6-16,2,W. Ellington makes 2-pt shot at rim (assist by J. Clarkson)
6:56.0,W. Chandler misses 3-pt shot from 24 ft,,6-16,,
6:53.0,,,6-16,,Defensive rebound by R. Sacre
6:39.0,,,6-16,,R. Kelly misses 2-pt shot from 14 ft
6:37.0,,,6-16,,Offensive rebound by R. Sacre
6:34.0,,,6-16,,R. Kelly misses 3-pt shot from 25 ft
6:33.0,,,6-16,,Offensive rebound by R. Sacre
6:14.0,,,6-16,,J. Clarkson misses 2-pt shot from 3 ft
6:13.0,Defensive rebound by W. Chandler,,6-16,,
6:09.0,W. Chandler makes 2-pt shot at rim,2,8-16,,
5:47.0,,,8-18,2,W. Ellington makes 2-pt shot from 20 ft (assist by T. Black)
5:35.0,W. Chandler misses 2-pt shot from 5 ft,,8-18,,
5:34.0,Offensive rebound by J. Nurkic,,8-18,,
5:30.0,,,8-18,,Personal foul by R. Kelly (drawn by T. Lawson)
5:30.0,,,8-18,,LA Lakers full timeout
5:30.0,D. Arthur enters the game for K. Faried,,8-18,,
5:30.0,J. Hickson enters the game for J. Nurkic,,8-18,,
5:30.0,,,8-18,,E. Davis enters the game for R. Sacre
5:12.0,T. Lawson misses 2-pt shot from 5 ft,,8-18,,
5:11.0,,,8-18,,Defensive rebound by R. Kelly
4:49.0,,,8-18,,E. Davis misses 2-pt shot from 3 ft
4:49.0,Defensive rebound by Team,,8-18,,
4:36.0,D. Arthur makes 2-pt shot from 18 ft (assist by T. Lawson),2,10-18,,
4:15.0,,,10-18,,W. Ellington misses 3-pt shot from 24 ft
4:13.0,Defensive rebound by T. Lawson,,10-18,,
4:08.0,W. Chandler makes 2-pt shot from 1 ft (assist by T. Lawson),2,12-18,,
4:06.0,,,12-18,,W. Johnson enters the game for R. Kelly
4:06.0,,,12-18,,C. Boozer enters the game for T. Black
3:48.0,,,12-21,3,J. Clarkson makes 3-pt shot from 24 ft (assist by E. Davis)
3:38.0,T. Lawson makes 2-pt shot from 1 ft,2,14-21,,
3:24.0,,,14-23,2,C. Boozer makes 2-pt shot from 17 ft (assist by E. Davis)
3:12.0,Turnover by T. Lawson (bad pass; steal by E. Davis),,14-23,,
3:08.0,,,14-23,,N. Young enters the game for W. Ellington
3:08.0,R. Foye enters the game for T. Lawson,,14-23,,
2:50.0,,,14-23,,J. Clarkson misses 2-pt shot from 2 ft (block by D. Arthur)
2:48.0,Defensive rebound by D. Arthur,,14-23,,
2:38.0,D. Arthur misses 2-pt shot from 15 ft,,14-23,,
2:37.0,Offensive rebound by J. Hickson,,14-23,,
2:36.0,J. Hickson makes 2-pt shot at rim,2,16-23,,
2:36.0,Shooting foul by E. Davis (drawn by J. Hickson),,16-23,,
2:36.0,Denver full timeout,,16-23,,
2:36.0,,,16-23,,J. Lin enters the game for J. Clarkson
2:36.0,J. Hickson makes free throw 1 of 1,1,17-23,,
2:14.0,,,17-23,,C. Boozer misses 2-pt shot from 15 ft
2:12.0,,,17-23,,Offensive rebound by C. Boozer
2:06.0,,,17-25,2,J. Lin makes 2-pt shot from 18 ft (assist by C. Boozer)
1:48.0,A. Afflalo makes 2-pt shot from 1 ft (assist by D. Arthur),2,19-25,,
1:36.0,,,19-27,2,W. Johnson makes 2-pt shot from 1 ft
1:20.0,R. Foye makes 3-pt shot from 23 ft (assist by A. Afflalo),3,22-27,,
1:11.0,D. Gallinari enters the game for W. Chandler,,22-27,,
1:08.0,,,22-29,2,N. Young makes 2-pt shot from 13 ft (assist by W. Johnson)
0:57.0,R. Foye makes 2-pt shot from 1 ft,2,24-29,,
0:44.0,,,24-29,,C. Boozer misses 2-pt shot from 2 ft (block by D. Arthur)
0:42.0,Defensive rebound by D. Arthur,,24-29,,
0:35.0,D. Arthur misses 2-pt shot from 20 ft,,24-29,,
0:33.0,,,24-29,,Defensive rebound by E. Davis
0:10.0,,,24-29,,N. Young misses 2-pt shot from 9 ft
0:09.0,Defensive rebound by D. Gallinari,,24-29,,
0:01.0,D. Gallinari misses 3-pt shot from 24 ft,,24-29,,
0:00.0,Offensive rebound by Team,,24-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Arthur makes 2-pt shot from 2 ft,2,26-29,,
