time,Phoenix,pts.away,score,pts.home,Golden State
6:59.0,,,11-4,,Turnover by H. Barnes (bad pass; steal by P. Tucker)
6:51.0,Turnover by G. Dragic (lost ball; steal by D. Green),,11-4,,
6:48.0,,,11-4,,S. Curry misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by M. Morris,,11-4,,
6:34.0,G. Dragic misses 2-pt shot from 20 ft,,11-4,,
6:33.0,,,11-4,,Defensive rebound by A. Bogut
6:22.0,,,11-7,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
6:08.0,A. Len misses 2-pt shot from 19 ft,,11-7,,
6:07.0,,,11-7,,Defensive rebound by D. Green
6:02.0,,,11-7,,S. Curry misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by M. Morris,,11-7,,
5:52.0,M. Morris makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,14-7,,
5:36.0,,,14-7,,Offensive foul by A. Bogut
5:36.0,,,14-7,,Turnover by A. Bogut (offensive foul)
5:36.0,,,14-7,,Golden State full timeout
5:25.0,M. Morris makes 2-pt shot from 20 ft (assist by A. Len),2,16-7,,
5:10.0,,,16-7,,S. Curry misses 2-pt shot at rim
5:08.0,,,16-7,,Offensive rebound by A. Bogut
5:04.0,,,16-10,3,D. Green makes 3-pt shot from 25 ft (assist by A. Bogut)
4:45.0,M. Morris misses 2-pt shot from 14 ft,,16-10,,
4:44.0,,,16-10,,Defensive rebound by A. Bogut
4:35.0,,,16-10,,D. Green misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by P. Tucker,,16-10,,
4:25.0,Shooting foul by A. Bogut (drawn by M. Morris),,16-10,,
4:25.0,M. Morris makes free throw 1 of 2,1,17-10,,
4:25.0,,,17-10,,A. Iguodala enters the game for H. Barnes
4:25.0,,,17-10,,D. Lee enters the game for A. Bogut
4:25.0,I. Thomas enters the game for G. Dragic,,17-10,,
4:25.0,M. Plumlee enters the game for A. Len,,17-10,,
4:25.0,M. Morris misses free throw 2 of 2,,17-10,,
4:24.0,,,17-10,,Defensive rebound by D. Lee
4:13.0,,,17-10,,Turnover by K. Thompson (lost ball; steal by P. Tucker)
4:09.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by P. Tucker),2,19-10,,
4:09.0,Shooting foul by A. Iguodala (drawn by E. Bledsoe),,19-10,,
4:09.0,E. Bledsoe misses free throw 1 of 1,,19-10,,
4:08.0,,,19-10,,Defensive rebound by D. Green
3:59.0,,,19-12,2,S. Curry makes 2-pt shot at rim
3:47.0,M. Morris misses 2-pt shot from 7 ft (block by S. Curry),,19-12,,
3:45.0,,,19-12,,Defensive rebound by S. Curry
3:41.0,,,19-14,2,A. Iguodala makes 2-pt shot at rim (assist by K. Thompson)
3:17.0,,,19-14,,L. Barbosa enters the game for K. Thompson
3:17.0,Phoenix full timeout,,19-14,,
3:17.0,B. Wright enters the game for M. Morris,,19-14,,
3:16.0,Turnover by Team (shot clock),,19-14,,
2:58.0,,,19-14,,L. Barbosa misses 2-pt shot from 1 ft (block by P. Tucker)
2:57.0,Defensive rebound by I. Thomas,,19-14,,
2:46.0,Turnover by I. Thomas (bad pass; steal by A. Iguodala),,19-14,,
2:40.0,,,19-16,2,S. Curry makes 2-pt shot from 16 ft (assist by A. Iguodala)
2:25.0,E. Bledsoe misses 2-pt shot from 20 ft,,19-16,,
2:25.0,,,19-16,,Defensive rebound by Team
2:25.0,Loose ball foul by M. Plumlee (drawn by D. Lee),,19-16,,
2:25.0,G. Green enters the game for E. Bledsoe,,19-16,,
2:04.0,,,19-18,2,L. Barbosa makes 2-pt shot from 14 ft (assist by D. Green)
1:44.0,B. Wright misses 2-pt shot from 10 ft,,19-18,,
1:42.0,Offensive rebound by B. Wright,,19-18,,
1:38.0,M. Plumlee makes 2-pt shot at rim (assist by B. Wright),2,21-18,,
1:30.0,,,21-18,,Turnover by L. Barbosa (lost ball; steal by P. Tucker)
1:25.0,P. Tucker makes 2-pt shot from 1 ft,2,23-18,,
1:14.0,Personal foul by I. Thomas (drawn by D. Green),,23-18,,
1:14.0,M. Morris enters the game for P. Tucker,,23-18,,
1:09.0,,,23-20,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Curry)
0:48.0,I. Thomas makes 2-pt shot from 8 ft (assist by M. Morris),2,25-20,,
0:37.0,,,25-20,,A. Iguodala misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by G. Green,,25-20,,
0:31.0,G. Green makes 3-pt shot from 28 ft,3,28-20,,
0:09.0,,,28-23,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
0:03.0,,,28-23,,Personal foul by S. Curry (drawn by I. Thomas)
0:03.0,,,28-23,,S. Livingston enters the game for S. Curry
0:03.0,,,28-23,,J. Holiday enters the game for L. Barbosa
0:02.0,I. Thomas misses 3-pt shot from 24 ft,,28-23,,
0:00.0,Offensive rebound by Team,,28-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,M. Morris makes 2-pt shot from 19 ft (assist by I. Thomas),2,30-23,,
11:36.0,,,30-23,,Turnover by J. Holiday (bad pass; steal by M. Morris)
11:31.0,,,30-23,,Personal foul by J. Holiday (drawn by I. Thomas)
11:31.0,G. Dragic enters the game for M. Plumlee,,30-23,,
11:25.0,I. Thomas misses 2-pt shot from 2 ft (block by H. Barnes),,30-23,,
11:24.0,Offensive rebound by Team,,30-23,,
11:21.0,G. Green misses 2-pt shot from 15 ft,,30-23,,
11:19.0,,,30-23,,Defensive rebound by S. Livingston
11:09.0,,,30-23,,J. Holiday misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by M. Morris,,30-23,,
11:02.0,M. Morris makes 2-pt shot from 14 ft (assist by I. Thomas),2,32-23,,
10:53.0,,,32-23,,Shooting foul by G. Dragic (drawn by D. Lee)
10:53.0,,,32-23,,D. Lee misses free throw 1 of 2
10:53.0,,,32-23,,Offensive rebound by Team
10:53.0,,,32-24,1,D. Lee makes free throw 2 of 2
10:32.0,G. Dragic misses 2-pt shot from 1 ft,,32-24,,
10:31.0,,,32-24,,Defensive rebound by H. Barnes
10:23.0,,,32-24,,S. Livingston misses 2-pt shot at rim
10:22.0,Defensive rebound by Team,,32-24,,
10:21.0,Jump ball: G. Green vs. J. Holiday (B. Wright gains possession),,,,Jump ball: G. Green vs. J. Holiday (B. Wright gains possession)
10:05.0,M. Morris misses 2-pt shot from 14 ft,,32-24,,
10:04.0,Offensive rebound by B. Wright,,32-24,,
10:02.0,I. Thomas makes 3-pt shot from 25 ft (assist by B. Wright),3,35-24,,
9:41.0,,,35-24,,A. Iguodala misses 3-pt shot from 23 ft
9:40.0,,,35-24,,Offensive rebound by H. Barnes
9:38.0,,,35-24,,D. Lee misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by B. Wright,,35-24,,
9:35.0,Shooting foul by H. Barnes (drawn by G. Dragic),,35-24,,
9:35.0,G. Dragic makes free throw 1 of 2,1,36-24,,
9:35.0,,,36-24,,K. Thompson enters the game for J. Holiday
9:35.0,G. Dragic misses free throw 2 of 2,,36-24,,
9:32.0,,,36-24,,Defensive rebound by H. Barnes
9:21.0,,,36-26,2,S. Livingston makes 2-pt shot from 15 ft
8:56.0,G. Green makes 2-pt shot from 12 ft,2,38-26,,
8:40.0,,,38-28,2,H. Barnes makes 2-pt shot from 1 ft (assist by K. Thompson)
8:23.0,G. Green misses 3-pt shot from 26 ft,,38-28,,
8:21.0,Offensive rebound by B. Wright,,38-28,,
8:15.0,G. Dragic makes 2-pt shot from 7 ft (assist by I. Thomas),2,40-28,,
8:14.0,,,40-28,,Golden State full timeout
8:14.0,,,40-28,,D. Green enters the game for A. Iguodala
8:14.0,,,40-28,,S. Curry enters the game for D. Lee
8:14.0,,,40-28,,A. Bogut enters the game for S. Livingston
7:58.0,,,40-28,,Turnover by K. Thompson (lost ball; steal by M. Morris)
7:54.0,I. Thomas misses 2-pt shot from 2 ft,,40-28,,
7:53.0,,,40-28,,Defensive rebound by H. Barnes
7:47.0,,,40-28,,Shooting foul by I. Thomas (drawn by D. Green)
7:47.0,,,40-29,1,D. Green makes free throw 1 of 2
7:47.0,,,40-30,1,D. Green makes free throw 2 of 2
7:24.0,M. Morris misses 3-pt shot from 25 ft,,40-30,,
7:23.0,,,40-30,,Defensive rebound by H. Barnes
